date_obj,Green%20dragonhide%20set price
2016-01-05,8556
2016-01-06,8570
2016-01-07,8570
2016-01-08,8513
2016-01-09,8513
2016-01-10,8410
2016-01-11,8410
2016-01-12,8332
2016-01-13,8332
2016-01-14,8571
2016-01-15,8571
2016-01-16,8558
2016-01-17,8558
2016-01-18,8544
2016-01-19,8544
2016-01-20,8349
2016-01-21,8349
2016-01-22,8296
2016-01-23,8296
2016-01-24,8443
2016-01-25,8332
2016-01-26,8332
2016-01-27,8268
2016-01-28,8268
2016-01-29,8288
2016-01-30,8288
2016-01-31,8420
2016-02-01,8359
2016-02-02,8359
2016-02-03,8546
2016-02-04,8546
2016-02-05,8563
2016-02-06,8418
2016-02-07,8418
2016-02-08,8353
2016-02-09,8353
2016-02-10,8363
2016-02-11,8363
2016-02-12,8360
2016-02-13,8550
2016-02-14,8550
2016-02-15,8627
2016-02-16,8627
2016-02-17,8522
2016-02-18,8522
2016-02-19,8438
2016-02-20,8438
2016-02-21,8437
2016-02-22,8437
2016-02-23,8411
2016-02-24,8411
2016-02-25,8345
2016-02-26,8345
2016-02-27,8331
2016-02-28,8331
2016-02-29,8357
2016-03-01,8357
2016-03-02,8247
2016-03-03,8247
2016-03-04,8189
2016-03-05,8189
2016-03-06,8189
2016-03-07,8189
2016-03-08,8295
2016-03-09,8295
2016-03-10,8428
2016-03-11,8428
2016-03-12,8460
2016-03-13,8460
2016-03-14,8404
2016-03-15,8404
2016-03-16,8317
2016-03-17,8317
2016-03-18,8299
2016-03-19,8299
2016-03-20,8278
2016-03-21,8278
2016-03-22,8229
2016-03-23,8233
2016-03-24,8233
2016-03-25,8229
2016-03-26,8341
2016-03-27,8341
2016-03-28,8325
2016-03-29,8325
2016-03-30,8232
2016-03-31,8232
2016-04-01,8258
2016-04-02,8258
2016-04-03,8316
2016-04-04,8308
2016-04-05,8308
2016-04-06,8315
2016-04-07,8315
2016-04-08,8281
2016-04-09,8360
2016-04-10,8508
2016-04-11,8508
2016-04-12,8472
2016-04-13,8472
2016-04-14,8538
2016-04-15,8527
2016-04-16,8527
2016-04-17,8432
2016-04-18,8411
2016-04-19,8411
2016-04-20,8452
2016-04-21,8452
2016-04-22,8345
2016-04-23,8496
2016-04-24,8496
2016-04-25,8422
2016-04-26,8422
2016-04-27,8255
2016-04-28,8255
2016-04-29,8284
2016-04-30,8214
2016-05-01,8214
2016-05-02,8289
2016-05-03,8200
2016-05-04,8200
2016-05-05,8224
2016-05-06,8224
2016-05-07,8207
2016-05-08,8207
2016-05-09,8195
2016-05-10,8281
2016-05-11,8281
2016-05-12,8438
2016-05-13,8441
2016-05-14,8441
2016-05-15,8548
2016-05-16,8548
2016-05-17,8397
2016-05-18,8345
2016-05-19,8345
2016-05-22,8257
2016-05-23,8241
2016-05-24,8305
2016-05-25,8305
2016-05-26,8231
2016-05-27,8289
2016-05-28,8289
2016-05-29,8337
2016-05-30,8337
2016-05-31,8251
2016-06-01,8122
2016-06-02,8122
2016-06-03,8047
2016-06-04,8122
2016-06-05,8122
2016-06-06,8159
2016-06-07,8159
2016-06-08,8302
2016-06-09,8388
2016-06-10,8221
2016-06-11,8221
2016-06-12,8162
2016-06-13,8162
2016-06-14,8172
2016-06-15,8172
2016-06-16,8277
2016-06-17,8379
2016-06-18,8379
2016-06-19,8481
2016-06-20,8481
2016-06-21,8405
2016-06-22,8322
2016-06-23,8376
2016-06-24,8376
2016-06-25,8523
2016-06-26,8523
2016-06-27,8509
2016-06-28,8471
2016-06-29,8471
2016-06-30,8363
2016-07-01,8271
2016-07-02,8271
2016-07-03,8324
2016-07-04,8457
2016-07-05,8457
2016-07-06,8538
2016-07-07,8538
2016-07-08,8563
2016-07-09,8451
2016-07-10,8336
2016-07-11,8360
2016-07-12,8360
2016-07-13,8608
2016-07-14,8608
2016-07-15,8606
2016-07-16,8606
2016-07-17,8452
2016-07-18,8337
2016-07-23,8242
2016-07-24,8342
2016-07-25,8342
2016-07-26,8590
2016-07-27,8590
2016-07-28,8776
2016-07-29,8708
2016-07-30,8708
2016-07-31,8778
2016-08-01,8778
2016-08-02,8712
2016-08-03,8712
2016-08-04,8562
2016-08-05,8562
2016-08-06,8350
2016-08-07,8413
2016-08-08,8413
2016-08-09,8550
2016-08-10,8550
2016-08-11,8491
2016-08-12,8491
2016-08-13,8454
2016-08-14,8454
2016-08-15,8538
2016-08-16,8538
2016-08-17,8502
2016-08-18,8502
2016-08-19,8496
2016-08-20,8496
2016-08-21,8608
2016-08-22,8608
2016-08-23,8454
2016-08-24,8454
2016-08-25,8370
2016-08-26,8370
2016-08-28,8301
2016-08-31,8193
2016-09-01,8193
2016-09-02,8253
2016-09-03,8253
2016-09-04,8226
2016-09-05,8226
2016-09-06,8320
2016-09-07,8320
2016-09-08,8320
2016-09-09,8243
2016-09-10,8243
2016-09-11,8156
2016-09-12,8156
2016-09-13,8099
2016-09-14,8099
2016-09-15,8114
2016-09-16,8114
2016-09-17,8440
2016-09-18,8440
2016-09-19,8514
2016-09-20,8514
2016-09-21,8532
2016-09-22,8532
2016-09-23,8427
2016-09-24,8427
2016-09-25,8397
2016-09-26,8397
2016-09-27,8397
2016-09-28,8397
2016-09-29,8397
2016-09-30,8368
2016-10-01,8368
2016-10-02,8383
2016-10-03,8383
2016-10-04,8408
2016-10-05,8408
2016-10-06,8401
2016-10-07,8401
2016-10-08,8459
2016-10-09,8459
2016-10-10,8478
2016-10-11,8478
2016-10-12,8557
2016-10-13,8557
2016-10-14,8405
2016-10-15,8405
2016-10-16,8531
2016-10-17,8531
2016-10-18,8537
2016-10-19,8537
2016-10-20,8424
2016-10-21,8424
2016-10-22,8409
2016-10-23,8409
2016-10-24,8299
2016-10-25,8299
2016-10-26,8198
2016-10-27,8198
2016-10-28,8076
2016-10-29,8076
2016-10-30,8299
2016-10-31,8299
2016-11-01,8413
2016-11-02,8413
2016-11-03,8422
2016-11-04,8422
2016-11-05,8305
2016-11-06,8290
2016-11-07,8290
2016-11-08,8280
2016-11-09,8280
2016-11-10,8258
2016-11-11,8258
2016-11-12,8282
2016-11-13,8282
2016-11-14,8435
2016-11-15,8435
2016-12-07,8424
2016-12-08,8346
2016-12-09,8346
2016-12-10,8286
2016-12-11,8373
2016-12-12,8373
2016-12-13,8432
2016-12-14,8338
2016-12-15,8338
2016-12-16,8264
2016-12-17,8277
2016-12-18,8277
2016-12-19,8439
2016-12-20,8408
2016-12-21,8360
2016-12-22,8360
2016-12-23,8328
2016-12-24,8328
2016-12-25,8168
2016-12-26,8168
2016-12-27,8040
2016-12-28,8040
2016-12-29,8119
