date_obj,Magpie%20impling%20jar price
2015-03-26,14709
2015-03-27,14709
2015-03-28,14709
2015-03-29,14709
2015-03-30,14709
2015-03-31,14709
2015-04-01,14709
2015-04-02,14709
2015-04-03,14709
2015-04-04,14709
2015-04-05,14455
2015-04-06,14455
2015-04-07,14455
2015-04-08,14455
2015-04-09,14455
2015-04-10,14455
2015-04-11,14455
2015-04-12,14455
2015-04-13,14455
2015-04-14,14455
2015-04-15,14455
2015-04-16,14099
2015-04-17,14099
2015-04-18,14099
2015-04-19,14099
2015-04-20,14099
2015-04-21,14099
2015-04-22,14099
2015-04-23,14099
2015-04-24,14099
2015-04-25,14099
2015-04-26,14099
2015-04-27,14099
2015-04-28,14099
2015-04-29,14099
2015-04-30,13867
2015-05-01,13867
2015-05-02,13867
2015-05-03,13867
2015-05-04,13867
2015-05-05,13867
2015-05-06,13867
2015-05-07,13867
2015-05-08,13867
2015-05-09,13867
2015-05-10,13867
2015-05-11,13867
2015-05-12,13867
2015-05-13,13815
2015-05-14,13815
2015-05-15,13815
2015-05-16,13815
2015-05-17,13815
2015-05-18,13815
2015-05-19,13815
2015-05-20,13815
2015-05-21,13815
2015-05-22,13815
2015-05-23,13815
2015-05-24,13815
2015-05-25,13815
2015-05-26,13815
2015-05-27,13815
2015-05-28,13779
2015-05-29,13779
2015-05-30,13779
2015-05-31,13779
2015-06-01,13779
2015-06-02,13779
2015-06-03,13779
2015-06-04,13779
2015-06-05,13779
2015-06-06,13779
2015-06-07,13485
2015-06-08,13485
2015-06-09,13485
2015-06-10,13485
2015-06-11,13485
2015-06-12,13485
2015-06-13,13485
2015-06-14,13485
2015-06-15,13485
2015-06-16,13485
2015-06-17,13485
2015-06-18,13517
2015-06-19,13517
2015-06-20,13517
2015-06-21,13517
2015-06-22,13517
2015-06-23,13517
2015-06-24,13517
2015-06-25,13517
2015-06-26,13517
2015-06-27,13517
2015-06-28,13517
2015-06-29,13748
2015-06-30,13748
2015-07-01,13748
2015-07-02,13748
2015-07-03,13748
2015-07-04,13748
2015-07-05,13748
2015-07-06,13748
2015-07-07,13748
2015-07-08,13748
2015-07-09,13748
2015-07-10,13811
2015-07-11,13811
2015-07-12,13811
2015-07-13,13811
2015-07-14,13811
2015-07-15,13811
2015-07-16,13811
2015-07-17,13811
2015-07-18,13811
2015-07-19,13811
2015-07-20,13811
2015-07-21,13811
2015-07-22,13636
2015-07-23,13636
2015-07-24,13636
2015-07-25,13636
2015-07-26,13636
2015-07-27,13636
2015-07-28,13636
