date_obj,Bronze%20platelegs price
2015-03-26,102
2015-03-27,102
2015-03-28,96
2015-03-29,96
2015-03-30,91
2015-03-31,91
2015-04-01,91
2015-04-02,86
2015-04-03,86
2015-04-04,82
2015-04-05,82
2015-04-06,78
2015-04-07,78
2015-04-08,78
2015-04-09,74
2015-04-10,74
2015-04-11,72
2015-04-12,72
2015-04-13,72
2015-04-14,68
2015-04-15,68
2015-04-16,65
2015-04-17,65
2015-04-18,62
2015-04-19,62
2015-04-20,59
2015-04-21,59
2015-04-22,56
2015-04-23,56
2015-04-24,53
2015-04-25,53
2015-04-26,50
2015-04-27,50
2015-04-28,48
2015-04-29,48
2015-04-30,46
2015-05-01,45
2015-05-02,45
2015-05-03,43
2015-05-04,43
2015-05-05,42
2015-05-06,42
2015-05-07,42
2015-05-08,42
2015-05-09,44
2015-05-10,44
2015-05-11,46
2015-05-12,48
2015-05-13,48
2015-05-14,51
2015-05-15,51
2015-05-16,51
2015-05-17,52
2015-05-18,52
2015-05-19,50
2015-05-20,50
2015-05-21,50
2015-05-22,48
2015-05-23,48
2015-05-24,45
2015-05-25,45
2015-05-26,42
2015-05-27,42
2015-05-28,40
2015-05-29,40
2015-05-30,41
2015-05-31,41
2015-06-01,39
2015-06-02,39
2015-06-03,38
2015-06-04,38
2015-06-05,36
2015-06-06,36
2015-06-07,34
2015-06-08,34
2015-06-09,35
2015-06-10,35
2015-06-11,33
2015-06-12,33
2015-06-13,32
2015-06-14,32
2015-06-15,31
2015-06-16,31
2015-06-17,30
2015-06-18,30
2015-06-19,29
2015-06-20,29
2015-06-21,28
2015-06-22,28
2015-06-23,27
2015-06-24,27
2015-06-25,25
2015-06-26,24
2015-06-27,24
2015-06-28,23
2015-06-29,23
2015-06-30,21
2015-07-01,21
2015-07-02,19
2015-07-03,19
2015-07-04,19
2015-07-05,18
2015-07-06,18
2015-07-07,18
2015-07-08,18
2015-07-09,18
2015-07-10,18
2015-07-11,17
2015-07-12,17
2015-07-13,16
2015-07-14,16
2015-07-15,15
2015-07-16,15
2015-07-17,15
2015-07-18,15
2015-07-19,15
2015-07-20,15
2015-07-21,14
2015-07-22,13
2015-07-23,13
2015-07-24,12
2015-07-25,12
2015-07-26,12
2015-07-27,12
2015-07-28,12
2015-07-29,13
2015-07-30,13
2015-07-31,14
2015-08-01,14
2015-08-02,15
2015-08-03,15
2015-08-04,16
2015-08-05,16
2015-08-06,16
2015-08-07,17
2015-08-08,17
2015-08-09,17
2015-08-10,17
2015-08-11,16
2015-08-12,16
2015-08-13,15
2015-08-14,14
2015-08-15,14
2015-08-16,14
2015-08-17,14
2015-08-18,14
2015-08-19,14
2015-08-20,14
2015-08-21,14
