date_obj,Iron%20kiteshield%20(g) price
2015-03-26,224041
2015-03-27,224041
2015-03-28,225654
2015-03-29,224591
2015-03-30,222706
2015-03-31,217735
2015-04-01,217735
2015-04-02,216331
2015-04-03,223273
2015-04-04,225872
2015-04-05,225872
2015-04-06,223564
2015-04-07,220439
2015-04-08,220439
2015-04-09,218145
2015-04-10,217278
2015-04-11,215566
2015-04-12,211060
2015-04-13,208879
2015-04-14,208879
2015-04-15,203352
2015-04-16,200153
2015-04-17,201431
2015-04-18,199687
2015-04-19,195454
2015-04-20,195454
2015-04-21,188845
2015-04-22,188845
2015-04-23,184957
2015-04-24,184549
2015-04-25,184549
2015-04-26,183051
2015-04-27,180946
2015-04-28,178027
2015-04-29,178027
2015-04-30,176092
2015-05-01,171123
2015-05-02,166886
2015-05-03,166886
2015-05-04,160285
2015-05-05,155390
2015-05-06,151052
2015-05-07,145821
2015-05-08,146749
2015-05-09,144353
2015-05-10,144165
2015-05-11,144165
2015-05-12,142336
2015-05-13,140187
2015-05-14,138304
2015-05-15,133712
2015-05-16,133712
2015-05-17,135654
2015-05-18,138482
2015-05-19,138482
2015-05-20,136554
2015-05-21,136554
2015-05-22,135688
2015-05-23,134516
2015-05-24,130244
2015-05-25,126956
2015-05-26,124361
2015-05-27,122685
2015-05-28,124589
2015-05-29,126990
2015-05-30,129075
2015-05-31,129075
2015-06-01,135451
2015-06-02,135451
2015-06-03,139199
2015-06-04,139199
2015-06-05,143423
2015-06-06,147676
2015-06-07,153570
2015-06-08,153570
2015-06-09,155988
2015-06-10,158274
2015-06-11,158274
2015-06-12,159405
2015-06-13,161672
2015-06-14,163618
2015-06-15,163618
2015-06-16,163703
2015-06-17,163703
2015-06-18,165768
2015-06-19,165768
2015-06-20,167388
2015-06-21,167388
2015-06-22,172834
2015-06-23,172834
2015-06-24,180282
2015-06-25,180282
2015-06-26,188607
2015-06-27,188607
2015-06-28,193610
2015-06-29,193610
2015-06-30,202882
2015-07-01,203146
2015-07-02,203146
2015-07-03,204024
2015-07-04,204024
2015-07-05,208379
2015-07-06,213445
2015-07-07,219836
2015-07-08,224658
2015-07-09,224658
2015-07-10,228568
2015-07-11,228568
2015-07-12,227423
2015-07-13,224087
2015-07-14,221308
2015-07-15,221308
2015-07-16,213351
2015-07-17,213798
2015-07-18,213798
2015-07-19,219164
2015-07-20,222036
2015-07-21,222036
2015-07-22,221169
2015-07-23,221169
2015-07-24,218876
2015-07-25,218876
2015-07-26,222896
2015-07-27,226796
2015-07-28,226796
2015-07-29,227232
2015-07-30,227232
2015-07-31,227636
2015-08-01,231249
2015-08-02,234938
2015-08-03,234938
2015-08-04,241152
2015-08-05,246111
2015-08-06,246111
2015-08-07,252899
2015-08-08,261629
2015-08-09,268064
2015-08-10,274087
2015-08-11,278443
2015-08-12,278443
2015-08-13,281109
2015-08-14,284438
2015-08-15,284438
2015-08-16,286892
2015-08-17,288562
2015-08-18,286755
2015-08-19,280175
2015-08-20,280175
2015-08-21,272268
2015-08-22,275487
2015-08-23,275487
2015-08-24,269342
2015-08-25,269342
2015-08-26,264055
2015-08-27,260130
2015-08-28,260130
2015-08-29,262114
2015-08-30,262114
2015-08-31,264014
2015-09-01,261406
2015-09-02,261406
2015-09-03,262590
2015-09-04,256652
2015-09-05,256652
2015-09-06,246986
2015-09-07,239091
2015-09-08,243013
2015-09-09,246116
2015-09-10,246116
2015-09-11,242716
2015-09-12,242716
2015-09-13,237708
2015-09-14,237708
2015-09-15,236220
2015-09-16,236220
2015-09-17,234923
2015-09-18,234923
2015-09-19,229040
2015-09-20,229040
2015-09-21,224947
2015-09-22,222293
2015-09-23,221299
2015-09-24,221299
2015-09-25,221615
2015-09-27,224479
2015-09-28,222483
2015-09-29,222483
2015-09-30,225109
2015-10-05,228441
2015-10-06,232502
2015-10-07,232502
2015-10-08,233807
2015-10-09,238245
2015-10-10,238245
2015-10-11,240887
2015-10-12,240887
2015-10-13,244238
2015-10-14,244238
2015-10-15,247521
2015-10-16,247521
2015-10-17,251295
2015-10-18,251295
2015-10-19,255624
2015-10-20,258314
2015-10-22,264015
2015-10-23,268900
2015-10-24,268900
2015-10-25,272676
2015-10-26,278724
2015-10-27,278724
2015-10-29,279741
2015-10-30,286930
2015-10-31,290974
2015-11-01,290974
2015-11-02,294873
2015-11-03,294873
2015-11-04,298271
2015-11-05,296694
2015-11-06,296694
2015-11-07,299802
2015-11-08,299802
2015-11-09,299030
2015-11-10,299030
2015-11-11,299701
2015-11-12,299701
2015-11-13,300924
2015-11-14,300924
2015-11-15,304276
2015-11-16,304276
2015-11-17,306277
2015-11-18,306277
2015-11-19,309888
2015-11-20,313671
2015-11-21,313671
2015-11-22,308624
2015-11-23,308624
