date_obj,Iron%20plateskirt%20(g) price
2015-03-26,121478
2015-03-27,115663
2015-03-28,110069
2015-03-29,104870
2015-03-30,99950
2015-03-31,95248
2015-04-01,90676
2015-04-02,86353
2015-04-03,82212
2015-04-04,78287
2015-04-05,74539
2015-04-06,71090
2015-04-07,67779
2015-04-08,64514
2015-04-09,61385
2015-04-10,58403
2015-04-11,55553
2015-04-12,52872
2015-04-13,50393
2015-04-14,48157
2015-04-15,45830
2015-04-16,43639
2015-04-17,41510
2015-04-18,39634
2015-04-19,37819
2015-04-20,36082
2015-04-21,34367
2015-04-22,32754
2015-04-23,31201
2015-04-24,29788
2015-04-25,28389
2015-04-26,27079
2015-04-27,25813
2015-04-28,24727
2015-04-29,24727
2015-04-30,23584
2015-05-01,22559
2015-05-02,21525
2015-05-03,21525
2015-05-04,20523
2015-05-05,19721
2015-05-06,19721
2015-05-07,18823
2015-05-08,18823
2015-05-09,17948
2015-05-10,17948
2015-05-11,17143
2015-05-12,16364
2015-05-13,16364
2015-05-14,15610
2015-05-15,15610
2015-05-16,14963
2015-05-17,14244
2015-05-18,14244
2015-05-19,13593
2015-05-20,13593
2015-05-21,13593
2015-05-22,12968
2015-05-23,12968
2015-05-24,12383
2015-05-25,11838
2015-05-26,11838
2015-05-27,11378
2015-05-28,11378
2015-05-29,10961
2015-05-30,10961
2015-05-31,10794
2015-06-01,10794
2015-06-02,10794
2015-06-03,10773
2015-06-04,10773
2015-06-05,10409
2015-06-06,10409
2015-06-07,9993
2015-06-08,9993
2015-06-09,9993
2015-06-10,9711
2015-06-11,9711
2015-06-12,9711
2015-06-13,9286
2015-06-14,9286
2015-06-15,9286
2015-06-16,9196
2015-06-17,9196
2015-06-18,8924
2015-06-19,8924
2015-06-20,8542
2015-06-21,8542
2015-06-22,8201
2015-06-23,8201
2015-06-24,8071
2015-06-25,8071
2015-06-26,7905
2015-06-27,7905
2015-06-28,7739
2015-06-29,7739
2015-06-30,7732
2015-07-01,7732
2015-07-02,7732
2015-07-03,7718
2015-07-04,7718
2015-07-05,7770
2015-07-06,7770
2015-07-07,7751
2015-07-08,7751
2015-07-09,7701
2015-07-10,7701
2015-07-11,7408
2015-07-12,7408
2015-07-13,7389
2015-07-14,7389
2015-07-15,7619
2015-07-16,7619
2015-07-17,7629
2015-07-18,7629
2015-07-19,7629
2015-07-20,7720
2015-07-21,7720
2015-07-22,8023
2015-07-23,8023
2015-07-24,8325
2015-07-25,8325
2015-07-26,8325
2015-07-27,8454
2015-07-28,8454
2015-07-29,8435
2015-07-30,8435
2015-07-31,8435
2015-08-01,8387
2015-08-02,8387
2015-08-03,8256
2015-08-04,8256
2015-08-05,8369
2015-08-06,8369
2015-08-07,8369
2015-08-08,8396
2015-08-09,8396
2015-08-10,8435
2015-08-11,8435
2015-08-12,8435
2015-08-13,8656
2015-08-14,8656
2015-08-15,8469
2015-08-16,8469
2015-08-17,8180
2015-08-18,8180
2015-08-19,8335
2015-08-20,8335
2015-08-21,8337
2015-08-22,8337
2015-08-23,8337
2015-08-24,8199
2015-08-25,8199
2015-08-26,8199
2015-08-27,8075
2015-08-28,8075
2015-08-29,7829
2015-08-30,7829
2015-08-31,7950
2015-09-01,7950
2015-09-02,7950
2015-09-03,8174
2015-09-04,8174
2015-09-05,8174
2015-09-06,8307
2015-09-07,8307
2015-09-08,8307
2015-09-09,8125
2015-09-10,8125
2015-09-11,8125
2015-09-12,8158
2015-09-13,8158
2015-09-14,8158
2015-09-15,8270
2015-09-16,8270
2015-09-17,8091
2015-09-18,8091
2015-09-19,8091
2015-09-20,8074
2015-09-21,8074
2015-09-22,8354
2015-09-23,8354
2015-09-24,8354
2015-09-25,8322
2015-09-27,8178
2015-09-28,8178
2015-09-29,8178
2015-09-30,8532
2015-10-05,8544
2015-10-06,8544
2015-10-07,8609
2015-10-08,8609
2015-10-09,8900
2015-10-10,8900
2015-10-11,8900
2015-10-12,9011
2015-10-13,9011
2015-10-14,9011
2015-10-15,8984
2015-10-16,8984
2015-10-17,8984
2015-10-18,9353
2015-10-19,9353
2015-10-20,9353
2015-10-22,9746
2015-10-23,9746
2015-10-24,10074
2015-10-25,10074
2015-10-26,10010
2015-10-27,10010
2015-10-29,9516
2015-10-30,9516
2015-10-31,9516
2015-11-01,9545
2015-11-02,9545
2015-11-03,9545
2015-11-04,9332
2015-11-05,9332
2015-11-06,9332
2015-11-07,9487
2015-11-08,9487
