date_obj,Stripy%20pirate%20shirt%20(beige) price
2015-03-26,35000
2015-03-27,35000
2015-03-28,35000
2015-03-29,35000
2015-03-30,35000
2015-03-31,35000
2015-04-01,35000
2015-04-02,35000
2015-04-03,35000
2015-04-04,33345
2015-04-05,33345
2015-04-06,33345
2015-04-07,33345
2015-04-08,33345
2015-04-09,33345
2015-04-10,33345
2015-04-11,33345
2015-04-12,33345
2015-04-13,33345
2015-04-14,33345
2015-04-15,33345
2015-04-16,33345
2015-04-17,33345
2015-04-18,33345
2015-04-19,33345
2015-04-20,33345
2015-04-21,33345
2015-04-22,33345
2015-04-23,33345
2015-04-24,33345
2015-04-25,33345
2015-04-26,33345
2015-04-27,33345
2015-04-28,33345
2015-04-29,33345
2015-04-30,33345
2015-05-01,33345
2015-05-02,33345
2015-05-03,33345
2015-05-04,33345
2015-05-05,33345
2015-05-06,33345
2015-05-07,33345
2015-05-08,33345
2015-05-09,33345
2015-05-10,33345
2015-05-11,33345
2015-05-12,33345
2015-05-13,33345
2015-05-14,33345
2015-05-15,33345
2015-05-16,33345
2015-05-17,33345
2015-05-18,33345
2015-05-19,33345
2015-05-20,31715
2015-05-21,31715
2015-05-22,31715
2015-05-23,31715
2015-05-24,31715
2015-05-25,31715
2015-05-26,31715
2015-05-27,31715
2015-05-28,31715
2015-05-29,31715
2015-05-30,31715
2015-05-31,31715
2015-06-01,31715
2015-06-02,31715
2015-06-03,31715
2015-06-04,31715
2015-06-05,31715
2015-06-06,31715
2015-06-07,31715
2015-06-08,30245
2015-06-09,30245
2015-06-10,30245
2015-06-11,30245
2015-06-12,30245
2015-06-13,30245
2015-06-14,30245
2015-06-15,30245
2015-06-16,30245
2015-06-17,30245
2015-06-18,30245
2015-06-19,30245
2015-06-20,30245
2015-06-21,30245
2015-06-22,30245
2015-06-23,30245
2015-06-24,30245
2015-06-25,30245
2015-06-26,30245
2015-06-27,30245
2015-06-28,30245
2015-06-29,30245
2015-06-30,30245
2015-07-01,29019
2015-07-02,29019
2015-07-03,29019
2015-07-04,29019
2015-07-05,29019
2015-07-06,29019
2015-07-07,29019
2015-07-08,29019
2015-07-09,29019
2015-07-10,29019
2015-07-11,29019
2015-07-12,29019
2015-07-13,29019
2015-07-14,29019
2015-07-15,29019
2015-07-16,29019
2015-07-17,29019
2015-07-18,29019
2015-07-19,29019
2015-07-20,29019
2015-07-21,29019
2015-07-22,29019
2015-07-23,29019
2015-07-24,29019
2015-07-25,27601
2015-07-26,27601
2015-07-27,27601
2015-07-28,27601
2015-07-29,27601
2015-07-30,27601
2015-07-31,27601
2015-08-01,27601
2015-08-02,27601
2015-08-03,27601
2015-08-04,27601
2015-08-05,27601
2015-08-06,27601
2015-08-07,27601
2015-08-08,27601
2015-08-09,27601
2015-08-10,27601
2015-08-11,27601
2015-08-12,27601
2015-08-13,27601
2015-08-14,26226
2015-08-15,26226
2015-08-16,26226
2015-08-17,26226
2015-08-18,26226
2015-08-19,26226
2015-08-20,26226
2015-08-21,26226
2015-08-22,26226
2015-08-23,26226
2015-08-24,26226
2015-08-25,26226
2015-08-26,26226
2015-08-27,26226
2015-08-28,26226
2015-08-29,26226
2015-08-30,26226
2015-08-31,26226
2015-09-01,26226
2015-09-02,26226
2015-09-03,26226
2015-09-04,26226
2015-09-05,26226
2015-09-06,26226
2015-09-07,26226
2015-09-08,24944
2015-09-09,24944
2015-09-10,24944
2015-09-11,24944
2015-09-12,24944
2015-09-13,24944
2015-09-14,24944
2015-09-15,24944
2015-09-16,24944
2015-09-17,24944
2015-09-18,24944
2015-09-19,24944
2015-09-20,24944
2015-09-21,24944
2015-09-22,24944
2015-09-23,24944
2015-09-24,24944
2015-09-25,24944
2015-09-27,24944
2015-09-28,24944
2015-09-29,23715
2015-09-30,23715
2015-10-05,23715
2015-10-06,23715
2015-10-07,23715
2015-10-08,23715
2015-10-09,23715
2015-10-10,23715
2015-10-11,23715
2015-10-12,23715
2015-10-13,23715
2015-10-14,23715
2015-10-15,23715
2015-10-16,23715
2015-10-17,23715
2015-10-18,23715
2015-10-19,23715
2015-10-20,23715
2015-10-22,23715
2015-10-23,23715
2015-10-24,23715
2015-10-25,23715
2015-10-26,23715
2015-10-27,22538
2015-10-29,22538
2015-10-30,22538
2015-10-31,22538
2015-11-01,22538
2015-11-02,22538
2015-11-03,22538
2015-11-04,22538
2015-11-05,22538
2015-11-06,22538
2015-11-07,22538
2015-11-08,22538
2015-11-09,22538
2015-11-10,22538
2015-11-11,22538
2015-11-12,22538
2015-11-13,22538
2015-11-14,22538
2015-11-15,22538
2015-11-16,22538
2015-11-17,22538
2015-11-18,22538
2015-11-19,22538
2015-11-20,21581
2015-11-21,21581
2015-11-22,21581
2015-11-23,21581
2015-11-24,21581
2015-11-25,21581
2015-11-26,21581
2015-11-27,21581
2015-11-28,21581
2015-11-29,21581
2015-11-30,21581
2015-12-01,21581
2015-12-02,21581
2015-12-03,21581
2015-12-04,21581
2015-12-05,21581
2015-12-06,21581
2015-12-07,21581
2015-12-08,21581
2015-12-09,21581
2015-12-10,21581
2015-12-11,21581
2015-12-13,21581
2015-12-14,21581
2015-12-15,21581
2015-12-16,21581
2015-12-17,21581
2015-12-18,21581
2015-12-19,21581
2015-12-20,21581
2015-12-21,21581
2015-12-22,20514
2015-12-23,20514
2015-12-24,20514
2015-12-25,20514
2015-12-26,20514
2015-12-27,20514
2015-12-28,20514
2015-12-29,20514
2015-12-30,20514
2015-12-31,20514
