date_obj,Yew%20seed price
2015-03-05,50426
2015-03-06,52890
2015-03-07,55535
2015-03-08,58312
2015-03-09,60923
2015-03-10,63687
2015-03-11,66573
2015-03-12,66573
2015-03-13,69902
2015-03-14,73398
2015-03-15,76808
2015-03-16,78457
2015-03-17,81111
2015-03-18,81111
2015-03-19,85167
2015-03-20,87071
2015-03-21,87071
2015-03-22,83750
2015-03-23,83750
2015-03-24,79703
2015-03-25,79980
2015-03-26,82342
2015-03-27,82342
2015-03-28,80013
2015-03-29,79062
2015-03-30,78444
2015-03-31,76252
2015-04-01,76252
2015-04-02,75960
2015-04-03,73184
2015-04-04,70279
2015-04-05,70279
2015-04-06,67113
2015-04-07,64538
2015-04-08,64538
2015-04-09,63309
2015-04-10,63478
2015-04-11,62175
2015-04-12,61767
2015-04-13,62022
2015-04-14,62022
2015-04-15,64660
2015-04-16,64660
2015-04-17,67590
2015-04-18,70970
2015-04-19,72200
2015-04-20,72200
2015-04-21,73828
2015-04-22,73828
2015-04-23,76784
2015-04-24,76784
2015-04-25,76784
2015-04-26,76784
2015-04-27,78259
2015-04-28,79730
2015-04-29,79730
2015-04-30,80084
2015-05-01,84089
2015-05-02,84469
2015-05-03,84469
2015-05-04,84678
2015-05-05,85165
2015-05-06,89019
2015-05-07,88946
2015-05-08,88946
2015-05-09,89001
2015-05-10,86744
2015-05-11,86744
2015-05-12,85412
2015-05-13,85412
2015-05-14,84045
2015-05-15,84045
2015-05-16,83699
2015-05-17,81077
2015-05-18,80419
2015-05-19,80419
2015-05-20,77623
2015-05-21,77623
2015-05-22,79772
2015-05-23,79772
2015-05-24,80599
2015-05-25,81912
2015-05-26,83446
2015-05-27,83446
2015-05-28,83893
2015-05-29,82587
2015-05-30,82207
2015-05-31,81966
2015-06-01,81844
2015-06-02,81844
2015-06-03,80187
2015-06-04,78682
2015-06-05,78852
2015-06-06,80220
2015-06-07,81252
2015-06-08,81241
2015-06-09,82049
2015-06-10,81303
2015-06-11,81303
2015-06-12,81992
2015-06-13,79401
2015-06-14,77647
2015-06-15,78266
2015-06-16,78093
2015-06-17,77632
2015-06-18,76567
2015-06-19,75144
2015-06-20,72610
2015-06-21,74290
2015-06-22,75280
2015-06-23,73907
2015-06-24,71655
2015-06-25,71655
2015-06-26,72467
2015-06-27,72467
2015-06-28,69700
2015-06-29,69486
2015-06-30,67638
2015-07-01,67681
2015-07-02,67681
2015-07-03,66302
2015-07-04,64750
2015-07-05,62117
2015-07-06,61032
2015-07-07,59292
2015-07-08,57464
2015-07-09,57464
2015-07-10,55997
2015-07-11,54699
2015-07-12,56839
2015-07-13,57235
2015-07-14,57526
2015-07-15,58925
2015-07-16,61319
2015-07-17,62715
2015-07-18,61951
2015-07-19,60502
2015-07-20,59279
2015-07-21,61166
2015-07-22,63016
2015-07-23,63016
2015-07-24,66055
2015-07-25,68934
2015-07-26,68574
2015-07-27,71716
2015-07-28,71067
2015-07-29,72774
2015-07-30,74240
2015-07-31,74458
2015-08-01,76294
2015-08-02,79418
2015-08-03,82155
2015-08-04,81642
2015-08-05,82370
2015-08-06,84886
2015-08-07,85656
2015-08-08,84172
2015-08-09,81690
2015-08-10,81128
2015-08-11,80867
2015-08-12,80867
2015-08-13,80692
2015-08-14,83457
2015-08-15,83457
2015-08-16,81754
2015-08-17,82211
2015-08-18,83324
2015-08-19,84307
2015-08-20,84420
2015-08-21,84486
2015-08-22,84273
2015-08-23,83379
2015-08-24,85970
2015-08-25,85970
2015-08-26,87166
2015-08-27,88172
2015-08-28,88551
2015-08-29,87422
2015-08-30,88804
2015-08-31,88804
2015-09-02,89264
2015-09-07,87940
2015-09-08,84728
2015-09-10,82697
2015-09-14,84335
2015-09-16,86096
2015-09-22,96019
2015-09-23,97926
2015-09-24,97926
2015-09-25,97808
2015-09-27,95873
2015-09-28,96322
2015-09-29,96021
2015-09-30,93989
2015-10-05,81624
2015-10-06,83066
2015-10-07,82139
2015-10-08,81580
2015-10-09,82606
2015-10-10,82606
2015-10-11,84600
2015-10-12,84802
2015-10-13,84802
2015-10-14,86883
2015-10-15,87885
2015-10-16,88240
2015-10-17,88240
2015-10-18,89511
2015-10-19,90685
2015-10-20,90460
2015-10-22,92414
2015-10-23,92284
2015-10-24,92033
2015-10-25,92514
2015-10-26,93637
2015-10-27,93637
2015-10-29,92049
2015-10-30,91341
2015-10-31,92536
2015-11-01,92536
2015-11-02,93087
2015-11-03,92287
2015-11-05,91180
2015-11-06,91180
2015-11-07,92619
2015-11-08,92619
2015-11-09,89579
2015-11-10,87609
2015-11-11,89116
2015-11-12,88416
2015-11-13,88416
2015-11-14,89043
2015-11-15,88510
2015-11-16,87447
2015-11-17,88664
2015-11-18,88653
2015-11-19,88474
2015-11-20,86836
2015-11-21,86836
2015-11-22,87432
2015-11-23,87432
2015-11-24,87992
2015-11-25,86116
2015-11-26,86116
2015-11-27,85828
2015-11-28,86855
2015-11-29,86476
2015-11-30,88397
2015-12-01,88397
2015-12-02,91275
2015-12-03,95193
2015-12-04,95193
2015-12-05,99022
2015-12-06,100433
2015-12-07,99349
2015-12-08,102987
2015-12-09,107018
2015-12-10,112187
2015-12-11,117404
2015-12-13,110368
2015-12-14,110368
2015-12-15,111438
2015-12-16,114063
2015-12-17,113235
2015-12-18,108837
2015-12-19,103828
2015-12-20,106472
2015-12-21,105057
2015-12-22,102240
2015-12-23,103203
2015-12-24,103199
2015-12-25,102210
2015-12-26,102127
2015-12-27,102626
2015-12-28,98425
2015-12-29,100358
2015-12-30,102351
2015-12-31,101142
2016-01-01,100564
2016-01-02,101428
2016-01-03,100158
2016-01-04,100414
2016-01-05,103661
2016-01-06,104472
2016-01-07,108727
2016-01-08,109165
2016-01-09,112265
2016-01-10,114348
2016-01-11,116791
2016-01-12,118238
2016-01-13,121411
2016-01-14,127109
2016-01-15,133465
2016-01-16,140139
2016-01-18,141097
2016-01-19,136413
2016-01-20,136202
2016-01-21,129392
2016-01-22,122979
2016-01-23,116830
2016-01-24,115187
2016-01-25,111491
2016-01-26,108546
2016-01-27,103351
2016-01-28,103351
2016-01-29,99145
2016-01-30,96611
2016-01-31,97722
2016-02-01,97619
2016-02-02,94340
2016-02-03,92985
2016-02-04,88811
2016-02-05,86651
2016-02-06,88202
2016-02-07,90799
2016-02-08,93528
2016-02-09,95455
2016-02-10,95904
2016-02-11,96527
2016-02-12,97129
2016-02-13,95317
2016-02-14,93979
2016-02-15,93165
2016-02-16,93683
2016-02-17,93125
2016-02-18,91768
2016-02-19,89265
2016-02-20,88579
2016-02-21,88783
2016-02-22,87469
2016-02-23,89008
2016-02-24,89604
2016-02-25,91846
2016-02-26,91846
2016-02-27,92928
2016-02-28,91257
2016-02-29,91440
2016-03-01,90402
2016-03-02,89785
2016-03-03,88359
2016-03-04,89656
2016-03-05,89595
2016-03-06,88491
2016-03-07,86848
2016-03-08,88448
2016-03-09,89389
2016-03-10,88934
2016-03-11,89207
2016-03-12,89521
2016-03-13,89391
2016-03-14,89149
2016-03-15,90207
2016-03-16,91010
2016-03-17,90812
2016-03-18,90026
2016-03-19,87107
2016-03-20,88420
2016-03-21,89459
2016-03-22,89253
2016-03-23,90417
2016-03-24,90263
2016-03-25,91257
2016-03-26,91632
2016-03-27,90102
2016-03-28,88067
2016-03-29,89255
2016-03-30,89255
