date_obj,Zamorak%20robe%20legs price
2015-03-26,86306
2015-03-27,86306
2015-03-28,83849
2015-03-29,81760
2015-03-30,79332
2015-03-31,77490
2015-04-01,77313
2015-04-02,76970
2015-04-03,77720
2015-04-04,78956
2015-04-05,78703
2015-04-06,77816
2015-04-07,77594
2015-04-08,78308
2015-04-09,81266
2015-04-10,81719
2015-04-11,82449
2015-04-12,85520
2015-04-13,87096
2015-04-14,90173
2015-04-15,93080
2015-04-16,94649
2015-04-17,94653
2015-04-18,94110
2015-04-19,93028
2015-04-20,93028
2015-04-21,93046
2015-04-22,93325
2015-04-23,93998
2015-04-24,95448
2015-04-25,96451
2015-04-26,95088
2015-04-27,96403
2015-04-28,97639
2015-04-29,97639
2015-04-30,100130
2015-05-01,102225
2015-05-02,104547
2015-05-03,104547
2015-05-04,106241
2015-05-05,105648
2015-05-06,105847
2015-05-07,103990
2015-05-08,102671
2015-05-09,103356
2015-05-10,104108
2015-05-11,104108
2015-05-12,105259
2015-05-13,105050
2015-05-14,105489
2015-05-15,106231
2015-05-16,106915
2015-05-17,108787
2015-05-18,110948
2015-05-19,111698
2015-05-20,111698
2015-05-21,112735
2015-05-22,114223
2015-05-23,114407
2015-05-24,115639
2015-05-25,116516
2015-05-26,117960
2015-05-27,121287
2015-05-28,126226
2015-05-29,131496
2015-05-30,136087
2015-05-31,142400
2015-06-01,146869
2015-06-02,146869
2015-06-03,150820
2015-06-04,153282
2015-06-05,155249
2015-06-06,158198
2015-06-07,161035
2015-06-08,164451
2015-06-09,168902
2015-06-10,169758
2015-06-11,169758
2015-06-12,167478
2015-06-13,172043
2015-06-14,177332
2015-06-15,181545
2015-06-16,185170
2015-06-17,184973
2015-06-18,184918
2015-06-19,187021
2015-06-20,183962
2015-06-21,180252
2015-06-22,175921
2015-06-23,173815
2015-06-24,170951
2015-06-25,170951
2015-06-26,169881
2015-06-27,169881
2015-06-28,164613
2015-06-29,157919
2015-06-30,152769
2015-07-01,150411
2015-07-02,150411
2015-07-03,148316
2015-07-04,146719
2015-07-05,146478
2015-07-06,143595
2015-07-07,141753
2015-07-08,141132
2015-07-09,141132
2015-07-10,140360
2015-07-11,139427
2015-07-12,139427
2015-07-13,138768
2015-07-14,138982
2015-07-15,141087
2015-07-16,141844
2015-07-17,140333
2015-07-18,142096
2015-07-19,143382
2015-07-20,147134
2015-07-21,147834
2015-07-22,150043
2015-07-23,150043
2015-07-24,151880
2015-07-25,155283
2015-07-26,156584
2015-07-27,157783
2015-07-28,161359
2015-07-29,167991
2015-07-30,167991
2015-07-31,172363
2015-08-01,174904
2015-08-02,173689
2015-08-03,172185
2015-08-04,171707
2015-08-05,169430
2015-08-06,168534
2015-08-07,167448
2015-08-08,164664
2015-08-09,158009
2015-08-10,157622
2015-08-11,157239
2015-08-12,157239
2015-08-13,162226
2015-08-14,168145
2015-08-15,168145
2015-08-16,170916
2015-08-17,172297
2015-08-18,176827
2015-08-19,180388
2015-08-20,180564
2015-08-21,178640
2015-08-22,180285
2015-08-23,178097
2015-08-24,178315
2015-08-25,178315
2015-08-26,184506
2015-08-27,190065
2015-08-28,193812
2015-08-29,196363
2015-08-30,196363
2015-08-31,197304
2015-09-01,196786
2015-09-02,196786
2015-09-03,198764
2015-09-04,203037
2015-09-05,203037
2015-09-06,208987
2015-09-07,216128
2015-09-08,218480
2015-09-09,221241
2015-09-10,222021
2015-09-11,224057
2015-09-12,229085
2015-09-13,232679
2015-09-14,229436
2015-09-15,221293
2015-09-16,221293
2015-09-17,210836
2015-09-18,210836
2015-09-19,200294
2015-09-20,193625
2015-09-21,190068
2015-09-22,184982
2015-09-23,185850
2015-09-24,185850
2015-09-25,182847
2015-09-27,186800
2015-09-28,187869
2015-09-29,187608
2015-09-30,189763
2015-10-05,186407
2015-10-06,185085
2015-10-07,184305
2015-10-08,185054
2015-10-09,184944
2015-10-10,184944
2015-10-11,184140
2015-10-12,184346
2015-10-13,184346
2015-10-14,184667
2015-10-15,185366
2015-10-16,185525
2015-10-17,185525
2015-10-18,186423
2015-10-19,185823
2015-10-20,184815
2015-10-22,181117
2015-10-23,182151
2015-10-24,182618
2015-10-25,182216
2015-10-26,179187
2015-10-27,179187
2015-10-29,180187
2015-10-30,180187
2015-10-31,179639
2015-11-01,179639
2015-11-02,179848
2015-11-03,180864
2015-11-05,183803
2015-11-06,183803
2015-11-07,185356
2015-11-08,185356
2015-11-09,187943
2015-11-10,185228
2015-11-11,185143
2015-11-12,186932
2015-11-13,186932
2015-11-14,189769
2015-11-15,193376
2015-11-16,193436
2015-11-17,195550
2015-11-18,200565
2015-11-19,204229
2015-11-20,207751
2015-11-21,207751
2015-11-22,214129
2015-11-23,214129
2015-11-24,221892
2015-11-25,227099
2015-11-26,227099
2015-11-27,226166
2015-11-28,225392
2015-11-29,223167
2015-11-30,220015
2015-12-01,220015
2015-12-02,216419
2015-12-03,211547
2015-12-04,211547
2015-12-05,208458
2015-12-06,202617
2015-12-07,195333
2015-12-08,194525
2015-12-09,196899
2015-12-10,192139
2015-12-11,192391
2015-12-13,187428
2015-12-14,187428
2015-12-15,185038
2015-12-16,185606
2015-12-17,185606
2015-12-18,189778
2015-12-19,189778
2015-12-20,193718
2015-12-21,196229
2015-12-22,193904
2015-12-23,192333
2015-12-24,191853
2015-12-25,191671
2015-12-26,190695
