date_obj,Purple%20robe%20bottoms price
2015-03-04,7400
2015-03-05,7400
2015-03-06,7400
2015-03-07,7400
2015-03-08,7400
2015-03-09,7400
2015-03-10,7400
2015-03-11,7400
2015-03-12,7400
2015-03-13,7400
2015-03-14,7400
2015-03-15,7400
2015-03-16,7400
2015-03-17,7400
2015-03-18,7191
2015-03-19,7191
2015-03-20,7191
2015-03-21,7191
2015-03-22,7191
2015-03-23,7191
2015-03-24,7191
2015-03-25,7191
2015-03-26,7191
2015-03-27,7191
2015-03-28,7191
2015-03-29,7191
2015-03-30,7191
2015-03-31,7191
2015-04-01,7191
2015-04-02,7191
2015-04-03,7191
2015-04-04,7191
2015-04-05,7191
2015-04-06,7191
2015-04-07,7191
2015-04-08,7191
2015-04-09,7191
2015-04-10,7191
2015-04-11,6946
2015-04-12,6946
2015-04-13,6946
2015-04-14,6946
2015-04-15,6946
2015-04-16,6946
2015-04-17,6946
2015-04-18,6946
2015-04-19,6946
2015-04-20,6946
2015-04-21,6946
2015-04-22,6946
2015-04-23,6946
2015-04-24,6946
2015-04-25,6946
2015-04-26,6946
2015-04-27,6946
2015-04-28,6946
2015-04-29,6946
2015-04-30,6946
2015-05-01,6946
2015-05-02,6946
2015-05-03,6946
2015-05-04,6946
2015-05-05,6946
2015-05-06,6675
2015-05-07,6675
2015-05-08,6675
2015-05-09,6675
2015-05-10,6675
2015-05-11,6675
2015-05-12,6675
2015-05-13,6675
2015-05-14,6675
2015-05-15,6675
2015-05-16,6675
2015-05-17,6675
2015-05-18,6675
2015-05-19,6675
2015-05-20,6675
2015-05-21,6675
2015-05-22,6675
2015-05-23,6675
2015-05-24,6675
2015-05-25,6675
2015-05-26,6675
2015-05-27,6675
2015-05-28,6486
2015-05-29,6486
2015-05-30,6486
2015-05-31,6486
2015-06-01,6486
2015-06-02,6486
2015-06-03,6486
2015-06-04,6486
2015-06-05,6486
2015-06-06,6486
2015-06-07,6486
2015-06-08,6486
2015-06-09,6486
2015-06-10,6486
2015-06-11,6486
2015-06-12,6486
2015-06-13,6486
2015-06-14,6486
2015-06-15,6486
2015-06-16,6486
2015-06-17,6214
2015-06-18,6214
2015-06-19,6214
2015-06-20,6214
2015-06-21,6214
2015-06-22,6214
2015-06-23,6214
2015-06-24,6214
2015-06-25,6214
2015-06-26,6214
2015-06-27,6214
2015-06-28,6214
2015-06-29,6214
2015-06-30,6214
2015-07-01,6214
2015-07-02,6214
2015-07-03,6214
2015-07-04,6214
2015-07-05,6214
2015-07-06,5970
2015-07-07,5970
2015-07-08,5970
2015-07-09,5970
2015-07-10,5970
2015-07-11,5970
2015-07-12,5970
2015-07-13,5970
2015-07-14,5970
2015-07-15,5970
2015-07-16,5970
2015-07-17,5970
2015-07-18,5970
2015-07-19,5970
2015-07-20,5970
2015-07-21,5970
2015-07-22,5970
2015-07-23,5970
2015-07-24,5734
2015-07-25,5734
2015-07-26,5734
2015-07-27,5734
2015-07-28,5734
2015-07-29,5734
2015-07-30,5734
2015-07-31,5734
2015-08-01,5734
2015-08-02,5734
2015-08-03,5734
2015-08-04,5734
2015-08-05,5734
2015-08-06,5734
2015-08-07,5734
2015-08-08,5734
2015-08-09,5734
2015-08-10,5479
2015-08-11,5479
2015-08-12,5479
2015-08-13,5479
2015-08-14,5479
2015-08-15,5479
2015-08-16,5479
2015-08-17,5479
2015-08-18,5479
2015-08-19,5479
2015-08-20,5479
2015-08-21,5479
2015-08-22,5479
2015-08-23,5479
2015-08-24,5479
2015-08-25,5479
2015-08-26,5211
2015-08-27,5211
2015-08-28,5211
2015-08-29,5211
2015-08-30,5211
2015-08-31,5211
2015-09-02,5211
2015-09-07,5211
2015-09-08,5211
2015-09-10,5211
2015-09-14,4956
2015-09-16,4956
2015-09-22,4956
2015-09-23,4956
2015-09-24,4956
2015-09-25,4956
2015-09-27,4956
2015-09-28,4956
2015-09-29,4956
2015-09-30,4956
2015-10-05,4720
2015-10-06,4720
2015-10-07,4720
2015-10-08,4720
2015-10-09,4720
2015-10-10,4720
2015-10-11,4720
2015-10-12,4720
2015-10-13,4720
2015-10-14,4720
2015-10-15,4720
2015-10-16,4720
2015-10-17,4720
2015-10-18,4720
2015-10-19,4720
2015-10-20,4720
2015-10-22,4720
2015-10-23,4720
2015-10-24,4720
2015-10-25,4720
2015-10-26,4496
2015-10-27,4496
2015-10-29,4496
2015-10-30,4496
2015-10-31,4496
2015-11-01,4496
2015-11-02,4496
2015-11-03,4496
2015-11-04,4496
2015-11-05,4496
2015-11-06,4496
2015-11-07,4496
2015-11-08,4496
2015-11-09,4496
2015-11-10,4496
2015-11-11,4496
2015-11-12,4496
2015-11-13,4496
2015-11-14,4496
2015-11-15,4496
2015-11-16,4496
2015-11-17,4496
2015-11-18,4284
2015-11-19,4284
2015-11-20,4284
2015-11-21,4284
2015-11-22,4284
2015-11-23,4284
2015-11-24,4284
2015-11-25,4284
2015-11-26,4284
2015-11-27,4284
2015-11-28,4284
2015-11-29,4284
2015-11-30,4284
2015-12-01,4284
2015-12-02,4284
2015-12-03,4284
2015-12-04,4284
2015-12-05,4284
2015-12-06,4284
2015-12-07,4284
2015-12-08,4284
2015-12-09,4284
2015-12-10,4094
2015-12-11,4094
2015-12-12,4094
2015-12-13,4094
