date_obj,Neitiznot%20shield price
2015-03-05,45803
2015-03-06,45803
2015-03-07,45803
2015-03-08,43541
2015-03-09,43541
2015-03-10,43541
2015-03-11,43541
2015-03-12,43541
2015-03-13,43541
2015-03-14,41416
2015-03-15,41416
2015-03-16,41416
2015-03-17,41416
2015-03-18,41416
2015-03-19,41416
2015-03-20,39384
2015-03-21,39384
2015-03-22,39384
2015-03-23,39384
2015-03-24,37463
2015-03-25,37463
2015-03-26,37463
2015-03-27,37463
2015-03-28,37463
2015-03-29,35630
2015-03-30,35630
2015-03-31,35630
2015-04-01,35630
2015-04-02,35630
2015-04-03,33908
2015-04-04,33908
2015-04-05,33908
2015-04-06,33908
2015-04-07,32238
2015-04-08,32238
2015-04-09,32238
2015-04-10,32238
2015-04-11,30670
2015-04-12,30670
2015-04-13,30670
2015-04-14,30670
2015-04-15,29153
2015-04-16,29153
2015-04-17,29153
2015-04-18,29153
2015-04-19,27734
2015-04-20,27734
2015-04-21,27734
2015-04-22,27734
2015-04-23,27734
2015-04-24,26366
2015-04-25,26366
2015-04-26,26366
2015-04-27,26366
2015-04-28,25047
2015-04-29,25047
2015-04-30,25047
2015-05-01,25047
2015-05-02,23794
2015-05-03,23794
2015-05-04,23794
2015-05-05,23794
2015-05-06,22621
2015-05-07,22621
2015-05-08,22621
2015-05-09,21516
2015-05-10,21516
2015-05-11,21516
2015-05-12,21516
2015-05-13,20466
2015-05-14,20466
2015-05-15,20466
2015-05-16,20466
2015-05-17,19442
2015-05-18,19442
2015-05-19,19442
2015-05-20,19442
2015-05-21,18484
2015-05-22,18484
2015-05-23,18484
2015-05-24,18484
2015-05-25,17559
2015-05-26,17559
2015-05-27,17559
2015-05-28,16681
2015-05-29,16681
2015-05-30,15846
2015-05-31,15846
2015-06-01,15063
2015-06-02,15063
2015-06-03,15063
2015-06-04,14328
2015-06-05,14328
2015-06-06,13654
2015-06-07,13654
2015-06-08,13654
2015-06-09,12971
2015-06-10,12971
2015-06-11,12971
2015-06-12,12338
2015-06-13,12338
2015-06-14,11734
2015-06-15,11734
2015-06-16,11734
2015-06-17,11160
2015-06-18,11160
2015-06-19,11160
2015-06-20,10602
2015-06-21,10602
2015-06-22,10602
2015-06-23,10089
2015-06-24,10089
2015-06-25,10089
2015-06-26,9620
2015-06-27,9620
2015-06-28,9620
2015-06-29,9330
2015-06-30,9330
2015-07-01,9330
2015-07-02,9330
2015-07-03,8875
2015-07-04,8875
2015-07-05,8875
2015-07-06,8447
2015-07-07,8447
2015-07-08,8447
2015-07-09,8032
2015-07-10,8032
2015-07-11,8032
2015-07-12,7639
2015-07-13,7639
2015-07-14,7639
2015-07-15,7257
2015-07-16,7257
2015-07-17,7257
2015-07-18,6907
2015-07-19,6907
2015-07-20,6907
2015-07-21,6561
2015-07-22,6561
2015-07-23,6561
2015-07-24,6232
2015-07-25,6232
2015-07-26,6232
2015-07-27,5925
2015-07-28,5925
2015-07-29,5925
2015-07-30,5628
2015-07-31,5628
2015-08-01,5628
2015-08-02,5346
2015-08-03,5346
2015-08-04,5346
2015-08-05,5078
2015-08-06,5078
2015-08-07,5078
2015-08-08,4824
2015-08-09,4824
2015-08-10,4824
2015-08-11,4582
2015-08-12,4582
2015-08-13,4582
2015-08-14,4356
2015-08-15,4356
2015-08-16,4356
2015-08-17,4154
2015-08-18,4154
2015-08-19,4154
2015-08-20,3960
2015-08-21,3960
2015-08-22,3960
2015-08-23,3769
2015-08-24,3769
2015-08-25,3769
2015-08-26,3589
2015-08-27,3589
2015-08-28,3589
2015-08-29,3409
2015-08-30,3409
2015-08-31,3409
2015-09-01,3247
2015-09-02,3247
2015-09-07,3094
2015-09-08,2939
2015-09-10,2939
2015-09-14,2657
2015-09-16,2657
2015-09-22,2408
2015-09-23,2394
2015-09-24,2394
2015-09-25,2394
2015-09-27,2413
2015-09-28,2413
2015-09-29,2413
2015-09-30,2454
2015-10-05,2478
2015-10-06,2478
2015-10-07,2523
2015-10-08,2523
2015-10-09,2523
2015-10-10,2560
2015-10-11,2560
2015-10-12,2560
2015-10-13,2537
2015-10-14,2537
2015-10-15,2537
2015-10-16,2410
2015-10-17,2410
2015-10-18,2410
2015-10-19,2410
2015-10-20,2332
2015-10-22,2332
2015-10-23,2285
2015-10-24,2285
2015-10-25,2285
2015-10-26,2334
2015-10-27,2334
2015-10-29,2334
2015-10-30,2374
2015-10-31,2374
2015-11-01,2374
2015-11-02,2340
2015-11-03,2340
2015-11-04,2340
2015-11-05,2340
2015-11-06,2322
2015-11-07,2322
2015-11-08,2322
2015-11-09,2322
2015-11-10,2411
2015-11-11,2411
2015-11-12,2411
2015-11-13,2411
2015-11-14,2484
2015-11-15,2484
2015-11-16,2484
2015-11-17,2484
2015-11-18,2398
2015-11-19,2398
2015-11-20,2398
2015-11-21,2398
2015-11-22,2278
2015-11-23,2278
2015-11-24,2278
2015-11-25,2175
2015-11-26,2175
2015-11-27,2175
2015-11-28,2095
2015-11-29,2095
2015-11-30,2095
2015-12-01,2028
2015-12-02,2028
2015-12-03,2028
2015-12-04,2044
2015-12-05,2044
2015-12-06,2044
2015-12-07,2070
2015-12-08,2070
2015-12-09,2070
2015-12-10,2087
2015-12-11,2087
2015-12-12,2087
2015-12-13,2110
2015-12-14,2110
2015-12-15,2110
2015-12-16,2104
2015-12-17,2104
2015-12-18,2104
2015-12-19,2126
2015-12-20,2126
2015-12-21,2126
2015-12-22,2164
2015-12-23,2164
2015-12-24,2164
2015-12-25,2164
2015-12-26,2164
2015-12-27,2184
2015-12-28,2184
2015-12-29,2217
2015-12-30,2217
2015-12-31,2217
2016-01-01,2231
2016-01-02,2231
2016-01-03,2231
2016-01-04,2289
2016-01-05,2289
2016-01-06,2289
2016-01-07,2304
2016-01-08,2304
2016-01-09,2304
2016-01-10,2286
2016-01-11,2286
2016-01-12,2381
2016-01-13,2381
2016-01-14,2431
2016-01-15,2431
2016-01-16,2431
2016-01-17,2394
2016-01-18,2394
2016-01-19,2394
2016-01-20,2480
2016-01-21,2480
2016-01-22,2480
2016-01-23,2508
2016-01-24,2508
2016-01-25,2503
2016-01-26,2503
2016-01-27,2503
2016-01-28,2410
2016-01-29,2410
2016-01-30,2410
2016-01-31,2379
2016-02-01,2379
2016-02-02,2379
2016-02-03,2266
2016-02-04,2266
2016-02-05,2266
