date_obj,Mithril%20plateskirt%20(g) price
2015-03-26,12206
2015-03-27,12206
2015-03-28,11629
2015-03-29,11125
2015-03-30,10646
2015-03-31,10218
2015-04-01,10218
2015-04-02,9771
2015-04-03,9351
2015-04-04,8940
2015-04-05,8940
2015-04-06,8556
2015-04-07,8556
2015-04-08,8172
2015-04-09,8172
2015-04-10,7810
2015-04-11,7810
2015-04-12,7464
2015-04-13,7464
2015-04-14,7118
2015-04-15,7118
2015-04-16,6781
2015-04-17,6781
2015-04-18,6441
2015-04-19,6441
2015-04-20,6141
2015-04-21,6141
2015-04-22,5864
2015-04-23,5585
2015-04-24,5585
2015-04-25,5329
2015-04-26,5329
2015-04-27,5084
2015-04-28,4867
2015-04-29,4867
2015-04-30,4648
2015-05-01,4441
2015-05-02,4230
2015-05-03,4230
2015-05-04,4041
2015-05-05,4041
2015-05-06,3838
2015-05-07,3838
2015-05-08,3660
2015-05-09,3660
2015-05-10,3502
2015-05-11,3502
2015-05-12,3335
2015-05-13,3335
2015-05-14,3246
2015-05-15,3246
2015-05-16,3195
2015-05-17,3103
2015-05-18,3103
2015-05-19,3006
2015-05-20,3006
2015-05-21,3006
2015-05-22,2912
2015-05-23,2912
2015-05-24,2882
2015-05-25,2882
2015-05-26,2773
2015-05-27,2773
2015-05-28,2773
2015-05-29,2690
2015-05-30,2618
2015-05-31,2618
2015-06-01,2521
2015-06-02,2521
2015-06-03,2521
2015-06-04,2495
2015-06-05,2495
2015-06-06,2424
2015-06-07,2424
2015-06-08,2424
2015-06-09,2392
2015-06-10,2392
2015-06-11,2392
2015-06-12,2412
2015-06-13,2412
2015-06-14,2412
2015-06-15,2512
2015-06-16,2512
2015-06-17,2512
2015-06-18,2535
2015-06-19,2535
2015-06-20,2535
2015-06-21,2535
2015-06-22,2530
2015-06-23,2530
2015-06-24,2530
2015-06-25,2530
2015-06-26,2597
2015-06-27,2597
2015-06-28,2597
2015-06-29,2647
2015-06-30,2647
2015-07-01,2647
2015-07-02,2647
2015-07-03,2625
2015-07-04,2625
2015-07-05,2625
2015-07-06,2625
2015-07-07,2580
2015-07-08,2580
2015-07-09,2580
2015-07-10,2488
2015-07-11,2488
2015-07-12,2488
2015-07-13,2448
2015-07-14,2448
2015-07-15,2448
2015-07-16,2345
2015-07-17,2345
2015-07-18,2297
2015-07-19,2297
2015-07-20,2202
2015-07-21,2202
2015-07-22,2202
2015-07-23,2148
2015-07-24,2148
2015-07-25,2215
2015-07-26,2215
2015-07-27,2215
2015-07-28,2184
2015-07-29,2184
2015-07-30,2099
2015-07-31,2099
2015-08-01,2099
2015-08-02,2012
2015-08-03,2012
2015-08-04,2012
2015-08-05,1931
2015-08-06,1931
2015-08-07,1931
2015-08-08,1842
2015-08-09,1842
2015-08-10,1761
2015-08-11,1761
2015-08-12,1761
2015-08-13,1678
2015-08-14,1678
2015-08-15,1604
2015-08-16,1604
2015-08-17,1527
