date_obj,Adamant%20med%20helm price
2015-03-26,2118
2015-03-27,2118
2015-03-28,2012
2015-03-29,1911
2015-03-30,1815
2015-03-31,1724
2015-04-01,1640
2015-04-02,1558
2015-04-03,1480
2015-04-04,1406
2015-04-05,1340
2015-04-06,1273
2015-04-07,1209
2015-04-08,1209
2015-04-09,1148
2015-04-10,1095
2015-04-11,1047
2015-04-12,997
2015-04-13,952
2015-04-14,917
2015-04-15,909
2015-04-16,909
2015-04-17,915
2015-04-18,920
2015-04-19,927
2015-04-20,927
2015-04-21,916
2015-04-22,916
2015-04-23,916
2015-04-24,903
2015-04-25,913
2015-04-26,908
2015-04-27,915
2015-04-28,918
2015-04-29,918
2015-04-30,921
2015-05-01,913
2015-05-02,922
2015-05-03,922
2015-05-04,912
2015-05-05,926
2015-05-06,936
2015-05-07,943
2015-05-08,941
2015-05-09,924
2015-05-10,909
2015-05-11,909
2015-05-12,928
2015-05-13,937
2015-05-14,933
2015-05-15,933
2015-05-16,933
2015-05-17,920
2015-05-18,934
2015-05-19,949
2015-05-20,949
2015-05-21,976
2015-05-22,979
2015-05-23,947
2015-05-24,909
2015-05-25,915
2015-05-26,928
2015-05-27,928
2015-05-28,941
2015-05-29,954
2015-05-30,953
2015-05-31,954
2015-06-01,936
2015-06-02,936
2015-06-03,943
2015-06-04,952
2015-06-05,970
2015-06-06,959
2015-06-07,962
2015-06-08,982
2015-06-09,980
2015-06-10,970
2015-06-11,960
2015-06-12,954
2015-06-13,953
2015-06-14,966
2015-06-15,969
2015-06-16,968
2015-06-17,977
2015-06-18,973
2015-06-19,958
2015-06-20,985
2015-06-21,986
2015-06-22,979
2015-06-23,984
2015-06-24,985
2015-06-25,985
2015-06-26,990
2015-06-27,990
2015-06-28,980
2015-06-29,967
2015-06-30,976
2015-07-01,962
2015-07-02,962
2015-07-03,976
2015-07-04,984
2015-07-05,947
2015-07-06,964
2015-07-07,945
2015-07-08,966
2015-07-09,966
2015-07-10,962
2015-07-11,927
2015-07-12,959
2015-07-13,997
2015-07-14,974
2015-07-15,958
2015-07-16,967
2015-07-17,946
2015-07-18,961
2015-07-19,934
2015-07-20,930
2015-07-21,940
2015-07-22,949
2015-07-23,949
2015-07-24,950
2015-07-25,950
2015-07-26,965
2015-07-27,953
2015-07-28,937
2015-07-29,931
2015-07-30,931
2015-07-31,932
2015-08-01,971
2015-08-02,981
2015-08-03,967
2015-08-04,952
2015-08-05,950
2015-08-06,946
2015-08-07,943
2015-08-08,940
2015-08-09,944
2015-08-10,946
2015-08-11,944
2015-08-12,944
2015-08-13,939
2015-08-14,930
2015-08-15,944
2015-08-16,925
2015-08-17,922
2015-08-18,937
2015-08-19,943
2015-08-20,938
2015-08-21,945
2015-08-22,969
2015-08-23,948
2015-08-24,973
2015-08-25,973
2015-08-26,984
2015-08-27,976
2015-08-28,991
2015-08-29,990
2015-08-30,987
2015-08-31,980
2015-09-01,970
2015-09-02,970
2015-09-03,967
2015-09-04,971
2015-09-05,971
2015-09-06,963
2015-09-07,960
2015-09-08,932
2015-09-09,938
2015-09-10,948
2015-09-11,960
2015-09-12,961
2015-09-13,959
2015-09-14,957
2015-09-15,944
2015-09-16,944
2015-09-17,965
2015-09-18,965
2015-09-19,987
2015-09-20,986
2015-09-21,991
2015-09-22,986
2015-09-23,982
2015-09-24,982
2015-09-25,988
2015-09-27,992
2015-09-28,1000
2015-09-29,997
2015-09-30,999
2015-10-05,973
