date_obj,Mist%20battlestaff price
2016-09-14,4750000
2016-09-15,4750000
2016-09-16,4750000
2016-09-17,4601998
2016-09-18,4601998
2016-09-19,4601998
2016-09-20,4375005
2016-09-21,4375005
2016-09-22,4158592
2016-09-23,4158592
2016-09-24,4158592
2016-09-25,3953130
2016-09-26,3953130
2016-09-27,3953130
2016-09-28,3755473
2016-09-29,3755473
2016-09-30,3755473
2016-10-01,3567699
2016-10-02,3567699
2016-10-03,3567699
2016-10-04,3567699
2016-10-05,3389314
2016-10-06,3389314
2016-10-07,3389314
2016-10-08,3219848
2016-10-09,3219848
2016-10-10,3219848
2016-10-11,3061275
2016-10-12,3061275
2016-10-13,2914428
2016-10-14,2914428
2016-10-15,2771292
2016-10-16,2771292
2016-10-17,2635363
2016-10-18,2635363
2016-10-19,2635363
2016-10-20,2503594
2016-10-21,2503594
2016-10-22,2380597
2016-10-23,2380597
2016-10-24,2261567
2016-10-25,2261567
2016-10-26,2150155
2016-10-27,2150155
2016-10-28,2150155
2016-10-29,2042647
2016-10-30,2042647
2016-10-31,1944226
2016-11-01,1944226
2016-11-02,1851285
2016-11-03,1851285
2016-11-04,1760763
2016-11-05,1760763
2016-11-06,1673957
2016-11-07,1673957
2016-11-08,1592552
2016-11-09,1592552
2016-11-10,1515876
2016-11-11,1515876
2016-11-12,1442862
2016-11-13,1442862
2016-11-14,1372194
2016-12-07,788545
2016-12-08,750192
2016-12-09,750192
2016-12-10,713525
2016-12-11,713525
2016-12-12,677848
2016-12-13,677848
2016-12-14,643955
2016-12-15,643955
2016-12-16,643955
2016-12-17,611757
2016-12-18,611757
2016-12-19,581805
2016-12-20,581805
2016-12-21,552714
2016-12-22,552714
2016-12-23,525515
2016-12-24,525515
2016-12-25,499239
2016-12-26,499239
2016-12-27,474277
2016-12-28,474277
2016-12-29,450563
2016-12-30,450563
2016-12-31,428034
2017-01-01,428034
2017-01-02,406632
2017-01-03,406632
2017-01-04,386300
2017-01-05,386300
2017-01-06,366985
2017-01-07,349075
2017-01-08,349075
2017-01-09,331621
2017-01-10,331621
2017-01-11,315039
2017-01-12,299809
2017-01-13,299809
2017-01-14,284818
2017-01-15,271095
2017-01-16,271095
2017-01-17,257540
2017-01-18,257540
2017-01-19,244663
2017-01-20,244663
2017-01-21,232429
2017-01-22,232429
2017-01-27,203743
2017-01-28,194633
2017-01-29,194633
2017-01-30,187774
2017-01-31,187774
2017-02-01,179625
2017-02-02,179625
2017-02-03,176979
2017-02-04,175411
2017-02-05,175411
2017-02-06,173768
2017-02-07,173768
2017-02-08,170212
2017-02-09,170212
2017-02-10,164957
2017-02-11,157834
2017-02-12,157834
2017-02-13,156973
2017-02-14,153513
2017-02-15,153513
2017-02-16,149069
2017-02-18,143178
2017-02-19,139814
2017-02-20,139814
2017-02-21,138205
2017-02-22,138205
2017-02-23,137998
2017-02-24,137998
2017-02-25,136465
2017-02-26,136465
2017-02-27,133153
2017-02-28,129592
2017-03-01,129592
2017-03-02,124082
2017-03-03,124082
2017-03-04,121585
2017-03-05,121585
2017-03-06,116977
2017-03-07,116977
2017-03-08,112787
2017-03-09,112787
2017-03-10,108309
2017-03-11,103929
2017-03-12,103929
2017-03-13,104932
2017-03-14,102176
2017-03-15,102176
2017-03-16,100542
2017-03-17,100542
2017-03-18,102759
2017-03-19,107336
2017-03-20,111986
2017-03-21,115547
2017-03-22,115547
2017-03-23,121325
2017-03-24,126454
2017-03-25,126454
2017-03-26,131613
2017-03-27,131613
