date_obj,Sapphire price
2015-03-26,447
2015-03-27,447
2015-03-28,463
2015-03-29,475
2015-03-30,465
2015-03-31,471
2015-04-01,467
2015-04-02,468
2015-04-03,469
2015-04-04,470
2015-04-05,470
2015-04-06,471
2015-04-07,462
2015-04-08,466
2015-04-09,470
2015-04-10,473
2015-04-11,467
2015-04-12,462
2015-04-13,462
2015-04-14,459
2015-04-15,454
2015-04-16,433
2015-04-17,415
2015-04-18,420
2015-04-19,418
2015-04-20,420
2015-04-21,415
2015-04-22,408
2015-04-23,403
2015-04-24,397
2015-04-25,390
2015-04-26,383
2015-04-27,377
2015-04-28,362
2015-04-29,362
2015-04-30,362
2015-05-01,364
2015-05-02,362
2015-05-03,355
2015-05-04,357
2015-05-05,366
2015-05-06,377
2015-05-07,390
2015-05-08,388
2015-05-09,382
2015-05-10,396
2015-05-11,409
2015-05-12,424
2015-05-13,438
2015-05-14,448
2015-05-15,465
2015-05-16,476
2015-05-17,486
2015-05-18,504
2015-05-19,511
2015-05-20,505
2015-05-21,508
2015-05-22,513
2015-05-23,512
2015-05-24,504
2015-05-25,496
2015-05-26,512
2015-05-27,524
2015-05-28,544
2015-05-29,561
2015-05-30,583
2015-05-31,610
2015-06-01,630
2015-06-02,657
2015-06-03,670
2015-06-04,688
2015-06-05,706
2015-06-06,739
2015-06-07,767
2015-06-08,801
2015-06-09,806
2015-06-10,803
2015-06-11,807
2015-06-12,818
2015-06-13,848
2015-06-14,891
2015-06-15,932
2015-06-16,977
2015-06-17,1012
2015-06-18,1048
2015-06-19,1099
2015-06-20,1130
2015-06-21,1141
2015-06-22,1164
2015-06-23,1131
2015-06-24,1081
2015-06-25,1067
2015-06-26,1054
2015-06-27,1011
2015-06-28,972
2015-06-29,1015
2015-06-30,1023
2015-07-01,1047
2015-07-02,1053
2015-07-03,1056
2015-07-04,1039
2015-07-05,1062
2015-07-06,1048
2015-07-07,1063
2015-07-08,1096
2015-07-09,1075
2015-07-10,1072
2015-07-11,1025
2015-07-12,1018
2015-07-13,1009
2015-07-14,978
2015-07-15,966
2015-07-16,951
2015-07-17,983
2015-07-18,1016
2015-07-19,1048
2015-07-20,1025
2015-07-21,1063
2015-07-22,1041
2015-07-23,1030
2015-07-24,1055
2015-07-25,1019
2015-07-26,1020
2015-07-27,1049
2015-07-28,1066
2015-07-29,1078
2015-07-30,1100
2015-07-31,1104
2015-08-01,1067
2015-08-02,1060
2015-08-03,1091
2015-08-04,1058
2015-08-05,1043
2015-08-06,1035
2015-08-07,1025
2015-08-08,982
2015-08-09,968
2015-08-10,967
2015-08-11,971
2015-08-12,983
2015-08-13,1019
2015-08-14,1053
2015-08-15,1049
2015-08-16,1006
2015-08-17,1033
2015-08-18,1064
2015-08-19,1053
2015-08-20,1085
2015-08-21,1110
2015-08-22,1107
2015-08-23,1138
2015-08-24,1175
2015-08-25,1175
2015-08-26,1211
2015-08-27,1244
2015-08-28,1224
2015-08-29,1230
2015-08-30,1217
2015-08-31,1199
2015-09-01,1174
2015-09-02,1174
2015-09-03,1118
2015-09-04,1117
2015-09-05,1117
2015-09-06,1126
2015-09-07,1090
2015-09-08,1060
2015-09-09,1052
2015-09-10,1040
2015-09-11,1023
2015-09-12,1042
2015-09-13,1034
2015-09-14,1012
2015-09-15,1001
2015-09-16,1001
2015-09-17,982
2015-09-18,961
2015-09-19,917
2015-09-20,895
2015-09-21,868
2015-09-22,880
2015-09-23,870
2015-09-24,870
2015-09-25,855
2015-09-27,841
2015-09-28,860
2015-09-29,855
2015-09-30,877
2015-10-05,906
2015-10-06,898
2015-10-07,881
2015-10-08,892
2015-10-09,912
2015-10-10,912
2015-10-11,891
2015-10-12,871
2015-10-13,871
2015-10-14,871
2015-10-15,880
2015-10-16,904
2015-10-17,904
2015-10-18,924
2015-10-19,917
2015-10-20,894
2015-10-22,878
2015-10-23,876
2015-10-24,885
2015-10-25,870
2015-10-26,855
2015-10-27,855
2015-10-29,872
2015-10-30,862
2015-10-31,852
2015-11-01,852
2015-11-02,843
2015-11-03,833
2015-11-04,822
2015-11-05,806
2015-11-06,806
2015-11-07,801
2015-11-08,801
2015-11-09,787
2015-11-10,776
2015-11-11,751
2015-11-12,767
2015-11-13,776
2015-11-14,806
2015-11-15,811
2015-11-16,832
2015-11-17,860
2015-11-18,880
2015-11-19,881
2015-11-20,884
2015-11-21,884
2015-11-22,905
2015-11-23,905
2015-11-24,934
2015-11-25,979
2015-11-26,979
2015-11-27,1026
2015-11-28,1070
2015-11-29,1124
2015-11-30,1180
2015-12-01,1215
2015-12-02,1254
2015-12-03,1313
2015-12-04,1313
2015-12-05,1379
2015-12-06,1438
2015-12-07,1474
2015-12-08,1528
2015-12-09,1577
2015-12-10,1635
2015-12-11,1717
