date_obj,Blue%20d'hide%20chaps%20(g) price
2015-03-26,14171
2015-03-27,14002
2015-03-28,14091
2015-03-29,14125
2015-03-30,14151
2015-03-31,14183
2015-04-01,14028
2015-04-02,13886
2015-04-03,13687
2015-04-04,13550
2015-04-05,13703
2015-04-06,13900
2015-04-07,13996
2015-04-08,13969
2015-04-09,13872
2015-04-10,13950
2015-04-11,14187
2015-04-12,14308
2015-04-13,14472
2015-04-14,14597
2015-04-15,14909
2015-04-16,15082
2015-04-17,15321
2015-04-18,15589
2015-04-19,15351
2015-04-20,15226
2015-04-21,15024
2015-04-22,14893
2015-04-23,14558
2015-04-24,14913
2015-04-25,14687
2015-04-26,14506
2015-04-27,14446
2015-04-28,14457
2015-04-29,13956
2015-04-30,13775
2015-05-01,13636
2015-05-02,13431
2015-05-03,13407
2015-05-04,13047
2015-05-05,13121
2015-05-06,13186
2015-05-07,13102
2015-05-08,12993
2015-05-09,13035
2015-05-10,13070
2015-05-11,12969
2015-05-12,13070
2015-05-13,13171
2015-05-14,13241
2015-05-15,13495
2015-05-16,13588
2015-05-17,13792
2015-05-18,13874
2015-05-19,14058
2015-05-20,14489
2015-05-21,14103
2015-05-22,13742
2015-05-23,13635
2015-05-24,13369
2015-05-25,13276
2015-05-26,13183
2015-05-27,13105
2015-05-28,12834
2015-05-29,12829
2015-05-30,12833
2015-05-31,12744
2015-06-01,12581
2015-06-02,12346
2015-06-03,12151
2015-06-04,12064
2015-06-05,11915
2015-06-06,11959
2015-06-07,12061
2015-06-08,12418
2015-06-09,12687
2015-06-10,12949
2015-06-11,12914
2015-06-12,13042
2015-06-13,13262
2015-06-14,13452
2015-06-15,13613
2015-06-16,13772
2015-06-17,13960
2015-06-18,14102
2015-06-19,14056
2015-06-20,13672
2015-06-21,13711
2015-06-22,13729
2015-06-23,13890
2015-06-24,13867
2015-06-25,14086
2015-06-26,14034
2015-06-27,13963
2015-06-28,13844
2015-06-29,13709
2015-06-30,13468
2015-07-01,13509
2015-07-02,13497
2015-07-03,13380
2015-07-04,13128
2015-07-05,12841
2015-07-06,12652
2015-07-07,12479
2015-07-08,12540
2015-07-09,12884
2015-07-10,13501
2015-07-11,13657
2015-07-12,13813
2015-07-13,13776
2015-07-14,14072
2015-07-15,14035
2015-07-16,13773
2015-07-17,13921
2015-07-18,14112
2015-07-19,14193
2015-07-20,14264
2015-07-21,14119
2015-07-22,13802
2015-07-23,13530
2015-07-24,13766
2015-07-25,13987
2015-07-26,13952
2015-07-27,13974
2015-07-28,14077
2015-07-29,13980
2015-07-30,13823
2015-07-31,13832
2015-08-01,13650
2015-08-02,13825
2015-08-03,14125
2015-08-04,14214
2015-08-05,14328
2015-08-06,14662
2015-08-07,14595
2015-08-08,14383
2015-08-09,14474
2015-08-10,14697
2015-08-11,14837
2015-08-12,15217
2015-08-13,15582
2015-08-14,16067
2015-08-15,16789
2015-08-16,17034
2015-08-17,17047
2015-08-18,17292
2015-08-19,17482
2015-08-20,17736
2015-08-21,17715
2015-08-22,17259
2015-08-23,17351
2015-08-24,17743
2015-08-25,18162
2015-08-26,18172
2015-08-27,18080
2015-08-28,17624
2015-08-29,17178
2015-08-30,17175
2015-08-31,17049
2015-09-01,16615
2015-09-02,16244
2015-09-03,16350
2015-09-04,16565
2015-09-05,16233
2015-09-06,15818
2015-09-07,15744
2015-09-08,15654
2015-09-09,15440
2015-09-10,14691
2015-09-11,14384
2015-09-12,13923
2015-09-13,13595
2015-09-14,13294
2015-09-15,13304
2015-09-16,13348
2015-09-17,13400
2015-09-18,13194
2015-09-19,13031
2015-09-20,12859
2015-09-21,12843
2015-09-22,12642
2015-09-23,12623
2015-09-24,12438
2015-09-25,12614
2015-09-27,12533
2015-09-28,12498
2015-09-29,12520
2015-09-30,12463
2015-10-05,11875
2015-10-06,11798
2015-10-07,11626
2015-10-08,11528
2015-10-09,11670
2015-10-10,11664
2015-10-11,11708
2015-10-12,11745
2015-10-13,11850
2015-10-14,11866
2015-10-15,11816
2015-10-16,11582
2015-10-17,11433
2015-10-18,11432
2015-10-19,11106
2015-10-20,10849
2015-10-22,10291
2015-10-23,10220
2015-10-24,10180
2015-10-25,10011
2015-10-26,10025
2015-10-27,9918
2015-10-29,9861
2015-10-30,9912
2015-10-31,9761
2015-11-01,9409
2015-11-02,9349
2015-11-03,9283
2015-11-04,9231
2015-11-05,9285
2015-11-06,9353
2015-11-07,9390
2015-11-08,9227
2015-11-09,9194
2015-11-10,9149
2015-11-11,9075
2015-11-12,9106
2015-11-13,9072
2015-11-14,9103
2015-11-15,8951
2015-11-16,9182
2015-11-17,9158
2015-11-18,9185
2015-11-19,9337
2015-11-20,9589
2015-11-21,9849
2015-11-22,10191
2015-11-23,10685
2015-11-24,11163
2015-11-25,11529
2015-11-26,11922
2015-11-27,12388
2015-11-28,12699
2015-11-29,12934
2015-11-30,12823
2015-12-01,12617
2015-12-02,12622
2015-12-03,12535
2015-12-04,12343
2015-12-05,12178
2015-12-06,11983
2015-12-07,11411
2015-12-08,11388
2015-12-09,11386
2015-12-10,11319
2015-12-11,11296
2015-12-12,11373
2015-12-13,11601
2015-12-14,11706
2015-12-15,11722
2015-12-16,11527
2015-12-17,11299
2015-12-18,11245
2015-12-19,11060
2015-12-20,11148
2015-12-21,11230
2015-12-22,11119
2015-12-23,10790
2015-12-24,10676
2015-12-25,10512
2015-12-26,10283
2015-12-27,10493
2015-12-28,10672
2015-12-29,10584
2015-12-30,10608
2015-12-31,10987
2016-01-01,11360
2016-01-02,11640
2016-01-03,11754
2016-01-04,11820
2016-01-05,12020
2016-01-06,11891
2016-01-07,11929
2016-01-08,12053
2016-01-09,11746
2016-01-10,11538
2016-01-11,11342
2016-01-12,11422
2016-01-13,11097
2016-01-14,11198
2016-01-15,11475
2016-01-16,11440
2016-01-17,11434
2016-01-18,11419
2016-01-19,11522
2016-01-20,11540
2016-01-21,11605
2016-01-22,11870
2016-01-23,11915
2016-01-24,11845
2016-01-25,12039
2016-01-26,12128
2016-01-27,12210
2016-01-28,12341
2016-01-29,12426
2016-01-30,12353
2016-01-31,12230
2016-02-01,12341
2016-02-02,12575
2016-02-03,12884
2016-02-04,13278
2016-02-05,13650
2016-02-06,13824
2016-02-07,13860
2016-02-08,13722
2016-02-09,13309
2016-02-10,12646
2016-02-11,12419
2016-02-12,12294
2016-02-13,12030
2016-02-14,11747
2016-02-15,11404
2016-02-16,11207
2016-02-17,10811
2016-02-18,10665
2016-02-19,10693
2016-02-20,10546
2016-02-21,10344
2016-02-22,10408
2016-02-23,10646
2016-02-24,10602
2016-02-25,10768
2016-02-26,11057
2016-02-27,11345
2016-02-28,11565
2016-02-29,11379
2016-03-01,11392
2016-03-02,11322
2016-03-03,11325
2016-03-04,11158
2016-03-05,11134
2016-03-06,11179
2016-03-07,10962
2016-03-08,11027
2016-03-09,11041
2016-03-10,11212
2016-03-11,11091
2016-03-12,11245
2016-03-13,10938
2016-03-14,10737
2016-03-15,10501
2016-03-16,10304
2016-03-17,10404
2016-03-18,10231
2016-03-19,10159
2016-03-20,10047
2016-03-21,9925
2016-03-22,9868
2016-03-23,9936
2016-03-24,9575
2016-03-25,9317
2016-03-26,9334
2016-03-27,9444
2016-03-28,9598
2016-03-29,9833
2016-03-30,9939
2016-03-31,10068
2016-04-01,10334
2016-04-02,10544
2016-04-03,10631
2016-04-04,10667
2016-04-05,10858
2016-04-06,10927
2016-04-07,10829
2016-04-08,10677
2016-04-09,10573
2016-04-10,10612
2016-04-11,10542
2016-04-12,10694
2016-04-13,10368
2016-04-14,10150
2016-04-15,10170
2016-04-16,10144
2016-04-17,10126
2016-04-18,9951
2016-04-19,9898
2016-04-20,9822
2016-04-21,9702
2016-04-22,9691
2016-04-23,9463
2016-04-24,9535
2016-04-25,9472
2016-04-26,9353
2016-04-27,9398
2016-04-28,9212
2016-04-29,9136
2016-04-30,9089
2016-05-01,9047
2016-05-02,9140
2016-05-03,9194
2016-05-04,9191
2016-05-05,9164
2016-05-06,8991
2016-05-07,8937
2016-05-08,8890
2016-05-09,8806
2016-05-10,8921
2016-05-11,8924
2016-05-12,8940
2016-05-13,9028
2016-05-14,9284
2016-05-15,9401
2016-05-16,9410
2016-05-17,9393
2016-05-18,9537
2016-05-19,9792
2016-05-22,10225
2016-05-23,10200
2016-05-24,10197
2016-05-25,10246
2016-05-26,10102
2016-05-27,10002
2016-05-28,9838
2016-05-29,9859
2016-05-30,9654
2016-05-31,9665
2016-06-01,9745
2016-06-02,9737
2016-06-03,9824
2016-06-04,9784
2016-06-05,9673
2016-06-06,9574
2016-06-07,9665
