date_obj,Armadyl%20godsword price
2015-03-26,61466391
2015-03-27,61466391
2015-03-28,61426096
2015-03-29,61426096
2015-03-30,62514512
2015-03-31,62514512
2015-04-01,64140588
2015-04-02,64140588
2015-04-03,65214119
2015-04-04,65214119
2015-04-05,66878025
2015-04-06,66878025
2015-04-07,69147153
2015-04-08,69147153
2015-04-09,69147153
2015-04-10,66655128
2015-04-11,66655128
2015-04-12,64682292
2015-04-13,64682292
2015-04-14,64008687
2015-04-15,64008687
2015-04-16,65043138
2015-04-17,65043138
2015-04-18,65337440
2015-04-19,65337440
2015-04-20,65242504
2015-04-21,65242504
2015-04-22,64807128
2015-04-23,63069731
2015-04-24,63069731
2015-04-25,62631617
2015-04-26,62631617
2015-04-27,61546782
2015-04-28,61546782
2015-04-29,62797342
2015-04-30,62797342
2015-05-01,63408778
2015-05-02,63408778
2015-05-03,63159174
2015-05-04,63159174
2015-05-05,62042415
2015-05-06,62042415
2015-05-07,59850695
2015-05-08,59850695
2015-05-09,60589880
2015-05-10,60589880
2015-05-11,60213240
2015-05-12,60213240
2015-05-13,59357924
2015-05-14,59357924
2015-05-15,58704782
2015-05-16,58704782
2015-05-17,57024461
2015-05-18,57024461
2015-05-19,54864928
2015-05-20,54864928
2015-05-21,54864928
2015-05-22,55233465
2015-05-23,55233465
2015-05-24,56478734
2015-05-25,56478734
2015-05-26,56049577
2015-05-27,56049577
2015-05-28,56181642
2015-05-29,56073185
2015-05-30,55703341
2015-05-31,55703341
2015-06-01,55756303
2015-06-02,55756303
2015-06-03,55227131
2015-06-04,54666695
2015-06-05,54355939
2015-06-06,54677987
2015-06-07,54833834
2015-06-08,54755861
2015-06-09,54616958
2015-06-10,53799189
2015-06-11,53799189
2015-06-12,52995006
2015-06-13,52670475
2015-06-14,52409596
2015-06-15,52486517
2015-06-16,52747121
2015-06-17,53250082
2015-06-18,53306829
2015-06-19,53202151
2015-06-20,53267679
2015-06-21,53267679
2015-06-22,53071792
2015-06-23,53167581
2015-06-24,52652901
2015-06-25,52652901
2015-06-26,51178232
2015-06-27,51178232
2015-06-28,51560725
2015-06-29,51382367
2015-06-30,51944123
2015-07-01,52869368
2015-07-02,52869368
2015-07-03,54660533
2015-07-04,54355958
2015-07-05,54592024
2015-07-06,54702989
2015-07-07,54828370
2015-07-08,55046252
2015-07-09,55046252
2015-07-10,55177170
2015-07-11,55151355
2015-07-12,54974042
2015-07-13,54567072
2015-07-14,53871514
2015-07-15,53664803
2015-07-16,53412178
2015-07-17,53650312
2015-07-18,53666860
2015-07-19,53486083
2015-07-20,53414348
2015-07-21,53583842
2015-07-22,53899461
2015-07-23,53899461
2015-07-24,54567945
2015-07-25,54927939
2015-07-26,54969019
2015-07-27,55150404
2015-07-28,55410164
2015-07-29,55464345
2015-07-30,55534216
2015-07-31,55613193
2015-08-01,55966573
2015-08-02,56361080
2015-08-03,56842620
2015-08-04,57133599
2015-08-05,57102706
2015-08-06,55934042
2015-08-07,54608948
2015-08-08,54654039
2015-08-09,54886394
2015-08-10,54811589
2015-08-11,54919717
2015-08-12,54919717
2015-08-13,54939006
2015-08-14,55200714
2015-08-15,55364952
2015-08-16,55557422
2015-08-17,55692868
2015-08-18,55525480
2015-08-19,55482223
2015-08-20,55211016
2015-08-21,55075396
2015-08-22,55481031
2015-08-23,55650194
2015-08-24,55639088
2015-08-25,55639088
2015-08-26,55431100
2015-08-27,53854486
2015-08-28,53581396
2015-08-29,53322696
2015-08-30,53185558
2015-08-31,53010913
2015-09-01,52688324
2015-09-02,52591729
2015-09-03,52624157
2015-09-04,53053967
2015-09-05,53605126
2015-09-06,53903300
2015-09-07,54295024
2015-09-08,54244647
2015-09-09,53912457
2015-09-10,53616781
2015-09-11,53735103
2015-09-12,54017273
2015-09-13,54241026
2015-09-14,54337311
2015-09-15,54148801
2015-09-16,53900115
2015-09-17,53513092
2015-09-18,53663587
2015-09-19,53692605
2015-09-20,53588719
2015-09-21,53688638
2015-09-22,53689378
2015-09-23,53403558
2015-09-24,52307252
2015-09-25,50326042
2015-09-27,51095174
2015-09-28,52200021
2015-09-29,52325638
2015-09-30,51422807
2015-10-05,49185729
2015-10-06,48817542
2015-10-07,47544267
2015-10-08,46703401
2015-10-09,47701872
2015-10-10,47701872
2015-10-11,48875795
2015-10-12,48440822
2015-10-13,48251574
2015-10-14,48136649
2015-10-15,48093518
2015-10-16,47890565
2015-10-17,47890565
2015-10-18,47833148
2015-10-19,47685252
2015-10-20,47530598
2015-10-22,47069454
2015-10-23,46866459
2015-10-24,47206312
2015-10-25,47538172
2015-10-26,47703650
2015-10-27,47824060
2015-10-28,48144320
2015-10-29,47906550
