date_obj,Armadyl%20mitre price
2015-03-26,124889
2015-03-27,124889
2015-03-28,123888
2015-03-29,121040
2015-03-30,119989
2015-03-31,119903
2015-04-01,122157
2015-04-02,125913
2015-04-03,123198
2015-04-04,122438
2015-04-05,122753
2015-04-06,121928
2015-04-07,121999
2015-04-08,120018
2015-04-09,117097
2015-04-10,116538
2015-04-11,114553
2015-04-12,111722
2015-04-13,108165
2015-04-14,105832
2015-04-15,101078
2015-04-16,97639
2015-04-17,94266
2015-04-18,90576
2015-04-19,88061
2015-04-20,88061
2015-04-21,84135
2015-04-22,84276
2015-04-23,83456
2015-04-24,83400
2015-04-25,82271
2015-04-26,81032
2015-04-27,79587
2015-04-28,80590
2015-04-29,80590
2015-04-30,83768
2015-05-01,84065
2015-05-02,84335
2015-05-03,84403
2015-05-04,84689
2015-05-05,85878
2015-05-06,89155
2015-05-07,92693
2015-05-08,95395
2015-05-09,98774
2015-05-10,102269
2015-05-11,106440
2015-05-12,111762
2015-05-13,117351
2015-05-14,121720
2015-05-15,122204
2015-05-16,123855
2015-05-17,123947
2015-05-18,126973
2015-05-19,130423
2015-05-20,131740
2015-05-21,130396
2015-05-22,129087
2015-05-23,126886
2015-05-24,125781
2015-05-25,119525
2015-05-26,113548
2015-05-27,108728
2015-05-28,104696
2015-05-29,102541
2015-05-30,99408
2015-05-31,96214
2015-06-01,93966
2015-06-02,93966
2015-06-03,91808
2015-06-04,89491
2015-06-05,88182
2015-06-06,86163
2015-06-07,81987
2015-06-08,78759
2015-06-09,75663
2015-06-10,72285
2015-06-11,69213
2015-06-12,68980
2015-06-13,67754
2015-06-14,66212
2015-06-15,65298
2015-06-16,63663
2015-06-17,64287
2015-06-18,62389
2015-06-19,61688
2015-06-20,59414
2015-06-21,59884
2015-06-22,58135
2015-06-23,56812
2015-06-24,55702
2015-06-25,57942
2015-06-26,59900
2015-06-27,59608
2015-06-28,62156
2015-06-29,64653
2015-06-30,67546
2015-07-01,70118
2015-07-02,70118
2015-07-03,71684
2015-07-04,73295
2015-07-05,73307
2015-07-06,72922
2015-07-07,69334
2015-07-08,67482
2015-07-09,67482
2015-07-10,66378
2015-07-11,67339
2015-07-12,68182
2015-07-13,67670
2015-07-14,69344
2015-07-15,69194
2015-07-16,69236
2015-07-17,66597
2015-07-18,66042
2015-07-19,65473
2015-07-20,64439
2015-07-21,63852
2015-07-22,63381
2015-07-23,63381
2015-07-24,62067
2015-07-25,62035
2015-07-26,61833
2015-07-27,62216
2015-07-28,63367
2015-07-29,65125
2015-07-30,66779
2015-07-31,68042
2015-08-01,69279
2015-08-02,70643
2015-08-03,71147
2015-08-04,72071
2015-08-05,71086
2015-08-06,70727
2015-08-07,68704
2015-08-08,68515
2015-08-09,67712
2015-08-10,64517
2015-08-11,62355
2015-08-12,62355
2015-08-13,60518
2015-08-14,59282
2015-08-15,59849
2015-08-16,59709
2015-08-17,59139
2015-08-18,59643
2015-08-19,60300
2015-08-20,61961
2015-08-21,62312
2015-08-22,63765
2015-08-23,65512
2015-08-24,67820
2015-08-25,67820
2015-08-26,68856
2015-08-27,68311
2015-08-28,68636
2015-08-29,69691
2015-08-30,70076
2015-08-31,69305
2015-09-01,68265
2015-09-02,68265
2015-09-03,67891
2015-09-04,67395
2015-09-05,67395
2015-09-06,66954
2015-09-07,66365
2015-09-08,65867
2015-09-09,64567
2015-09-10,63800
2015-09-11,62901
2015-09-12,62371
2015-09-13,61641
2015-09-14,62045
2015-09-15,62359
2015-09-16,62359
2015-09-17,61526
2015-09-18,61526
2015-09-19,60362
2015-09-20,59709
2015-09-21,59000
2015-09-22,59347
2015-09-23,59662
2015-09-24,60921
2015-09-25,62924
2015-09-27,65281
2015-09-28,66673
2015-09-29,68761
2015-09-30,69914
2015-10-05,66044
2015-10-06,64269
2015-10-07,64786
2015-10-08,64639
2015-10-09,63706
2015-10-10,63706
2015-10-11,62818
2015-10-12,62004
2015-10-13,62004
2015-10-14,61676
2015-10-15,61235
2015-10-16,60907
2015-10-17,60907
2015-10-18,60449
2015-10-19,59764
2015-10-20,59185
2015-10-22,58433
2015-10-23,58211
2015-10-24,58548
2015-10-25,57597
2015-10-26,57124
2015-10-27,54549
2015-10-28,54287
2015-10-29,56898
2015-10-30,58671
2015-10-31,58465
2015-11-01,58465
2015-11-02,56446
2015-11-03,55606
2015-11-04,55606
2015-11-05,54809
2015-11-06,54809
2015-11-07,52913
2015-11-08,52913
2015-11-09,50594
2015-11-10,50594
2015-11-11,49056
2015-11-12,49056
2015-11-13,46603
2015-11-14,44509
2015-11-15,42283
2015-11-16,42283
2015-11-17,40723
2015-11-18,40178
2015-11-19,39558
2015-11-20,38418
2015-11-21,38418
2015-11-22,38501
2015-11-23,38501
2015-11-24,39366
2015-11-25,41196
2015-11-26,41196
2015-11-27,42821
2015-11-28,44850
2015-11-29,46513
2015-11-30,46263
2015-12-01,45976
2015-12-02,45951
2015-12-03,46289
2015-12-04,46289
2015-12-05,46485
2015-12-06,47515
2015-12-07,47844
2015-12-08,47309
2015-12-09,46443
2015-12-10,46579
2015-12-11,45994
2015-12-12,45598
2015-12-13,46348
2015-12-14,48267
2015-12-15,48404
2015-12-16,50470
2015-12-17,52289
2015-12-18,53512
2015-12-19,54296
2015-12-20,55416
2015-12-21,57659
2015-12-22,59395
2015-12-23,61798
2015-12-24,63534
2015-12-25,65065
2015-12-26,65126
2015-12-27,66925
2015-12-28,68424
2015-12-29,70394
2015-12-30,70671
2015-12-31,72505
2016-01-01,73789
2016-01-02,70609
2016-01-03,68088
2016-01-04,68336
2016-01-05,71640
2016-01-06,73066
2016-01-07,74325
2016-01-08,74798
2016-01-09,71780
2016-01-10,70934
2016-01-11,68958
2016-01-12,68091
2016-01-13,65543
2016-01-14,65194
2016-01-15,64774
2016-01-16,63929
2016-01-17,65872
