date_obj,Boots%20of%20darkness price
2016-07-06,10000000
2016-07-07,10000000
2016-07-08,10000000
2016-07-09,10000000
2016-07-10,9515931
2016-07-11,9515931
2016-07-12,9515931
2016-07-13,9515931
2016-07-14,9042815
2016-07-15,9042815
2016-07-16,9042815
2016-07-18,8600852
2016-07-23,8600852
2016-07-24,8176001
2016-07-25,8176001
2016-07-26,8176001
2016-07-27,8176001
2016-07-28,8176001
2016-07-29,8176001
2016-07-30,7769325
2016-07-31,7769325
2016-08-01,7769325
2016-08-02,7769325
2016-08-03,7769325
2016-08-04,7769325
2016-08-05,7769325
2016-08-06,7380858
2016-08-07,7380858
2016-08-08,7380858
2016-08-09,7380858
2016-08-10,7380858
2016-08-11,7380858
2016-08-12,7380858
2016-08-13,7012646
2016-08-14,7012646
2016-08-15,7012646
2016-08-16,7012646
2016-08-17,7012646
2016-08-18,7012646
2016-08-19,6663778
2016-08-20,6663778
2016-08-21,6663778
2016-08-22,6663778
2016-08-23,6331538
2016-08-24,6331538
2016-08-25,6331538
2016-08-26,6331538
2016-08-28,6016954
2016-08-31,6016954
2016-09-01,6016954
2016-09-02,6016954
2016-09-03,5718494
2016-09-04,5718494
2016-09-05,5718494
2016-09-06,5718494
2016-09-07,5435671
2016-09-08,5435671
2016-09-09,5435671
2016-09-10,5435671
2016-09-11,5435671
2016-09-12,5167120
2016-09-13,5167120
2016-09-14,5167120
2016-09-15,5167120
2016-09-16,5167120
2016-09-17,5167120
2016-09-18,5167120
2016-09-19,4910674
2016-09-20,4910674
2016-09-21,4910674
2016-09-22,4910674
2016-09-23,4910674
2016-09-24,4910674
2016-09-25,4910674
2016-09-26,4910674
2016-09-27,4665872
2016-09-28,4665872
2016-09-29,4665872
2016-09-30,4665872
2016-10-01,4665872
2016-10-02,4665872
2016-10-03,4665872
2016-10-04,4433160
2016-10-05,4433160
2016-10-06,4433160
2016-10-07,4433160
2016-10-08,4433160
2016-10-09,4213698
2016-10-10,4213698
2016-10-11,4213698
2016-10-12,4213698
2016-10-13,4005037
2016-10-14,4005037
2016-10-15,4005037
2016-10-16,4005037
2016-10-17,4005037
2016-10-18,3805328
2016-10-19,3805328
2016-10-20,3805328
2016-10-21,3805328
2016-10-22,3805328
2016-10-23,3805328
2016-10-24,3616418
2016-10-25,3616418
2016-10-26,3616418
2016-10-27,3616418
2016-10-28,3616418
2016-10-29,3616418
2016-10-30,3437231
2016-10-31,3437231
2016-11-01,3437231
2016-11-02,3437231
2016-11-03,3437231
2016-11-04,3266659
2016-11-05,3266659
2016-11-06,3266659
2016-11-07,3266659
2016-11-08,3266659
2016-11-09,3104876
2016-11-10,3104876
2016-11-11,3104876
2016-11-12,3104876
2016-11-13,3104876
2016-11-14,3104876
2016-11-15,3104876
2016-12-07,2536761
2016-12-08,2536761
2016-12-09,2536761
2016-12-10,2536761
2016-12-11,2536761
2016-12-12,2536761
2016-12-13,2411796
2016-12-14,2411796
2016-12-15,2411796
2016-12-16,2411796
2016-12-17,2411796
2016-12-18,2292022
2016-12-19,2292022
2016-12-20,2292022
2016-12-21,2292022
2016-12-22,2292022
2016-12-23,2179736
