date_obj,Honourable%20blessing price
2016-07-06,968011
2016-07-07,919610
2016-07-08,873629
2016-07-09,829947
2016-07-10,788449
2016-07-11,749026
2016-07-12,711574
2016-07-13,675995
2016-07-14,642195
2016-07-15,610582
2016-07-16,580052
2016-07-17,551915
2016-07-18,524319
2016-07-23,408018
2016-07-24,387617
2016-07-25,368236
2016-07-26,350393
2016-07-27,333474
2016-07-28,317460
2016-07-29,301587
2016-07-30,287394
2016-07-31,274114
2016-08-01,261036
2016-08-02,247984
2016-08-03,235715
2016-08-04,224509
2016-08-05,213696
2016-08-06,203257
2016-08-07,193094
2016-08-08,183998
2016-08-09,174798
2016-08-10,166255
2016-08-11,158284
2016-08-12,150790
2016-08-13,143559
2016-08-14,136733
2016-08-15,129896
2016-08-16,123487
2016-08-17,117463
2016-08-18,111853
2016-08-19,106379
2016-08-20,101218
2016-08-21,96664
2016-08-22,91952
2016-08-23,87354
2016-08-24,83166
2016-08-25,79233
2016-08-26,79233
2016-08-28,71766
2016-08-31,64768
2016-09-01,61588
2016-09-02,61588
2016-09-03,58508
2016-09-04,55582
2016-09-05,52919
2016-09-06,52919
2016-09-07,50273
2016-09-08,50273
2016-09-09,47885
2016-09-10,45608
2016-09-11,45608
2016-09-12,43327
2016-09-13,41245
2016-09-14,41245
2016-09-15,39182
2016-09-16,39182
2016-09-17,37222
2016-09-18,35407
2016-09-19,33774
2016-09-20,33774
2016-09-21,32085
2016-09-22,30480
2016-09-23,29052
2016-09-24,29052
2016-09-25,27599
2016-09-26,27599
2016-09-27,26234
2016-09-28,25126
2016-09-29,25126
2016-09-30,24274
2016-10-01,24274
2016-10-02,23311
2016-10-03,23311
2016-10-04,22282
2016-10-05,22282
2016-10-06,21414
2016-10-07,21414
2016-10-08,20814
2016-10-09,20814
2016-10-10,19893
2016-10-11,19313
2016-10-12,19313
2016-10-13,18441
2016-10-14,18015
2016-10-15,17405
2016-10-16,17405
2016-10-17,16691
2016-10-18,16691
2016-10-19,16147
2016-10-20,16147
2016-10-21,15800
2016-10-22,15800
2016-10-23,15367
2016-10-24,15095
2016-10-25,15095
2016-10-26,14583
2016-10-27,14583
2016-10-28,13895
2016-10-29,13761
2016-10-30,13761
2016-10-31,13511
2016-11-01,13511
2016-11-02,13396
2016-11-03,13396
2016-11-04,13078
2016-11-05,13078
2016-11-06,12692
2016-11-07,12692
2016-11-08,12260
2016-11-09,12260
2016-11-10,11659
2016-11-11,11659
2016-11-12,11125
2016-11-13,11125
2016-11-14,10732
2016-11-15,10732
2016-12-07,7165
2016-12-08,7271
2016-12-09,7478
2016-12-10,7478
2016-12-11,7520
2016-12-12,7396
2016-12-13,7461
2016-12-14,7501
2016-12-15,7501
2016-12-16,7600
2016-12-17,7775
2016-12-18,7775
2016-12-19,7965
2016-12-20,8260
2016-12-21,8520
2016-12-22,8755
2016-12-23,9047
2016-12-24,9047
2016-12-25,9248
2016-12-26,9467
2016-12-27,9642
2016-12-28,9932
2016-12-29,10101
2016-12-30,10235
2016-12-31,10231
2017-01-01,10172
2017-01-02,10190
2017-01-03,10236
2017-01-04,10201
2017-01-05,10201
2017-01-06,10169
2017-01-07,10060
2017-01-08,10077
2017-01-09,10070
2017-01-10,9853
2017-01-11,9896
2017-01-12,9909
2017-01-13,9909
2017-01-14,9841
2017-01-15,9738
2017-01-16,9567
2017-01-17,9544
2017-01-18,9318
2017-01-19,9318
2017-01-20,9223
2017-01-21,9034
2017-01-22,8626
2017-01-23,8527
2017-01-27,8080
2017-01-28,7924
2017-01-29,7870
2017-01-30,7870
2017-01-31,7893
2017-02-01,7973
2017-02-02,7951
2017-02-03,8106
2017-02-04,8131
2017-02-05,8157
2017-02-06,8076
2017-02-07,8100
2017-02-08,8190
2017-02-09,8190
2017-02-10,8133
2017-02-11,8010
2017-02-12,8010
2017-02-13,8028
2017-02-14,8047
2017-02-15,8047
2017-02-16,7978
2017-02-18,8024
2017-02-19,8095
2017-02-20,8004
2017-02-21,8100
2017-02-22,8100
2017-02-23,8062
2017-02-24,8062
2017-02-25,7975
2017-02-26,7950
2017-02-27,7881
2017-02-28,7778
2017-03-01,7531
2017-03-02,7434
2017-03-03,7353
2017-03-04,7426
2017-03-05,7358
2017-03-06,7350
2017-03-07,7342
2017-03-08,7342
2017-03-09,7307
2017-03-10,7363
2017-03-11,7320
2017-03-12,7325
2017-03-13,7310
2017-03-14,7303
2017-03-15,7251
2017-03-16,7303
2017-03-17,7255
2017-03-18,7087
2017-03-19,7056
2017-03-20,6916
2017-03-21,6863
2017-03-22,6791
2017-03-23,6728
2017-03-24,6673
2017-03-25,6673
2017-03-26,6575
2017-03-27,6433
2017-03-28,6111
2017-03-29,5879
2017-03-30,5738
2017-03-31,5647
2017-04-01,5646
2017-04-02,5631
2017-04-03,5575
2017-04-04,5500
2017-04-12,5206
2017-04-13,5281
2017-04-14,5309
2017-04-15,5277
2017-04-16,5049
2017-04-17,4976
2017-04-18,4914
2017-04-19,4937
2017-04-20,4942
2017-04-21,5002
2017-04-22,5016
2017-04-23,5051
2017-04-24,4996
2017-04-25,5005
2017-04-26,5005
2017-04-27,4976
2017-04-28,5018
2017-04-29,5049
2017-04-30,5089
2017-05-01,5051
2017-05-02,5088
2017-05-03,5084
2017-05-04,4915
2017-05-05,4876
2017-05-06,4856
2017-05-07,4844
2017-05-08,4709
2017-05-09,4655
2017-05-10,4655
2017-05-11,4583
2017-05-12,4608
2017-05-13,4630
2017-05-14,4584
2017-05-15,4599
2017-05-16,4586
2017-05-17,4528
2017-05-18,4487
2017-05-19,4487
2017-05-20,4460
2017-05-21,4460
2017-05-22,4391
2017-05-23,4398
2017-05-24,4427
2017-05-25,4444
2017-05-26,4458
2017-05-27,4548
2017-05-28,4552
2017-05-29,4603
2017-05-30,4700
2017-05-31,4783
2017-06-01,4843
2017-06-02,4929
2017-06-03,5063
2017-06-04,5049
2017-06-06,5057
2017-06-07,5098
2017-06-08,5098
2017-06-09,5095
2017-06-10,5037
2017-06-11,5070
2017-06-12,5081
2017-06-13,5131
2017-06-14,5207
