date_obj,Grey%20gloves price
2015-03-04,8133
2015-03-05,8133
2015-03-06,8133
2015-03-07,7729
2015-03-08,7729
2015-03-09,7729
2015-03-10,7729
2015-03-11,7342
2015-03-12,7342
2015-03-13,7342
2015-03-14,7342
2015-03-15,6985
2015-03-16,6985
2015-03-17,6985
2015-03-18,6985
2015-03-19,6647
2015-03-20,6647
2015-03-21,6647
2015-03-22,6647
2015-03-23,6314
2015-03-24,6314
2015-03-25,6314
2015-03-26,6314
2015-03-27,6006
2015-03-28,6006
2015-03-29,6006
2015-03-30,5705
2015-03-31,5705
2015-04-01,5705
2015-04-02,5705
2015-04-03,5526
2015-04-04,5526
2015-04-05,5526
2015-04-06,5526
2015-04-07,5249
2015-04-08,5249
2015-04-09,5249
2015-04-10,5249
2015-04-11,4988
2015-04-12,4988
2015-04-13,4988
2015-04-14,4988
2015-04-15,4739
2015-04-16,4739
2015-04-17,4739
2015-04-18,4739
2015-04-19,4502
2015-04-20,4502
2015-04-21,4502
2015-04-22,4502
2015-04-23,4281
2015-04-24,4281
2015-04-25,4281
2015-04-26,4281
2015-04-27,4066
2015-04-28,4066
2015-04-29,4066
2015-04-30,4066
2015-05-01,3862
2015-05-02,3862
2015-05-03,3862
2015-05-04,3862
2015-05-05,3668
2015-05-06,3668
2015-05-07,3668
2015-05-08,3668
2015-05-09,3484
2015-05-10,3484
2015-05-11,3484
2015-05-12,3484
2015-05-13,3371
2015-05-14,3371
2015-05-15,3371
2015-05-16,3371
2015-05-17,3207
2015-05-18,3207
2015-05-19,3207
2015-05-20,3207
2015-05-21,3207
2015-05-22,3102
2015-05-23,3102
2015-05-24,3102
2015-05-25,3102
2015-05-26,2975
2015-05-27,2975
2015-05-28,2975
2015-05-29,2826
2015-05-30,2826
2015-05-31,2686
2015-06-01,2686
2015-06-02,2686
2015-06-03,2551
2015-06-04,2551
2015-06-05,2551
2015-06-06,2432
2015-06-07,2432
2015-06-08,2432
2015-06-09,2329
2015-06-10,2329
2015-06-11,2329
2015-06-12,2260
2015-06-13,2260
2015-06-14,2260
2015-06-15,2159
2015-06-16,2159
2015-06-17,2159
2015-06-18,2075
2015-06-19,2075
2015-06-20,2075
2015-06-21,1977
2015-06-22,1977
2015-06-23,1977
2015-06-24,1878
2015-06-25,1878
2015-06-26,1878
2015-06-27,1784
2015-06-28,1784
2015-06-29,1722
2015-06-30,1722
2015-07-01,1636
2015-07-02,1636
2015-07-03,1636
2015-07-04,1554
2015-07-05,1554
2015-07-06,1554
2015-07-07,1491
2015-07-08,1491
2015-07-09,1491
2015-07-10,1502
2015-07-11,1502
2015-07-12,1502
2015-07-13,1525
2015-07-14,1525
2015-07-15,1525
2015-07-16,1468
2015-07-17,1468
2015-07-18,1468
2015-07-19,1467
2015-07-20,1467
2015-07-21,1467
2015-07-22,1393
2015-07-23,1393
2015-07-24,1393
2015-07-25,1323
2015-07-26,1323
2015-07-27,1310
2015-07-28,1310
2015-07-29,1297
2015-07-30,1297
2015-07-31,1297
2015-08-01,1280
2015-08-02,1280
2015-08-03,1281
2015-08-04,1281
2015-08-05,1277
2015-08-06,1277
2015-08-07,1277
2015-08-08,1276
2015-08-09,1276
2015-08-10,1252
2015-08-11,1252
2015-08-12,1252
2015-08-13,1231
2015-08-14,1231
2015-08-15,1251
2015-08-16,1251
2015-08-17,1269
2015-08-18,1269
2015-08-19,1269
2015-08-20,1286
2015-08-21,1286
2015-08-22,1304
2015-08-23,1304
2015-08-24,1304
2015-08-25,1295
2015-08-26,1295
2015-08-27,1266
2015-08-28,1266
2015-08-29,1266
2015-08-30,1226
2015-08-31,1226
2015-09-02,1232
2015-09-07,1246
2015-09-08,1246
2015-09-10,1238
2015-09-14,1263
2015-09-16,1217
2015-09-22,1274
2015-09-23,1274
2015-09-24,1274
2015-09-25,1312
2015-09-27,1312
2015-09-28,1339
2015-09-29,1339
2015-09-30,1339
2015-10-05,1370
2015-10-06,1370
2015-10-07,1410
2015-10-08,1410
2015-10-09,1410
2015-10-10,1405
2015-10-11,1405
2015-10-12,1418
2015-10-13,1418
2015-10-14,1418
2015-10-15,1456
2015-10-16,1456
2015-10-17,1456
2015-10-18,1435
2015-10-19,1435
2015-10-20,1435
2015-10-22,1391
2015-10-23,1391
2015-10-24,1322
2015-10-25,1322
2015-10-26,1302
2015-10-27,1302
2015-10-29,1313
2015-10-30,1313
2015-10-31,1313
2015-11-01,1279
2015-11-02,1279
2015-11-03,1279
2015-11-04,1219
2015-11-05,1219
2015-11-06,1219
2015-11-07,1173
2015-11-08,1173
2015-11-09,1173
2015-11-10,1166
2015-11-11,1166
2015-11-12,1166
2015-11-13,1177
2015-11-14,1177
2015-11-15,1177
2015-11-16,1182
2015-11-17,1182
2015-11-18,1182
2015-11-19,1203
2015-11-20,1203
2015-11-21,1203
2015-11-22,1176
2015-11-23,1176
2015-11-24,1176
2015-11-25,1169
2015-11-26,1169
2015-11-27,1169
2015-11-28,1177
2015-11-29,1177
2015-11-30,1177
2015-12-01,1199
2015-12-02,1199
2015-12-03,1199
2015-12-04,1233
2015-12-05,1233
2015-12-06,1233
2015-12-07,1241
2015-12-08,1241
2015-12-09,1252
2015-12-10,1252
2015-12-11,1252
2015-12-12,1235
2015-12-13,1235
2015-12-14,1235
2015-12-15,1232
2015-12-16,1232
2015-12-17,1232
2015-12-18,1212
2015-12-19,1212
2015-12-20,1212
2015-12-21,1166
2015-12-22,1166
2015-12-23,1166
2015-12-24,1150
2015-12-25,1150
2015-12-26,1150
2015-12-27,1186
2015-12-28,1186
2015-12-29,1189
2015-12-30,1189
2015-12-31,1189
2016-01-01,1244
2016-01-02,1244
2016-01-03,1247
2016-01-04,1247
2016-01-05,1247
2016-01-06,1237
2016-01-07,1237
2016-01-08,1237
2016-01-09,1222
2016-01-10,1222
2016-01-11,1222
2016-01-12,1252
2016-01-13,1252
2016-01-14,1252
2016-01-15,1280
2016-01-16,1280
2016-01-17,1280
2016-01-18,1314
2016-01-19,1314
2016-01-20,1314
2016-01-21,1336
2016-01-22,1336
2016-01-23,1336
2016-01-24,1330
2016-01-25,1330
2016-01-26,1330
2016-01-27,1333
2016-01-28,1333
2016-01-29,1333
2016-01-30,1357
2016-01-31,1357
2016-02-01,1363
2016-02-02,1363
2016-02-03,1363
2016-02-04,1389
2016-02-05,1389
2016-02-06,1377
2016-02-07,1377
2016-02-08,1377
2016-02-09,1365
2016-02-10,1365
2016-02-11,1323
2016-02-12,1323
2016-02-13,1329
2016-02-14,1329
2016-02-15,1329
2016-02-16,1372
2016-02-17,1372
2016-02-18,1372
2016-02-19,1403
2016-02-20,1403
2016-02-21,1342
2016-02-22,1342
2016-02-23,1342
2016-02-24,1280
2016-02-25,1280
2016-02-26,1312
2016-02-27,1312
2016-02-28,1297
2016-02-29,1297
2016-03-01,1281
2016-03-02,1281
2016-03-03,1307
2016-03-04,1307
2016-03-05,1307
2016-03-06,1311
2016-03-07,1311
2016-03-08,1311
2016-03-09,1333
2016-03-10,1333
2016-03-11,1333
2016-03-12,1305
2016-03-13,1305
