date_obj,Evil%20chicken%20head price
2016-07-23,326516
2016-07-24,341620
2016-07-25,341620
2016-07-26,341620
2016-07-27,356778
2016-07-28,356778
2016-07-29,356778
2016-07-30,356778
2016-07-31,356778
2016-08-01,356778
2016-08-02,356778
2016-08-03,356778
2016-08-04,372429
2016-08-05,372429
2016-08-06,372429
2016-08-07,372429
2016-08-08,372429
2016-08-09,372429
2016-08-10,372429
2016-08-11,372429
2016-08-12,372429
2016-08-13,372429
2016-08-14,372429
2016-08-15,372429
2016-08-16,372429
2016-08-17,372429
2016-08-18,388716
2016-08-19,388716
2016-08-20,388716
2016-08-21,388716
2016-08-22,388716
2016-08-23,388716
2016-08-24,388716
2016-08-25,388716
2016-08-26,388716
2016-08-28,388716
2016-08-31,388716
2016-09-01,388716
2016-09-02,388716
2016-09-03,388716
2016-09-04,388716
2016-09-05,405232
2016-09-06,405232
2016-09-07,405232
2016-09-08,405232
2016-09-09,405232
2016-09-10,405232
2016-09-11,405232
2016-09-12,405232
2016-09-13,405232
2016-09-14,405232
2016-09-15,405232
2016-09-16,405232
2016-09-17,405232
2016-09-18,405232
2016-09-19,405232
2016-09-20,405232
2016-09-21,405232
2016-09-22,405232
2016-09-23,405232
2016-09-24,405232
2016-09-25,422109
2016-09-26,422109
2016-09-27,422109
2016-09-28,422109
2016-09-29,422109
2016-09-30,422109
2016-10-01,422109
2016-10-02,422109
2016-10-03,422109
2016-10-04,422109
2016-10-05,422109
2016-10-06,422109
2016-10-07,422109
2016-10-08,422109
2016-10-09,422109
2016-10-10,422109
2016-10-11,422109
2016-10-12,422109
2016-10-13,422109
2016-10-14,422109
2016-10-15,422109
2016-10-16,422109
2016-10-17,438587
2016-10-18,438587
2016-10-19,438587
2016-10-20,438587
2016-10-21,438587
2016-10-22,438587
2016-10-23,438587
2016-10-24,438587
2016-10-25,438587
2016-10-26,438587
2016-10-27,438587
2016-10-28,438587
2016-10-29,438587
2016-10-30,438587
2016-10-31,438587
2016-11-01,438587
2016-11-02,438587
2016-11-03,438587
2016-11-04,438587
2016-11-05,438587
2016-11-06,438587
2016-11-07,438587
2016-11-08,438587
2016-11-09,438587
2016-11-10,457609
2016-11-11,457609
2016-11-12,457609
2016-11-13,457609
2016-11-14,457609
2016-11-15,457609
2016-12-07,457609
2016-12-08,477452
2016-12-09,477452
2016-12-10,477452
2016-12-11,477452
2016-12-12,477452
2016-12-13,477452
2016-12-14,477452
2016-12-15,477452
2016-12-16,477452
2016-12-17,477452
2016-12-18,477452
2016-12-19,477452
2016-12-20,477452
2016-12-21,477452
2016-12-22,477452
2016-12-23,477452
2016-12-24,477452
2016-12-25,477452
2016-12-26,477452
2016-12-27,477452
2016-12-28,477452
2016-12-29,477452
2016-12-30,477452
2016-12-31,477452
2017-01-01,477452
2017-01-02,477452
2017-01-03,477452
2017-01-04,477452
2017-01-05,498061
2017-01-06,498061
2017-01-07,498061
2017-01-08,498061
2017-01-09,498061
2017-01-10,498061
2017-01-11,498061
2017-01-12,498061
2017-01-13,498061
2017-01-14,498061
2017-01-15,498061
2017-01-16,498061
2017-01-17,498061
2017-01-18,498061
2017-01-19,498061
2017-01-20,498061
2017-01-21,498061
2017-01-22,498061
2017-01-23,498061
2017-01-27,498061
2017-01-28,520301
2017-01-29,520301
2017-01-30,520301
2017-01-31,520301
2017-02-01,520301
2017-02-02,520301
2017-02-03,520301
2017-02-04,520301
2017-02-05,520301
2017-02-06,520301
2017-02-07,520301
2017-02-08,520301
2017-02-09,520301
2017-02-10,520301
2017-02-11,520301
2017-02-12,520301
2017-02-13,520301
2017-02-14,520301
2017-02-15,520301
2017-02-16,520301
2017-02-18,520301
2017-02-19,520301
2017-02-20,543315
2017-02-21,543315
2017-02-22,543315
2017-02-23,543315
2017-02-24,543315
2017-02-25,543315
2017-02-26,543315
2017-02-27,543315
2017-02-28,543315
2017-03-01,543315
2017-03-02,543315
2017-03-03,543315
2017-03-04,543315
2017-03-05,543315
2017-03-06,543315
2017-03-07,543315
2017-03-08,543315
2017-03-09,543315
2017-03-10,543315
2017-03-11,543315
2017-03-12,543315
2017-03-13,543315
2017-03-14,543315
2017-03-15,543315
2017-03-16,543315
2017-03-17,543315
2017-03-18,543315
2017-03-19,567636
2017-03-20,567636
2017-03-21,567636
2017-03-22,567636
2017-03-23,567636
2017-03-24,567636
2017-03-25,567636
2017-03-26,567636
2017-03-27,567636
2017-03-28,567636
2017-03-29,567636
