date_obj,Dark%20kebbit%20fur price
2015-03-26,35336
2015-03-27,35336
2015-03-28,35336
2015-03-29,35336
2015-03-30,35336
2015-03-31,33594
2015-04-01,33594
2015-04-02,33594
2015-04-03,33594
2015-04-04,33594
2015-04-05,33594
2015-04-06,31936
2015-04-07,31936
2015-04-08,31936
2015-04-09,31936
2015-04-10,31936
2015-04-11,31936
2015-04-12,30360
2015-04-13,30360
2015-04-14,30360
2015-04-15,30360
2015-04-16,30360
2015-04-17,30360
2015-04-18,28894
2015-04-19,28894
2015-04-20,28894
2015-04-21,28894
2015-04-22,28894
2015-04-23,28894
2015-04-24,28894
2015-04-25,27517
2015-04-26,27517
2015-04-27,27517
2015-04-28,27517
2015-04-29,27517
2015-04-30,27517
2015-05-01,26155
2015-05-02,26155
2015-05-03,26155
2015-05-04,26155
2015-05-05,26155
2015-05-06,26155
2015-05-07,24866
2015-05-08,24866
2015-05-09,24866
2015-05-10,24866
2015-05-11,24866
2015-05-12,23630
2015-05-13,23630
2015-05-14,23630
2015-05-15,23630
2015-05-16,23630
2015-05-17,22479
2015-05-18,22479
2015-05-19,22479
2015-05-20,22479
2015-05-21,22479
2015-05-22,22479
2015-05-23,22479
2015-05-24,21365
2015-05-25,21365
2015-05-26,21365
2015-05-27,21365
2015-05-28,20341
2015-05-29,20341
2015-05-30,20341
2015-05-31,20341
2015-06-01,19358
2015-06-02,19358
2015-06-03,19358
2015-06-04,18419
2015-06-05,18419
2015-06-06,18419
2015-06-07,18419
2015-06-08,17507
2015-06-09,17507
2015-06-10,17507
2015-06-11,16656
2015-06-12,16656
2015-06-13,16656
2015-06-14,15835
2015-06-15,15835
2015-06-16,15835
2015-06-17,15835
2015-06-18,15185
2015-06-19,15185
2015-06-20,15185
2015-06-21,14539
2015-06-22,14539
2015-06-23,14539
2015-06-24,13907
2015-06-25,13907
2015-06-26,13907
2015-06-27,13907
2015-06-28,13302
2015-06-29,13302
2015-06-30,13302
2015-07-01,13302
2015-07-02,13302
2015-07-03,12731
2015-07-04,12731
2015-07-05,12731
2015-07-06,12137
2015-07-07,12137
2015-07-08,12137
2015-07-09,11575
2015-07-10,11575
2015-07-11,11575
2015-07-12,11019
2015-07-13,11019
2015-07-14,11019
2015-07-15,10540
2015-07-16,10540
2015-07-17,10540
2015-07-18,10540
2015-07-19,10079
2015-07-20,10079
2015-07-21,10079
2015-07-22,9592
2015-07-23,9592
2015-07-24,9592
2015-07-25,9592
2015-07-26,9592
2015-07-27,9125
2015-07-28,9125
2015-07-29,9125
2015-07-30,8672
2015-07-31,8672
2015-08-01,8672
2015-08-02,8250
2015-08-03,8250
2015-08-04,8250
2015-08-05,8250
2015-08-06,7842
2015-08-07,7842
2015-08-08,7842
2015-08-09,7461
2015-08-10,7461
2015-08-11,7461
2015-08-12,7097
2015-08-13,7097
2015-08-14,7097
2015-08-15,7097
2015-08-16,6750
2015-08-17,6750
2015-08-18,6750
2015-08-19,6439
2015-08-20,6439
2015-08-21,6439
2015-08-22,6439
2015-08-23,6122
2015-08-24,6122
2015-08-25,6122
2015-08-26,6122
2015-08-27,5821
2015-08-28,5821
2015-08-29,5821
2015-08-30,5821
2015-08-31,5561
2015-09-01,5561
2015-09-02,5561
2015-09-03,5561
2015-09-04,5294
2015-09-05,5294
2015-09-06,5294
2015-09-07,5294
2015-09-08,5032
2015-09-09,5032
2015-09-10,5032
2015-09-11,5032
2015-09-12,4797
2015-09-13,4797
2015-09-14,4797
2015-09-15,4797
2015-09-16,4797
2015-09-17,4574
2015-09-18,4574
2015-09-19,4574
2015-09-20,4574
2015-09-21,4574
2015-09-22,4398
2015-09-23,4398
2015-09-24,4398
2015-09-25,4398
2015-09-27,4398
2015-09-28,4186
2015-09-29,4186
2015-09-30,4186
2015-10-05,3985
2015-10-06,3985
2015-10-07,3985
2015-10-08,3985
2015-10-09,3804
2015-10-10,3804
2015-10-11,3804
2015-10-12,3804
2015-10-13,3804
2015-10-14,3804
2015-10-15,3615
2015-10-16,3615
2015-10-17,3615
2015-10-18,3615
2015-10-19,3615
2015-10-20,3615
2015-10-22,3443
