date_obj,Yew%20longbow%20(u) price
2015-03-26,478
2015-03-27,478
2015-03-28,479
2015-03-29,480
2015-03-30,479
2015-03-31,483
2015-04-01,483
2015-04-02,480
2015-04-03,478
2015-04-04,478
2015-04-05,480
2015-04-06,482
2015-04-07,483
2015-04-08,483
2015-04-09,492
2015-04-10,500
2015-04-11,507
2015-04-12,490
2015-04-13,491
2015-04-14,500
2015-04-15,508
2015-04-16,504
2015-04-17,501
2015-04-18,503
2015-04-19,490
2015-04-20,490
2015-04-21,491
2015-04-22,491
2015-04-23,504
2015-04-24,504
2015-04-25,509
2015-04-26,507
2015-04-27,495
2015-04-28,494
2015-04-29,494
2015-04-30,495
2015-05-01,498
2015-05-02,498
2015-05-03,498
2015-05-04,492
2015-05-05,485
2015-05-06,488
2015-05-07,496
2015-05-08,495
2015-05-09,490
2015-05-10,490
2015-05-11,490
2015-05-12,480
2015-05-13,469
2015-05-14,456
2015-05-15,456
2015-05-16,468
2015-05-17,476
2015-05-18,480
2015-05-19,483
2015-05-20,483
2015-05-21,488
2015-05-22,474
2015-05-23,463
2015-05-24,465
2015-05-25,476
2015-05-26,477
2015-05-27,477
2015-05-28,471
2015-05-29,479
2015-05-30,486
2015-05-31,487
2015-06-01,479
2015-06-02,471
2015-06-03,461
2015-06-04,449
2015-06-05,435
2015-06-06,421
2015-06-07,428
2015-06-08,428
2015-06-09,417
2015-06-10,419
2015-06-11,432
2015-06-12,449
2015-06-13,454
2015-06-14,458
2015-06-15,458
2015-06-16,444
2015-06-17,440
2015-06-18,441
2015-06-19,452
2015-06-20,462
2015-06-21,459
2015-06-22,453
2015-06-23,453
2015-06-24,455
2015-06-25,455
2015-06-26,460
2015-06-27,464
2015-06-28,472
2015-06-29,467
2015-06-30,462
2015-07-01,456
2015-07-02,456
2015-07-03,457
2015-07-04,452
2015-07-05,454
2015-07-06,456
2015-07-07,465
2015-07-08,473
2015-07-09,475
2015-07-10,467
2015-07-11,451
2015-07-12,435
2015-07-13,426
2015-07-14,435
2015-07-15,442
2015-07-16,442
2015-07-17,442
2015-07-18,441
2015-07-19,450
2015-07-20,458
2015-07-21,469
2015-07-22,476
2015-07-23,476
2015-07-24,485
2015-07-25,473
2015-07-26,459
2015-07-27,448
2015-07-28,438
2015-07-29,440
2015-07-30,435
2015-07-31,427
2015-08-01,433
2015-08-02,447
2015-08-03,457
2015-08-04,459
2015-08-05,465
2015-08-06,455
2015-08-07,460
2015-08-08,466
2015-08-09,469
2015-08-10,475
2015-08-11,475
2015-08-12,467
2015-08-13,461
2015-08-14,460
2015-08-15,461
2015-08-16,461
2015-08-17,466
2015-08-18,459
2015-08-19,451
2015-08-20,451
2015-08-21,458
2015-08-22,467
2015-08-23,478
2015-08-24,478
2015-08-25,478
2015-08-26,474
2015-08-27,484
2015-08-28,488
2015-08-29,499
2015-08-30,498
2015-08-31,496
2015-09-01,502
2015-09-02,498
2015-09-03,490
2015-09-04,476
2015-09-05,486
2015-09-06,491
2015-09-07,486
2015-09-08,482
2015-09-09,478
2015-09-10,477
2015-09-11,481
2015-09-12,486
2015-09-13,490
2015-09-14,489
2015-09-15,486
2015-09-16,489
2015-09-17,489
2015-09-18,494
2015-09-19,505
2015-09-20,499
2015-09-21,489
2015-09-22,491
2015-09-23,489
2015-09-24,490
2015-09-25,486
2015-09-27,492
2015-09-28,498
2015-09-29,508
2015-09-30,506
2015-10-05,470
2015-10-06,463
2015-10-07,445
2015-10-08,432
2015-10-09,442
2015-10-10,442
2015-10-11,454
2015-10-12,465
2015-10-13,469
2015-10-14,478
2015-10-15,479
2015-10-16,475
2015-10-17,475
2015-10-18,474
2015-10-19,470
2015-10-20,477
2015-10-22,467
2015-10-23,467
2015-10-24,473
2015-10-25,478
2015-10-26,464
2015-10-27,459
2015-10-29,458
2015-10-30,449
2015-10-31,446
2015-11-01,436
2015-11-02,442
2015-11-03,448
2015-11-05,445
2015-11-06,443
2015-11-07,442
2015-11-08,442
2015-11-09,446
2015-11-10,449
2015-11-11,451
2015-11-12,456
2015-11-13,466
2015-11-14,467
2015-11-15,464
2015-11-16,462
2015-11-17,464
2015-11-18,470
2015-11-19,478
2015-11-20,475
2015-11-21,475
2015-11-22,468
2015-11-23,468
2015-11-24,469
2015-11-25,468
2015-11-26,468
2015-11-27,460
2015-11-28,450
2015-11-29,441
2015-11-30,450
2015-12-01,448
2015-12-02,447
2015-12-03,441
2015-12-04,440
2015-12-05,444
2015-12-06,444
2015-12-07,448
2015-12-08,443
2015-12-09,439
2015-12-10,435
2015-12-11,436
2015-12-13,447
2015-12-14,447
2015-12-15,455
2015-12-16,457
2015-12-17,462
2015-12-18,462
2015-12-19,463
2015-12-20,469
2015-12-21,465
2015-12-22,470
2015-12-23,466
2015-12-24,468
2015-12-25,466
2015-12-26,477
2015-12-27,487
2015-12-28,490
2015-12-29,498
2015-12-30,489
2015-12-31,486
2016-01-01,476
2016-01-02,476
2016-01-03,471
2016-01-04,478
2016-01-05,471
2016-01-06,465
