date_obj,Steel%20full%20helm%20(g) price
2016-07-06,500000
2016-07-07,483115
2016-07-08,483115
2016-07-09,483115
2016-07-10,459743
2016-07-11,459743
2016-07-12,459743
2016-07-13,437516
2016-07-14,437516
2016-07-15,437516
2016-07-16,416740
2016-07-17,416740
2016-07-18,416740
2016-07-24,377403
2016-07-25,377403
2016-07-26,377403
2016-07-27,377403
2016-07-28,358963
2016-07-29,358963
2016-07-30,358963
2016-07-31,358963
2016-08-01,341468
2016-08-02,341468
2016-08-03,341468
2016-08-04,341468
2016-08-05,341468
2016-08-06,324849
2016-08-07,324849
2016-08-08,324849
2016-08-09,324849
2016-08-10,324849
2016-08-11,324849
2016-08-12,324849
2016-08-13,309265
2016-08-14,309265
2016-08-15,309265
2016-08-16,309265
2016-08-17,309265
2016-08-18,309265
2016-08-19,309265
2016-08-20,294429
2016-08-21,294429
2016-08-22,294429
2016-08-23,294429
2016-08-24,294429
2016-08-25,294429
2016-08-26,294429
2016-08-28,280262
2016-08-31,280262
2016-09-01,280262
2016-09-02,280262
2016-09-03,266766
2016-09-04,266766
2016-09-05,266766
2016-09-06,266766
2016-09-07,266766
2016-09-08,266766
2016-09-09,266766
2016-09-10,253835
2016-09-11,253835
2016-09-12,253835
2016-09-13,253835
2016-09-14,253835
2016-09-15,253835
2016-09-16,253835
2016-09-17,241568
2016-09-18,241568
2016-09-19,241568
2016-09-20,241568
2016-09-21,241568
2016-09-22,241568
2016-09-23,229929
2016-09-24,229929
2016-09-25,229929
2016-09-26,229929
2016-09-27,229929
2016-09-28,229929
2016-09-29,229929
2016-09-30,218765
2016-10-01,218765
2016-10-02,218765
2016-10-03,218765
2016-10-04,218765
2016-10-05,218765
2016-10-06,218765
2016-10-07,208527
2016-10-08,208527
2016-10-09,208527
2016-10-10,208527
2016-10-11,208527
2016-10-12,199226
2016-10-13,199226
2016-10-14,199226
2016-10-15,199226
2016-10-16,199226
2016-10-17,189749
2016-10-18,189749
2016-10-19,189749
2016-10-20,189749
2016-10-21,189749
2016-10-22,189749
2016-10-23,189749
2016-10-24,180910
2016-10-25,180910
2016-10-26,180910
2016-10-27,180910
2016-10-28,180910
2016-10-29,180910
2016-10-30,180910
2016-10-31,38000
2016-11-01,38000
2016-11-02,38000
2016-11-03,38000
2016-11-04,38000
2016-11-05,38000
2016-11-06,38000
2016-11-07,38000
2016-11-08,38000
2016-11-09,38000
2016-11-10,38000
2016-11-11,37383
2016-11-12,37383
2016-11-13,37383
2016-11-14,37383
2016-12-08,37055
2016-12-09,37055
2016-12-10,37055
2016-12-11,35964
2016-12-12,35964
2016-12-13,35964
2016-12-14,35964
2016-12-15,35964
2016-12-16,35964
2016-12-17,35964
2016-12-18,35964
2016-12-19,35964
2016-12-20,35138
2016-12-21,35138
2016-12-22,35138
2016-12-23,35138
2016-12-24,35138
2016-12-25,35138
2016-12-26,35138
2016-12-27,35138
2016-12-28,35138
2016-12-29,33806
2016-12-30,33806
2016-12-31,33806
2017-01-01,33806
2017-01-02,33806
2017-01-03,33806
2017-01-04,33806
2017-01-05,33806
2017-01-06,32223
2017-01-07,32223
2017-01-08,32223
2017-01-09,32223
2017-01-10,32223
2017-01-11,32223
2017-01-12,32223
2017-01-13,30998
2017-01-14,30998
2017-01-15,30998
2017-01-16,30998
2017-01-17,30998
2017-01-18,30998
2017-01-19,30998
2017-01-20,30998
2017-01-21,29819
2017-01-22,29819
2017-01-27,29819
2017-01-28,29819
2017-01-29,29422
2017-01-30,29422
2017-01-31,29422
2017-02-01,29422
2017-02-02,29422
2017-02-03,29422
2017-02-04,29422
2017-02-05,28902
2017-02-06,28902
2017-02-07,28902
2017-02-08,28902
2017-02-09,28902
2017-02-10,28902
2017-02-11,28902
2017-02-12,27880
2017-02-13,27880
2017-02-14,27880
2017-02-15,27880
2017-02-16,27880
2017-02-18,27880
2017-02-19,27542
2017-02-20,27542
2017-02-21,27542
2017-02-22,27542
2017-02-23,27542
2017-02-24,27542
2017-02-25,27542
2017-02-26,26938
2017-02-27,26938
2017-02-28,26938
2017-03-01,26938
2017-03-02,26938
2017-03-03,26938
2017-03-04,26938
2017-03-05,26221
2017-03-06,26221
2017-03-07,26221
2017-03-08,26221
2017-03-09,26221
2017-03-10,26221
2017-03-11,26221
2017-03-12,26221
2017-03-13,25469
2017-03-14,25469
2017-03-15,25469
