date_obj,Plant%20cure price
2015-03-26,758
2015-03-27,758
2015-03-28,721
2015-03-29,721
2015-03-30,721
2015-03-31,687
2015-04-01,687
2015-04-02,687
2015-04-03,687
2015-04-04,666
2015-04-05,666
2015-04-06,666
2015-04-07,666
2015-04-08,636
2015-04-09,636
2015-04-10,636
2015-04-11,636
2015-04-12,605
2015-04-13,605
2015-04-14,605
2015-04-15,583
2015-04-16,583
2015-04-17,583
2015-04-18,561
2015-04-19,561
2015-04-20,561
2015-04-21,561
2015-04-22,532
2015-04-23,532
2015-04-24,532
2015-04-25,532
2015-04-26,515
2015-04-27,515
2015-04-28,515
2015-04-29,515
2015-04-30,489
2015-05-01,489
2015-05-02,489
2015-05-03,464
2015-05-04,464
2015-05-05,464
2015-05-06,440
2015-05-07,440
2015-05-08,440
2015-05-09,418
2015-05-10,418
2015-05-11,418
2015-05-12,421
2015-05-13,421
2015-05-14,421
2015-05-15,421
2015-05-16,401
2015-05-17,401
2015-05-18,401
2015-05-19,382
2015-05-20,382
2015-05-21,382
2015-05-22,382
2015-05-23,362
2015-05-24,362
2015-05-25,362
2015-05-26,344
2015-05-27,344
2015-05-28,344
2015-05-29,331
2015-05-30,331
2015-05-31,322
2015-06-01,322
2015-06-02,322
2015-06-03,305
2015-06-04,305
2015-06-05,305
2015-06-06,291
2015-06-07,291
2015-06-08,291
2015-06-09,283
2015-06-10,283
2015-06-11,283
2015-06-12,273
2015-06-13,273
2015-06-14,273
2015-06-15,276
2015-06-16,276
2015-06-17,276
2015-06-18,277
2015-06-19,277
2015-06-20,277
2015-06-21,268
2015-06-22,268
2015-06-23,268
2015-06-24,269
2015-06-25,269
2015-06-26,269
2015-06-27,276
2015-06-28,276
2015-06-29,276
2015-06-30,274
2015-07-01,274
2015-07-02,274
2015-07-03,276
2015-07-04,276
2015-07-05,276
2015-07-06,273
2015-07-07,273
2015-07-08,273
2015-07-09,273
2015-07-10,273
2015-07-11,273
2015-07-12,271
2015-07-13,271
2015-07-14,271
2015-07-15,268
2015-07-16,268
2015-07-17,268
2015-07-18,271
2015-07-19,271
2015-07-20,271
2015-07-21,278
2015-07-22,289
2015-07-23,289
2015-07-24,293
2015-07-25,293
2015-07-26,302
2015-07-27,302
2015-07-28,305
2015-07-29,305
2015-07-30,303
2015-07-31,303
2015-08-01,303
2015-08-02,306
2015-08-03,306
2015-08-04,306
2015-08-05,299
2015-08-06,299
2015-08-07,299
2015-08-08,300
2015-08-09,300
2015-08-10,301
2015-08-11,301
2015-08-12,301
2015-08-13,307
2015-08-14,307
2015-08-15,307
2015-08-16,295
2015-08-17,295
2015-08-18,290
2015-08-19,290
2015-08-20,290
2015-08-21,291
2015-08-22,291
2015-08-23,291
2015-08-24,287
2015-08-25,287
2015-08-26,287
2015-08-27,296
2015-08-28,296
2015-08-29,296
2015-08-30,282
2015-08-31,282
2015-09-01,282
2015-09-02,267
2015-09-03,267
2015-09-04,267
2015-09-05,253
2015-09-06,253
2015-09-07,253
2015-09-08,240
2015-09-09,240
2015-09-10,240
2015-09-11,233
2015-09-12,233
2015-09-13,233
2015-09-14,238
2015-09-15,238
2015-09-16,238
2015-09-17,245
2015-09-18,245
2015-09-19,245
2015-09-20,253
2015-09-21,253
2015-09-22,253
2015-09-23,263
2015-09-24,263
2015-09-25,263
2015-09-27,273
2015-09-28,273
2015-09-29,273
2015-09-30,280
2015-10-05,287
2015-10-06,287
2015-10-07,300
2015-10-08,300
2015-10-09,300
2015-10-10,305
2015-10-11,305
2015-10-12,316
2015-10-13,316
2015-10-14,316
2015-10-15,321
2015-10-16,321
2015-10-17,321
2015-10-18,321
2015-10-19,315
2015-10-20,315
2015-10-22,315
2015-10-23,299
2015-10-24,299
2015-10-25,299
2015-10-26,284
2015-10-27,284
2015-10-29,284
2015-10-30,288
2015-10-31,288
2015-11-01,288
2015-11-02,288
2015-11-03,281
2015-11-04,281
2015-11-05,281
2015-11-06,281
2015-11-07,285
2015-11-08,285
2015-11-09,285
2015-11-10,285
2015-11-11,283
2015-11-12,283
2015-11-13,283
2015-11-14,283
2015-11-15,280
2015-11-16,280
2015-11-17,280
2015-11-18,280
2015-11-19,272
2015-11-20,272
2015-11-21,272
2015-11-22,275
2015-11-23,275
2015-11-24,275
2015-11-25,275
2015-11-26,279
2015-11-27,279
2015-11-28,279
2015-11-29,283
2015-11-30,283
2015-12-01,283
2015-12-02,277
2015-12-03,277
2015-12-04,277
2015-12-05,277
2015-12-06,276
2015-12-07,276
2015-12-08,276
2015-12-09,269
2015-12-10,269
2015-12-11,269
2015-12-12,266
2015-12-13,266
2015-12-14,266
2015-12-15,270
2015-12-16,270
2015-12-17,270
2015-12-18,266
2015-12-19,266
2015-12-20,266
2015-12-21,261
2015-12-22,261
2015-12-23,261
2015-12-24,254
2015-12-25,254
2015-12-26,254
2015-12-27,253
2015-12-28,253
2015-12-29,259
2015-12-30,259
2015-12-31,259
2016-01-01,254
2016-01-02,254
2016-01-03,261
2016-01-04,261
2016-01-05,257
2016-01-06,257
2016-01-07,257
2016-01-08,252
2016-01-09,252
2016-01-10,252
2016-01-11,259
2016-01-12,259
2016-01-13,259
2016-01-14,261
2016-01-15,261
2016-01-16,261
2016-01-17,267
2016-01-18,267
2016-01-19,267
2016-01-20,268
2016-01-21,268
2016-01-22,268
2016-01-23,259
2016-01-24,259
2016-01-25,255
2016-01-26,255
2016-01-27,255
2016-01-28,253
