date_obj,Crier%20coat price
2017-06-27,37431
2017-06-28,37194
2017-06-29,36893
2017-06-30,36678
2017-07-01,36678
2017-07-02,36691
2017-07-03,35496
2017-07-04,34808
2017-07-05,34808
2017-07-06,33456
2017-07-07,33456
2017-07-08,32032
2017-07-13,30022
2017-07-14,30207
2017-07-15,30207
2017-07-16,29889
2017-07-17,30656
2017-07-18,30656
2017-07-19,31380
2017-07-20,31525
2017-07-21,31034
2017-07-22,29482
2017-07-23,28007
2017-07-24,26617
2017-07-25,25286
2017-07-26,24169
2017-07-27,23514
2017-07-28,23598
2017-07-29,23598
2017-07-30,23162
2017-07-31,23162
2017-08-01,23614
2017-08-02,24158
2017-08-03,24881
2017-08-04,24304
2017-08-05,24667
2017-08-06,24061
2017-08-09,23501
2017-08-10,22946
2017-08-11,22760
2017-08-12,22865
2017-08-13,22865
2017-08-14,22763
2017-08-15,23086
2017-08-16,23323
2017-08-17,23087
2017-08-18,23087
2017-08-19,23418
2017-08-20,23579
2017-08-21,23021
2017-08-22,23077
2017-08-23,23324
2017-08-24,23947
2017-08-25,24803
2017-08-26,25781
2017-08-27,26187
2017-08-28,25630
2017-08-29,25630
2017-08-30,25922
2017-08-31,25922
2017-09-01,25979
2017-09-03,26491
2017-09-04,26830
2017-09-05,27047
2017-09-06,26895
2017-09-07,26453
2017-09-08,26453
2017-09-09,26481
2017-09-10,26565
2017-09-11,26832
2017-09-12,26832
2017-09-13,27125
2017-09-14,28210
2017-09-15,28210
2017-09-16,28239
2017-09-17,28231
2017-09-18,27988
2017-09-19,28522
2017-09-20,28058
2017-09-21,28129
2017-09-22,28421
2017-09-23,28421
2017-09-24,27706
2017-09-25,26921
2017-09-26,26780
2017-09-27,26780
2017-09-28,27346
2017-09-29,27684
2017-09-30,28455
2017-10-01,29186
2017-10-02,29571
2017-10-03,30081
2017-10-04,30081
2017-10-05,31231
2017-10-06,30823
2017-10-07,30639
2017-10-08,30753
2017-10-09,31061
2017-10-10,30799
2017-10-11,30799
2017-10-12,30992
2017-10-13,30394
2017-10-14,30507
2017-10-15,30507
2017-10-16,30111
2017-10-17,30111
2017-10-18,29877
2017-10-19,29877
2017-10-20,29500
2017-10-21,29091
2017-10-22,27674
2017-10-23,27296
2017-10-24,27079
2017-10-25,27040
2017-10-26,27040
2017-10-27,26440
2017-10-28,26440
2017-10-29,25917
2017-10-30,24725
2017-10-31,24270
2017-11-01,24270
2017-11-02,23819
2017-11-03,23415
2017-11-04,23305
2017-11-05,23290
2017-11-06,23290
2017-11-07,23216
2017-11-08,23216
2017-11-09,23180
2017-11-10,23180
2017-11-11,23284
2017-11-12,23209
2017-11-13,22713
2017-11-14,22713
2017-11-15,21896
2017-11-16,21355
2017-11-17,21355
2017-11-18,21208
2017-11-19,20634
2017-11-20,20695
2017-11-21,21274
2017-11-22,21274
2017-11-23,21546
2017-11-24,21546
2017-11-25,21839
2017-11-26,21058
2017-11-27,21058
2017-11-28,20005
2017-11-29,19263
2017-11-30,19263
2017-12-01,18792
2017-12-02,18792
2017-12-03,18784
2017-12-04,18577
2017-12-05,18716
2017-12-06,17914
2017-12-07,17590
2017-12-08,17590
2017-12-09,17183
2017-12-10,17251
2017-12-11,17008
2017-12-12,17449
2017-12-13,17632
2017-12-14,18371
2017-12-15,18510
2017-12-16,18510
2017-12-17,19054
2017-12-18,19312
