date_obj,Dragonfruit%20tree%20seed price
2019-10-02,180201
2019-10-03,179069
2019-10-04,178871
2019-10-05,177772
2019-10-06,180266
2019-10-07,180486
2019-10-08,179356
2019-10-09,176919
2019-10-10,176196
2019-10-11,175569
2019-10-12,172550
2019-10-13,167027
2019-10-14,166830
2019-10-15,167263
2019-10-16,168839
2019-10-17,169408
2019-10-18,169976
2019-10-19,173729
2019-10-20,175768
2019-10-21,176357
2019-10-22,178520
2019-10-23,179475
2019-10-24,183008
2019-10-25,181844
2019-10-26,185292
2019-10-27,181340
2019-10-28,181460
2019-10-29,179910
2019-10-30,178880
2019-10-31,178493
2019-11-01,181053
2019-11-02,184118
2019-11-03,185740
2019-11-04,186208
2019-11-05,187271
2019-11-06,188803
2019-11-07,190109
2019-11-08,188181
2019-11-09,186221
2019-11-10,186389
2019-11-11,181692
2019-11-12,181167
2019-11-13,180531
2019-11-14,181895
2019-11-15,185256
2019-11-16,189681
2019-11-17,187025
2019-11-18,186114
2019-11-19,180790
2019-11-20,183838
2019-11-21,187773
2019-11-22,188790
2019-11-23,188405
2019-11-24,184862
2019-11-25,181868
2019-11-26,182939
2019-11-27,183105
2019-11-28,183115
2019-11-29,185516
2019-11-30,185997
2019-12-01,185572
2019-12-02,187307
2019-12-03,192525
2019-12-04,198365
2019-12-05,204970
2019-12-06,213128
2019-12-07,221304
2019-12-08,220963
2019-12-09,216560
2019-12-10,216596
2019-12-11,218214
2019-12-12,215003
2019-12-13,211692
2019-12-14,209996
2019-12-15,205535
2019-12-16,206610
2019-12-17,205544
2019-12-18,204970
2019-12-19,203010
2019-12-20,200862
2019-12-21,201557
2019-12-22,201270
2019-12-23,198810
2019-12-24,196940
2019-12-25,199460
2019-12-26,200096
2019-12-27,198083
2019-12-28,198039
2019-12-29,196328
2019-12-30,192385
2019-12-31,190945
2020-01-01,195096
2020-01-02,196456
2020-01-03,198458
2020-01-04,197250
2020-01-05,195924
2020-01-06,192383
2020-01-07,191055
2020-01-08,194665
2020-01-09,196746
2020-01-10,197384
2020-01-11,194086
2020-01-12,193456
2020-01-13,194583
2020-01-14,195322
2020-01-15,194888
2020-01-16,194143
2020-01-17,193850
2020-01-18,191519
2020-01-19,190853
2020-01-20,191045
2020-01-21,191054
2020-01-22,190350
2020-01-23,186667
2020-01-24,186658
2020-01-25,184581
2020-01-26,181118
2020-01-27,181300
2020-01-28,174382
2020-01-29,174517
2020-01-30,174219
2020-01-31,172190
2020-02-01,178119
2020-02-02,181580
2020-02-03,177940
2020-02-04,177093
2020-02-05,175511
2020-02-06,172291
2020-02-07,163689
2020-02-08,167780
2020-02-09,170414
2020-02-10,169660
2020-02-11,166611
2020-02-12,167069
2020-02-13,171198
2020-02-14,168969
2020-02-15,168769
2020-02-16,167494
2020-02-17,169667
2020-02-18,168858
2020-02-19,165746
2020-02-20,165095
2020-02-21,163521
2020-02-22,162216
2020-02-23,161561
2020-02-24,161787
2020-02-25,164897
2020-02-26,168578
2020-02-27,170735
2020-02-28,172100
2020-02-29,170529
2020-03-01,171094
2020-03-02,170266
2020-03-03,167879
2020-03-04,165837
2020-03-05,164373
2020-03-06,163860
2020-03-07,163769
2020-03-08,164623
2020-03-09,165569
2020-03-10,167961
2020-03-11,167837
2020-03-12,167028
2020-03-13,168479
2020-03-14,169272
2020-03-15,173174
2020-03-16,175844
2020-03-17,174010
2020-03-18,174708
2020-03-19,175435
2020-03-20,172983
2020-03-21,170422
2020-03-22,170151
2020-03-23,170503
2020-03-24,170586
2020-03-25,170244
2020-03-26,171969
2020-03-27,172907
2020-03-28,171913
2020-03-29,171368
2020-03-30,170631
2020-03-31,170202
2020-04-01,167328
2020-04-02,167521
2020-04-03,167623
2020-04-04,167047
2020-04-05,165373
2020-04-06,161717
2020-04-07,161941
2020-04-08,161203
2020-04-09,161215
2020-04-10,161207
2020-04-11,160417
2020-04-12,159348
2020-04-13,155836
2020-04-14,154527
2020-04-15,158815
2020-04-16,164944
2020-04-17,164378
2020-04-18,163788
2020-04-19,162292
2020-04-20,162255
2020-04-21,162451
2020-04-22,164916
2020-04-23,169107
2020-04-24,170186
2020-04-25,176481
2020-04-26,180210
2020-04-27,181683
2020-04-28,187835
2020-04-29,185500
2020-04-30,188296
2020-05-01,188024
2020-05-02,187567
2020-05-03,185609
2020-05-04,182977
2020-05-05,181517
2020-05-06,187312
2020-05-07,187354
2020-05-08,188070
2020-05-09,186935
2020-05-10,190472
2020-05-11,191651
2020-05-12,192751
2020-05-13,192933
