date_obj,Abyssal%20dagger price
2015-10-05,15413171
2015-10-06,16100293
2015-10-07,16840787
2015-10-08,17588039
2015-10-09,17588039
2015-10-10,18361075
2015-10-11,18361075
2015-10-12,18891583
2015-10-13,18891583
2015-10-14,19695270
2015-10-15,19779651
2015-10-16,19779651
2015-10-17,19779651
2015-10-18,19478725
2015-10-19,19478725
2015-10-20,19107640
2015-10-22,19203155
2015-10-23,19992303
2015-10-24,19992303
2015-10-25,20414728
2015-10-26,20414728
2015-10-27,20414728
2015-10-28,20414728
2015-10-29,19615427
2015-10-30,19615427
2015-10-31,19615427
2015-11-01,19615427
2015-11-02,18662500
2015-11-03,18662500
2015-11-04,18662500
2015-11-05,17736087
2015-11-06,17736087
2015-11-07,17736087
2015-11-08,17736087
2015-11-09,16872279
2015-11-10,16872279
2015-11-11,16872279
2015-11-12,16028665
2015-11-13,16028665
2015-11-14,16028665
2015-11-15,15231773
2015-11-16,15231773
2015-11-17,15231773
2015-11-18,15231773
2015-11-19,14499523
2015-11-20,14499523
2015-11-21,14499523
2015-11-22,13968115
2015-11-23,13968115
2015-11-24,13968115
2015-11-25,14075195
2015-11-26,14075195
2015-11-27,14660674
2015-11-28,14660674
2015-11-29,15168134
2015-11-30,15168134
2015-12-01,15168134
2015-12-02,15168134
2015-12-03,15454746
2015-12-04,15454746
2015-12-05,15454746
2015-12-06,15792492
2015-12-07,15792492
2015-12-08,15792492
2015-12-09,16053833
2015-12-10,16053833
2015-12-11,16053833
2015-12-12,16369993
2015-12-13,16369993
2015-12-14,16369993
2015-12-15,16617128
2015-12-16,16617128
2015-12-17,16617128
2015-12-18,17194397
2015-12-19,17194397
2015-12-20,17194397
2015-12-21,17194397
2015-12-22,17399445
2015-12-23,17399445
2015-12-24,17399445
2015-12-25,17399445
2015-12-26,17399445
2015-12-27,17095624
2015-12-28,17095624
2015-12-29,17095624
2015-12-30,16620858
2015-12-31,16620858
2016-01-01,16620858
2016-01-02,16620858
2016-01-03,16350685
2016-01-04,16350685
2016-01-05,16678873
2016-01-06,16678873
2016-01-07,16678873
2016-01-08,17050561
2016-01-09,17050561
2016-01-10,17050561
2016-01-11,17109222
2016-01-12,17109222
2016-01-13,17109222
2016-01-14,17486284
2016-01-15,17486284
2016-01-16,17486284
2016-01-17,17877537
2016-01-18,17877537
2016-01-19,17877537
2016-01-20,18131616
2016-01-21,18131616
2016-01-22,18131616
2016-01-23,18211122
2016-01-24,18211122
2016-01-25,18211122
2016-01-26,18095668
2016-01-27,18095668
2016-01-28,18095668
2016-01-29,18095668
2016-01-30,17440498
2016-01-31,17440498
2016-02-01,17440498
2016-02-02,16800374
2016-02-03,16800374
2016-02-04,16800374
2016-02-05,15984702
2016-02-06,15984702
2016-02-07,15391778
2016-02-08,15391778
2016-02-09,15391778
2016-02-10,15176696
2016-02-11,15176696
2016-02-12,15176696
2016-02-13,15243901
