date_obj,Diamond%20bracelet price
2015-03-26,9308
2015-03-27,9308
2015-03-28,8854
2015-03-29,8854
2015-03-30,8411
2015-03-31,8411
2015-04-01,8011
2015-04-02,8011
2015-04-03,7610
2015-04-04,7233
2015-04-05,7233
2015-04-06,6871
2015-04-07,6871
2015-04-08,6527
2015-04-09,6527
2015-04-10,6200
2015-04-11,6200
2015-04-12,5890
2015-04-13,5890
2015-04-14,5595
2015-04-15,5595
2015-04-16,5315
2015-04-17,5315
2015-04-18,5049
2015-04-19,5049
2015-04-20,4813
2015-04-21,4813
2015-04-22,4572
2015-04-23,4346
2015-04-24,4346
2015-04-25,4128
2015-04-26,4128
2015-04-27,3921
2015-04-28,3921
2015-04-29,3724
2015-04-30,3537
2015-05-01,3363
2015-05-02,3226
2015-05-03,3226
2015-05-04,3064
2015-05-05,3064
2015-05-06,2912
2015-05-07,2912
2015-05-08,2768
2015-05-09,2768
2015-05-10,2630
2015-05-11,2630
2015-05-12,2568
2015-05-13,2568
2015-05-14,2473
2015-05-15,2473
2015-05-16,2351
2015-05-17,2266
2015-05-18,2266
2015-05-19,2326
2015-05-20,2326
2015-05-21,2326
2015-05-22,2221
2015-05-23,2221
2015-05-24,2124
2015-05-25,2124
2015-05-26,2132
2015-05-27,2132
2015-05-28,2166
2015-05-29,2166
2015-05-30,2129
2015-05-31,2129
2015-06-01,2117
2015-06-02,2117
2015-06-03,2123
2015-06-04,2123
2015-06-05,2062
2015-06-06,2084
2015-06-07,2084
2015-06-08,2075
2015-06-09,2075
2015-06-10,2105
2015-06-11,2105
2015-06-12,2141
2015-06-13,2141
2015-06-14,2160
2015-06-15,2160
2015-06-16,2138
2015-06-17,2138
2015-06-18,2097
2015-06-19,2097
2015-06-20,2104
2015-06-21,2104
2015-06-22,2116
2015-06-23,2116
2015-06-24,2141
2015-06-25,2141
2015-06-26,2141
2015-06-27,2141
2015-06-28,2128
2015-06-29,2128
2015-06-30,2174
2015-07-01,2174
2015-07-02,2146
2015-07-03,2108
2015-07-04,2108
2015-07-05,2061
2015-07-06,2061
2015-07-07,2120
2015-07-08,2120
2015-07-09,2155
2015-07-10,2155
2015-07-11,2245
2015-07-12,2245
2015-07-13,2172
2015-07-14,2172
2015-07-15,2088
2015-07-16,2088
2015-07-17,2100
2015-07-18,2100
2015-07-19,2113
2015-07-20,2113
2015-07-21,2119
2015-07-22,2100
2015-07-23,2100
2015-07-24,2158
2015-07-25,2158
2015-07-26,2123
2015-07-27,2123
2015-07-28,2166
2015-07-29,2125
2015-07-30,2125
2015-07-31,2204
2015-08-01,2204
2015-08-02,2163
2015-08-03,2163
2015-08-04,2172
2015-08-05,2172
2015-08-06,2144
2015-08-07,2144
2015-08-08,2106
2015-08-09,2106
2015-08-10,2090
2015-08-11,2090
2015-08-12,2096
2015-08-13,2096
2015-08-14,2127
2015-08-15,2127
2015-08-16,2150
2015-08-17,2150
2015-08-18,2130
2015-08-19,2130
2015-08-20,2163
2015-08-21,2235
2015-08-22,2235
2015-08-23,2254
2015-08-24,2254
2015-08-25,2218
2015-08-26,2218
2015-08-27,2220
2015-08-28,2220
2015-08-29,2142
2015-08-30,2142
2015-08-31,2084
2015-09-01,2084
2015-09-02,2066
2015-09-03,2066
2015-09-04,2111
2015-09-05,2111
2015-09-06,2156
2015-09-07,2156
2015-09-08,2152
2015-09-09,2152
2015-09-10,2088
2015-09-11,2088
2015-09-12,2126
2015-09-13,2126
2015-09-14,2128
2015-09-15,2128
2015-09-16,2112
2015-09-17,2112
2015-09-18,2106
2015-09-19,2106
2015-09-20,2065
2015-09-21,2065
2015-09-22,2088
2015-09-23,2088
2015-09-24,2155
2015-09-25,2155
2015-09-27,2179
2015-09-28,2173
2015-09-29,2173
2015-09-30,2243
2015-10-05,2180
2015-10-06,2202
2015-10-07,2202
2015-10-08,2184
2015-10-09,2184
2015-10-10,2135
2015-10-11,2168
2015-10-12,2168
2015-10-13,2173
2015-10-14,2173
2015-10-15,2095
2015-10-16,2095
2015-10-17,2184
2015-10-18,2184
2015-10-19,2106
2015-10-20,2106
2015-10-22,2023
2015-10-23,2073
2015-10-24,2073
2015-10-25,2177
2015-10-26,2177
2015-10-27,2155
2015-10-29,2096
2015-10-30,2096
2015-10-31,2118
2015-11-01,2118
2015-11-02,2143
2015-11-03,2143
2015-11-04,2134
2015-11-05,2134
2015-11-06,2120
2015-11-07,2122
2015-11-08,2122
2015-11-09,2122
2015-11-10,2137
2015-11-11,2137
2015-11-12,2145
2015-11-13,2145
2015-11-14,2156
2015-11-15,2156
2015-11-16,2123
2015-11-17,2123
2015-11-18,2181
2015-11-19,2181
2015-11-20,2205
2015-11-21,2205
2015-11-22,2231
2015-11-23,2231
2015-11-24,2231
2015-11-25,2236
2015-11-26,2236
2015-11-27,2331
2015-11-28,2331
2015-11-29,2300
2015-11-30,2300
2015-12-01,2375
2015-12-02,2375
2015-12-03,2345
2015-12-04,2345
2015-12-05,2356
2015-12-06,2403
2015-12-07,2403
2015-12-08,2453
2015-12-09,2452
2015-12-10,2452
2015-12-11,2421
2015-12-12,2421
2015-12-13,2467
2015-12-14,2467
2015-12-15,2502
2015-12-16,2502
2015-12-17,2465
2015-12-18,2465
2015-12-19,2345
2015-12-20,2316
2015-12-21,2316
2015-12-22,2310
2015-12-23,2310
2015-12-24,2261
2015-12-25,2261
2015-12-26,2336
2015-12-27,2272
2015-12-28,2272
2015-12-29,2344
2015-12-30,2344
2015-12-31,2417
2016-01-01,2417
2016-01-02,2412
2016-01-03,2414
2016-01-04,2412
2016-01-05,2412
2016-01-06,2387
2016-01-07,2387
2016-01-08,2419
2016-01-09,2419
2016-01-10,2431
2016-01-11,2431
2016-01-12,2386
2016-01-13,2386
2016-01-14,2367
2016-01-15,2367
2016-01-16,2463
2016-01-17,2463
2016-01-18,2430
2016-01-19,2430
2016-01-20,2411
2016-01-21,2411
2016-01-22,2291
2016-01-23,2291
2016-01-24,2265
2016-01-25,2251
2016-01-26,2251
2016-01-27,2277
2016-01-28,2277
2016-01-29,2318
2016-01-30,2318
2016-01-31,2268
2016-02-01,2254
2016-02-02,2254
2016-02-03,2203
2016-02-04,2203
2016-02-05,2150
2016-02-06,2116
2016-02-07,2116
2016-02-08,2118
2016-02-09,2118
2016-02-10,2084
2016-02-11,2084
2016-02-12,2176
2016-02-13,2188
2016-02-14,2188
2016-02-15,2253
2016-02-16,2253
2016-02-17,2214
2016-02-18,2214
2016-02-19,2236
2016-02-20,2236
2016-02-21,2225
2016-02-22,2225
2016-02-23,2239
2016-02-24,2239
2016-02-25,2144
2016-02-26,2144
2016-02-27,2128
2016-02-28,2128
2016-02-29,2104
2016-03-01,2129
2016-03-02,2129
2016-03-03,2094
2016-03-04,2094
2016-03-05,2052
2016-03-06,2072
2016-03-07,2072
2016-03-08,2099
2016-03-09,2099
2016-03-10,2112
2016-03-11,2112
2016-03-12,2165
2016-03-13,2165
2016-03-14,2125
2016-03-15,2125
2016-03-16,2151
2016-03-17,2151
2016-03-18,2124
2016-03-19,2124
2016-03-20,2077
2016-03-21,2077
2016-03-22,2042
2016-03-23,2079
2016-03-24,2079
2016-03-25,2094
2016-03-26,2123
2016-03-27,2123
2016-03-28,2127
2016-03-29,2127
2016-03-30,2140
2016-03-31,2140
2016-04-01,2115
2016-04-02,2115
2016-04-03,2173
2016-04-04,2173
2016-04-05,2140
2016-04-06,2140
2016-04-07,2101
2016-04-08,2081
2016-04-09,2108
2016-04-10,2126
2016-04-11,2126
2016-04-12,2129
2016-04-13,2129
2016-04-14,2118
2016-04-15,2129
2016-04-16,2129
2016-04-17,2114
2016-04-18,2149
2016-04-19,2149
2016-04-20,2108
2016-04-21,2108
2016-04-22,2091
2016-04-23,2148
2016-04-24,2133
2016-04-25,2140
2016-04-26,2140
2016-04-27,2141
2016-04-28,2141
2016-04-29,2145
2016-04-30,2106
2016-05-01,2106
2016-05-02,2085
2016-05-03,2096
2016-05-04,2096
2016-05-05,2091
2016-05-06,2091
2016-05-07,2063
2016-05-08,2063
2016-05-09,2071
2016-05-10,2057
2016-05-11,2057
2016-05-12,2062
2016-05-13,2052
2016-05-14,2052
2016-05-15,2058
2016-05-16,2058
2016-05-17,2103
2016-05-18,2089
2016-05-19,2089
2016-05-22,2083
2016-05-23,2115
2016-05-24,2119
2016-05-25,2119
2016-05-26,2120
2016-05-27,2123
2016-05-28,2123
2016-05-29,2147
2016-05-30,2147
2016-05-31,2114
2016-06-01,2118
2016-06-02,2118
2016-06-03,2125
2016-06-04,2119
2016-06-05,2119
2016-06-06,2107
2016-06-07,2107
2016-06-08,2105
2016-06-09,2096
2016-06-10,2091
2016-06-11,2091
2016-06-12,2150
2016-06-13,2150
2016-06-14,2145
2016-06-15,2145
2016-06-16,2134
2016-06-17,2132
2016-06-18,2132
2016-06-19,2117
2016-06-20,2140
2016-06-21,2127
2016-06-22,2144
2016-06-23,2127
2016-06-24,2127
2016-06-25,2096
2016-06-26,2096
2016-06-27,2108
2016-06-28,2172
2016-06-29,2156
2016-06-30,2088
2016-07-01,2120
2016-07-02,2120
2016-07-03,2142
2016-07-04,2148
2016-07-05,2148
2016-07-06,2099
2016-07-07,2099
2016-07-08,2130
2016-07-09,2149
2016-07-10,2155
2016-07-11,2162
2016-07-12,2162
2016-07-13,2123
2016-07-14,2132
2016-07-15,2132
2016-07-16,2137
2016-07-17,2137
2016-07-18,2097
2016-07-23,2167
2016-07-24,2132
2016-07-25,2132
2016-07-26,2139
2016-07-27,2139
2016-07-28,2112
2016-07-29,2112
2016-07-30,2123
2016-07-31,2123
2016-08-01,2123
2016-08-02,2130
2016-08-03,2130
2016-08-04,2126
2016-08-05,2126
2016-08-06,2136
2016-08-07,2136
2016-08-08,2144
2016-08-09,2144
2016-08-10,2161
2016-08-11,2161
2016-08-12,2161
2016-08-13,2128
2016-08-14,2128
