date_obj,Poison%20chalice price
2015-03-26,179
2015-03-27,179
2015-03-28,179
2015-03-29,187
2015-03-30,187
2015-03-31,187
2015-04-01,187
2015-04-02,194
2015-04-03,194
2015-04-04,194
2015-04-05,202
2015-04-06,202
2015-04-07,202
2015-04-08,213
2015-04-09,213
2015-04-10,213
2015-04-11,213
2015-04-12,223
2015-04-13,223
2015-04-14,223
2015-04-15,235
2015-04-16,235
2015-04-17,235
2015-04-18,239
2015-04-19,239
2015-04-20,239
2015-04-21,251
2015-04-22,251
2015-04-23,251
2015-04-24,264
2015-04-25,264
2015-04-26,264
2015-04-27,278
2015-04-28,278
2015-04-29,278
2015-04-30,292
2015-05-01,292
2015-05-02,307
2015-05-03,307
2015-05-04,321
2015-05-05,321
2015-05-06,338
2015-05-07,338
2015-05-08,355
2015-05-09,355
2015-05-10,373
2015-05-11,373
2015-05-12,392
2015-05-13,392
2015-05-14,412
2015-05-15,412
2015-05-16,433
2015-05-17,455
2015-05-18,455
2015-05-19,478
2015-05-20,478
2015-05-21,478
2015-05-22,502
2015-05-23,502
2015-05-24,528
2015-05-25,528
2015-05-26,555
2015-05-27,555
2015-05-28,555
2015-05-29,583
2015-05-30,583
2015-05-31,613
2015-06-01,613
2015-06-02,613
2015-06-03,644
2015-06-04,644
2015-06-05,644
2015-06-06,663
2015-06-07,663
2015-06-08,663
2015-06-09,663
2015-06-10,657
2015-06-11,657
2015-06-12,657
2015-06-13,657
2015-06-14,657
2015-06-15,657
2015-06-16,657
2015-06-17,657
2015-06-18,654
2015-06-19,654
2015-06-20,654
2015-06-21,654
2015-06-22,643
2015-06-23,643
2015-06-24,643
2015-06-25,643
2015-06-26,657
2015-06-27,657
2015-06-28,657
2015-06-29,657
2015-06-30,668
2015-07-01,668
2015-07-02,668
2015-07-03,668
2015-07-04,693
2015-07-05,693
2015-07-06,693
2015-07-07,693
2015-07-08,723
2015-07-09,723
2015-07-10,723
2015-07-11,723
2015-07-12,723
2015-07-13,745
2015-07-14,745
2015-07-15,745
2015-07-16,745
2015-07-17,783
2015-07-18,783
2015-07-19,783
2015-07-20,783
2015-07-21,813
2015-07-22,813
2015-07-23,813
2015-07-24,813
2015-07-25,813
2015-07-26,850
2015-07-27,850
2015-07-28,850
2015-07-29,893
2015-07-30,893
2015-07-31,893
2015-08-01,893
2015-08-02,893
2015-08-03,934
2015-08-04,934
2015-08-05,934
2015-08-06,934
2015-08-07,981
2015-08-08,981
2015-08-09,981
2015-08-10,1010
2015-08-11,1010
2015-08-12,1010
2015-08-13,1010
2015-08-14,1050
2015-08-15,1050
2015-08-16,1050
2015-08-17,1050
2015-08-18,1050
2015-08-19,1083
2015-08-20,1083
2015-08-21,1083
2015-08-22,1083
2015-08-23,1107
2015-08-24,1107
2015-08-25,1107
2015-08-26,1107
2015-08-27,1118
2015-08-28,1118
2015-08-29,1118
2015-08-30,1118
2015-08-31,1146
2015-09-01,1146
2015-09-02,1146
2015-09-03,1146
2015-09-04,1192
2015-09-05,1192
2015-09-06,1192
2015-09-07,1192
2015-09-08,1232
2015-09-09,1232
2015-09-10,1232
2015-09-11,1232
2015-09-12,1268
2015-09-13,1268
2015-09-14,1268
2015-09-15,1301
2015-09-16,1301
2015-09-17,1301
2015-09-18,1301
2015-09-19,1301
2015-09-20,1289
2015-09-21,1289
2015-09-22,1289
2015-09-23,1289
2015-09-24,1289
2015-09-25,1315
2015-09-27,1315
2015-09-28,1315
