date_obj,Mystic%20hat%20(dusk) price
2019-01-10,18500
2019-01-11,19343
2019-01-12,20311
2019-01-13,21287
2019-01-14,22322
2019-01-15,23396
2019-01-16,24515
2019-01-17,25680
2019-01-18,26908
2019-01-19,28130
2019-01-20,29474
2019-01-21,30816
2019-01-22,32305
2019-01-23,33536
2019-01-24,35115
2019-01-25,36661
2019-01-26,38306
2019-01-27,40115
2019-01-28,42030
2019-01-29,44068
2019-01-30,46118
2019-01-31,48337
2019-02-01,50754
2019-02-02,53208
2019-02-03,55697
2019-02-04,55697
2019-02-05,58482
2019-02-06,58482
2019-02-07,61407
2019-02-08,61407
2019-02-09,64478
2019-02-10,67519
2019-02-11,70745
2019-02-12,70745
2019-02-13,74283
2019-02-14,74283
2019-02-15,77785
2019-02-16,81062
2019-02-17,84577
2019-02-18,88580
2019-02-19,92763
2019-02-20,97028
2019-02-21,101563
2019-02-22,101563
2019-02-23,106132
2019-02-24,111131
2019-02-25,116340
2019-02-26,120933
2019-02-27,120933
2019-02-28,120933
2019-03-01,126980
2019-03-02,126980
2019-03-03,133329
2019-03-04,139704
2019-03-05,139704
2019-03-06,142512
2019-03-07,142512
2019-03-08,147138
2019-03-09,147138
2019-03-10,145816
2019-03-11,145816
2019-03-12,139087
2019-03-13,139087
2019-03-14,132714
2019-03-15,132714
2019-03-16,127146
2019-03-17,122951
2019-03-18,122951
2019-03-19,122951
2019-03-20,116803
2019-03-21,116803
2019-03-22,111322
2019-03-23,106343
2019-03-24,106343
2019-03-25,101569
2019-03-26,101569
2019-03-27,97812
2019-03-28,97812
2019-03-29,94567
2019-03-30,94567
2019-03-31,94567
2019-04-01,94872
2019-04-02,94872
2019-04-03,96500
2019-04-04,96500
2019-04-05,95281
2019-04-06,95281
2019-04-07,95281
2019-04-08,90523
2019-04-09,90523
2019-04-10,86952
2019-04-11,86952
2019-04-12,83469
2019-04-13,83469
2019-04-14,79867
2019-04-15,79867
2019-04-16,76255
2019-04-17,76255
2019-04-18,72858
2019-04-19,72858
2019-04-20,69586
2019-04-21,69586
2019-04-22,66520
2019-04-23,66520
2019-04-24,63583
2019-04-25,63583
2019-04-26,60778
2019-04-27,60778
2019-04-28,58204
2019-04-29,58204
2019-04-30,55293
2019-05-01,55293
2019-05-02,52618
2019-05-03,52618
2019-05-04,50232
2019-05-05,50232
2019-05-06,48711
2019-05-07,48711
2019-05-08,47762
2019-05-09,47762
2019-05-10,47762
2019-05-11,46576
2019-05-12,46576
2019-05-13,44260
2019-05-14,44260
2019-05-15,43698
2019-05-16,43698
2019-05-17,43698
2019-05-18,43076
2019-05-19,43076
2019-05-20,44683
2019-05-21,44683
2019-05-22,44683
2019-05-23,45625
2019-05-24,45625
2019-05-25,44840
2019-05-26,44840
2019-05-27,46334
2019-05-28,46334
2019-05-29,46099
2019-05-30,46099
2019-05-31,46099
2019-06-01,47803
2019-06-02,47803
2019-06-03,47803
2019-06-04,46168
2019-06-05,46168
2019-06-06,44960
2019-06-07,44960
2019-06-08,44960
2019-06-09,43672
2019-06-10,43672
2019-06-11,43672
2019-06-12,45496
2019-06-13,45496
2019-06-14,46900
2019-06-15,46900
2019-06-16,47355
2019-06-17,47355
2019-06-18,47355
2019-06-19,46023
2019-06-20,47378
2019-06-21,47378
2019-06-22,48182
2019-06-23,48182
2019-06-24,49837
2019-06-25,49837
2019-06-26,52329
2019-06-27,54634
2019-06-28,54634
2019-06-29,54634
2019-06-30,55103
2019-07-01,55103
2019-07-02,52398
2019-07-03,52398
2019-07-04,49918
2019-07-05,49918
2019-07-06,47422
2019-07-07,47422
2019-07-08,45281
2019-07-09,45281
2019-07-10,43095
2019-07-11,43095
2019-07-12,41268
2019-07-13,41268
2019-07-14,41575
2019-07-15,41575
2019-07-16,41575
2019-07-17,39526
2019-07-18,39526
2019-07-19,39579
2019-07-20,39579
2019-07-21,39579
2019-07-22,39132
2019-07-23,39132
2019-07-24,39132
2019-07-25,40539
2019-07-26,40539
2019-07-27,40539
2019-07-28,41856
2019-07-29,41856
2019-07-30,43228
2019-07-31,43228
2019-08-01,43066
2019-08-02,43066
2019-08-03,41697
2019-08-04,41697
2019-08-05,41697
2019-08-06,40875
2019-08-07,40875
2019-08-08,40875
2019-08-09,42047
2019-08-10,42047
2019-08-11,42047
2019-08-12,42180
2019-08-13,42180
2019-08-14,42180
2019-08-15,42900
2019-08-16,42900
2019-08-17,42900
2019-08-18,44432
2019-08-19,44432
2019-08-20,44432
2019-08-21,45500
2019-08-22,45500
2019-08-23,45500
2019-08-24,46649
2019-08-24,46649
2019-08-25,46649
2019-08-25,46649
2019-08-26,46649
2019-08-26,46649
2019-08-27,48311
2019-08-27,48311
2019-08-28,48311
2019-08-29,48311
2019-08-30,49656
2019-08-31,49656
2019-09-01,49656
2019-09-02,51047
2019-09-03,51047
2019-09-04,51047
2019-09-05,49642
2019-09-06,49642
2019-09-07,49642
2019-09-08,49125
2019-09-09,49125
2019-09-10,49125
2019-09-11,46721
2019-09-12,46721
2019-09-13,46721
2019-09-14,45727
2019-09-15,45727
2019-09-16,45727
2019-09-17,46760
2019-09-18,46760
2019-09-19,46760
2019-09-20,46760
2019-09-21,45686
2019-09-22,45686
2019-09-23,44762
2019-09-24,44762
2019-09-25,44762
2019-09-26,45276
2019-09-27,45276
2019-09-28,45276
2019-09-29,45276
2019-09-30,45148
2019-10-01,45148
2019-10-02,45148
2019-10-03,43068
2019-10-04,43068
2019-10-05,43068
2019-10-06,42183
2019-10-07,42183
2019-10-08,42183
2019-10-09,42183
2019-10-10,42004
2019-10-11,42004
2019-10-12,42004
2019-10-13,44105
2019-10-14,44105
2019-10-15,44105
2019-10-16,44899
2019-10-17,44899
2019-10-18,44899
2019-10-19,43941
2019-10-20,43941
2019-10-21,43941
2019-10-22,45020
2019-10-23,45020
2019-10-24,45020
2019-10-25,46716
2019-10-26,46716
2019-10-27,46716
2019-10-28,45460
2019-10-29,45460
2019-10-30,45460
2019-10-31,45460
2019-11-01,45359
2019-11-02,45359
2019-11-03,45359
2019-11-04,43588
2019-11-05,43588
2019-11-06,43588
2019-11-07,43588
2019-11-08,44847
2019-11-09,44847
2019-11-10,43493
2019-11-11,43493
2019-11-12,43493
2019-11-13,41709
2019-11-14,41709
2019-11-15,41709
2019-11-16,41206
2019-11-17,41206
2019-11-18,41206
2019-11-19,39381
2019-11-20,39381
2019-11-21,39381
2019-11-22,38009
2019-11-23,38009
2019-11-24,38009
2019-11-25,36310
2019-11-26,36310
2019-11-27,36310
2019-11-28,35314
2019-11-29,35314
2019-11-30,35314
2019-12-01,33676
2019-12-02,33676
2019-12-03,32613
2019-12-04,32613
2019-12-05,32613
2019-12-06,32613
2019-12-07,31029
2019-12-08,31029
2019-12-09,31029
2019-12-10,30109
2019-12-11,30109
2019-12-12,30109
2019-12-13,29720
2019-12-14,29720
2019-12-15,29720
2019-12-16,29722
2019-12-17,29722
2019-12-18,29722
2019-12-19,30527
2019-12-20,30527
2019-12-21,30527
2019-12-22,30727
2019-12-23,30727
2019-12-24,30727
2019-12-25,29902
2019-12-26,29902
2019-12-27,29902
2019-12-28,29777
2019-12-29,29777
2019-12-30,29777
2019-12-31,29840
2020-01-01,29840
2020-01-02,29840
2020-01-03,30925
2020-01-04,30925
2020-01-05,30925
2020-01-06,31763
2020-01-07,31763
2020-01-08,31763
2020-01-09,33126
2020-01-10,33126
2020-01-11,33123
2020-01-12,33123
2020-01-13,33123
2020-01-14,33230
2020-01-15,33230
2020-01-16,34368
