date_obj,Rune%20platelegs%20(g) price
2015-03-26,78440
2015-03-27,78440
2015-03-28,78029
2015-03-29,78029
2015-03-30,77396
2015-03-31,77396
2015-04-01,76359
2015-04-02,76359
2015-04-03,73983
2015-04-04,73983
2015-04-05,71932
2015-04-06,71932
2015-04-07,70183
2015-04-08,70183
2015-04-09,70183
2015-04-10,68081
2015-04-11,68081
2015-04-12,66999
2015-04-13,66999
2015-04-14,66428
2015-04-15,66428
2015-04-16,66237
2015-04-17,66237
2015-04-18,66474
2015-04-19,66474
2015-04-20,67613
2015-04-21,67613
2015-04-22,67414
2015-04-23,67414
2015-04-24,67097
2015-04-25,67097
2015-04-26,66663
2015-04-27,66663
2015-04-28,66835
2015-04-29,66835
2015-04-30,66911
2015-05-01,66911
2015-05-02,66706
2015-05-03,66706
2015-05-04,65823
2015-05-05,65823
2015-05-06,64982
2015-05-07,64982
2015-05-08,64673
2015-05-09,64673
2015-05-10,63824
2015-05-11,63824
2015-05-12,63397
2015-05-13,63397
2015-05-14,63482
2015-05-15,63482
2015-05-16,63482
2015-05-17,63156
2015-05-18,63156
2015-05-19,62169
2015-05-20,62169
2015-05-21,62169
2015-05-22,61960
2015-05-23,61960
2015-05-24,61637
2015-05-25,61637
2015-05-26,61192
2015-05-27,61192
2015-05-28,60644
2015-05-29,60644
2015-05-30,59957
2015-05-31,59957
2015-06-01,59049
2015-06-02,59049
2015-06-03,58125
2015-06-04,58125
2015-06-05,58048
2015-06-06,57790
2015-06-07,58258
2015-06-08,58258
2015-06-09,57820
2015-06-10,57625
2015-06-11,57625
2015-06-12,57210
2015-06-13,56686
2015-06-14,56736
2015-06-15,57020
2015-06-16,58163
2015-06-17,58163
2015-06-18,58922
2015-06-19,58922
2015-06-20,59035
2015-06-21,59035
2015-06-22,59364
2015-06-23,59364
2015-06-24,59244
2015-06-25,59244
2015-06-26,59155
2015-06-27,59155
2015-06-28,59401
2015-06-29,59401
2015-06-30,59431
2015-07-01,60810
2015-07-02,60810
2015-07-03,62034
2015-07-04,62158
2015-07-05,62158
2015-07-06,63101
2015-07-07,63472
2015-07-08,63918
2015-07-09,63918
2015-07-10,65181
2015-07-11,65181
2015-07-12,66133
2015-07-13,67117
2015-07-14,67214
2015-07-15,67358
2015-07-16,67358
2015-07-17,67734
2015-07-18,67734
2015-07-19,68485
2015-07-20,69059
2015-07-21,69059
2015-07-22,69415
2015-07-23,69415
2015-07-24,69120
2015-07-25,69120
2015-07-26,69125
2015-07-27,68146
2015-07-28,68146
2015-07-29,69289
2015-07-30,69289
2015-07-31,69855
2015-08-01,69855
2015-08-02,69809
2015-08-03,69809
2015-08-04,69545
2015-08-05,69373
2015-08-06,69373
2015-08-07,69429
2015-08-08,69543
2015-08-09,69866
2015-08-10,69852
2015-08-11,69852
2015-08-12,70566
2015-08-13,70566
2015-08-14,70756
2015-08-15,70756
2015-08-16,71135
2015-08-17,70156
2015-08-18,70156
2015-08-19,68643
2015-08-20,68643
2015-08-21,66646
2015-08-22,64977
2015-08-23,64977
2015-08-24,63494
2015-08-25,63494
2015-08-26,63056
2015-08-27,61696
2015-08-28,61696
2015-08-29,61754
2015-08-30,61754
2015-08-31,61807
2015-09-01,61271
2015-09-02,61271
2015-09-03,61471
2015-09-04,61789
2015-09-05,61789
2015-09-06,61636
2015-09-07,61433
2015-09-08,62707
2015-09-09,62708
2015-09-10,62708
2015-09-11,62521
2015-09-12,62521
2015-09-13,61397
2015-09-14,61397
2015-09-15,60616
2015-09-16,60616
2015-09-17,59445
2015-09-18,59445
2015-09-19,58956
2015-09-20,58956
2015-09-21,58020
2015-09-22,57372
2015-09-23,57573
2015-09-24,57573
2015-09-25,57992
2015-09-27,58233
2015-09-28,58184
2015-09-29,58184
2015-09-30,57583
2015-10-05,57234
2015-10-06,58282
2015-10-07,58282
2015-10-08,58132
2015-10-09,58243
2015-10-10,58243
2015-10-11,57569
2015-10-12,58137
2015-10-13,58137
2015-10-14,58214
2015-10-15,57883
2015-10-16,58602
2015-10-17,58602
2015-10-18,58562
2015-10-19,58136
2015-10-20,58136
2015-10-22,58214
2015-10-23,58068
2015-10-24,58068
2015-10-25,58683
2015-10-26,59486
2015-10-27,59486
2015-10-29,60199
2015-10-30,61158
2015-10-31,62089
2015-11-01,62089
2015-11-02,63589
2015-11-03,63589
2015-11-04,64856
2015-11-05,64856
2015-11-06,65656
2015-11-07,65239
2015-11-08,65239
2015-11-09,65024
2015-11-10,65024
2015-11-11,65151
2015-11-12,65151
2015-11-13,65328
2015-11-14,65328
2015-11-15,65195
2015-11-16,65195
2015-11-17,66202
2015-11-18,66202
2015-11-19,67100
2015-11-20,67100
2015-11-21,68236
2015-11-22,69113
2015-11-23,69113
2015-11-24,70109
2015-11-25,70507
2015-11-26,70507
2015-11-27,70453
2015-11-28,70453
2015-11-29,68942
2015-11-30,67546
2015-12-01,67546
2015-12-02,66692
2015-12-03,64408
2015-12-04,64408
2015-12-05,62327
2015-12-06,61089
2015-12-07,61089
2015-12-08,60263
2015-12-09,60008
2015-12-10,60008
2015-12-11,59258
2015-12-12,59258
2015-12-13,58306
2015-12-14,58306
2015-12-15,57215
2015-12-16,56596
2015-12-17,56596
2015-12-18,56374
2015-12-19,56374
2015-12-20,56347
2015-12-21,56347
2015-12-22,56880
2015-12-23,57895
2015-12-24,57895
2015-12-25,58695
2015-12-26,58695
2015-12-27,59509
2015-12-28,59509
2015-12-29,59578
2015-12-30,59246
2015-12-31,59246
2016-01-01,58639
2016-01-02,58639
2016-01-03,59500
2016-01-04,59901
2016-01-05,59901
2016-01-06,60690
2016-01-07,60690
2016-01-08,61512
2016-01-09,61512
2016-01-10,61937
2016-01-11,61937
2016-01-12,63418
2016-01-13,63418
2016-01-14,64163
2016-01-15,64163
2016-01-16,64050
2016-01-17,64050
2016-01-18,64352
2016-01-19,64352
2016-01-20,64517
2016-01-21,64517
2016-01-22,63594
2016-01-23,63594
2016-01-24,63489
2016-01-25,62793
2016-01-26,62793
2016-01-27,62760
2016-01-28,62760
2016-01-29,61509
2016-01-30,61509
2016-01-31,60918
2016-02-01,61149
2016-02-02,61149
2016-02-03,60958
2016-02-04,60958
2016-02-05,60477
2016-02-06,59226
2016-02-07,59226
2016-02-08,59327
2016-02-09,59327
2016-02-10,58732
2016-02-11,58732
2016-02-12,57725
2016-02-13,57100
2016-02-14,57100
2016-02-15,56661
2016-02-16,56661
2016-02-17,55432
2016-02-18,55432
2016-02-19,54898
2016-02-20,54414
2016-02-21,54581
2016-02-22,54581
2016-02-23,54049
2016-02-24,54049
2016-02-25,54300
2016-02-26,54300
2016-02-27,55443
2016-02-28,55443
2016-02-29,56531
2016-03-01,56551
2016-03-02,56551
2016-03-03,57894
2016-03-04,58545
2016-03-05,58545
2016-03-06,59786
2016-03-07,59786
2016-03-08,61078
2016-03-09,62093
2016-03-10,62431
2016-03-11,62431
2016-03-12,63002
2016-03-13,63002
2016-03-14,62735
2016-03-15,61966
2016-03-16,62571
2016-03-17,61186
2016-03-18,60801
2016-03-19,60801
2016-03-20,60913
2016-03-21,60913
2016-03-22,60661
2016-03-23,60479
2016-03-24,60479
2016-03-25,60704
2016-03-26,60964
2016-03-27,60964
2016-03-28,60857
2016-03-29,60361
2016-03-30,60361
2016-03-31,59996
2016-04-01,59620
2016-04-02,59528
2016-04-03,59722
2016-04-04,60095
2016-04-05,60095
2016-04-06,59017
2016-04-07,58831
2016-04-08,58724
2016-04-09,59283
2016-04-10,59905
2016-04-11,59905
2016-04-12,60070
2016-04-13,58988
2016-04-14,58189
