date_obj,Stretched%20hide price
2016-01-06,38000
2016-01-07,38000
2016-01-08,38000
2016-01-09,38000
2016-01-10,38000
2016-01-11,38000
2016-01-12,38000
2016-01-13,38000
2016-01-14,38000
2016-01-15,38000
2016-01-16,38000
2016-01-17,38000
2016-01-18,38000
2016-01-19,38000
2016-01-20,38000
2016-01-21,38000
2016-01-22,38000
2016-01-23,38000
2016-01-24,38000
2016-01-25,38000
2016-01-26,38000
2016-01-27,38000
2016-01-28,38000
2016-01-29,38000
2016-01-30,38000
2016-01-31,38000
2016-02-01,38000
2016-02-02,38000
2016-02-03,38000
2016-02-04,38000
2016-02-05,38000
2016-02-06,38000
2016-02-07,38000
2016-02-08,38000
2016-02-09,38000
2016-02-10,38000
2016-02-11,38000
2016-02-12,38000
2016-02-13,38000
2016-02-14,38000
2016-02-15,38000
2016-02-16,38000
2016-02-17,38000
2016-02-18,38000
2016-02-19,38000
2016-02-20,38000
2016-02-21,38000
2016-02-22,38000
2016-02-23,38000
2016-02-24,38000
2016-02-25,38000
2016-02-26,38000
2016-02-27,38000
2016-02-28,38000
2016-02-29,38000
2016-03-01,38000
2016-03-02,38000
2016-03-03,38000
2016-03-04,38000
2016-03-05,38000
2016-03-06,38000
2016-03-07,38000
2016-03-08,38000
2016-03-09,38000
2016-03-10,38000
2016-03-11,38000
2016-03-12,38000
2016-03-13,38000
2016-03-14,38000
2016-03-15,38000
2016-03-16,38000
2016-03-17,38000
2016-03-18,38000
2016-03-19,38000
2016-03-20,38000
2016-03-21,38000
2016-03-22,38000
2016-03-23,38000
2016-03-24,38000
2016-03-25,38000
2016-03-26,38000
2016-03-27,38000
2016-03-28,38000
2016-03-29,38000
2016-03-30,38000
2016-03-31,38000
2016-04-01,38000
2016-04-02,38000
2016-04-03,38000
2016-04-04,38000
2016-04-05,38000
2016-04-06,38000
2016-04-07,38000
2016-04-08,38000
2016-04-09,38000
2016-04-10,38000
2016-04-11,38000
2016-04-12,38000
2016-04-13,38000
2016-04-14,38000
2016-04-15,38000
2016-04-16,38000
2016-04-17,38000
2016-04-18,38000
2016-04-19,38000
2016-04-20,38000
2016-04-21,38000
2016-04-22,38000
2016-04-23,38000
2016-04-24,38000
2016-04-25,38000
2016-04-26,38000
2016-04-27,38000
2016-04-28,38000
2016-04-29,38000
2016-04-30,38000
2016-05-01,38000
2016-05-02,38000
2016-05-03,38000
2016-05-04,38000
2016-05-05,36545
2016-05-06,36545
2016-05-07,36545
2016-05-08,36545
2016-05-09,36545
2016-05-10,36545
2016-05-11,36545
2016-05-12,36545
2016-05-13,36545
2016-05-14,36545
2016-05-15,36545
2016-05-16,36545
2016-05-17,36545
2016-05-18,36545
2016-05-19,36545
2016-05-22,36545
2016-05-23,36545
2016-05-24,36545
2016-05-25,36545
2016-05-26,36545
2016-05-27,36545
2016-05-28,36545
2016-05-29,36545
2016-05-30,36545
2016-05-31,36545
2016-06-01,36545
2016-06-02,36545
2016-06-03,36545
2016-06-04,36545
2016-06-05,36545
2016-06-06,36545
2016-06-07,36545
2016-06-08,36545
2016-06-09,36545
2016-06-10,36545
2016-06-11,36545
2016-06-12,36545
2016-06-13,36545
2016-06-14,36545
2016-06-15,36545
2016-06-16,36545
2016-06-17,36545
2016-06-18,36545
2016-06-19,36545
2016-06-20,36545
2016-06-21,36545
2016-06-22,36545
2016-06-23,36545
2016-06-24,36545
2016-06-25,36545
2016-06-26,36545
2016-06-27,36545
2016-06-28,36545
2016-06-29,36545
2016-06-30,36545
2016-07-01,36545
2016-07-02,36545
2016-07-03,36545
2016-07-04,36545
2016-07-05,36545
2016-07-06,36545
2016-07-07,36545
2016-07-08,36545
2016-07-09,36545
2016-07-10,36545
2016-07-11,36545
2016-07-12,36545
2016-07-13,36545
2016-07-14,36545
2016-07-15,36545
2016-07-16,36545
2016-07-17,36545
2016-07-18,36545
2016-07-24,36545
2016-07-25,36545
2016-07-26,36545
2016-07-27,36545
2016-07-28,36545
2016-07-29,36545
2016-07-30,36545
2016-07-31,36545
2016-08-01,36545
2016-08-02,36545
2016-08-03,36545
2016-08-04,36545
2016-08-05,36545
2016-08-06,36545
2016-08-07,36545
2016-08-08,36545
2016-08-09,36545
2016-08-10,36545
2016-08-11,36545
2016-08-12,36545
2016-08-13,36545
2016-08-14,36545
2016-08-15,36545
2016-08-16,36545
2016-08-17,36545
2016-08-18,36545
2016-08-19,36545
2016-08-20,36545
2016-08-21,36545
2016-08-22,36545
2016-08-23,36545
2016-08-24,36545
2016-08-25,36545
2016-08-26,36545
2016-08-28,36545
2016-08-31,36545
2016-09-01,36545
2016-09-02,36545
2016-09-03,36545
2016-09-04,36545
2016-09-05,36545
2016-09-06,36545
2016-09-07,36545
2016-09-08,36545
2016-09-09,36545
2016-09-10,36545
2016-09-11,36545
2016-09-12,36545
2016-09-13,36545
2016-09-14,36545
2016-09-15,36545
2016-09-16,36545
2016-09-17,36545
2016-09-18,36545
2016-09-19,36545
2016-09-20,36545
2016-09-21,36545
2016-09-22,36545
2016-09-23,36545
2016-09-24,36545
2016-09-25,36545
2016-09-26,36545
2016-09-27,36545
2016-09-28,36545
2016-09-29,36545
2016-09-30,36545
2016-10-01,36545
2016-10-02,36545
2016-10-03,36545
2016-10-04,36545
2016-10-05,36545
2016-10-06,36545
2016-10-07,36545
2016-10-08,36545
2016-10-09,36545
2016-10-10,36545
2016-10-11,36545
2016-10-12,36545
2016-10-13,36545
2016-10-14,36545
2016-10-15,36545
2016-10-16,36545
2016-10-17,36545
2016-10-18,36545
