date_obj,Gold%20elegant%20shirt price
2015-03-26,49117
2015-03-27,49117
2015-03-28,46827
2015-03-29,46827
2015-03-30,45501
2015-03-31,45501
2015-04-01,45501
2015-04-02,44113
2015-04-03,44113
2015-04-04,42504
2015-04-05,42504
2015-04-06,41451
2015-04-07,41451
2015-04-08,40876
2015-04-09,40876
2015-04-10,39722
2015-04-11,39722
2015-04-12,38095
2015-04-13,38095
2015-04-14,37295
2015-04-15,37295
2015-04-16,36981
2015-04-17,36981
2015-04-18,37193
2015-04-19,37193
2015-04-20,36787
2015-04-21,36787
2015-04-22,35868
2015-04-23,35868
2015-04-24,34401
2015-04-25,34401
2015-04-26,33197
2015-04-27,33197
2015-04-28,32391
2015-04-29,32391
2015-04-30,31986
2015-05-01,31986
2015-05-02,31358
2015-05-03,31358
2015-05-04,30581
2015-05-05,30581
2015-05-06,29584
2015-05-07,29584
2015-05-08,28926
2015-05-09,28926
2015-05-10,27805
2015-05-11,27805
2015-05-12,27805
2015-05-13,27191
2015-05-14,27191
2015-05-15,26908
2015-05-16,26908
2015-05-17,26395
2015-05-18,26395
2015-05-19,26008
2015-05-20,26008
2015-05-21,26008
2015-05-22,25357
2015-05-23,25357
2015-05-24,24948
2015-05-25,24948
2015-05-26,24419
2015-05-27,24419
2015-05-28,24419
2015-05-29,23974
2015-05-30,23974
2015-05-31,23897
2015-06-01,23897
2015-06-02,23897
2015-06-03,23620
2015-06-04,23620
2015-06-05,23834
2015-06-06,23834
2015-06-07,23593
2015-06-08,23593
2015-06-09,23425
2015-06-10,23425
2015-06-11,23425
2015-06-12,23394
2015-06-13,23394
2015-06-14,23209
2015-06-15,23209
2015-06-16,22696
2015-06-17,22696
2015-06-18,22269
2015-06-19,22269
2015-06-20,22026
2015-06-21,22026
2015-06-22,21885
2015-06-23,21885
2015-06-24,21953
2015-06-25,21953
2015-06-26,21225
2015-06-27,21225
2015-06-28,20903
2015-06-29,20903
2015-06-30,20903
2015-07-01,20847
2015-07-02,20847
2015-07-03,20847
2015-07-04,20727
2015-07-05,20727
2015-07-06,20727
2015-07-07,20818
2015-07-08,20818
2015-07-09,21101
2015-07-10,21101
2015-07-11,21101
2015-07-12,21000
2015-07-13,21000
2015-07-14,20413
2015-07-15,20413
2015-07-16,20176
2015-07-17,20176
2015-07-18,20262
2015-07-19,20262
2015-07-20,20096
2015-07-21,20096
2015-07-22,20311
2015-07-23,20311
2015-07-24,20028
2015-07-25,20028
2015-07-26,19954
2015-07-27,19954
2015-07-28,19729
2015-07-29,19729
2015-07-30,19263
2015-07-31,19263
2015-08-01,18647
2015-08-02,18647
2015-08-03,18063
2015-08-04,18063
2015-08-05,17723
2015-08-06,17723
2015-08-07,17497
2015-08-08,17497
2015-08-09,17076
2015-08-10,17076
2015-08-11,17730
2015-08-12,17730
2015-08-13,17730
2015-08-14,18573
2015-08-15,18573
2015-08-16,18573
2015-08-17,18637
2015-08-18,18637
2015-08-19,19531
2015-08-20,19531
2015-08-21,20472
2015-08-22,20472
2015-08-23,21451
2015-08-24,21451
2015-08-25,21451
2015-08-26,22524
2015-08-27,22524
2015-08-28,23513
2015-08-29,23513
2015-08-30,24636
2015-08-31,24636
2015-09-01,25337
2015-09-02,25337
2015-09-03,25337
2015-09-04,25760
2015-09-05,25760
2015-09-06,25760
2015-09-07,26593
2015-09-08,26593
2015-09-09,27112
2015-09-10,27112
2015-09-11,27112
2015-09-12,27830
2015-09-13,27830
2015-09-14,28614
2015-09-15,28614
2015-09-16,28384
2015-09-17,28384
2015-09-18,28384
2015-09-19,29151
2015-09-20,29151
2015-09-21,29151
2015-09-22,29082
2015-09-23,29082
2015-09-24,29082
2015-09-25,29410
2015-09-27,29410
2015-09-28,30359
2015-09-29,30359
2015-09-30,30762
2015-10-05,31166
2015-10-06,31708
2015-10-07,31708
2015-10-08,31708
2015-10-09,31320
2015-10-10,31320
2015-10-11,31320
2015-10-12,31950
2015-10-13,31950
2015-10-14,31950
2015-10-15,32804
2015-10-16,32804
2015-10-17,32804
2015-10-18,33144
2015-10-19,33144
2015-10-20,33144
2015-10-22,33597
2015-10-23,33597
2015-10-24,34029
2015-10-25,34029
2015-10-26,33634
2015-10-27,33634
2015-10-29,33944
2015-10-30,33944
2015-10-31,33944
2015-11-01,34515
2015-11-02,34515
2015-11-03,34515
2015-11-04,35156
2015-11-05,35156
2015-11-06,35156
2015-11-07,35732
2015-11-08,35732
2015-11-09,35732
2015-11-10,35732
2015-11-11,36161
2015-11-12,36161
2015-11-13,36161
2015-11-14,36161
2015-11-15,36579
2015-11-16,36579
2015-11-17,36579
2015-11-18,37519
2015-11-19,37519
2015-11-20,38179
2015-11-21,38179
2015-11-22,38179
2015-11-23,38179
2015-11-24,38580
2015-11-25,38580
2015-11-26,38580
2015-11-27,38672
2015-11-28,38672
2015-11-29,38672
2015-11-30,39100
2015-12-01,39100
2015-12-02,39100
2015-12-03,39772
2015-12-04,39772
2015-12-05,39772
2015-12-06,39059
2015-12-07,39059
2015-12-08,39059
2015-12-09,38643
2015-12-10,38643
2015-12-11,38643
2015-12-12,38428
2015-12-13,38428
2015-12-14,38428
2015-12-15,37355
2015-12-16,37355
2015-12-17,37355
2015-12-18,36150
2015-12-19,36150
2015-12-20,34884
2015-12-21,34884
2015-12-22,34884
2015-12-23,33679
2015-12-24,33679
2015-12-25,33679
2015-12-26,32979
2015-12-27,32979
2015-12-28,31934
2015-12-29,31934
2015-12-30,30423
2015-12-31,30423
2016-01-01,29095
2016-01-02,29095
2016-01-03,27689
2016-01-04,27689
2016-01-05,26918
2016-01-06,26918
2016-01-07,26440
2016-01-08,26440
2016-01-09,26440
2016-01-10,25239
2016-01-11,25239
2016-01-12,24229
2016-01-13,24229
2016-01-14,23747
2016-01-15,23747
2016-01-16,23747
2016-01-17,22712
2016-01-18,22712
2016-01-19,22712
2016-01-20,22173
2016-01-21,22173
2016-01-22,22173
2016-01-23,21532
2016-01-24,21532
2016-01-25,20897
2016-01-26,20897
2016-01-27,20398
2016-01-28,20398
2016-01-29,20398
2016-01-30,20271
2016-01-31,20271
2016-02-01,20031
2016-02-02,20031
2016-02-03,19581
2016-02-04,19581
2016-02-05,19581
2016-02-06,19547
2016-02-07,19547
2016-02-08,19584
2016-02-09,19584
2016-02-10,19191
2016-02-11,19191
2016-02-12,19191
2016-02-13,18882
2016-02-14,18882
2016-02-15,19224
2016-02-16,19224
2016-02-17,19224
2016-02-18,18733
2016-02-19,18733
2016-02-20,18934
2016-02-21,18934
2016-02-22,18558
2016-02-23,18558
2016-02-24,18092
2016-02-25,18092
2016-02-26,18023
2016-02-27,18023
2016-02-28,18534
2016-02-29,18534
2016-03-01,18686
2016-03-02,18686
2016-03-03,18686
2016-03-04,18501
2016-03-05,18501
2016-03-06,18425
2016-03-07,18425
2016-03-08,18425
2016-03-09,18072
2016-03-10,18072
2016-03-11,17514
2016-03-12,17514
2016-03-13,17440
2016-03-14,17440
2016-03-15,16999
2016-03-16,16999
2016-03-17,16999
2016-03-18,16482
2016-03-19,16482
2016-03-20,15753
2016-03-21,15753
2016-03-22,15753
2016-03-23,15209
2016-03-24,15209
2016-03-25,14680
2016-03-26,14680
2016-03-27,14423
2016-03-28,14423
2016-03-29,14083
2016-03-30,14083
2016-03-31,14083
2016-04-01,13908
2016-04-02,13908
2016-04-03,13923
2016-04-04,13923
2016-04-05,13909
2016-04-06,13909
2016-04-07,13565
2016-04-08,13565
2016-04-09,13689
2016-04-10,13689
2016-04-11,13689
2016-04-12,13780
