date_obj,Rolling%20pin price
2015-03-26,12000
2015-03-27,12000
2015-03-28,12092
2015-03-29,12092
2015-03-30,12092
2015-03-31,12092
2015-04-01,12092
2015-04-02,12092
2015-04-03,12092
2015-04-04,12092
2015-04-05,12092
2015-04-06,12092
2015-04-07,12092
2015-04-08,12092
2015-04-09,12092
2015-04-10,12092
2015-04-11,12092
2015-04-12,12092
2015-04-13,12092
2015-04-14,12092
2015-04-15,12092
2015-04-16,12092
2015-04-17,12092
2015-04-18,12092
2015-04-19,12092
2015-04-20,12324
2015-04-21,12324
2015-04-22,12324
2015-04-23,12324
2015-04-24,12324
2015-04-25,12324
2015-04-26,12324
2015-04-27,12324
2015-04-28,12324
2015-04-29,12324
2015-04-30,12324
2015-05-01,12324
2015-05-02,12324
2015-05-03,12324
2015-05-04,12324
2015-05-05,12676
2015-05-06,12676
2015-05-07,12676
2015-05-08,12676
2015-05-09,12676
2015-05-10,12676
2015-05-11,12676
2015-05-12,12676
2015-05-13,12676
2015-05-14,13235
2015-05-15,13235
2015-05-16,13235
2015-05-17,13235
2015-05-18,13235
2015-05-19,13235
2015-05-20,13235
2015-05-21,13235
2015-05-22,13235
2015-05-23,13235
2015-05-24,13235
2015-05-25,13664
2015-05-26,13664
2015-05-27,13664
2015-05-28,13664
2015-05-29,13664
2015-05-30,13664
2015-05-31,13664
2015-06-01,13664
2015-06-02,13664
2015-06-03,13664
2015-06-04,13664
2015-06-05,14147
2015-06-06,14147
2015-06-07,14147
2015-06-08,14147
2015-06-09,14147
2015-06-10,14147
2015-06-11,14147
2015-06-12,14147
2015-06-13,14147
2015-06-14,14147
2015-06-15,14147
2015-06-16,14147
2015-06-17,14147
2015-06-18,14147
2015-06-19,14147
2015-06-20,14147
2015-06-21,14147
2015-06-22,14147
2015-06-23,14147
2015-06-24,14255
2015-06-25,14255
2015-06-26,14255
2015-06-27,14255
2015-06-28,14255
2015-06-29,14255
2015-06-30,14255
2015-07-01,14255
2015-07-02,14255
2015-07-03,14255
2015-07-04,14255
2015-07-05,14255
2015-07-06,14255
2015-07-07,14255
2015-07-08,14255
2015-07-09,14255
2015-07-10,14255
2015-07-11,14255
2015-07-12,14255
2015-07-13,14255
2015-07-14,14255
2015-07-15,14255
2015-07-16,14392
2015-07-17,14392
2015-07-18,14392
2015-07-19,14392
2015-07-20,14392
2015-07-21,14392
2015-07-22,14392
2015-07-23,14392
2015-07-24,14392
2015-07-25,14392
2015-07-26,14392
2015-07-27,14392
2015-07-28,14392
2015-07-29,14392
2015-07-30,14392
2015-07-31,14392
2015-08-01,14392
2015-08-02,14392
2015-08-03,14392
2015-08-04,14750
2015-08-05,14750
2015-08-06,14750
2015-08-07,14750
2015-08-08,14750
2015-08-09,14750
2015-08-10,14750
2015-08-11,14750
2015-08-12,14750
2015-08-13,14750
2015-08-14,14750
2015-08-15,14750
2015-08-16,14750
2015-08-17,14750
2015-08-18,14750
2015-08-19,14750
2015-08-20,14750
2015-08-21,14750
2015-08-22,14750
2015-08-23,14750
2015-08-24,14750
2015-08-25,14750
2015-08-26,14750
2015-08-27,14750
2015-08-28,14750
2015-08-29,14750
2015-08-30,14750
2015-08-31,14750
2015-09-01,15146
2015-09-02,15146
2015-09-03,15146
2015-09-04,15146
2015-09-05,15146
2015-09-06,15146
2015-09-07,15146
2015-09-08,15146
2015-09-09,15146
2015-09-10,15146
2015-09-11,15146
2015-09-12,15146
2015-09-13,15146
2015-09-14,15146
2015-09-15,15146
2015-09-16,15146
2015-09-17,15146
2015-09-18,15146
2015-09-19,15146
2015-09-20,15146
2015-09-21,15146
2015-09-22,15146
2015-09-23,15146
2015-09-24,15146
2015-09-25,15146
2015-09-27,15146
2015-09-28,15146
2015-09-29,15146
2015-09-30,15146
2015-10-05,15336
2015-10-06,15336
2015-10-07,15336
2015-10-08,15336
2015-10-09,15336
2015-10-10,15336
2015-10-11,15336
2015-10-12,15336
