date_obj,Broken%20dragon%20hasta price
2019-01-10,120000
2019-01-10,125094
2019-01-11,130977
2019-01-12,136882
2019-01-13,143427
2019-01-14,149297
2019-01-15,156385
2019-01-16,163408
2019-01-17,163408
2019-01-18,171579
2019-01-19,180123
2019-01-20,187759
2019-01-21,187759
2019-01-22,197147
2019-01-23,197147
2019-01-24,206071
2019-01-25,206071
2019-01-26,214246
2019-01-27,214246
2019-01-28,222132
2019-01-29,222132
2019-01-30,219213
2019-01-31,219213
2019-02-01,209295
2019-02-02,209295
2019-02-03,198830
2019-02-04,198830
2019-02-05,188888
2019-02-06,188888
2019-02-07,179443
2019-02-08,179443
2019-02-09,170470
2019-02-10,170470
2019-02-11,161946
2019-02-12,161946
2019-02-13,154089
2019-02-14,154089
2019-02-15,146760
2019-02-16,146760
2019-02-17,139775
2019-02-18,133779
2019-02-19,128008
2019-02-20,122230
2019-02-21,116693
2019-02-22,111662
2019-02-23,106507
2019-02-24,101701
2019-02-25,97109
2019-02-26,92958
2019-02-27,92958
2019-02-28,92958
2019-03-01,88310
2019-03-02,84281
2019-03-03,80527
2019-03-04,77134
2019-03-05,73833
2019-03-06,70390
2019-03-07,67403
2019-03-08,64553
2019-03-09,61702
2019-03-10,58958
2019-03-11,56390
2019-03-12,53856
2019-03-13,53856
2019-03-14,51163
2019-03-15,51163
2019-03-16,48826
2019-03-17,46922
2019-03-18,46922
2019-03-19,44813
2019-03-20,42921
2019-03-21,41044
2019-03-22,41044
2019-03-23,38991
2019-03-24,38991
2019-03-25,37252
2019-03-26,36687
2019-03-27,36687
2019-03-28,36065
2019-03-29,36065
2019-03-30,36130
2019-03-31,36130
2019-04-01,36646
2019-04-02,36646
2019-04-03,36568
2019-04-04,36568
2019-04-05,36414
2019-04-06,36414
2019-04-07,36621
2019-04-08,36621
2019-04-09,36830
2019-04-10,36830
2019-04-11,36828
2019-04-12,36828
2019-04-13,36730
2019-04-14,36730
2019-04-15,36699
2019-04-16,36699
2019-04-17,36795
2019-04-18,36795
2019-04-19,36795
2019-04-20,36869
2019-04-21,36869
2019-04-22,36883
2019-04-23,36883
2019-04-24,36883
2019-04-25,36916
2019-04-26,36916
2019-04-27,36916
2019-04-28,37294
2019-04-29,37294
2019-04-30,37294
2019-05-01,37196
2019-05-02,37196
2019-05-03,36470
2019-05-04,36470
2019-05-05,36446
2019-05-06,36446
2019-05-07,36446
2019-05-08,36260
2019-05-09,36260
2019-05-10,36260
2019-05-11,36518
2019-05-12,36518
2019-05-13,36522
2019-05-14,36522
2019-05-15,36522
2019-05-16,36908
2019-05-17,36908
2019-05-18,36930
2019-05-19,36930
2019-05-20,36930
2019-05-21,36923
2019-05-22,36923
2019-05-23,36923
2019-05-24,37003
2019-05-25,37003
2019-05-26,37003
2019-05-27,36994
2019-05-28,36994
2019-05-29,36896
2019-05-30,36896
2019-05-31,36896
2019-06-01,37120
2019-06-02,37120
2019-06-03,37120
2019-06-04,36644
2019-06-05,36644
2019-06-06,36565
2019-06-07,36565
2019-06-08,36637
2019-06-09,36637
2019-06-10,36637
2019-06-11,36679
2019-06-12,36679
2019-06-13,36895
2019-06-14,36895
2019-06-15,36895
2019-06-16,36494
2019-06-17,36494
2019-06-18,36494
2019-06-19,36358
2019-06-20,36358
2019-06-21,36514
2019-06-22,36514
2019-06-23,36514
2019-06-24,36867
2019-06-25,36867
2019-06-26,36867
2019-06-27,36832
2019-06-28,36832
2019-06-29,36832
2019-06-30,36858
2019-07-01,36858
2019-07-02,36858
2019-07-03,36866
2019-07-04,36866
2019-07-05,36866
2019-07-06,36880
2019-07-07,36880
2019-07-08,36880
2019-07-09,36931
2019-07-10,36931
2019-07-11,36931
2019-07-12,37300
2019-07-13,37300
2019-07-14,37300
2019-07-15,36946
2019-07-16,36946
2019-07-17,36946
2019-07-18,36439
2019-07-19,36439
2019-07-20,36439
2019-07-21,36680
2019-07-22,36680
2019-07-23,36680
2019-07-24,36763
2019-07-25,36763
2019-07-26,36763
2019-07-27,36722
2019-07-28,36722
2019-07-29,36722
2019-07-30,36616
2019-07-31,36616
2019-08-01,36616
2019-08-02,36659
2019-08-03,36659
2019-08-04,36680
2019-08-05,36680
2019-08-06,36680
2019-08-07,36637
2019-08-08,36637
2019-08-09,36637
2019-08-10,36759
2019-08-11,36759
2019-08-12,36759
2019-08-13,36846
2019-08-14,36846
2019-08-15,36846
2019-08-16,36760
2019-08-17,36760
2019-08-18,36760
2019-08-19,36604
2019-08-20,36604
2019-08-21,36604
2019-08-22,36626
2019-08-23,36626
2019-08-24,36626
2019-08-24,36626
2019-08-25,36363
2019-08-25,36363
2019-08-26,36363
2019-08-27,36363
2019-08-27,36363
2019-08-28,36698
2019-08-29,36698
2019-08-30,36698
2019-08-31,36779
2019-09-01,36779
2019-09-02,36779
2019-09-03,37175
2019-09-04,37175
2019-09-05,37175
2019-09-06,37175
2019-09-07,35525
2019-09-08,35525
2019-09-09,35906
2019-09-10,35906
2019-09-11,35906
2019-09-12,36133
2019-09-13,36133
2019-09-14,36133
2019-09-15,36940
2019-09-16,36940
2019-09-17,36940
2019-09-18,36740
2019-09-19,36740
2019-09-20,36740
2019-09-21,36740
2019-09-22,36703
2019-09-23,36703
2019-09-24,36703
2019-09-25,36640
2019-09-26,36640
2019-09-27,36640
2019-09-28,36695
2019-09-29,36695
2019-09-30,36695
2019-10-01,36695
2019-10-02,37010
2019-10-03,37010
2019-10-04,37010
2019-10-05,37010
2019-10-06,36901
2019-10-07,36901
2019-10-08,36901
2019-10-09,36901
2019-10-10,36183
2019-10-11,36183
2019-10-12,36183
2019-10-13,36479
2019-10-14,36479
2019-10-15,36479
2019-10-16,36643
2019-10-17,36643
2019-10-18,36643
2019-10-19,36643
2019-10-20,36884
2019-10-21,36884
2019-10-22,36884
2019-10-23,36884
2019-10-24,36857
2019-10-25,36857
2019-10-26,36857
2019-10-27,36857
2019-10-28,37014
2019-10-29,37014
2019-10-30,37014
2019-10-31,37014
2019-11-01,36980
2019-11-02,36980
2019-11-03,36980
2019-11-04,36825
2019-11-05,36825
2019-11-06,36825
2019-11-07,36825
2019-11-08,36638
2019-11-09,36638
2019-11-10,36638
2019-11-11,36580
2019-11-12,36580
2019-11-13,36580
2019-11-14,36580
2019-11-15,36822
2019-11-16,36822
2019-11-17,36822
2019-11-18,36927
2019-11-19,36927
2019-11-20,36927
2019-11-21,36927
2019-11-22,36927
2019-11-23,36558
2019-11-24,36558
2019-11-25,36558
2019-11-26,36776
2019-11-27,36776
2019-11-28,36776
2019-11-29,36776
2019-11-30,36368
2019-12-01,36368
2019-12-02,36368
2019-12-03,36496
2019-12-04,36496
2019-12-05,36496
2019-12-06,36496
2019-12-07,36769
2019-12-08,36769
2019-12-09,36769
2019-12-10,36769
2019-12-11,36635
2019-12-12,36635
2019-12-13,36635
2019-12-14,36635
2019-12-15,36853
2019-12-16,36853
2019-12-17,36853
2019-12-18,36853
2019-12-19,36948
2019-12-20,36948
2019-12-21,36948
2019-12-22,37004
2019-12-23,37004
2019-12-24,37004
2019-12-25,37044
2019-12-26,37044
2019-12-27,37044
2019-12-28,37344
2019-12-29,37344
2019-12-30,37344
2019-12-31,37344
2020-01-01,36870
2020-01-02,36870
2020-01-03,36870
2020-01-04,36465
2020-01-05,36465
2020-01-06,36465
2020-01-07,36706
2020-01-08,36706
2020-01-09,36706
2020-01-10,36706
2020-01-11,36627
2020-01-12,36627
2020-01-13,36627
2020-01-14,36627
2020-01-15,36783
2020-01-16,36783
2020-01-17,36783
2020-01-18,36794
2020-01-19,36794
2020-01-20,36794
2020-01-21,36750
2020-01-22,36750
2020-01-23,36750
2020-01-24,36714
2020-01-25,36714
2020-01-26,36714
2020-01-27,36742
2020-01-28,36742
2020-01-29,36742
2020-01-30,36749
2020-01-31,36749
2020-02-01,36749
2020-02-02,36799
2020-02-03,36799
2020-02-04,36799
2020-02-05,36528
2020-02-06,36528
2020-02-07,36513
2020-02-08,36513
2020-02-09,36513
2020-02-10,36710
2020-02-11,36710
2020-02-12,36710
2020-02-13,36710
2020-02-14,36818
2020-02-15,36818
2020-02-16,36818
2020-02-17,36030
2020-02-18,36030
2020-02-19,36030
2020-02-20,36604
2020-02-21,36604
2020-02-22,36604
2020-02-23,36310
2020-02-24,36310
2020-02-25,36310
2020-02-26,36946
2020-02-27,36946
2020-02-28,36946
2020-02-29,36946
2020-03-01,36867
2020-03-02,36867
2020-03-03,36867
2020-03-04,36867
2020-03-05,36877
2020-03-06,36877
2020-03-07,36877
2020-03-08,37055
2020-03-09,37055
2020-03-10,37055
2020-03-11,37050
2020-03-12,37050
2020-03-13,37050
2020-03-14,36798
2020-03-15,36798
2020-03-16,36798
2020-03-17,36571
2020-03-18,36571
2020-03-19,36571
2020-03-20,36932
2020-03-21,36932
2020-03-22,36781
2020-03-23,36781
2020-03-24,36737
2020-03-25,36737
2020-03-26,36550
2020-03-27,36550
2020-03-28,36712
2020-03-29,36712
2020-03-30,36908
2020-03-31,36908
2020-04-01,36602
2020-04-02,36602
2020-04-03,36602
2020-04-04,36784
2020-04-05,36784
2020-04-06,36710
2020-04-07,36710
2020-04-08,36491
2020-04-09,36491
2020-04-10,36491
2020-04-11,36612
2020-04-12,36612
2020-04-13,36680
2020-04-14,36680
