date_obj,Malediction%20shard%201 price
2015-03-26,304861
2015-03-27,304861
2015-03-28,304861
2015-03-29,304861
2015-03-30,304861
2015-03-31,304861
2015-04-01,304861
2015-04-02,304861
2015-04-03,304861
2015-04-04,304861
2015-04-05,304861
2015-04-06,304861
2015-04-07,304861
2015-04-08,304861
2015-04-09,304861
2015-04-10,304861
2015-04-11,304861
2015-04-12,304861
2015-04-13,304861
2015-04-14,304861
2015-04-15,304861
2015-04-16,304861
2015-04-17,304861
2015-04-18,304861
2015-04-19,304861
2015-04-20,304861
2015-04-21,289976
2015-04-22,289976
2015-04-23,289976
2015-04-24,289976
2015-04-25,289976
2015-04-26,289976
2015-04-27,289976
2015-04-28,289976
2015-04-29,289976
2015-04-30,289976
2015-05-01,289976
2015-05-02,289976
2015-05-03,289976
2015-05-04,289976
2015-05-05,289976
2015-05-06,289976
2015-05-07,289976
2015-05-08,289976
2015-05-09,289976
2015-05-10,289976
2015-05-11,289976
2015-05-12,289976
2015-05-13,289976
2015-05-14,289976
2015-05-15,289976
2015-05-16,289976
2015-05-17,289976
2015-05-18,289976
2015-05-19,295220
2015-05-20,295220
2015-05-21,295220
2015-05-22,295220
2015-05-23,295220
2015-05-24,295220
2015-05-25,295220
2015-05-26,295220
2015-05-27,295220
2015-05-28,295220
2015-05-29,295220
2015-05-30,295220
2015-05-31,295220
2015-06-01,295220
2015-06-02,295220
2015-06-03,295220
2015-06-04,295220
2015-06-05,295220
2015-06-06,295220
2015-06-07,295220
2015-06-08,285900
2015-06-09,285900
2015-06-10,285900
2015-06-11,285900
2015-06-12,285900
2015-06-13,285900
2015-06-14,285900
2015-06-15,285900
2015-06-16,285900
2015-06-17,285900
2015-06-18,285900
2015-06-19,285900
2015-06-20,285900
2015-06-21,285900
2015-06-22,285900
2015-06-23,285900
2015-06-24,285900
2015-06-25,285900
2015-06-26,273155
2015-06-27,273155
2015-06-28,273155
2015-06-29,273155
2015-06-30,273155
2015-07-01,273155
2015-07-02,273155
2015-07-03,273155
2015-07-04,273155
2015-07-05,273155
2015-07-06,273155
2015-07-07,273155
2015-07-08,273155
2015-07-09,273155
2015-07-10,273155
2015-07-11,273155
2015-07-12,273155
2015-07-13,273155
2015-07-14,273155
2015-07-15,273155
2015-07-16,262982
2015-07-17,262982
2015-07-18,262982
2015-07-19,262982
2015-07-20,262982
2015-07-21,262982
2015-07-22,262982
2015-07-23,262982
