date_obj,Piscarilius%20scarf price
2016-07-06,2500000
2016-07-07,2500000
2016-07-08,2500000
2016-07-09,2500000
2016-07-10,2500000
2016-07-11,2500000
2016-07-12,2500000
2016-07-13,2500000
2016-07-14,2500000
2016-07-15,2500000
2016-07-16,2500000
2016-07-17,2398352
2016-07-18,2398352
2016-07-23,2398352
2016-07-24,2398352
2016-07-25,2398352
2016-07-26,2398352
2016-07-27,2398352
2016-07-28,2398352
2016-07-29,2398352
2016-07-30,2398352
2016-07-31,2398352
2016-08-01,2398352
2016-08-02,2398352
2016-08-03,2398352
2016-08-04,2398352
2016-08-05,2398352
2016-08-06,2279210
2016-08-07,2279210
2016-08-08,2279210
2016-08-09,2279210
2016-08-10,2279210
2016-08-11,2279210
2016-08-12,2279210
2016-08-13,2279210
2016-08-14,2279210
2016-08-15,2279210
2016-08-16,2279210
2016-08-17,2279210
2016-08-18,2279210
2016-08-19,2279210
2016-08-20,2279210
2016-08-21,2165624
2016-08-22,2165624
2016-08-23,2165624
2016-08-24,2165624
2016-08-25,2165624
2016-08-26,2165624
2016-08-28,2165624
2016-08-31,2165624
2016-09-01,2165624
2016-09-02,2165624
2016-09-03,2165624
2016-09-04,2165624
2016-09-05,2165624
2016-09-06,2165624
2016-09-07,2058479
2016-09-08,2058479
2016-09-09,2058479
2016-09-10,2058479
2016-09-11,2058479
2016-09-12,2058479
2016-09-13,2058479
2016-09-14,2058479
2016-09-15,2058479
2016-09-16,2058479
2016-09-17,2058479
2016-09-18,2058479
2016-09-19,2058479
2016-09-20,2058479
2016-09-21,2058479
2016-09-22,2058479
2016-09-23,2058479
2016-09-24,2058479
2016-09-25,2058479
2016-09-26,2058479
2016-09-27,1957305
2016-09-28,1957305
2016-09-29,1957305
2016-09-30,1957305
2016-10-01,1957305
2016-10-02,1957305
2016-10-03,1957305
2016-10-04,1957305
2016-10-05,1957305
2016-10-06,1957305
2016-10-07,1957305
2016-10-08,1957305
2016-10-09,1957305
2016-10-10,1957305
2016-10-11,1957305
2016-10-12,1861175
2016-10-13,1861175
2016-10-14,1861175
2016-10-15,1861175
2016-10-16,1861175
2016-10-17,1861175
2016-10-18,1861175
2016-10-19,1861175
2016-10-20,1861175
2016-10-21,1861175
2016-10-22,1861175
2016-10-23,1861175
2016-10-24,1861175
