date_obj,Blue%20cape price
2015-03-04,36
2015-03-05,36
2015-03-06,38
2015-03-07,38
2015-03-08,40
2015-03-09,40
2015-03-10,40
2015-03-11,42
2015-03-12,42
2015-03-13,42
2015-03-14,45
2015-03-15,45
2015-03-16,45
2015-03-17,48
2015-03-18,48
2015-03-19,48
2015-03-20,51
2015-03-21,51
2015-03-22,51
2015-03-23,54
2015-03-24,54
2015-03-25,54
2015-03-26,57
2015-03-27,57
2015-03-28,57
2015-03-29,60
2015-03-30,60
2015-03-31,60
2015-04-01,63
2015-04-02,63
2015-04-03,63
2015-04-04,67
2015-04-05,67
2015-04-06,67
2015-04-07,70
2015-04-08,70
2015-04-09,70
2015-04-10,74
2015-04-11,74
2015-04-12,74
2015-04-13,78
2015-04-14,78
2015-04-15,78
2015-04-16,82
2015-04-17,82
2015-04-18,87
2015-04-19,87
2015-04-20,87
2015-04-21,91
2015-04-22,91
2015-04-23,91
2015-04-24,96
2015-04-25,96
2015-04-26,96
2015-04-27,101
2015-04-28,101
2015-04-29,101
2015-04-30,107
2015-05-01,107
2015-05-02,113
2015-05-03,113
2015-05-04,113
2015-05-05,118
2015-05-06,118
2015-05-07,118
2015-05-08,124
2015-05-09,124
2015-05-10,124
2015-05-11,130
2015-05-12,130
2015-05-13,130
2015-05-14,136
2015-05-15,136
2015-05-16,136
2015-05-17,142
2015-05-18,142
2015-05-19,142
2015-05-20,149
2015-05-21,149
2015-05-22,149
2015-05-23,157
2015-05-24,157
2015-05-25,157
2015-05-26,164
2015-05-27,164
2015-05-28,164
2015-05-29,173
2015-05-30,173
2015-05-31,181
2015-06-01,181
2015-06-02,181
2015-06-03,190
2015-06-04,190
2015-06-05,190
2015-06-06,196
2015-06-07,196
2015-06-08,196
2015-06-09,203
2015-06-10,203
2015-06-11,203
2015-06-12,210
2015-06-13,210
2015-06-14,210
2015-06-15,220
2015-06-16,220
2015-06-17,220
2015-06-18,230
2015-06-19,230
2015-06-20,230
2015-06-21,241
2015-06-22,241
2015-06-23,241
2015-06-24,251
2015-06-25,251
2015-06-26,251
2015-06-27,251
2015-06-28,263
2015-06-29,263
2015-06-30,263
2015-07-01,263
2015-07-02,263
2015-07-03,263
2015-07-04,275
2015-07-05,275
2015-07-06,275
2015-07-07,288
2015-07-08,288
2015-07-09,288
2015-07-10,302
2015-07-11,302
2015-07-12,302
2015-07-13,317
2015-07-14,317
2015-07-15,317
2015-07-16,326
2015-07-17,326
2015-07-18,326
2015-07-19,333
2015-07-20,333
2015-07-21,333
2015-07-22,342
2015-07-23,342
2015-07-24,342
2015-07-25,354
2015-07-26,354
2015-07-27,354
2015-07-28,368
2015-07-29,368
2015-07-30,368
2015-07-31,381
2015-08-01,381
2015-08-02,400
2015-08-03,400
2015-08-04,400
2015-08-05,416
2015-08-06,416
2015-08-07,416
2015-08-08,434
2015-08-09,434
2015-08-10,454
2015-08-11,454
2015-08-12,454
2015-08-13,454
2015-08-14,475
2015-08-15,475
2015-08-16,475
2015-08-17,475
2015-08-18,489
2015-08-19,489
2015-08-20,489
2015-08-21,489
2015-08-22,500
2015-08-23,500
2015-08-24,500
2015-08-25,500
2015-08-26,500
2015-08-27,496
2015-08-28,496
2015-08-29,496
2015-08-30,496
2015-08-31,511
2015-09-01,92
2015-09-02,511
2015-09-07,529
2015-09-08,529
2015-09-10,544
2015-09-14,553
2015-09-16,553
2015-09-22,574
2015-09-23,574
2015-09-24,574
2015-09-25,574
2015-09-27,599
2015-09-28,599
2015-09-29,599
2015-09-30,599
2015-10-05,609
2015-10-06,627
2015-10-07,627
2015-10-08,627
2015-10-09,627
2015-10-10,627
2015-10-11,640
2015-10-12,640
2015-10-13,640
2015-10-14,640
2015-10-15,640
2015-10-16,645
2015-10-17,645
2015-10-18,645
2015-10-19,645
2015-10-20,645
2015-10-22,656
2015-10-23,656
2015-10-24,656
2015-10-25,656
2015-10-26,673
2015-10-27,673
2015-10-29,673
2015-10-30,673
2015-10-31,691
2015-11-01,691
2015-11-02,691
2015-11-03,691
2015-11-04,691
2015-11-05,709
2015-11-06,709
2015-11-07,709
2015-11-08,709
2015-11-09,709
2015-11-10,709
2015-11-11,703
2015-11-12,703
2015-11-13,703
2015-11-14,703
2015-11-15,703
2015-11-16,723
2015-11-17,723
2015-11-18,723
2015-11-19,723
2015-11-20,708
2015-11-21,708
2015-11-22,708
2015-11-23,708
2015-11-24,708
2015-11-25,696
2015-11-26,696
2015-11-27,696
2015-11-28,696
2015-11-29,696
2015-11-30,698
2015-12-01,698
2015-12-02,698
2015-12-03,698
2015-12-04,698
2015-12-05,693
2015-12-06,693
2015-12-07,693
2015-12-08,693
2015-12-09,710
2015-12-10,710
2015-12-11,710
2015-12-12,710
2015-12-13,710
2015-12-14,710
2015-12-15,710
2015-12-16,710
2015-12-17,710
2015-12-18,686
2015-12-19,686
2015-12-20,686
2015-12-21,686
2015-12-22,653
2015-12-23,653
2015-12-24,653
2015-12-25,653
2015-12-26,653
2015-12-27,629
2015-12-28,629
2015-12-29,629
2015-12-30,629
2015-12-31,623
2016-01-01,623
2016-01-02,623
2016-01-03,623
2016-01-04,614
2016-01-05,614
2016-01-06,614
2016-01-07,614
2016-01-08,634
2016-01-09,634
2016-01-10,634
2016-01-11,634
2016-01-12,655
2016-01-13,655
2016-01-14,655
2016-01-15,655
2016-01-16,686
2016-01-17,686
2016-01-18,686
2016-01-19,686
2016-01-20,693
2016-01-21,693
2016-01-22,693
2016-01-23,693
2016-01-24,693
2016-01-25,719
2016-01-26,719
2016-01-27,719
2016-01-28,719
2016-01-29,705
2016-01-30,705
2016-01-31,705
2016-02-01,705
2016-02-02,695
2016-02-03,695
2016-02-04,695
2016-02-05,695
2016-02-06,688
2016-02-07,688
2016-02-08,688
2016-02-09,688
2016-02-10,716
2016-02-11,716
2016-02-12,716
2016-02-13,716
2016-02-14,693
2016-02-15,693
2016-02-16,693
2016-02-17,693
2016-02-18,699
2016-02-19,699
2016-02-20,699
2016-02-21,709
2016-02-22,709
2016-02-23,709
2016-02-24,709
2016-02-25,690
2016-02-26,690
2016-02-27,690
2016-02-28,690
2016-02-29,673
