date_obj,Ancestral%20hat price
2017-01-04,17500000
2017-01-05,18124763
2017-01-06,18907171
2017-01-07,19736647
2017-01-08,20614331
2017-01-09,21566839
2017-01-10,22613198
2017-01-11,23743858
2017-01-12,24931051
2017-01-13,26116095
2017-01-14,27421900
2017-01-15,28792995
2017-01-16,30198626
2017-01-17,31708558
2017-01-18,33293986
2017-01-19,34958686
2017-01-20,36706621
2017-01-21,38541953
2017-01-22,40469051
2017-01-23,42492504
2017-01-27,46210681
2017-01-28,48521216
2017-01-29,50947277
2017-01-30,53016239
2017-01-31,55570961
2017-02-01,58346940
2017-02-02,61056020
2017-02-03,63014058
2017-02-04,64358927
2017-02-05,67205790
2017-02-06,65665795
2017-02-07,64426951
2017-02-08,65396700
2017-02-09,65396700
2017-02-10,64132724
2017-02-11,63719826
2017-02-12,63719826
2017-02-13,63882276
2017-02-14,66490380
2017-02-15,69814899
2017-02-16,72876904
2017-02-17,72876904
2017-02-18,74947519
2017-02-19,72279847
2017-02-20,71644101
2017-02-21,72058346
2017-02-22,72058346
2017-02-23,72953808
2017-02-24,74361729
2017-02-25,73258250
2017-02-26,73461185
2017-02-27,73233289
2017-02-28,73409313
2017-03-01,73552733
2017-03-02,74418214
2017-03-03,75575848
2017-03-04,77037251
2017-03-05,75883540
2017-03-06,75888921
2017-03-07,72990326
2017-03-08,69340809
2017-03-09,65941137
2017-03-10,62670614
2017-03-11,60549006
2017-03-12,59561686
2017-03-13,56633142
2017-03-14,53801484
2017-03-15,51111409
2017-03-16,50203864
2017-03-17,48574821
2017-03-18,47085230
2017-03-19,44731088
2017-03-20,44291822
2017-03-21,46309958
2017-03-22,45748539
2017-03-23,45775039
2017-03-24,46768958
2017-03-25,47349056
2017-03-26,48342023
2017-03-27,49610313
2017-03-28,51313758
2017-03-29,52764880
2017-03-30,54142772
2017-03-31,55593855
2017-04-01,52821060
2017-04-02,50575371
2017-04-03,50597214
2017-04-04,52019953
2017-04-05,51919313
2017-04-12,57404796
2017-04-13,55319408
2017-04-14,54520013
2017-04-15,53261796
2017-04-16,50907581
2017-04-17,51051241
2017-04-18,50772512
2017-04-19,50629383
2017-04-20,50576326
2017-04-21,50915925
2017-04-22,51163943
2017-04-23,51947079
2017-04-24,50923695
2017-04-25,49408572
2017-04-26,48821142
2017-04-27,48371556
2017-04-28,48166509
2017-04-29,48041191
2017-04-30,47898873
2017-05-01,47946158
2017-05-02,48418786
2017-05-03,48621000
2017-05-04,48748780
2017-05-05,48435829
2017-05-06,48187205
2017-05-07,47489988
2017-05-08,46556007
2017-05-09,44824932
2017-05-10,42825189
2017-05-11,43113743
2017-05-12,42544909
2017-05-13,42150626
2017-05-14,42823971
2017-05-15,43649798
2017-05-16,42903667
2017-05-17,42641044
2017-05-18,41850644
2017-05-19,41786524
2017-05-20,42725983
2017-05-21,42706912
2017-05-22,42553541
2017-05-23,42336129
2017-05-24,42206518
2017-05-25,40096192
2017-05-26,38091382
2017-05-27,36186812
2017-05-28,36014665
