date_obj,Snape%20grass%20seed price
2019-01-10,4500
2019-01-10,4473
2019-01-11,4255
2019-01-12,4042
2019-01-13,3878
2019-01-14,3899
2019-01-15,3845
2019-01-16,3764
2019-01-17,3647
2019-01-18,3478
2019-01-19,3309
2019-01-20,3144
2019-01-21,2993
2019-01-22,2853
2019-01-23,2715
2019-01-24,2581
2019-01-25,2452
2019-01-26,2330
2019-01-27,2249
2019-01-28,2201
2019-01-29,2281
2019-01-30,2392
2019-01-31,2500
2019-02-01,2576
2019-02-02,2547
2019-02-03,2457
2019-02-04,2343
2019-02-05,2249
2019-02-06,2140
2019-02-07,2041
2019-02-08,1945
2019-02-09,1847
2019-02-10,1754
2019-02-11,1668
2019-02-12,1591
2019-02-13,1511
2019-02-14,1435
2019-02-15,1363
2019-02-16,1297
2019-02-17,1232
2019-02-18,1184
2019-02-19,1217
2019-02-20,1254
2019-02-21,1312
2019-02-22,1377
2019-02-23,1440
2019-02-24,1500
2019-02-25,1574
2019-02-26,1652
2019-02-27,1726
2019-02-28,1778
2019-03-01,1821
2019-03-02,1821
2019-03-03,1847
2019-03-04,1874
2019-03-05,1878
2019-03-06,1883
2019-03-07,1910
2019-03-08,1895
2019-03-09,1829
2019-03-10,1768
2019-03-11,1775
2019-03-12,1804
2019-03-13,1776
2019-03-14,1767
2019-03-15,1735
2019-03-16,1711
2019-03-17,1646
2019-03-18,1574
2019-03-19,1516
2019-03-20,1495
2019-03-21,1488
2019-03-22,1453
2019-03-23,1430
2019-03-24,1407
2019-03-25,1377
2019-03-26,1393
2019-03-27,1422
2019-03-28,1475
2019-03-29,1518
2019-03-30,1591
2019-03-31,1594
2019-04-01,1589
2019-04-02,1566
2019-04-03,1607
2019-04-04,1658
2019-04-05,1701
2019-04-06,1713
2019-04-07,1677
2019-04-08,1616
2019-04-09,1582
2019-04-10,1613
2019-04-11,1604
2019-04-12,1582
2019-04-13,1577
2019-04-14,1536
2019-04-15,1516
2019-04-16,1487
2019-04-17,1472
2019-04-18,1456
2019-04-19,1418
2019-04-20,1365
2019-04-21,1353
2019-04-22,1302
2019-04-23,1243
2019-04-24,1203
2019-04-25,1162
2019-04-26,1112
2019-04-27,1076
2019-04-28,1023
2019-04-29,981
2019-04-30,934
2019-05-01,923
2019-05-02,950
2019-05-03,987
2019-05-04,1011
2019-05-05,1048
2019-05-06,1094
2019-05-07,1141
2019-05-08,1188
2019-05-09,1244
2019-05-10,1287
2019-05-11,1329
2019-05-12,1368
2019-05-13,1410
2019-05-14,1431
2019-05-15,1476
2019-05-16,1519
2019-05-17,1550
2019-05-18,1532
2019-05-19,1522
2019-05-20,1519
2019-05-21,1475
2019-05-22,1418
2019-05-23,1389
2019-05-24,1370
2019-05-25,1309
2019-05-26,1243
2019-05-27,1180
2019-05-28,1131
2019-05-29,1094
2019-05-30,1052
2019-05-31,1014
2019-06-01,964
2019-06-02,915
2019-06-03,869
2019-06-04,834
2019-06-05,854
2019-06-06,878
2019-06-07,911
2019-06-08,947
2019-06-09,958
2019-06-10,998
2019-06-11,1004
2019-06-12,1032
2019-06-13,1058
2019-06-14,1111
2019-06-15,1159
2019-06-16,1214
2019-06-17,1275
2019-06-18,1339
2019-06-19,1406
2019-06-20,1477
2019-06-21,1551
2019-06-22,1628
2019-06-23,1703
2019-06-24,1771
2019-06-25,1853
2019-06-26,1940
2019-06-27,2032
2019-06-28,2109
2019-06-29,2163
2019-06-30,2143
2019-07-01,2088
2019-07-02,2033
2019-07-03,2074
2019-07-04,2137
2019-07-05,2187
2019-07-06,2206
2019-07-07,2201
2019-07-08,2208
