date_obj,Lumbridge%20graveyard%20teleport%20(tablet) price
2016-05-12,1000
2016-05-13,1000
2016-05-14,1000
2016-05-15,1000
2016-05-16,1000
2016-05-17,1000
2016-05-18,1000
2016-05-19,1000
2016-05-22,1033
2016-05-23,1033
2016-05-24,1033
2016-05-25,1033
2016-05-26,1033
2016-05-27,1033
2016-05-28,1033
2016-05-29,1033
2016-05-30,1033
2016-05-31,1033
2016-06-01,1033
2016-06-02,1033
2016-06-03,1033
2016-06-04,1033
2016-06-05,1079
2016-06-06,1079
2016-06-07,1079
2016-06-08,1079
2016-06-09,1079
2016-06-10,1079
2016-06-11,1079
2016-06-12,1079
2016-06-13,1079
2016-06-14,1079
2016-06-15,1079
2016-06-16,1079
2016-06-17,1079
2016-06-18,1079
2016-06-19,1079
2016-06-20,1079
2016-06-21,1079
2016-06-22,1079
2016-06-23,1131
2016-06-24,1131
2016-06-25,1131
2016-06-26,1131
2016-06-27,1131
2016-06-28,1131
2016-06-29,1131
2016-06-30,1131
2016-07-01,1131
2016-07-02,1131
2016-07-03,1131
2016-07-04,1131
2016-07-05,1131
2016-07-06,1131
2016-07-07,1131
2016-07-08,1131
2016-07-09,1131
2016-07-10,1175
2016-07-11,1175
2016-07-12,1175
2016-07-13,1175
2016-07-14,1175
2016-07-15,1175
2016-07-16,1175
2016-07-17,1175
2016-07-18,1175
2016-07-23,1175
2016-07-24,1175
2016-07-25,1175
2016-07-26,1175
2016-07-27,1175
2016-07-28,1175
2016-07-29,1175
2016-07-30,1226
2016-07-31,1226
2016-08-01,1226
2016-08-02,1226
2016-08-03,1226
2016-08-04,1226
2016-08-05,1226
2016-08-06,1226
2016-08-07,1226
2016-08-08,1226
2016-08-09,1226
2016-08-10,1226
2016-08-11,1226
2016-08-12,1226
2016-08-13,1226
2016-08-14,1226
2016-08-15,1226
2016-08-16,1226
2016-08-17,1226
2016-08-18,1226
2016-08-19,1226
2016-08-20,1226
2016-08-21,1226
2016-08-22,1226
2016-08-23,1226
2016-08-24,1226
2016-08-25,1226
2016-08-26,1226
2016-08-28,1286
2016-08-31,1286
2016-09-01,1286
2016-09-02,1286
2016-09-03,1286
2016-09-04,1286
2016-09-05,1286
2016-09-06,1286
2016-09-07,1286
2016-09-08,1286
2016-09-09,1286
2016-09-10,1286
2016-09-11,1286
2016-09-12,1286
2016-09-13,1286
2016-09-14,1286
2016-09-15,1286
2016-09-16,1286
2016-09-17,1286
2016-09-18,1286
2016-09-19,1286
2016-09-20,1286
2016-09-21,1286
2016-09-22,1286
2016-09-23,1286
2016-09-24,1286
2016-09-25,1329
2016-09-26,1329
2016-09-27,1329
2016-09-28,1329
2016-09-29,1329
2016-09-30,1329
2016-10-01,1329
2016-10-02,1329
2016-10-03,1329
2016-10-04,1329
2016-10-05,1329
2016-10-06,1329
2016-10-07,1329
2016-10-08,1329
2016-10-09,1329
2016-10-10,1329
2016-10-11,1329
2016-10-12,1329
2016-10-13,1329
2016-10-14,1329
2016-10-15,1329
2016-10-16,1329
2016-10-17,1329
2016-10-18,1329
2016-10-19,1329
2016-10-20,1329
2016-10-21,1329
2016-10-22,1392
2016-10-23,1392
2016-10-24,1392
2016-10-25,1392
2016-10-26,1392
2016-10-27,1392
2016-10-28,1392
2016-10-29,1392
2016-10-30,1392
2016-10-31,1392
2016-11-01,1392
2016-11-02,1392
2016-11-03,1392
2016-11-04,1392
2016-11-05,1392
2016-11-06,1392
2016-11-07,1392
2016-11-08,1392
2016-11-09,1392
2016-11-10,1392
2016-11-11,1392
2016-11-12,1392
2016-11-13,1392
2016-11-14,1392
2016-12-07,1455
2016-12-08,1455
2016-12-09,1455
2016-12-10,1455
2016-12-11,1455
2016-12-12,1455
2016-12-13,1455
2016-12-14,1455
2016-12-15,1526
2016-12-16,1526
2016-12-17,1526
2016-12-18,1526
2016-12-19,1526
2016-12-20,1526
2016-12-21,1526
2016-12-22,1526
2016-12-23,1526
2016-12-24,1526
2016-12-25,1526
2016-12-26,1526
2016-12-27,1526
2016-12-28,1526
2016-12-29,1526
2016-12-30,1526
2016-12-31,1526
2017-01-01,1526
2017-01-02,1526
2017-01-03,1526
2017-01-04,1526
2017-01-05,1526
2017-01-06,1526
2017-01-07,1589
2017-01-08,1589
2017-01-09,1589
2017-01-10,1589
2017-01-11,1589
2017-01-12,1589
2017-01-13,1589
2017-01-14,1589
2017-01-15,1589
2017-01-16,1589
2017-01-17,1589
2017-01-18,1589
2017-01-19,1589
2017-01-20,1589
2017-01-21,1589
2017-01-22,1589
2017-01-27,1658
2017-01-28,1658
2017-01-29,1658
2017-01-30,1658
2017-01-31,1658
2017-02-01,1658
2017-02-02,1658
2017-02-03,1658
2017-02-04,1658
2017-02-05,1658
2017-02-06,1658
2017-02-07,1658
2017-02-08,1658
2017-02-09,1658
2017-02-10,1658
2017-02-11,1658
2017-02-12,1658
2017-02-13,1658
2017-02-14,1658
2017-02-15,1736
2017-02-16,1736
2017-02-18,1736
