date_obj,Jar%20of%20sand price
2015-03-26,550000
2015-03-27,550000
2015-03-28,550000
2015-03-29,550000
2015-03-30,550000
2015-03-31,550000
2015-04-01,550000
2015-04-02,550000
2015-04-03,550000
2015-04-04,550000
2015-04-05,550000
2015-04-06,550000
2015-04-07,550000
2015-04-08,550000
2015-04-09,550000
2015-04-10,550000
2015-04-11,550000
2015-04-12,550000
2015-04-13,550000
2015-04-14,550000
2015-04-15,550000
2015-04-16,550000
2015-04-17,550000
2015-04-18,550000
2015-04-19,550000
2015-04-20,550000
2015-04-21,550000
2015-04-22,550000
2015-04-23,550000
2015-04-24,550000
2015-04-25,550000
2015-04-26,550000
2015-04-27,550000
2015-04-28,550000
2015-04-29,550000
2015-04-30,550000
2015-05-01,550000
2015-05-02,550000
2015-05-03,550000
2015-05-04,550000
2015-05-05,550000
2015-05-06,550000
2015-05-07,550000
2015-05-08,550000
2015-05-09,550000
2015-05-10,550000
2015-05-11,550000
2015-05-12,550000
2015-05-13,550000
2015-05-14,550000
2015-05-15,550000
2015-05-16,550000
2015-05-17,550000
2015-05-18,550000
2015-05-19,550000
2015-05-20,550000
2015-05-21,550000
2015-05-22,550000
2015-05-23,550000
2015-05-24,550000
2015-05-25,550000
2015-05-26,550000
2015-05-27,550000
2015-05-28,567780
2015-05-29,567780
2015-05-30,567780
2015-05-31,567780
2015-06-01,567780
2015-06-02,567780
2015-06-03,567780
2015-06-04,567780
2015-06-05,567780
2015-06-06,567780
2015-06-07,567780
2015-06-08,567780
2015-06-09,567780
2015-06-10,567780
2015-06-11,567780
2015-06-12,567780
2015-06-13,567780
2015-06-14,567780
2015-06-15,567780
2015-06-16,567780
2015-06-17,567780
2015-06-18,567780
2015-06-19,567780
2015-06-20,567780
2015-06-21,567780
2015-06-22,567780
2015-06-23,567780
2015-06-24,567780
2015-06-25,567780
2015-06-26,567780
2015-06-27,567780
2015-06-28,567780
2015-06-29,567780
2015-06-30,567780
2015-07-01,567780
2015-07-02,567780
2015-07-03,567780
2015-07-04,567780
2015-07-05,567780
2015-07-06,567780
2015-07-07,567780
2015-07-08,567780
2015-07-09,567780
2015-07-10,567780
2015-07-11,567780
2015-07-12,567780
2015-07-13,567780
2015-07-14,567780
2015-07-15,567780
2015-07-16,567780
2015-07-17,567780
2015-07-18,567780
2015-07-19,567780
2015-07-20,567780
2015-07-21,567780
2015-07-22,567780
2015-07-23,567780
2015-07-24,567780
2015-07-25,567780
2015-07-26,567780
2015-07-27,567780
2015-07-28,567780
2015-07-29,567780
2015-07-30,567780
2015-07-31,567780
2015-08-01,567780
2015-08-02,567780
2015-08-03,567780
2015-08-04,567780
2015-08-05,567780
2015-08-06,567780
2015-08-07,567780
2015-08-08,567780
2015-08-09,567780
2015-08-10,567780
2015-08-11,567780
2015-08-12,567780
2015-08-13,567780
2015-08-14,567780
2015-08-15,567780
2015-08-16,567780
2015-08-17,567780
2015-08-18,567780
2015-08-19,567780
2015-08-20,567780
2015-08-21,567780
2015-08-22,567780
2015-08-23,567780
2015-08-24,567780
2015-08-25,567780
2015-08-26,567780
2015-08-27,589681
2015-08-28,589681
2015-08-29,589681
2015-08-30,589681
2015-08-31,589681
2015-09-01,589681
2015-09-02,589681
2015-09-03,589681
2015-09-04,589681
2015-09-05,589681
2015-09-06,589681
2015-09-07,589681
2015-09-08,589681
2015-09-09,589681
2015-09-10,589681
2015-09-11,589681
2015-09-12,589681
2015-09-13,589681
2015-09-14,589681
2015-09-15,589681
2015-09-16,589681
2015-09-17,589681
2015-09-18,589681
2015-09-19,589681
2015-09-20,589681
2015-09-21,589681
2015-09-22,589681
2015-09-23,589681
2015-09-24,589681
2015-09-25,589681
2015-09-27,589681
2015-09-28,589681
2015-09-29,589681
2015-09-30,589681
2015-10-05,589681
2015-10-06,589681
2015-10-07,589681
2015-10-08,589681
2015-10-09,589681
2015-10-10,589681
2015-10-11,589681
2015-10-12,589681
2015-10-13,613796
2015-10-14,613796
2015-10-15,613796
2015-10-16,613796
2015-10-17,613796
2015-10-18,613796
2015-10-19,613796
2015-10-20,613796
2015-10-22,613796
2015-10-23,613796
2015-10-24,613796
2015-10-25,613796
2015-10-26,613796
2015-10-27,613796
2015-10-29,613796
2015-10-30,613796
2015-10-31,613796
2015-11-01,613796
2015-11-02,613796
2015-11-03,613796
2015-11-04,613796
2015-11-05,613796
2015-11-06,613796
2015-11-07,613796
2015-11-08,613796
2015-11-09,613796
2015-11-10,613796
2015-11-11,613796
2015-11-12,613796
2015-11-13,613796
2015-11-14,613796
2015-11-15,613796
2015-11-16,613796
2015-11-17,613796
2015-11-18,613796
2015-11-19,613796
2015-11-20,613796
2015-11-21,613796
2015-11-22,613796
2015-11-23,613796
2015-11-24,613796
2015-11-25,613796
2015-11-26,613796
2015-11-27,613796
2015-11-28,613796
2015-11-29,613796
2015-11-30,613796
2015-12-01,613796
2015-12-02,613796
