date_obj,Grey%20boots price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,9570
2015-03-09,9570
2015-03-10,9570
2015-03-11,9570
2015-03-12,9570
2015-03-13,9570
2015-03-14,9570
2015-03-15,9570
2015-03-16,9570
2015-03-17,9570
2015-03-18,9570
2015-03-19,9570
2015-03-20,9570
2015-03-21,9153
2015-03-22,9153
2015-03-23,9153
2015-03-24,9153
2015-03-25,9153
2015-03-26,9153
2015-03-27,9153
2015-03-28,9153
2015-03-29,9153
2015-03-30,9153
2015-03-31,9153
2015-04-01,9153
2015-04-02,8732
2015-04-03,8732
2015-04-04,8732
2015-04-05,8732
2015-04-06,8732
2015-04-07,8732
2015-04-08,8732
2015-04-09,8732
2015-04-10,8732
2015-04-11,8732
2015-04-12,8732
2015-04-13,8314
2015-04-14,8314
2015-04-15,8314
2015-04-16,8314
2015-04-17,8314
2015-04-18,8314
2015-04-19,8314
2015-04-20,8314
2015-04-21,8314
2015-04-22,8314
2015-04-23,8314
2015-04-24,8314
2015-04-25,7903
2015-04-26,7903
2015-04-27,7903
2015-04-28,7903
2015-04-29,7903
2015-04-30,7903
2015-05-01,7903
2015-05-02,7903
2015-05-03,7903
2015-05-04,7903
2015-05-05,7903
2015-05-06,7903
2015-05-07,7513
2015-05-08,7513
2015-05-09,7513
2015-05-10,7513
2015-05-11,7513
2015-05-12,7513
2015-05-13,7513
2015-05-14,7513
2015-05-15,7513
2015-05-16,7513
2015-05-17,7513
2015-05-18,7513
2015-05-19,7513
2015-05-20,7513
2015-05-21,7146
2015-05-22,7146
2015-05-23,7146
2015-05-24,7146
2015-05-25,7146
2015-05-26,7146
2015-05-27,7146
2015-05-28,7146
2015-05-29,6802
2015-05-30,6802
2015-05-31,6802
2015-06-01,6802
2015-06-02,6802
2015-06-03,6802
2015-06-04,6802
2015-06-05,6802
2015-06-06,6469
2015-06-07,6469
2015-06-08,6469
2015-06-09,6469
2015-06-10,6469
2015-06-11,6469
2015-06-12,6469
2015-06-13,6469
2015-06-14,6153
2015-06-15,6153
2015-06-16,6153
2015-06-17,6153
2015-06-18,6153
2015-06-19,6153
2015-06-20,6153
2015-06-21,6153
2015-06-22,6153
2015-06-23,6153
2015-06-24,5849
2015-06-25,5849
2015-06-26,5849
2015-06-27,5849
2015-06-28,5849
2015-06-29,5849
2015-06-30,5849
2015-07-01,5849
2015-07-02,5849
2015-07-03,5591
2015-07-04,5591
2015-07-05,5591
2015-07-06,5591
2015-07-07,5591
2015-07-08,5591
2015-07-09,5591
2015-07-10,5591
2015-07-11,5591
2015-07-12,5591
2015-07-13,5318
2015-07-14,5318
2015-07-15,5318
2015-07-16,5318
2015-07-17,5318
2015-07-18,5318
2015-07-19,5318
2015-07-20,5060
2015-07-21,5060
2015-07-22,5060
2015-07-23,5060
2015-07-24,5060
2015-07-25,5060
2015-07-26,5060
2015-07-27,4830
2015-07-28,4830
2015-07-29,4830
2015-07-30,4830
2015-07-31,4830
2015-08-01,4830
2015-08-02,4596
2015-08-03,4596
2015-08-04,4596
2015-08-05,4596
2015-08-06,4596
2015-08-07,4596
2015-08-08,4596
2015-08-09,4384
2015-08-10,4384
2015-08-11,4384
2015-08-12,4384
2015-08-13,4384
2015-08-14,4384
2015-08-15,4384
2015-08-16,4169
2015-08-17,4169
2015-08-18,4169
2015-08-19,4169
2015-08-20,4169
2015-08-21,4169
2015-08-22,4169
2015-08-23,3969
2015-08-24,3969
2015-08-25,3969
2015-08-26,3969
2015-08-27,3969
2015-08-28,3969
2015-08-29,3969
2015-08-30,3969
2015-08-31,3783
2015-09-02,3783
2015-09-07,3783
2015-09-08,3783
2015-09-10,3600
2015-09-14,3600
2015-09-16,3600
2015-09-22,3420
2015-09-23,3420
2015-09-24,3420
2015-09-25,3254
2015-09-27,3254
2015-09-28,3254
2015-09-29,3254
2015-09-30,3254
2015-10-05,3099
2015-10-06,3099
2015-10-07,3099
2015-10-08,3099
2015-10-09,3099
2015-10-10,3099
2015-10-11,2947
2015-10-12,2947
2015-10-13,2947
2015-10-14,2947
2015-10-15,2947
2015-10-16,2947
2015-10-17,2947
2015-10-18,2947
2015-10-19,2801
2015-10-20,2801
2015-10-22,2801
2015-10-23,2801
2015-10-24,2801
2015-10-25,2801
2015-10-26,2662
2015-10-27,2662
2015-10-29,2662
2015-10-30,2662
2015-10-31,2662
2015-11-01,2662
2015-11-02,2662
2015-11-03,2531
2015-11-04,2531
2015-11-05,2531
2015-11-06,2531
2015-11-07,2531
2015-11-08,2531
2015-11-09,2531
