date_obj,Verac's%20plateskirt price
2015-03-26,1279583
2015-03-27,1279583
2015-03-28,1306843
2015-03-29,1338923
2015-03-30,1316663
2015-03-31,1298955
2015-04-01,1298751
2015-04-02,1295910
2015-04-03,1347247
2015-04-04,1332806
2015-04-05,1317878
2015-04-06,1309430
2015-04-07,1295653
2015-04-08,1283728
2015-04-09,1274647
2015-04-10,1264839
2015-04-11,1254413
2015-04-12,1300577
2015-04-13,1331793
2015-04-14,1280550
2015-04-15,1254005
2015-04-16,1245580
2015-04-17,1232293
2015-04-18,1219483
2015-04-19,1208983
2015-04-20,1200261
2015-04-21,1210461
2015-04-22,1232778
2015-04-23,1252115
2015-04-24,1267410
2015-04-25,1307579
2015-04-26,1364106
2015-04-27,1356831
2015-04-28,1339051
2015-04-29,1339051
2015-04-30,1323972
2015-05-01,1312285
2015-05-02,1315213
2015-05-03,1330372
2015-05-04,1328147
2015-05-05,1334101
2015-05-06,1355351
2015-05-07,1356983
2015-05-08,1369095
2015-05-09,1402640
2015-05-10,1405062
2015-05-11,1346646
2015-05-12,1336826
2015-05-13,1318796
2015-05-14,1312382
2015-05-15,1309124
2015-05-16,1325281
2015-05-17,1318736
2015-05-18,1326644
2015-05-19,1329697
2015-05-20,1329697
2015-05-21,1313273
2015-05-22,1257988
2015-05-23,1245460
2015-05-24,1229476
2015-05-25,1222356
2015-05-26,1222106
2015-05-27,1206608
2015-05-28,1191314
2015-05-29,1183667
2015-05-30,1196986
2015-05-31,1208682
2015-06-01,1197906
2015-06-02,1195792
2015-06-03,1205231
2015-06-04,1196110
2015-06-05,1213149
2015-06-06,1239164
2015-06-07,1261834
2015-06-08,1259492
2015-06-09,1295005
2015-06-10,1303135
2015-06-11,1281088
2015-06-12,1275535
2015-06-13,1255620
2015-06-14,1244982
2015-06-15,1227162
2015-06-16,1205782
2015-06-17,1182664
2015-06-18,1173816
2015-06-19,1155065
2015-06-20,1134461
2015-06-21,1112376
2015-06-22,1103114
2015-06-23,1075758
2015-06-24,1103333
2015-06-25,1117069
2015-06-26,1104980
2015-06-27,1101407
2015-06-28,1074808
2015-06-29,1064828
2015-06-30,1079155
2015-07-01,1075902
2015-07-02,1065728
2015-07-03,1087504
2015-07-04,1130665
2015-07-05,1181749
2015-07-06,1179723
2015-07-07,1184851
2015-07-08,1209466
2015-07-09,1256688
2015-07-10,1244215
2015-07-11,1220696
2015-07-12,1237857
2015-07-13,1227829
2015-07-14,1219620
2015-07-15,1243493
2015-07-16,1302664
2015-07-17,1305247
2015-07-18,1302066
2015-07-19,1276483
2015-07-20,1285420
2015-07-21,1276192
2015-07-22,1255135
2015-07-23,1226889
2015-07-24,1255352
2015-07-25,1300497
2015-07-26,1288612
2015-07-27,1345021
2015-07-28,1336547
2015-07-29,1307865
2015-07-30,1327002
2015-07-31,1357274
2015-08-01,1385654
2015-08-02,1402168
2015-08-03,1379578
2015-08-04,1380288
2015-08-05,1357649
2015-08-06,1400910
2015-08-07,1407557
2015-08-08,1406792
2015-08-09,1426195
2015-08-10,1400977
2015-08-11,1386010
2015-08-12,1381118
2015-08-13,1373169
2015-08-14,1345291
2015-08-15,1338295
2015-08-16,1351388
2015-08-17,1381584
2015-08-18,1427401
2015-08-19,1472178
2015-08-20,1484184
2015-08-21,1541685
2015-08-22,1612207
2015-08-23,1617978
2015-08-24,1641569
2015-08-25,1622389
2015-08-26,1613504
2015-08-27,1610544
2015-08-28,1620160
2015-08-29,1655649
2015-08-30,1673053
2015-08-31,1656667
2015-09-01,1628807
2015-09-02,1599162
2015-09-03,1577126
2015-09-04,1582046
2015-09-05,1586253
2015-09-06,1588607
2015-09-07,1571092
2015-09-08,1547085
2015-09-09,1480359
2015-09-10,1440952
2015-09-11,1439120
2015-09-12,1440981
2015-09-13,1477105
2015-09-14,1476774
2015-09-15,1464495
2015-09-16,1454118
2015-09-17,1473669
2015-09-18,1480779
2015-09-19,1525446
2015-09-20,1576433
2015-09-21,1546491
2015-09-22,1534100
2015-09-23,1508171
2015-09-24,1502807
2015-09-25,1506608
2015-09-27,1437920
2015-09-28,1382916
2015-09-29,1393732
2015-09-30,1367946
2015-10-05,1294695
2015-10-06,1255820
2015-10-07,1234988
2015-10-08,1182678
2015-10-09,1154320
2015-10-10,1146458
2015-10-11,1176580
2015-10-12,1212019
2015-10-13,1271986
2015-10-14,1287685
2015-10-15,1271887
2015-10-16,1268891
2015-10-17,1312779
2015-10-18,1302156
2015-10-19,1275167
2015-10-20,1278011
2015-10-22,1191789
2015-10-23,1190674
2015-10-24,1183142
2015-10-25,1236012
2015-10-26,1260971
2015-10-27,1316871
2015-10-29,1387898
2015-10-30,1406580
2015-10-31,1412865
2015-11-01,1388185
2015-11-02,1367051
2015-11-03,1317555
2015-11-04,1260343
2015-11-05,1210428
2015-11-06,1201278
2015-11-07,1233084
2015-11-08,1241384
2015-11-09,1240732
2015-11-10,1218455
2015-11-11,1239846
2015-11-12,1214533
2015-11-13,1194425
2015-11-14,1177367
2015-11-15,1195609
2015-11-16,1190457
2015-11-17,1165673
2015-11-18,1149742
2015-11-19,1180810
2015-11-20,1208000
2015-11-21,1211352
2015-11-22,1245145
2015-11-23,1234896
2015-11-24,1269791
2015-11-25,1302431
2015-11-26,1273503
2015-11-27,1240280
2015-11-28,1224743
2015-11-29,1204266
2015-11-30,1208714
2015-12-01,1196000
2015-12-02,1206525
2015-12-03,1233558
2015-12-04,1278678
2015-12-05,1288426
2015-12-06,1298032
2015-12-07,1316757
2015-12-08,1358029
2015-12-09,1387234
2015-12-10,1439511
2015-12-11,1508567
2015-12-13,1619871
2015-12-14,1698000
2015-12-15,1776552
2015-12-16,1803472
2015-12-17,1744729
2015-12-18,1721519
2015-12-19,1768037
2015-12-20,1804716
2015-12-21,1871188
2015-12-22,1963301
2015-12-23,1967746
2015-12-24,2037860
2015-12-25,2118868
2015-12-26,2161728
2015-12-27,2189408
2015-12-28,2124621
2015-12-29,2091943
2015-12-30,2082703
2015-12-31,2069505
2016-01-01,2037124
2016-01-02,2025578
2016-01-03,2001663
2016-01-04,1990794
2016-01-05,1957086
2016-01-06,1936328
2016-01-07,1874619
2016-01-08,1814339
2016-01-09,1881795
2016-01-10,1925254
2016-01-11,1921241
2016-01-12,1954759
2016-01-13,1995064
2016-01-14,1984032
2016-01-15,2060058
2016-01-16,2058620
2016-01-17,2073963
2016-01-18,2085434
2016-01-19,2063170
2016-01-20,1997465
2016-01-21,1938331
2016-01-22,1900831
2016-01-23,1881562
2016-01-24,1920406
2016-01-25,1903851
2016-01-26,1866061
2016-01-27,1849156
2016-01-28,1809226
2016-01-29,1772300
2016-01-30,1780672
2016-01-31,1788656
2016-02-01,1766172
2016-02-02,1755489
2016-02-03,1727685
2016-02-04,1704349
2016-02-05,1674356
2016-02-06,1653698
2016-02-07,1638469
2016-02-08,1689296
