date_obj,Blue%20spiky%20vambraces price
2016-01-04,4482
2016-01-05,4482
2016-01-06,4482
2016-01-07,4369
2016-01-08,4369
2016-01-09,4369
2016-01-10,4369
2016-01-11,4369
2016-01-12,4374
2016-01-13,4374
2016-01-14,4374
2016-01-15,4374
2016-01-16,4374
2016-01-17,4425
2016-01-18,4425
2016-01-19,4425
2016-01-20,4425
2016-01-21,4425
2016-01-22,4508
2016-01-23,4508
2016-01-24,4508
2016-01-25,4508
2016-01-26,4508
2016-01-27,4545
2016-01-28,4545
2016-01-29,4545
2016-01-30,4545
2016-01-31,4545
2016-02-01,4563
2016-02-02,4563
2016-02-03,4563
2016-02-04,4563
2016-02-05,4563
2016-02-06,4587
2016-02-07,4587
2016-02-08,4587
2016-02-09,4587
2016-02-10,4587
2016-02-11,4587
2016-02-12,4599
2016-02-13,4599
2016-02-14,4599
2016-02-15,4599
2016-02-16,4599
2016-02-17,4599
2016-02-18,4612
2016-02-19,4612
2016-02-20,4612
2016-02-21,4612
2016-02-22,4612
2016-02-23,4612
2016-02-24,4591
2016-02-25,4591
2016-02-26,4591
2016-02-27,4591
2016-02-28,4591
2016-02-29,4580
2016-03-01,4580
2016-03-02,4580
2016-03-03,4580
2016-03-04,4580
2016-03-05,4580
2016-03-06,4591
2016-03-07,4591
2016-03-08,4591
2016-03-09,4591
2016-03-10,4591
2016-03-11,4724
2016-03-12,4724
2016-03-13,4724
2016-03-14,4724
2016-03-15,4724
2016-03-16,4732
2016-03-17,4732
2016-03-18,4732
2016-03-19,4732
2016-03-20,4732
2016-03-21,4573
2016-03-22,4573
2016-03-23,4573
2016-03-24,4573
2016-03-25,4573
2016-03-26,4424
2016-03-27,4424
2016-03-28,4424
2016-03-29,4424
2016-03-30,4424
2016-03-31,4348
2016-04-01,4348
2016-04-02,4348
2016-04-03,4348
2016-04-04,4348
2016-04-05,4348
2016-04-06,4327
2016-04-07,4327
2016-04-08,4327
2016-04-09,4327
2016-04-10,4327
2016-04-11,4327
2016-04-12,4427
2016-04-13,4427
2016-04-14,4427
2016-04-15,4427
2016-04-16,4427
2016-04-17,4447
2016-04-18,4447
2016-04-19,4447
2016-04-20,4447
2016-04-21,4447
2016-04-22,4447
2016-04-23,4547
2016-04-24,4547
2016-04-25,4547
2016-04-26,4547
2016-04-27,4547
2016-04-28,4547
2016-04-29,4585
2016-04-30,4585
2016-05-01,4585
2016-05-02,4585
2016-05-03,4585
2016-05-04,4585
2016-05-05,4564
2016-05-06,4564
2016-05-07,4564
2016-05-08,4564
2016-05-09,4564
2016-05-10,4564
2016-05-11,4336
2016-05-12,4336
2016-05-13,4336
2016-05-14,4336
2016-05-15,4336
2016-05-16,4336
2016-05-17,4308
2016-05-18,4308
2016-05-19,4308
2016-05-22,4293
2016-05-23,4293
2016-05-24,4293
2016-05-25,4293
2016-05-26,4293
2016-05-27,4185
2016-05-28,4185
2016-05-29,4185
2016-05-30,4185
2016-05-31,4185
2016-06-01,4095
2016-06-02,4095
2016-06-03,4095
2016-06-04,4095
2016-06-05,4095
2016-06-06,4031
2016-06-07,4031
2016-06-08,4031
2016-06-09,4031
2016-06-10,4031
2016-06-11,3931
2016-06-12,3931
2016-06-13,3931
2016-06-14,3931
2016-06-15,3931
2016-06-16,3887
2016-06-17,3887
2016-06-18,3887
2016-06-19,3887
2016-06-20,3804
2016-06-21,3804
2016-06-22,3804
2016-06-23,3804
2016-06-24,3804
2016-06-25,3781
2016-06-26,3781
2016-06-27,3781
2016-06-28,3781
2016-06-29,3781
2016-06-30,3748
2016-07-01,3748
2016-07-02,3748
2016-07-03,3748
2016-07-04,3693
2016-07-05,3693
2016-07-06,3693
2016-07-07,3693
2016-07-08,3693
2016-07-09,3675
2016-07-10,3675
2016-07-11,3675
2016-07-12,3675
2016-07-13,3675
2016-07-14,3692
2016-07-15,3692
2016-07-16,3692
2016-07-17,3692
2016-07-18,3692
2016-07-23,3744
2016-07-24,3744
2016-07-25,3744
2016-07-26,3721
2016-07-27,3721
2016-07-28,3721
2016-07-29,3721
2016-07-30,3721
2016-07-31,3721
2016-08-01,3595
2016-08-02,3595
2016-08-03,3595
2016-08-04,3595
2016-08-05,3595
2016-08-06,3595
2016-08-07,3447
2016-08-08,3447
2016-08-09,3447
2016-08-10,3447
2016-08-11,3447
2016-08-12,3447
2016-08-13,3345
2016-08-14,3345
2016-08-15,3345
2016-08-16,3345
2016-08-17,3345
2016-08-18,3345
2016-08-19,3345
2016-08-20,3307
2016-08-21,3307
2016-08-22,3307
2016-08-23,3307
2016-08-24,3307
2016-08-25,3307
2016-08-26,3307
2016-08-28,3312
2016-08-31,3312
2016-09-01,3312
2016-09-02,3312
2016-09-03,3312
2016-09-04,3259
2016-09-05,3259
2016-09-06,3259
2016-09-07,3259
2016-09-08,3259
2016-09-09,3259
2016-09-10,3259
2016-09-11,3259
2016-09-12,3116
2016-09-13,3116
2016-09-14,3116
2016-09-15,3116
2016-09-16,3116
2016-09-17,3116
2016-09-18,3116
2016-09-19,3116
2016-09-20,2967
2016-09-21,2967
2016-09-22,2967
2016-09-23,2967
2016-09-24,2967
2016-09-25,2967
2016-09-26,2967
2016-09-27,2967
2016-09-28,3019
2016-09-29,3019
2016-09-30,3019
2016-10-01,3019
2016-10-02,3019
2016-10-03,3019
2016-10-04,3019
2016-10-05,3019
2016-10-06,3019
2016-10-07,2994
2016-10-08,2994
2016-10-09,2994
2016-10-10,2994
2016-10-11,2994
2016-10-12,2994
2016-10-13,2994
2016-10-14,2970
2016-10-15,2970
2016-10-16,2970
2016-10-17,2970
2016-10-18,2970
2016-10-19,2970
2016-10-20,2970
2016-10-21,2980
2016-10-22,2980
2016-10-23,2980
2016-10-24,2980
2016-10-25,2980
2016-10-26,2980
2016-10-27,2980
2016-10-28,2980
2016-10-29,2902
2016-10-30,2902
2016-10-31,2902
2016-11-01,2902
2016-11-02,2902
2016-11-03,2902
2016-11-04,2902
2016-11-05,2924
2016-11-06,2924
2016-11-07,2924
2016-11-08,2924
2016-11-09,2924
2016-11-10,2924
2016-11-11,2924
2016-11-12,2908
2016-11-13,2908
2016-11-14,2908
2016-11-15,2908
2016-12-07,2857
2016-12-08,2857
2016-12-09,2857
2016-12-10,2857
2016-12-11,2907
2016-12-12,2907
2016-12-13,2907
2016-12-14,2907
2016-12-15,2907
2016-12-16,2907
2016-12-17,2955
2016-12-18,2955
2016-12-19,2955
2016-12-20,2955
2016-12-21,2955
2016-12-22,2955
2016-12-23,2955
2016-12-24,2979
2016-12-25,2979
2016-12-26,2979
2016-12-27,2979
