date_obj,Ale%20yeast price
2015-03-26,2500
2015-03-27,2500
2015-03-28,2500
2015-03-29,2500
2015-03-30,2500
2015-03-31,2500
2015-04-01,2500
2015-04-02,2500
2015-04-03,2500
2015-04-04,2500
2015-04-05,2500
2015-04-06,2500
2015-04-07,2500
2015-04-08,2500
2015-04-09,2500
2015-04-10,2500
2015-04-11,2500
2015-04-12,2500
2015-04-13,2500
2015-04-14,2500
2015-04-15,2500
2015-04-16,2500
2015-04-17,2500
2015-04-18,2500
2015-04-19,2500
2015-04-20,2500
2015-04-21,2500
2015-04-22,2500
2015-04-23,2500
2015-04-24,2500
2015-04-25,2500
2015-04-26,2500
2015-04-27,2500
2015-04-28,2500
2015-04-29,2500
2015-04-30,2500
2015-05-01,2500
2015-05-02,2500
2015-05-03,2500
2015-05-04,2500
2015-05-05,2500
2015-05-06,2500
2015-05-07,2500
2015-05-08,2500
2015-05-09,2500
2015-05-10,2500
2015-05-11,2500
2015-05-12,2500
2015-05-13,2500
2015-05-14,2500
2015-05-15,2500
2015-05-16,2500
2015-05-17,2500
2015-05-18,2500
2015-05-19,2500
2015-05-20,2500
2015-05-21,2500
2015-05-22,2500
2015-05-23,2500
2015-05-24,2500
2015-05-25,2500
2015-05-26,2500
2015-05-27,2500
2015-05-28,2400
2015-05-29,2400
2015-05-30,2400
2015-05-31,2400
2015-06-01,2400
2015-06-02,2400
2015-06-03,2400
2015-06-04,2400
2015-06-05,2400
2015-06-06,2400
2015-06-07,2400
2015-06-08,2400
2015-06-09,2400
2015-06-10,2400
2015-06-11,2400
2015-06-12,2400
2015-06-13,2400
2015-06-14,2400
2015-06-15,2400
2015-06-16,2400
2015-06-17,2400
2015-06-18,2400
2015-06-19,2400
2015-06-20,2400
2015-06-21,2400
2015-06-22,2400
2015-06-23,2400
2015-06-24,2400
2015-06-25,2400
2015-06-26,2400
2015-06-27,2400
2015-06-28,2400
2015-06-29,2400
2015-06-30,2400
2015-07-01,2400
2015-07-02,2400
2015-07-03,2400
2015-07-04,2400
2015-07-05,2400
2015-07-06,2400
2015-07-07,2400
2015-07-08,2400
2015-07-09,2400
2015-07-10,2400
2015-07-11,2400
2015-07-12,2400
2015-07-13,2400
2015-07-14,2400
2015-07-15,2400
2015-07-16,2400
2015-07-17,2400
2015-07-18,2400
2015-07-19,2400
2015-07-20,2400
2015-07-21,2400
2015-07-22,2400
2015-07-23,2400
2015-07-24,2400
2015-07-25,2400
2015-07-26,2400
2015-07-27,2400
2015-07-28,2400
2015-07-29,2400
2015-07-30,2400
2015-07-31,2400
