date_obj,Red%20dragon%20mask price
2015-03-26,27993
2015-03-27,27993
2015-03-28,27964
2015-03-29,27856
2015-03-30,27851
2015-03-31,27219
2015-04-01,26054
2015-04-02,25126
2015-04-03,24221
2015-04-04,24010
2015-04-05,23383
2015-04-06,22908
2015-04-07,22379
2015-04-08,22211
2015-04-09,22151
2015-04-10,21819
2015-04-11,21301
2015-04-12,20780
2015-04-13,20327
2015-04-14,20325
2015-04-15,20353
2015-04-16,20998
2015-04-17,20672
2015-04-18,20740
2015-04-19,20439
2015-04-20,20805
2015-04-21,21207
2015-04-22,20985
2015-04-23,20707
2015-04-24,20383
2015-04-25,20031
2015-04-26,19686
2015-04-27,19462
2015-04-28,19271
2015-04-29,19271
2015-04-30,19088
2015-05-01,18758
2015-05-02,18552
2015-05-03,17876
2015-05-04,17566
2015-05-05,17390
2015-05-06,17253
2015-05-07,16961
2015-05-08,16516
2015-05-09,16266
2015-05-10,15999
2015-05-11,16395
2015-05-12,16355
2015-05-13,16283
2015-05-14,16205
2015-05-15,16302
2015-05-16,16302
2015-05-17,16427
2015-05-18,16381
2015-05-19,16115
2015-05-20,16115
2015-05-21,15941
2015-05-22,15768
2015-05-23,15556
2015-05-24,14979
2015-05-25,14580
2015-05-26,14476
2015-05-27,14443
2015-05-28,14274
2015-05-29,14235
2015-05-30,14111
2015-05-31,14169
2015-06-01,13964
2015-06-02,13964
2015-06-03,13839
2015-06-04,13897
2015-06-05,13958
2015-06-06,13999
2015-06-07,14030
2015-06-08,14347
2015-06-09,14672
2015-06-10,14997
2015-06-11,15143
2015-06-12,15143
2015-06-13,15369
2015-06-14,15206
2015-06-15,14685
2015-06-16,14534
2015-06-17,14220
2015-06-18,14323
2015-06-19,14579
2015-06-20,14797
2015-06-21,14797
2015-06-22,14848
2015-06-23,14657
2015-06-24,14533
2015-06-25,14533
2015-06-26,14474
2015-06-27,14474
2015-06-28,14337
2015-06-29,14467
2015-06-30,14704
2015-07-01,14906
2015-07-02,14906
2015-07-03,14901
2015-07-04,15073
2015-07-05,14580
2015-07-06,14479
2015-07-07,14378
2015-07-08,14294
2015-07-09,14294
2015-07-10,14162
2015-07-11,14100
2015-07-12,14100
2015-07-13,14063
2015-07-14,14030
2015-07-15,13918
2015-07-16,14224
2015-07-17,14143
2015-07-18,14450
2015-07-19,14556
2015-07-20,14656
2015-07-21,14724
2015-07-22,14686
2015-07-23,14686
2015-07-24,14797
2015-07-25,14895
2015-07-26,15224
2015-07-27,15354
2015-07-28,15328
2015-07-29,15439
2015-07-30,15401
2015-07-31,15117
2015-08-01,15057
2015-08-02,15186
2015-08-03,15651
2015-08-04,16025
2015-08-05,16433
2015-08-06,16577
2015-08-07,16404
2015-08-08,16319
2015-08-09,16256
2015-08-10,16160
2015-08-11,16126
2015-08-12,16126
2015-08-13,16044
2015-08-14,16004
2015-08-15,15679
2015-08-16,15201
2015-08-17,15044
2015-08-18,15027
2015-08-19,14943
2015-08-20,15216
2015-08-21,15050
2015-08-22,14684
2015-08-23,14217
2015-08-24,13961
2015-08-25,13961
2015-08-26,13861
2015-08-27,13923
2015-08-28,13821
2015-08-29,13713
2015-08-30,13492
2015-08-31,13368
2015-09-01,13349
2015-09-02,13306
2015-09-03,13398
2015-09-04,13472
2015-09-05,13472
2015-09-06,13332
2015-09-07,13152
2015-09-08,12989
2015-09-09,13313
2015-09-10,13852
2015-09-11,14461
2015-09-12,15138
2015-09-13,15833
2015-09-14,16429
2015-09-15,16740
2015-09-16,16740
2015-09-17,17292
2015-09-18,17292
2015-09-19,17688
2015-09-20,17688
2015-09-21,17936
2015-09-22,18122
2015-09-23,18238
2015-09-24,18238
2015-09-25,18200
2015-09-27,18153
2015-09-28,18113
2015-09-29,18543
2015-09-30,18292
2015-10-05,18358
2015-10-06,18880
2015-10-07,18880
2015-10-08,19661
2015-10-09,20027
2015-10-10,20027
2015-10-11,20601
2015-10-12,20738
2015-10-13,20738
2015-10-14,20250
2015-10-15,19899
2015-10-16,19758
2015-10-17,19758
2015-10-18,19452
2015-10-19,19276
2015-10-20,18847
2015-10-22,18577
2015-10-23,18778
2015-10-24,18945
2015-10-25,19010
2015-10-26,19250
2015-10-27,19250
2015-10-29,19102
2015-10-30,19055
2015-10-31,19155
2015-11-01,19155
2015-11-02,19234
2015-11-03,19234
2015-11-04,19474
2015-11-05,19652
2015-11-06,19652
2015-11-07,19302
2015-11-08,19302
2015-11-09,19390
2015-11-10,19390
2015-11-11,19347
2015-11-12,19347
2015-11-13,19425
2015-11-14,19425
2015-11-15,19539
2015-11-16,19539
2015-11-17,18853
2015-11-18,18853
2015-11-19,18545
2015-11-20,18585
2015-11-21,18585
2015-11-22,18421
2015-11-23,18421
2015-11-24,18356
2015-11-25,18297
2015-11-26,18297
2015-11-27,18053
2015-11-28,17908
2015-11-29,17560
2015-11-30,16959
2015-12-01,16959
2015-12-02,16258
2015-12-03,16041
2015-12-04,16041
2015-12-05,15927
2015-12-06,16156
2015-12-07,16156
2015-12-08,15945
2015-12-09,15811
2015-12-10,15685
2015-12-11,15305
2015-12-12,15196
2015-12-13,14924
2015-12-14,14924
2015-12-15,14719
2015-12-16,14509
2015-12-17,14509
2015-12-18,14270
2015-12-19,14270
2015-12-20,14169
2015-12-21,13639
2015-12-22,13485
2015-12-23,13285
2015-12-24,13285
2015-12-25,13266
2015-12-26,13423
2015-12-27,13546
2015-12-28,13303
2015-12-29,12983
2015-12-30,12986
2015-12-31,12943
2016-01-01,12943
2016-01-02,12910
2016-01-03,12824
2016-01-04,12852
2016-01-05,12667
2016-01-06,12483
2016-01-07,12381
2016-01-08,12434
2016-01-09,12434
2016-01-10,12416
2016-01-11,12440
2016-01-12,12465
2016-01-13,12465
2016-01-14,12150
2016-01-15,12030
2016-01-16,11662
2016-01-17,11598
2016-01-18,11570
2016-01-19,11180
2016-01-20,10968
2016-01-21,10849
2016-01-22,10798
2016-01-23,10680
2016-01-24,10434
2016-01-25,10088
2016-01-26,9732
2016-01-27,9695
2016-01-28,9695
2016-01-29,9354
2016-01-30,9354
2016-01-31,9355
2016-02-01,9125
2016-02-02,8838
2016-02-03,8620
2016-02-04,8249
2016-02-05,8257
2016-02-06,7983
2016-02-07,7895
2016-02-08,7833
2016-02-09,7728
2016-02-10,7902
2016-02-11,7905
2016-02-12,8063
2016-02-13,8088
2016-02-14,8088
2016-02-15,8147
2016-02-16,8280
2016-02-17,8572
2016-02-18,8572
2016-02-19,8940
2016-02-20,9126
2016-02-21,9260
2016-02-22,9260
2016-02-23,9218
2016-02-24,9259
2016-02-25,9200
2016-02-26,9200
2016-02-27,9043
2016-02-28,8711
2016-02-29,8973
2016-03-01,9195
2016-03-03,9031
2016-03-04,9024
2016-03-05,9198
2016-03-06,9162
2016-03-07,9162
2016-03-08,9286
2016-03-09,9207
2016-03-10,9268
2016-03-11,9208
2016-03-12,9105
2016-03-13,9156
2016-03-14,9130
2016-03-15,9023
2016-03-16,9006
2016-03-17,8796
2016-03-18,8811
2016-03-19,8893
2016-03-20,9017
2016-03-21,9017
2016-03-22,9062
2016-03-23,9222
2016-03-24,9297
2016-03-25,9307
2016-03-26,9367
2016-03-27,9337
2016-03-28,8979
2016-03-29,9134
2016-03-30,9134
2016-03-31,9227
2016-04-01,9269
2016-04-02,9249
2016-04-03,9064
2016-04-04,8976
2016-04-05,9186
2016-04-06,9381
2016-04-07,9620
2016-04-08,9565
2016-04-09,9602
2016-04-10,9424
2016-04-11,9424
2016-04-12,9500
2016-04-13,9830
2016-04-14,9680
2016-04-15,9844
2016-04-16,9372
2016-04-17,8903
2016-04-18,8829
2016-04-19,9012
2016-04-20,8907
2016-04-21,8965
2016-04-22,8965
2016-04-23,9060
2016-04-24,8966
2016-04-25,8694
2016-04-26,8489
2016-04-27,8440
