date_obj,Fibula%20piece price
2015-03-26,140000
2015-03-27,140000
2015-03-28,140000
2015-03-29,140000
2015-03-30,140000
2015-03-31,140000
2015-04-01,140000
2015-04-02,140000
2015-04-03,140000
2015-04-04,140000
2015-04-05,140000
2015-04-06,140000
2015-04-07,140000
2015-04-08,140000
2015-04-09,140000
2015-04-10,140000
2015-04-11,140000
2015-04-12,140000
2015-04-13,140000
2015-04-14,140000
2015-04-15,140000
2015-04-16,140000
2015-04-17,140000
2015-04-18,140000
2015-04-19,140000
2015-04-20,140000
2015-04-21,140000
2015-04-22,140000
2015-04-23,140000
2015-04-24,140000
2015-04-25,140000
2015-04-26,140000
2015-04-27,140000
2015-04-28,140000
2015-04-29,140000
2015-04-30,140000
2015-05-01,140000
2015-05-02,140000
2015-05-03,140000
2015-05-04,140000
2015-05-05,140000
2015-05-06,140000
2015-05-07,140000
2015-05-08,140000
2015-05-09,140000
2015-05-10,140000
2015-05-11,140000
2015-05-12,140000
2015-05-13,140000
2015-05-14,140000
2015-05-15,140000
2015-05-16,140000
2015-05-17,140000
2015-05-18,140000
2015-05-19,140000
2015-05-20,140000
2015-05-21,140000
2015-05-22,140000
2015-05-23,140000
2015-05-24,140000
2015-05-25,140000
2015-05-26,140000
2015-05-27,140000
2015-05-28,140000
2015-05-29,140000
2015-05-30,140000
2015-05-31,140000
2015-06-01,140000
2015-06-02,140000
2015-06-03,140000
2015-06-04,140000
2015-06-05,140000
2015-06-06,140000
2015-06-07,140000
2015-06-08,140000
2015-06-09,140000
2015-06-10,140000
2015-06-11,140000
2015-06-12,140000
2015-06-13,140000
2015-06-14,140000
2015-06-15,140000
2015-06-16,140000
2015-06-17,140000
2015-06-18,140000
2015-06-19,140000
2015-06-20,140000
2015-06-21,140000
2015-06-22,140000
2015-06-23,140000
2015-06-24,140000
2015-06-25,140000
2015-06-26,140000
2015-06-27,140000
2015-06-28,140000
2015-06-29,140000
2015-06-30,140000
2015-07-01,140000
2015-07-02,140000
2015-07-03,140000
2015-07-04,140000
2015-07-05,140000
2015-07-06,140000
2015-07-07,140000
2015-07-08,140000
2015-07-09,140000
2015-07-10,140000
2015-07-11,140000
2015-07-12,140000
2015-07-13,140000
2015-07-14,140000
2015-07-15,140000
2015-07-16,140000
2015-07-17,140000
2015-07-18,140000
2015-07-19,140000
2015-07-20,140000
2015-07-21,140000
2015-07-22,140000
2015-07-23,140000
2015-07-24,140000
2015-07-25,140000
