date_obj,Wildblood%20seed price
2015-03-05,535
2015-03-06,510
2015-03-07,510
2015-03-08,485
2015-03-09,485
2015-03-10,461
2015-03-11,461
2015-03-12,438
2015-03-13,438
2015-03-14,417
2015-03-15,417
2015-03-16,397
2015-03-17,379
2015-03-18,379
2015-03-19,361
2015-03-20,361
2015-03-21,343
2015-03-22,326
2015-03-23,326
2015-03-24,310
2015-03-25,310
2015-03-26,295
2015-03-27,295
2015-03-28,281
2015-03-29,267
2015-03-30,267
2015-03-31,253
2015-04-01,253
2015-04-02,240
2015-04-03,240
2015-04-04,229
2015-04-05,229
2015-04-06,217
2015-04-07,217
2015-04-08,206
2015-04-09,206
2015-04-10,196
2015-04-11,196
2015-04-12,186
2015-04-13,186
2015-04-14,176
2015-04-15,176
2015-04-16,167
2015-04-17,167
2015-04-18,159
2015-04-19,159
2015-04-20,151
2015-04-21,151
2015-04-22,143
2015-04-23,143
2015-04-24,135
2015-04-25,135
2015-04-26,135
2015-04-27,128
2015-04-28,128
2015-04-29,128
2015-04-30,121
2015-05-01,121
2015-05-02,114
2015-05-03,114
2015-05-04,114
2015-05-05,108
2015-05-06,108
2015-05-07,103
2015-05-08,103
2015-05-09,98
2015-05-10,98
2015-05-11,98
2015-05-12,93
2015-05-13,93
2015-05-14,93
2015-05-15,88
2015-05-16,88
2015-05-17,85
2015-05-18,85
2015-05-19,85
2015-05-20,82
2015-05-21,82
2015-05-22,82
2015-05-23,78
2015-05-24,78
2015-05-25,78
2015-05-26,74
2015-05-27,74
2015-05-28,70
2015-05-29,70
2015-05-30,66
2015-05-31,66
2015-06-01,62
2015-06-02,62
2015-06-03,58
2015-06-04,58
2015-06-05,55
2015-06-06,55
2015-06-07,52
2015-06-08,52
2015-06-09,52
2015-06-10,51
2015-06-11,51
2015-06-12,51
2015-06-13,49
2015-06-14,49
2015-06-15,46
2015-06-16,46
2015-06-17,44
2015-06-18,44
2015-06-19,42
2015-06-20,42
2015-06-21,41
2015-06-22,41
2015-06-23,39
2015-06-24,39
2015-06-25,37
2015-06-26,37
2015-06-27,35
2015-06-28,35
2015-06-29,34
2015-06-30,34
2015-07-01,32
2015-07-02,32
2015-07-03,30
2015-07-04,30
2015-07-05,28
2015-07-06,28
2015-07-07,26
2015-07-08,26
2015-07-09,24
2015-07-10,24
2015-07-11,22
2015-07-12,22
2015-07-13,21
2015-07-14,21
2015-07-15,21
2015-07-16,22
2015-07-17,22
2015-07-18,22
2015-07-19,22
2015-07-20,22
2015-07-21,22
2015-07-22,21
2015-07-23,21
2015-07-24,21
2015-07-25,21
2015-07-26,21
2015-07-27,21
2015-07-28,23
2015-07-29,23
2015-07-30,24
2015-07-31,24
2015-08-01,24
2015-08-02,24
2015-08-03,24
2015-08-04,24
2015-08-05,22
2015-08-06,22
2015-08-07,20
2015-08-08,20
2015-08-09,21
2015-08-10,21
2015-08-11,20
2015-08-12,20
2015-08-13,20
2015-08-14,20
2015-08-15,20
2015-08-16,20
2015-08-17,19
2015-08-18,19
2015-08-19,19
2015-08-20,19
2015-08-21,18
2015-08-22,18
2015-08-23,18
2015-08-24,17
2015-08-25,17
2015-08-26,17
2015-08-27,16
2015-08-28,16
2015-08-29,16
2015-08-30,16
2015-08-31,16
2015-09-02,16
2015-09-07,14
2015-09-08,14
2015-09-10,14
2015-09-14,13
2015-09-16,14
2015-09-22,12
2015-09-23,12
2015-09-24,12
2015-09-25,11
2015-09-27,11
2015-09-28,11
2015-09-29,11
2015-09-30,11
2015-10-05,11
2015-10-06,10
2015-10-07,10
2015-10-08,10
2015-10-09,10
2015-10-10,10
2015-10-11,10
2015-10-12,10
2015-10-13,10
2015-10-14,10
2015-10-15,10
2015-10-16,10
2015-10-17,10
2015-10-18,10
2015-10-19,10
2015-10-20,9
2015-10-22,9
2015-10-23,8
2015-10-24,8
2015-10-25,7
2015-10-26,7
2015-10-27,7
2015-10-29,6
2015-10-30,5
2015-10-31,5
2015-11-01,5
2015-11-02,4
2015-11-03,4
2015-11-05,4
2015-11-06,4
2015-11-07,4
2015-11-08,4
2015-11-09,4
2015-11-10,4
2015-11-11,4
2015-11-12,4
2015-11-13,4
2015-11-14,4
2015-11-15,4
2015-11-16,4
2015-11-17,4
2015-11-18,4
2015-11-19,4
2015-11-20,4
2015-11-21,4
2015-11-22,5
2015-11-23,5
2015-11-24,5
2015-11-25,5
2015-11-26,5
2015-11-27,5
2015-11-28,5
2015-11-29,5
2015-11-30,4
2015-12-01,4
2015-12-02,4
2015-12-03,3
2015-12-04,3
2015-12-05,3
2015-12-06,3
2015-12-07,3
2015-12-08,3
2015-12-09,2
2015-12-10,2
2015-12-11,2
2015-12-13,2
2015-12-14,2
2015-12-15,3
2015-12-16,3
2015-12-17,3
2015-12-18,4
2015-12-19,4
2015-12-20,4
2015-12-21,4
2015-12-22,4
2015-12-23,4
2015-12-24,4
2015-12-25,4
2015-12-26,4
2015-12-27,5
2015-12-28,5
2015-12-29,5
2015-12-30,5
2015-12-31,6
2016-01-01,6
2016-01-02,6
2016-01-03,7
2016-01-04,7
2016-01-05,7
2016-01-06,7
2016-01-07,8
2016-01-08,8
