date_obj,Rock-shell%20splinter price
2016-02-14,30000
2016-02-15,30000
2016-02-16,30000
2016-02-17,30000
2016-02-18,30000
2016-02-19,30000
2016-02-20,30000
2016-02-21,30000
2016-02-22,30000
2016-02-23,30000
2016-02-24,30000
2016-02-25,30000
2016-02-26,30000
2016-02-27,30000
2016-02-28,30000
2016-02-29,30000
2016-03-01,30000
2016-03-02,30000
2016-03-03,30000
2016-03-04,30000
2016-03-05,30000
2016-03-06,30000
2016-03-07,30000
2016-03-08,30000
2016-03-09,30000
2016-03-10,30000
2016-03-11,30000
2016-03-12,30000
2016-03-13,30000
2016-03-14,30000
2016-03-15,30000
2016-03-16,30000
2016-03-17,30000
2016-03-18,30000
2016-03-19,30000
2016-03-20,30000
2016-03-21,30000
2016-03-22,30000
2016-03-23,30000
2016-03-24,30000
2016-03-25,30000
2016-03-26,30000
2016-03-27,30000
2016-03-28,30000
2016-03-29,30000
2016-03-30,30000
2016-03-31,30000
2016-04-01,30000
2016-04-02,30000
2016-04-03,30000
2016-04-04,30000
2016-04-05,30000
2016-04-06,30000
2016-04-07,30000
2016-04-08,30000
2016-04-09,30000
2016-04-10,30000
2016-04-11,30000
2016-04-12,30000
2016-04-13,30000
2016-04-14,30000
2016-04-15,30000
2016-04-16,30000
2016-04-17,30000
2016-04-18,30000
2016-04-19,30000
2016-04-20,30000
2016-04-21,30000
2016-04-22,30000
2016-04-23,30000
2016-04-24,30000
2016-04-25,30000
2016-04-26,30000
2016-04-27,30000
2016-04-28,30000
2016-04-29,30000
2016-04-30,30000
2016-05-01,30000
2016-05-02,30000
2016-05-03,30000
2016-05-04,30000
2016-05-05,30000
2016-05-06,30000
2016-05-07,30000
2016-05-08,30000
2016-05-09,30000
2016-05-10,30000
2016-05-11,30000
2016-05-12,30000
2016-05-13,30000
2016-05-14,30000
2016-05-15,30000
2016-05-16,30000
2016-05-17,30000
2016-05-18,30000
2016-05-19,30000
2016-05-22,30000
2016-05-23,30000
2016-05-24,30000
2016-05-25,30000
2016-05-26,30000
2016-05-27,30000
2016-05-28,30000
2016-05-29,30000
2016-05-30,30000
2016-05-31,30000
2016-06-01,30000
2016-06-02,30000
2016-06-03,30000
2016-06-04,30000
2016-06-05,30000
2016-06-06,30000
2016-06-07,30000
2016-06-08,30000
2016-06-09,29977
2016-06-10,29977
2016-06-11,29977
2016-06-12,29977
2016-06-13,29977
2016-06-14,29977
2016-06-15,29977
2016-06-16,29977
2016-06-17,28569
2016-06-18,28569
2016-06-19,28569
2016-06-20,28569
2016-06-21,28569
2016-06-22,28569
2016-06-23,28569
2016-06-24,28569
2016-06-25,28569
2016-06-26,28569
2016-06-27,28569
2016-06-28,28569
2016-06-29,28569
2016-06-30,28569
2016-07-01,28569
2016-07-02,28569
2016-07-03,28569
2016-07-04,27779
2016-07-05,27779
2016-07-06,27779
2016-07-07,27779
2016-07-08,27779
2016-07-09,27779
2016-07-10,27779
2016-07-11,27779
2016-07-12,27779
2016-07-13,27779
2016-07-14,27779
2016-07-15,27779
2016-07-16,27779
2016-07-17,27779
2016-07-18,27779
2016-07-23,27779
2016-07-24,27779
2016-07-25,27779
2016-07-26,27779
2016-07-27,27779
2016-07-28,27779
2016-07-29,27779
2016-07-30,27779
2016-07-31,27779
2016-08-01,27779
2016-08-02,27779
2016-08-03,27779
2016-08-04,27779
2016-08-05,27779
2016-08-06,27779
2016-08-07,27779
2016-08-08,27779
2016-08-09,27779
2016-08-10,27779
2016-08-11,27779
2016-08-12,27779
2016-08-13,27779
2016-08-14,26631
2016-08-15,26631
2016-08-16,26631
2016-08-17,26631
2016-08-18,26631
2016-08-19,26631
2016-08-20,26631
2016-08-21,26631
2016-08-22,26631
2016-08-23,26631
2016-08-24,26631
2016-08-25,26631
2016-08-26,26631
2016-08-28,26631
2016-08-31,26631
2016-09-01,26631
2016-09-02,26631
2016-09-03,26631
2016-09-04,26631
2016-09-05,26631
2016-09-06,26631
2016-09-07,26631
2016-09-08,26631
2016-09-09,26631
2016-09-10,26631
2016-09-11,26631
2016-09-12,26631
2016-09-13,26631
2016-09-14,26631
2016-09-15,26631
2016-09-16,26631
2016-09-17,26631
2016-09-18,26631
2016-09-19,26631
2016-09-20,26631
2016-09-21,26631
2016-09-22,26631
2016-09-23,26631
2016-09-24,26631
2016-09-25,26631
2016-09-26,26631
2016-09-27,26631
2016-09-28,26631
2016-09-29,26631
2016-09-30,26631
2016-10-01,26631
2016-10-02,26631
2016-10-03,26631
2016-10-04,26631
2016-10-05,26631
2016-10-06,26631
2016-10-07,26631
2016-10-08,25963
2016-10-09,25963
2016-10-10,25963
2016-10-11,25963
2016-10-12,25963
2016-10-13,25963
2016-10-14,25963
2016-10-15,25963
2016-10-16,25963
2016-10-17,25963
2016-10-18,25963
2016-10-19,25963
2016-10-20,25963
2016-10-21,25963
2016-10-22,25963
2016-10-23,25963
2016-10-24,25963
2016-10-25,25963
2016-10-26,25963
2016-10-27,25963
2016-10-28,25963
2016-10-29,25963
2016-10-30,25963
2016-10-31,25963
2016-11-01,25963
2016-11-02,25963
2016-11-03,25963
2016-11-04,25963
2016-11-05,25963
2016-11-06,25963
2016-11-07,25963
2016-11-08,25963
2016-11-09,25963
2016-11-10,25963
2016-11-11,25963
2016-11-12,25963
2016-11-13,25963
2016-11-14,25963
2016-12-08,25963
2016-12-09,25963
2016-12-10,25963
2016-12-11,25062
2016-12-12,25062
2016-12-13,25062
2016-12-14,25062
2016-12-15,25062
2016-12-16,25062
2016-12-17,25062
2016-12-18,25062
2016-12-19,25062
2016-12-20,25062
2016-12-21,25062
2016-12-22,25062
2016-12-23,25062
2016-12-24,25062
2016-12-25,25062
2016-12-26,25062
2016-12-27,25062
2016-12-28,25062
2016-12-29,25062
2016-12-30,25062
2016-12-31,25062
2017-01-01,25062
2017-01-02,25062
2017-01-03,25062
2017-01-04,25062
2017-01-05,25062
2017-01-06,25062
2017-01-07,25062
2017-01-08,25062
2017-01-09,25062
2017-01-10,25062
2017-01-11,25062
2017-01-12,25062
2017-01-13,25062
2017-01-14,25062
2017-01-15,25062
2017-01-16,25062
2017-01-17,25062
2017-01-18,25062
2017-01-19,25062
2017-01-20,25062
2017-01-21,25062
2017-01-22,25062
2017-01-27,25062
2017-01-28,25179
2017-01-29,25179
2017-01-30,25179
2017-01-31,25179
2017-02-01,25179
2017-02-02,25179
2017-02-03,25179
2017-02-04,25179
2017-02-05,25179
2017-02-06,25179
2017-02-07,25179
2017-02-08,25179
2017-02-09,25179
2017-02-10,25179
2017-02-11,25179
2017-02-12,25179
2017-02-13,25179
2017-02-14,25179
2017-02-15,25179
2017-02-16,25179
2017-02-18,25179
2017-02-19,25179
2017-02-20,25179
2017-02-21,25179
2017-02-22,25179
2017-02-23,25179
2017-02-24,25179
2017-02-25,25179
2017-02-26,25179
2017-02-27,25179
2017-02-28,25179
2017-03-01,25179
2017-03-02,25179
2017-03-03,25179
2017-03-04,25179
2017-03-05,25179
2017-03-06,25179
2017-03-07,25179
2017-03-08,25179
2017-03-09,25179
2017-03-10,25179
2017-03-11,25179
2017-03-12,25179
2017-03-13,25179
2017-03-14,25179
2017-03-15,25179
2017-03-16,25179
2017-03-17,25179
2017-03-18,25179
2017-03-19,25179
2017-03-20,25179
2017-03-21,25179
2017-03-22,25179
2017-03-23,25179
2017-03-24,25179
2017-03-25,25050
2017-03-26,25050
2017-03-27,25050
2017-03-28,25050
2017-03-29,25050
2017-03-30,25050
2017-03-31,25050
2017-04-01,25050
2017-04-02,25050
2017-04-03,25050
2017-04-04,25050
2017-04-12,25050
2017-04-13,25050
2017-04-14,25050
2017-04-15,25050
2017-04-16,25050
2017-04-17,25050
2017-04-18,25050
2017-04-19,25050
2017-04-20,25050
2017-04-21,25050
2017-04-22,25050
2017-04-23,25050
2017-04-24,25050
2017-04-25,25050
2017-04-26,25050
2017-04-27,25050
2017-04-28,25050
2017-04-29,25050
2017-04-30,25050
2017-05-01,25050
2017-05-02,25050
2017-05-03,25050
2017-05-04,25050
2017-05-05,25050
2017-05-06,25050
2017-05-07,25050
2017-05-08,25050
2017-05-09,25050
2017-05-10,25050
2017-05-11,25050
2017-05-12,25050
2017-05-13,25050
2017-05-14,25050
2017-05-15,25050
2017-05-16,25050
2017-05-17,25050
2017-05-18,24092
2017-05-19,24092
2017-05-20,24092
2017-05-21,24092
2017-05-22,24092
2017-05-23,24092
2017-05-24,24092
2017-05-25,24092
2017-05-26,24092
2017-05-27,24092
2017-05-28,24092
2017-05-29,24092
2017-05-30,24092
2017-05-31,24092
2017-06-01,24092
2017-06-02,24092
2017-06-03,24092
2017-06-06,24092
2017-06-07,24092
2017-06-08,24092
2017-06-09,24092
2017-06-10,24092
2017-06-11,24092
2017-06-12,24092
2017-06-13,24092
2017-06-14,24092
2017-06-15,24092
2017-06-16,24092
2017-06-17,24092
2017-06-18,24092
2017-06-19,24092
2017-06-20,24092
2017-06-21,24092
2017-06-22,24092
2017-06-23,24092
2017-06-24,24092
2017-06-25,24092
2017-06-26,24092
2017-06-27,24092
2017-06-28,24092
2017-06-29,24092
2017-06-30,24092
2017-07-01,24092
2017-07-02,24092
2017-07-03,24092
2017-07-04,24092
2017-07-05,24092
2017-07-06,24092
2017-07-07,24092
2017-07-08,24092
2017-07-13,24092
2017-07-14,23444
2017-07-15,23444
2017-07-16,23444
2017-07-17,23444
2017-07-18,23444
2017-07-19,23444
2017-07-20,23444
2017-07-21,23444
2017-07-22,23444
2017-07-23,23444
2017-07-24,23444
2017-07-25,23444
2017-07-26,23444
2017-07-27,23444
2017-07-28,23444
2017-07-29,23444
2017-07-30,23444
2017-07-31,23444
2017-08-01,23444
2017-08-02,23444
2017-08-03,23444
2017-08-04,23444
2017-08-05,23444
2017-08-06,23444
2017-08-09,23444
2017-08-10,23444
2017-08-11,23444
2017-08-12,23444
2017-08-13,23444
2017-08-14,23444
2017-08-15,23444
2017-08-17,23444
2017-08-18,23444
2017-08-19,23444
2017-08-20,23444
2017-08-21,23444
2017-08-22,23444
2017-08-23,23444
2017-08-24,23444
2017-08-25,23444
2017-08-26,23444
2017-08-27,23444
2017-08-28,23444
2017-08-29,23444
2017-08-30,23444
2017-08-31,23444
2017-09-01,23444
2017-09-02,23444
2017-09-03,23444
2017-09-04,23444
2017-09-05,23444
2017-09-06,23444
2017-09-07,23444
2017-09-08,23444
2017-09-09,23444
2017-09-10,23196
2017-09-11,23196
2017-09-12,23196
2017-09-13,23196
2017-09-14,23196
2017-09-15,23196
2017-09-16,23196
2017-09-17,23196
2017-09-19,23196
2017-09-20,23196
2017-09-21,23196
2017-09-22,23196
2017-09-23,23196
2017-09-24,23196
2017-09-25,23196
2017-09-26,23196
2017-09-27,23196
2017-09-28,23196
2017-09-29,23196
2017-09-30,23196
2017-10-01,23196
2017-10-02,23196
2017-10-03,23196
2017-10-04,23196
2017-10-05,23196
2017-10-06,23196
2017-10-07,23196
2017-10-08,23196
2017-10-09,23196
2017-10-10,23196
2017-10-11,23196
2017-10-12,23196
2017-10-13,23196
2017-10-14,23196
2017-10-15,23196
2017-10-16,23196
2017-10-17,23196
2017-10-18,23196
2017-10-19,23196
2017-10-20,23196
2017-10-21,23196
2017-10-22,23196
2017-10-23,23196
2017-10-24,23196
2017-10-25,23196
2017-10-26,23196
2017-10-27,23196
2017-10-28,23196
2017-10-29,23196
2017-10-30,23196
2017-10-31,23196
2017-11-01,23196
2017-11-02,23196
2017-11-03,23196
2017-11-04,23196
2017-11-05,23196
2017-11-06,23196
2017-11-07,23196
2017-11-08,23196
2017-11-09,23314
2017-11-10,23314
2017-11-11,23314
2017-11-12,23314
2017-11-13,23314
2017-11-14,23314
2017-11-15,23314
2017-11-16,23314
2017-11-17,23314
2017-11-18,23314
2017-11-19,23314
2017-11-20,23314
2017-11-21,23314
2017-11-22,23314
2017-11-23,23314
2017-11-24,23314
2017-11-25,23314
2017-11-26,23314
2017-11-27,23314
2017-11-28,23314
2017-11-29,23314
2017-11-30,23314
2017-12-01,23314
2017-12-02,23314
2017-12-03,23314
2017-12-04,23314
2017-12-05,23314
2017-12-06,23314
2017-12-07,23314
2017-12-08,23314
2017-12-09,23314
2017-12-10,23314
2017-12-11,23314
2017-12-12,23314
2017-12-14,23314
2017-12-15,23314
2017-12-16,23314
2017-12-17,23314
2017-12-18,23314
2017-12-19,23314
2017-12-20,23314
2017-12-21,23314
2017-12-22,23314
2017-12-23,23314
2017-12-24,23314
2017-12-25,23314
2017-12-26,23314
2017-12-27,23314
2017-12-28,23314
2017-12-29,23314
2017-12-30,23314
2017-12-31,23314
2018-01-01,23314
2018-01-02,23314
2018-01-03,23314
2018-01-04,23314
2018-01-05,23314
2018-01-06,23314
2018-01-07,23314
2018-01-08,23862
2018-01-09,23862
2018-01-10,23862
2018-01-11,23862
2018-01-12,23862
2018-01-13,23862
2018-01-14,23862
2018-01-15,23862
2018-01-16,23862
2018-01-17,23862
2018-01-18,23862
2018-01-19,23862
2018-01-20,23862
2018-01-21,23862
2018-01-22,23862
2018-01-23,23862
2018-01-24,23862
2018-01-25,23862
2018-01-26,23862
2018-01-27,23862
2018-01-28,23862
2018-01-29,23862
2018-01-31,23862
2018-02-01,23862
2018-02-02,23862
2018-02-03,23862
2018-02-04,23862
2018-02-05,23862
2018-02-06,23862
2018-02-07,23862
2018-02-08,23862
2018-02-09,24698
2018-02-10,24698
2018-02-11,24698
2018-02-12,24698
2018-02-13,24698
2018-02-14,24698
2018-02-15,24698
2018-02-16,24698
2018-02-17,24698
2018-02-18,24698
2018-02-19,24698
2018-02-20,24698
2018-02-21,24698
2018-02-22,24698
2018-02-23,24698
2018-02-24,24698
2018-02-25,24698
2018-02-26,24698
2018-02-27,24698
2018-02-28,24698
2018-03-01,24698
2018-03-02,24698
2018-03-03,24698
2018-03-04,24698
2018-03-05,24698
2018-03-06,24698
2018-03-07,24698
2018-03-08,24698
2018-03-09,24698
2018-03-10,24698
2018-03-11,24698
2018-03-12,23735
2018-03-13,23735
2018-03-14,23735
2018-03-15,23735
2018-03-16,23735
2018-03-17,23735
2018-03-18,23735
2018-03-19,23735
2018-03-20,23735
2018-03-21,23735
2018-03-23,23735
2018-03-24,23735
2018-03-26,23735
2018-03-27,23735
2018-03-29,23735
2018-03-30,23735
2018-03-31,23735
2018-04-01,23735
2018-04-02,23735
2018-04-03,23735
2018-04-04,23735
2018-04-05,23735
2018-04-06,23735
2018-04-08,23735
2018-04-09,23735
2018-04-10,23735
2018-04-11,23735
2018-04-12,23735
2018-04-13,23060
2018-04-14,23060
2018-04-15,23060
2018-04-16,23060
2018-04-17,23060
2018-04-18,23060
2018-04-19,23060
2018-04-20,23060
2018-04-21,23060
2018-04-22,23060
2018-04-23,23060
2018-04-24,23060
2018-04-25,23060
2018-04-26,23060
2018-04-27,23060
2018-04-28,23060
2018-04-29,23060
2018-04-30,23060
2018-05-01,23060
2018-05-02,23060
2018-05-03,23060
2018-05-04,23060
2018-05-05,23060
2018-05-06,23060
2018-05-07,23060
2018-05-08,23060
2018-05-09,23060
2018-05-10,23060
2018-05-11,23060
2018-05-12,23060
2018-05-13,23060
2018-05-14,23060
2018-05-15,23060
2018-05-16,23060
2018-05-17,23060
2018-05-18,23060
2018-05-19,22625
2018-05-20,22625
2018-05-21,22625
2018-05-22,22625
2018-05-23,22625
2018-05-24,22625
2018-05-25,22625
2018-05-26,22625
2018-05-27,22625
2018-05-28,22625
2018-05-29,22625
2018-05-30,22625
2018-05-31,22625
2018-06-01,22625
2018-06-02,22625
2018-06-03,22625
2018-06-04,22625
2018-06-05,22625
2018-06-06,22625
2018-06-07,22625
2018-06-08,22625
2018-06-09,22625
2018-06-10,22625
2018-06-11,22625
2018-06-12,22408
2018-06-13,22408
2018-06-14,22408
2018-06-15,22408
2018-06-16,22408
2018-06-17,22408
2018-06-18,22408
2018-06-19,22408
2018-06-20,22408
2018-06-21,22408
2018-06-22,22408
2018-06-23,22408
2018-06-24,22408
2018-06-25,22408
2018-06-26,22408
2018-06-27,22408
2018-06-28,22408
2018-06-29,22408
2018-06-30,22408
2018-07-01,22408
2018-07-02,22408
2018-07-03,22408
2018-07-04,22408
2018-07-05,21720
2018-07-06,21720
2018-07-07,21720
2018-07-08,21720
2018-07-09,21720
2018-07-10,21720
2018-07-11,21720
2018-07-12,21720
2018-07-13,21720
2018-07-14,21720
2018-07-15,21720
2018-07-16,21720
2018-07-17,21720
2018-07-18,21720
2018-07-19,21720
2018-07-20,21720
2018-07-21,21720
2018-07-22,21720
2018-07-23,21720
2018-07-24,21720
2018-07-25,21720
2018-07-26,21720
2018-07-27,21720
2018-07-28,21720
2018-07-29,21720
2018-07-30,21720
2018-07-31,21404
2018-08-01,21404
2018-08-02,21404
2018-08-03,21404
2018-08-04,21404
2018-08-05,21404
2018-08-06,21404
2018-08-07,21404
2018-08-08,21404
2018-08-09,21404
2018-08-10,21404
2018-08-11,21404
2018-08-12,21404
2018-08-14,21404
2018-08-16,21404
2018-08-17,21404
2018-08-18,21404
2018-08-19,21404
2018-08-20,21434
2018-08-21,21434
2018-08-22,21434
2018-08-23,21434
2018-08-24,21434
2018-08-25,21434
2018-08-26,21434
2018-08-27,21434
2018-08-28,21434
2018-08-29,21434
2018-08-30,21434
2018-08-31,21434
2018-09-01,21434
2018-09-02,21434
2018-09-03,21434
2018-09-04,21434
2018-09-05,21434
2018-09-06,21434
2018-09-07,22088
2018-09-08,22088
2018-09-09,22088
2018-09-10,22088
2018-09-11,22088
2018-09-12,22088
2018-09-13,22088
2018-09-14,22088
2018-09-15,22088
2018-09-16,22088
2018-09-17,22088
2018-09-18,22088
2018-09-19,22088
2018-09-20,22088
2018-09-21,22088
2018-09-22,22088
2018-09-23,22088
2018-09-24,22088
2018-09-25,22088
2018-09-26,22088
2018-09-27,22088
2018-09-28,22088
2018-09-29,21726
2018-09-30,21726
2018-10-02,21726
2018-10-03,21726
2018-10-04,21726
2018-10-05,21726
2018-10-06,21726
2018-10-07,21726
2018-10-08,21726
2018-10-09,21726
2018-10-10,21726
2018-10-11,21726
2018-10-12,21726
2018-10-13,21726
2018-10-14,21726
2018-10-15,21726
2018-10-16,21726
2018-10-17,21726
2018-10-18,21726
2018-10-19,21726
2018-10-20,21726
2018-10-21,22345
2018-10-22,22345
2018-10-23,22345
2018-10-24,22345
2018-10-25,22345
2018-10-26,22345
2018-10-27,22345
2018-10-28,22345
2018-10-29,22345
2018-10-30,22345
2018-10-31,22345
2018-11-01,22345
2018-11-03,22345
2018-11-04,22345
2018-11-05,22345
2018-11-06,22345
2018-11-07,22345
2018-11-08,22345
2018-11-09,21821
2018-11-10,21821
2018-11-11,21821
2018-11-12,21821
2018-11-13,21821
2018-11-14,21821
2018-11-15,21821
2018-11-16,21821
2018-11-17,21821
2018-11-18,21821
2018-11-19,21821
2018-11-20,21821
2018-11-21,21821
2018-11-22,21821
2018-11-23,21821
2018-11-24,21821
2018-11-25,21977
2018-11-26,21977
2018-11-27,21977
2018-11-28,21977
2018-11-29,21977
2018-12-01,21977
2018-12-02,21977
2018-12-03,21977
2018-12-04,21977
2018-12-05,21977
2018-12-07,21977
2018-12-09,21977
2018-12-10,22018
2018-12-11,22018
2018-12-12,22018
2018-12-13,22018
2018-12-14,22018
2018-12-15,22018
2018-12-16,22018
2018-12-17,22018
2018-12-18,22018
2018-12-19,22018
2018-12-20,22018
2018-12-21,22018
2018-12-22,21900
2018-12-23,21900
2018-12-24,21900
2018-12-25,21900
2018-12-26,21900
2018-12-27,21900
2018-12-28,21900
2018-12-29,21900
2018-12-30,21900
2018-12-31,21900
2019-01-01,21900
2019-01-02,22272
2019-01-03,22272
2019-01-04,22272
2019-01-05,22272
2019-01-06,22272
2019-01-08,22272
2019-01-10,22272
2019-01-11,22272
2019-01-12,22272
2019-01-13,22665
2019-01-14,22665
2019-01-15,22665
2019-01-16,22665
2019-01-17,22665
2019-01-18,22665
2019-01-19,22665
2019-01-20,22665
2019-01-21,22665
2019-01-22,22665
2019-01-23,22665
2019-01-24,23297
2019-01-25,23297
2019-01-26,23297
2019-01-27,23297
2019-01-28,23297
2019-01-29,23297
2019-01-30,23297
2019-01-31,23297
2019-02-01,23297
2019-02-02,23297
2019-02-03,23186
2019-02-04,23186
2019-02-05,23186
2019-02-06,23186
2019-02-07,23186
2019-02-08,23186
2019-02-09,23186
2019-02-10,23186
2019-02-11,23186
2019-02-12,23186
2019-02-13,23186
2019-02-14,23186
2019-02-15,22120
2019-02-16,22120
2019-02-17,22120
2019-02-18,22120
2019-02-19,22120
2019-02-20,22120
2019-02-21,22120
2019-02-22,22120
2019-02-23,22120
2019-02-24,22120
2019-02-25,22120
2019-02-26,22120
2019-02-27,22131
2019-02-28,22131
2019-03-01,22131
2019-03-02,22131
2019-03-03,22131
2019-03-04,22131
2019-03-05,22131
2019-03-06,22131
2019-03-07,22131
2019-03-08,22131
2019-03-09,22131
2019-03-10,22131
2019-03-11,22131
2019-03-12,22183
2019-03-13,22183
2019-03-14,22183
2019-03-15,22183
2019-03-16,22183
2019-03-17,22183
2019-03-18,22183
2019-03-19,22183
2019-03-20,22183
2019-03-21,22183
2019-03-22,22183
2019-03-23,22183
2019-03-24,22183
2019-03-25,22183
2019-03-26,21365
2019-03-27,21365
2019-03-28,21365
2019-03-29,21365
2019-03-30,21365
2019-03-31,21365
2019-04-01,21365
2019-04-02,21365
2019-04-03,21365
2019-04-04,21365
2019-04-05,21365
