date_obj,Cocktail%20glass price
2016-03-20,174
2016-03-21,176
2016-03-22,169
2016-03-23,174
2016-03-24,173
2016-03-25,178
2016-03-26,177
2016-03-27,173
2016-03-28,180
2016-03-29,189
2016-03-30,189
2016-03-31,199
2016-04-01,204
2016-04-02,210
2016-04-03,219
2016-04-04,223
2016-04-05,220
2016-04-06,220
2016-04-07,222
2016-04-08,223
2016-04-09,211
2016-04-10,204
2016-04-11,204
2016-04-12,201
2016-04-13,197
2016-04-14,201
2016-04-15,201
2016-04-16,208
2016-04-17,219
2016-04-18,225
2016-04-19,230
2016-04-20,241
2016-04-21,235
2016-04-22,235
2016-04-23,226
2016-04-24,222
2016-04-25,223
2016-04-26,235
2016-04-27,247
2016-04-28,255
2016-04-29,260
2016-04-30,255
2016-05-01,265
2016-05-02,262
2016-05-03,258
2016-05-04,252
2016-05-05,252
2016-05-06,252
2016-05-07,261
2016-05-08,255
2016-05-09,254
2016-05-10,256
2016-05-11,248
2016-05-12,235
2016-05-13,231
2016-05-14,221
2016-05-15,225
2016-05-16,222
2016-05-17,224
2016-05-18,218
2016-05-19,217
2016-05-22,210
2016-05-23,199
2016-05-24,192
2016-05-25,186
2016-05-26,177
2016-05-27,178
2016-05-28,186
2016-05-29,179
2016-05-30,187
2016-05-31,187
2016-06-01,180
2016-06-02,176
2016-06-03,175
2016-06-04,172
2016-06-05,172
2016-06-06,175
2016-06-07,171
2016-06-08,165
2016-06-09,168
2016-06-10,177
2016-06-11,186
2016-06-12,184
2016-06-13,179
2016-06-14,171
2016-06-15,169
2016-06-16,162
2016-06-17,153
2016-06-18,147
2016-06-19,145
2016-06-20,137
2016-06-21,130
2016-06-22,129
2016-06-23,124
2016-06-24,124
2016-06-25,127
2016-06-26,133
2016-06-27,133
2016-06-28,135
2016-06-29,131
2016-06-30,129
2016-07-01,129
2016-07-02,125
2016-07-03,121
2016-07-04,118
2016-07-05,118
2016-07-06,116
2016-07-07,114
2016-07-08,114
2016-07-09,112
2016-07-10,108
2016-07-11,103
2016-07-12,103
2016-07-13,104
2016-07-14,100
2016-07-15,104
2016-07-16,106
2016-07-17,112
2016-07-18,112
2016-07-23,115
2016-07-24,110
2016-07-25,110
2016-07-26,109
2016-07-27,106
2016-07-28,102
2016-07-29,96
2016-07-30,91
2016-07-31,91
2016-08-01,91
2016-08-02,93
2016-08-03,94
2016-08-04,96
2016-08-05,101
2016-08-06,107
2016-08-07,113
2016-08-08,119
2016-08-09,124
2016-08-10,124
2016-08-11,120
2016-08-12,118
2016-08-13,116
2016-08-14,116
2016-08-15,112
2016-08-16,113
2016-08-17,118
2016-08-18,122
2016-08-19,120
2016-08-20,123
2016-08-21,129
2016-08-22,136
2016-08-23,143
2016-08-24,151
2016-08-25,157
2016-08-26,157
2016-08-28,158
2016-08-31,158
2016-09-01,151
2016-09-02,151
2016-09-03,159
2016-09-04,164
2016-09-05,167
2016-09-06,160
2016-09-07,160
2016-09-08,164
2016-09-09,164
2016-09-10,172
2016-09-11,172
2016-09-12,177
2016-09-13,181
2016-09-14,181
2016-09-15,173
2016-09-16,173
2016-09-17,167
2016-09-18,175
2016-09-19,184
2016-09-20,184
2016-09-21,194
2016-09-22,202
2016-09-23,207
2016-09-24,207
2016-09-25,213
2016-09-26,213
2016-09-27,221
2016-09-28,227
2016-09-29,227
2016-09-30,231
2016-10-01,236
2016-10-02,236
2016-10-03,233
2016-10-04,226
2016-10-05,231
2016-10-06,233
2016-10-07,233
2016-10-08,224
2016-10-09,224
2016-10-10,218
2016-10-11,214
2016-10-12,211
2016-10-13,210
2016-10-14,210
2016-10-15,215
2016-10-16,215
2016-10-17,210
2016-10-18,200
2016-10-19,203
2016-10-20,203
2016-10-21,207
2016-10-22,207
2016-10-23,205
2016-10-24,210
2016-10-25,210
2016-10-26,213
2016-10-27,213
2016-10-28,221
2016-10-29,226
2016-10-30,220
2016-10-31,215
2016-11-01,215
2016-11-02,222
2016-11-03,212
2016-11-04,222
2016-11-05,222
2016-11-06,225
2016-11-07,217
2016-11-08,211
2016-11-09,219
2016-11-10,218
2016-11-11,221
