date_obj,Ale%20of%20the%20gods price
2016-07-06,15605884
2016-07-07,16307696
2016-07-08,17085714
2016-07-09,17917759
2016-07-10,18780713
2016-07-11,19291716
2016-07-12,18327130
2016-07-13,17410773
2016-07-14,16560574
2016-07-15,16560574
2016-07-16,16058693
2016-07-17,16058693
2016-07-18,15255758
2016-07-23,13773041
2016-07-24,13084388
2016-07-25,12430750
2016-07-26,12430750
2016-07-27,11809212
2016-07-28,11809212
2016-07-29,11218751
2016-07-30,10657813
2016-07-31,10657813
2016-08-01,10124922
2016-08-02,9618675
2016-08-03,9137741
2016-08-04,8695130
2016-08-05,8260373
2016-08-06,7847354
2016-08-07,7454986
2016-08-08,7454986
2016-08-09,7082236
2016-08-10,6728124
2016-08-11,6728124
2016-08-12,6418722
2016-08-13,6418722
2016-08-14,6233681
2016-08-15,6496935
2016-08-16,6788400
2016-08-17,6788400
2016-08-18,7060709
2016-08-19,6889107
2016-08-20,6762654
2016-08-21,6762654
2016-08-22,6650336
2016-08-23,6849085
2016-08-24,6849085
2016-08-25,7126181
2016-08-26,7126181
2016-08-28,6851122
2016-08-31,6186479
2016-09-01,5877155
2016-09-02,5877155
2016-09-03,5583385
2016-09-04,5385353
2016-09-05,5563349
2016-09-06,5782718
2016-09-07,5782718
2016-09-08,5987903
2016-09-09,5987903
2016-09-10,6282382
2016-09-11,6282382
2016-09-12,6593734
2016-09-13,6902365
2016-09-14,6902365
2016-09-15,6964375
2016-09-16,6964375
2016-09-17,6707117
2016-09-18,6372892
2016-09-19,6071113
2016-09-20,6071113
2016-09-21,5881207
2016-09-22,5704037
2016-09-23,5704037
2016-09-24,5756423
2016-09-25,5912005
2016-09-26,5912005
2016-09-27,5850468
2016-09-28,5764841
2016-09-29,5764841
2016-09-30,5663279
2016-10-01,5623005
2016-10-02,5623005
2016-10-03,5651820
2016-10-04,5622998
2016-10-05,5622998
2016-10-06,5686078
2016-10-07,5686078
2016-10-08,5970382
2016-10-09,6201234
2016-10-10,6201234
2016-10-11,6065541
2016-10-12,6065541
2016-10-13,5871920
2016-10-14,5694554
2016-10-15,5634916
2016-10-16,5609962
2016-10-17,5577198
2016-10-18,5577198
2016-10-19,5543165
2016-10-20,5543165
2016-10-21,5537850
2016-10-22,5537850
2016-10-23,5639314
2016-10-24,5678648
2016-10-25,5678648
2016-10-26,5739084
2016-10-27,5739084
2016-10-28,5617805
2016-10-29,5651970
2016-10-30,5651970
2016-10-31,5440467
2016-11-01,5440467
2016-11-02,5254605
2016-11-03,5254605
2016-11-04,5078642
2016-11-05,5078642
2016-11-06,4982976
2016-11-07,4982976
2016-11-08,4894163
2016-11-09,4858831
2016-11-10,4761940
2016-11-11,4761940
2016-11-12,4545273
2016-11-13,4545273
2016-11-14,4318009
2016-11-15,4103599
2016-12-07,4280681
2016-12-08,4231942
2016-12-09,4184253
2016-12-10,4339434
2016-12-11,4533860
2016-12-12,4574400
2016-12-13,4421431
2016-12-14,4394902
2016-12-15,4394902
2016-12-16,4285012
2016-12-17,4129366
2016-12-18,4129366
2016-12-19,3946518
2016-12-20,3869910
2016-12-21,3943640
2016-12-22,3943640
2016-12-23,4050994
2016-12-24,4050994
2016-12-25,4154045
2016-12-26,4222872
2016-12-27,4156256
2016-12-28,4136179
2016-12-29,4128758
2016-12-30,4046614
2016-12-31,4119711
2017-01-01,4113006
2017-01-02,4143708
2017-01-03,4143708
2017-01-04,4075060
2017-01-05,4075060
2017-01-06,3886479
2017-01-07,3734248
2017-01-08,3734248
2017-01-09,3649854
2017-01-10,3649854
2017-01-11,3503141
2017-01-12,3362767
2017-01-13,3362767
2017-01-14,3325574
2017-01-15,3274833
2017-01-16,3211293
2017-01-17,3228335
2017-01-18,3192934
2017-01-19,3166597
2017-01-20,3166597
2017-01-21,3094595
2017-01-22,3067250
2017-01-23,3111868
2017-01-27,3407823
2017-01-28,3371440
2017-01-29,3272071
2017-01-30,3272071
2017-01-31,3157154
2017-02-01,3078448
2017-02-02,3078448
2017-02-03,2942579
2017-02-04,2864844
2017-02-05,2864844
2017-02-06,2789316
2017-02-07,2698186
2017-02-08,2661394
2017-02-09,2661394
2017-02-10,2754505
2017-02-11,2889487
2017-02-12,2889487
2017-02-13,2987892
2017-02-14,3099104
2017-02-15,3099104
2017-02-16,3118283
2017-02-17,3118283
2017-02-18,3113326
2017-02-19,3098578
2017-02-20,3098578
2017-02-21,3068589
2017-02-22,3068589
2017-02-23,3065561
2017-02-24,3065561
2017-02-25,2940688
2017-02-26,2859109
2017-02-27,2859109
2017-02-28,2783813
2017-03-01,2774120
2017-03-02,2766010
2017-03-03,2766010
2017-03-04,2706193
2017-03-05,2674404
2017-03-06,2659922
2017-03-07,2617626
2017-03-08,2617626
2017-03-09,2529665
2017-03-10,2484244
2017-03-11,2538145
2017-03-12,2533057
2017-03-13,2483481
2017-03-14,2459389
2017-03-15,2424052
2017-03-16,2379221
2017-03-17,2382523
2017-03-18,2382169
2017-03-19,2388815
2017-03-20,2439312
2017-03-21,2491712
2017-03-22,2573087
2017-03-23,2667004
2017-03-24,2798752
2017-03-25,2798752
2017-03-26,2900963
2017-03-27,2857805
2017-03-28,2883459
2017-03-29,2846903
2017-03-30,2821476
2017-03-31,2822670
2017-04-01,2838411
2017-04-02,2838411
2017-04-03,2821090
2017-04-04,2917330
2017-04-05,2942137
2017-04-12,2697242
2017-04-13,2689164
2017-04-14,2702971
2017-04-15,2716727
2017-04-16,2716856
2017-04-17,2694913
2017-04-18,2707117
2017-04-19,2698927
2017-04-20,2690046
2017-04-21,2680734
2017-04-22,2695456
2017-04-23,2763677
2017-04-24,2810017
2017-04-25,2867892
2017-04-26,2867892
2017-04-27,2898433
2017-04-28,2887324
2017-04-30,2891352
2017-05-01,2891352
2017-05-02,2897041
2017-05-03,2937174
2017-05-04,2959356
2017-05-05,3057552
2017-05-06,3167807
2017-05-07,3265443
2017-05-08,3265443
2017-05-09,3355891
2017-05-10,3437121
2017-05-11,3584815
2017-05-12,3692242
2017-05-13,3547718
2017-05-14,3455691
2017-05-15,3375953
2017-05-16,3257430
2017-05-17,3257430
2017-05-18,3121274
2017-05-19,2996346
2017-05-20,2978064
2017-05-21,2978064
2017-05-22,2853230
2017-05-23,2753624
2017-05-24,2697590
2017-05-25,2616365
2017-05-26,2601172
2017-05-27,2565709
2017-05-28,2534575
2017-05-29,2460955
2017-05-30,2449501
2017-05-31,2403358
2017-06-01,2432254
2017-06-02,2535261
2017-06-03,2569668
2017-06-04,2662419
2017-06-05,2759652
2017-06-06,2810718
2017-06-07,2883314
2017-06-08,3001559
2017-06-09,3151637
2017-06-10,3116210
2017-06-11,2986768
2017-06-12,2914337
2017-06-13,2799147
2017-06-14,2698888
2017-06-15,2660310
2017-06-16,2695331
2017-06-17,2693777
2017-06-18,2611361
2017-06-19,2611361
2017-06-20,2535251
2017-06-21,2517987
2017-06-22,2517987
2017-06-23,2550582
2017-06-24,2583596
2017-06-25,2547720
2017-06-26,2537723
2017-06-27,2617105
2017-06-28,2698964
2017-06-29,2727167
2017-06-30,2688724
2017-07-01,2688724
2017-07-02,2686569
2017-07-03,2774903
2017-07-04,2893481
2017-07-05,3024125
2017-07-06,3174196
2017-07-07,3174196
2017-07-08,3221850
2017-07-09,3113588
2017-07-13,3477997
2017-07-14,3485925
2017-07-15,3485925
2017-07-16,3608433
2017-07-17,3660481
2017-07-18,3686571
2017-07-19,3666817
2017-07-20,3655743
2017-07-21,3631131
2017-07-22,3595084
2017-07-23,3494015
2017-07-24,3494015
2017-07-25,3375048
2017-07-26,3208908
2017-07-27,3096416
2017-07-28,2945600
2017-07-29,2813456
2017-07-30,2798505
2017-07-31,2798505
2017-08-01,2891196
2017-08-02,3002711
2017-08-03,3106743
2017-08-04,3157694
2017-08-05,3220361
2017-08-06,3095553
2017-08-07,2969711
2017-08-08,2866633
2017-08-09,2834280
2017-08-10,2818484
2017-08-11,2891559
2017-08-12,2949706
2017-08-13,2922827
2017-08-14,2869540
2017-08-15,2865476
2017-08-16,2826295
2017-08-17,2780118
2017-08-18,2780118
2017-08-19,2757370
2017-08-20,2701817
2017-08-21,2606082
2017-08-22,2566121
2017-08-23,2589945
2017-08-24,2671293
2017-08-25,2753676
2017-08-26,2781807
2017-08-27,2741709
2017-08-28,2702214
2017-08-29,2702214
2017-08-30,2658605
2017-08-31,2639865
2017-09-01,2639865
2017-09-02,2671133
2017-09-03,2671133
2017-09-04,2717860
2017-09-05,2776303
2017-09-06,2847427
2017-09-07,2895369
2017-09-08,2895369
2017-09-09,2976841
2017-09-10,2970456
2017-09-11,2952958
2017-09-12,2944903
2017-09-13,2912112
2017-09-14,2886401
2017-09-15,2886401
2017-09-16,2870877
2017-09-17,2929959
2017-09-18,2965605
2017-09-19,2965605
2017-09-20,2985171
2017-09-21,2947396
2017-09-22,2953752
2017-09-23,2932132
2017-09-24,2908153
2017-09-25,2905684
2017-09-26,2881201
2017-09-27,2881201
2017-09-28,2849327
2017-09-29,2783453
2017-09-30,2760097
2017-10-01,2759261
2017-10-02,2699297
2017-10-03,2655900
2017-10-04,2646663
2017-10-05,2625501
2017-10-06,2620513
2017-10-07,2671890
2017-10-08,2737139
2017-10-09,2667275
2017-10-10,2656458
2017-10-11,2656458
2017-10-12,2684331
2017-10-13,2691789
2017-10-14,2737741
2017-10-15,2737741
2017-10-16,2749101
2017-10-17,2749101
2017-10-18,2715848
2017-10-19,2703602
2017-10-20,2754096
2017-10-21,2801228
2017-10-22,2885397
2017-10-23,2909259
