date_obj,Studded%20chaps%20(t) price
2015-03-26,13044
2015-03-27,13044
2015-03-28,12538
2015-03-29,12538
2015-03-30,12030
2015-03-31,12030
2015-04-01,11488
2015-04-02,11488
2015-04-03,11228
2015-04-04,10891
2015-04-05,10891
2015-04-06,10379
2015-04-07,10379
2015-04-08,10319
2015-04-09,10319
2015-04-10,10311
2015-04-11,10229
2015-04-12,10229
2015-04-13,9785
2015-04-14,9785
2015-04-15,9378
2015-04-16,9378
2015-04-17,9100
2015-04-18,9100
2015-04-19,9048
2015-04-20,9048
2015-04-21,8621
2015-04-22,8621
2015-04-23,8338
2015-04-24,8338
2015-04-25,8255
2015-04-26,8255
2015-04-27,7978
2015-04-28,7978
2015-04-29,8031
2015-04-30,7932
2015-05-01,7908
2015-05-02,7927
2015-05-03,7927
2015-05-04,7858
2015-05-05,7858
2015-05-06,7633
2015-05-07,7633
2015-05-08,7735
2015-05-09,7735
2015-05-10,7546
2015-05-11,7546
2015-05-12,7344
2015-05-13,7344
2015-05-14,7023
2015-05-15,7023
2015-05-16,6923
2015-05-17,6666
2015-05-18,6666
2015-05-19,6689
2015-05-20,6689
2015-05-21,6689
2015-05-22,6559
2015-05-23,6559
2015-05-24,6571
2015-05-25,6586
2015-05-26,6586
2015-05-27,6626
2015-05-28,6626
2015-05-29,6461
2015-05-30,6294
2015-05-31,6294
2015-06-01,6348
2015-06-02,6348
2015-06-03,6413
2015-06-04,6413
2015-06-05,6314
2015-06-06,6314
2015-06-07,6303
2015-06-08,6303
2015-06-09,6224
2015-06-10,6224
2015-06-11,6290
2015-06-12,6290
2015-06-13,6366
2015-06-14,6366
2015-06-15,6531
2015-06-16,6531
2015-06-17,6765
2015-06-18,6822
2015-06-19,6822
2015-06-20,6979
2015-06-21,6979
2015-06-22,7230
2015-06-23,7230
2015-06-24,7539
2015-06-25,7539
2015-06-26,7703
2015-06-27,7703
2015-06-28,7881
2015-06-29,7881
2015-06-30,8093
2015-07-01,8093
2015-07-02,8093
2015-07-03,7910
2015-07-04,7910
2015-07-05,8009
2015-07-06,8009
2015-07-07,8130
2015-07-08,8130
2015-07-09,8130
2015-07-10,8321
2015-07-11,8321
2015-07-12,8636
2015-07-13,8636
2015-07-14,8830
2015-07-15,8830
2015-07-16,8978
2015-07-17,8978
2015-07-18,9085
