date_obj,Kwuarm price
2015-03-26,2019
2015-03-27,2019
2015-03-28,2056
2015-03-29,2108
2015-03-30,2108
2015-03-31,2160
2015-04-01,2160
2015-04-02,2244
2015-04-03,2338
2015-04-04,2450
2015-04-05,2450
2015-04-06,2556
2015-04-07,2642
2015-04-08,2642
2015-04-09,2736
2015-04-10,2863
2015-04-11,2892
2015-04-12,2892
2015-04-13,2882
2015-04-14,2882
2015-04-15,2758
2015-04-16,2758
2015-04-17,2644
2015-04-18,2557
2015-04-19,2621
2015-04-20,2621
2015-04-21,2574
2015-04-22,2574
2015-04-23,2532
2015-04-24,2532
2015-04-25,2533
2015-04-26,2533
2015-04-27,2527
2015-04-28,2579
2015-04-29,2579
2015-04-30,2588
2015-05-01,2673
2015-05-02,2687
2015-05-03,2687
2015-05-04,2676
2015-05-05,2676
2015-05-06,2652
2015-05-07,2652
2015-05-08,2571
2015-05-09,2571
2015-05-10,2520
2015-05-11,2520
2015-05-12,2499
2015-05-13,2499
2015-05-14,2392
2015-05-15,2392
2015-05-16,2331
2015-05-17,2258
2015-05-18,2258
2015-05-19,2250
2015-05-20,2250
2015-05-21,2250
2015-05-22,2161
2015-05-23,2161
2015-05-24,2079
2015-05-25,2067
2015-05-26,2067
2015-05-27,2030
2015-05-28,2030
2015-05-29,2002
2015-05-30,2052
2015-05-31,2052
2015-06-01,2045
2015-06-02,2045
2015-06-03,2057
2015-06-04,2057
2015-06-05,2085
2015-06-06,2167
2015-06-07,2233
2015-06-08,2233
2015-06-09,2269
2015-06-10,2255
2015-06-11,2255
2015-06-12,2337
2015-06-13,2402
2015-06-14,2410
2015-06-15,2410
2015-06-16,2426
2015-06-17,2426
2015-06-18,2416
2015-06-19,2416
2015-06-20,2381
2015-06-21,2381
2015-06-22,2384
2015-06-23,2384
2015-06-24,2375
2015-06-25,2375
2015-06-26,2443
2015-06-27,2443
2015-06-28,2363
2015-06-29,2363
2015-06-30,2304
2015-07-01,2368
2015-07-02,2368
2015-07-03,2371
2015-07-04,2371
2015-07-05,2364
2015-07-06,2364
2015-07-07,2357
2015-07-08,2316
2015-07-09,2316
2015-07-10,2279
2015-07-11,2279
