date_obj,Rune%20dart%20tip price
2015-03-26,286
2015-03-27,286
2015-03-28,286
2015-03-29,286
2015-03-30,286
2015-03-31,286
2015-04-01,286
2015-04-02,300
2015-04-03,300
2015-04-04,300
2015-04-05,300
2015-04-06,300
2015-04-07,300
2015-04-08,300
2015-04-09,300
2015-04-10,300
2015-04-11,300
2015-04-12,300
2015-04-13,300
2015-04-14,300
2015-04-15,300
2015-04-16,314
2015-04-17,314
2015-04-18,314
2015-04-19,314
2015-04-20,314
2015-04-21,314
2015-04-22,314
2015-04-23,314
2015-04-24,314
2015-04-25,314
2015-04-26,314
2015-04-27,314
2015-04-28,314
2015-04-29,314
2015-04-30,314
2015-05-01,328
2015-05-02,328
2015-05-03,328
2015-05-04,328
2015-05-05,328
2015-05-06,328
2015-05-07,328
2015-05-08,328
2015-05-09,328
2015-05-10,328
2015-05-11,328
2015-05-12,328
2015-05-13,328
2015-05-14,328
2015-05-15,328
2015-05-16,328
2015-05-17,344
2015-05-18,344
2015-05-19,344
2015-05-20,344
2015-05-21,344
2015-05-22,344
2015-05-23,344
2015-05-24,344
2015-05-25,344
2015-05-26,344
2015-05-27,344
2015-05-28,344
2015-05-29,344
2015-05-30,361
2015-05-31,361
2015-06-01,361
2015-06-02,361
2015-06-03,361
2015-06-04,361
2015-06-05,361
2015-06-06,361
2015-06-07,361
2015-06-08,361
2015-06-09,361
2015-06-10,379
2015-06-11,379
2015-06-12,379
2015-06-13,379
2015-06-14,379
2015-06-15,379
2015-06-16,379
2015-06-17,379
2015-06-18,379
2015-06-19,379
2015-06-20,379
2015-06-21,379
2015-06-22,379
2015-06-23,395
2015-06-24,395
2015-06-25,395
2015-06-26,395
2015-06-27,395
2015-06-28,395
2015-06-29,395
2015-06-30,395
2015-07-01,395
2015-07-02,395
2015-07-03,395
2015-07-04,395
2015-07-05,395
2015-07-06,411
2015-07-07,411
2015-07-08,411
2015-07-09,411
2015-07-10,411
2015-07-11,411
2015-07-12,411
2015-07-13,411
2015-07-14,411
2015-07-15,411
2015-07-16,411
2015-07-17,411
2015-07-18,411
2015-07-19,430
2015-07-20,430
2015-07-21,430
2015-07-22,430
2015-07-23,430
2015-07-24,430
2015-07-25,430
2015-07-26,430
2015-07-27,430
2015-07-28,430
2015-07-29,430
2015-07-30,451
2015-07-31,451
2015-08-01,451
2015-08-02,451
2015-08-03,451
2015-08-04,451
2015-08-05,451
2015-08-06,451
2015-08-07,451
2015-08-08,451
2015-08-09,472
2015-08-10,472
2015-08-11,472
2015-08-12,472
2015-08-13,472
2015-08-14,472
2015-08-15,472
2015-08-16,472
2015-08-17,472
2015-08-18,494
2015-08-19,494
2015-08-20,494
2015-08-21,494
2015-08-22,494
2015-08-23,494
2015-08-24,494
2015-08-25,494
2015-08-26,494
2015-08-27,494
2015-08-28,517
2015-08-29,517
2015-08-30,517
2015-08-31,517
2015-09-01,517
2015-09-02,517
2015-09-03,517
2015-09-04,517
2015-09-05,517
2015-09-06,517
2015-09-07,517
2015-09-08,517
2015-09-09,517
2015-09-10,542
2015-09-11,542
2015-09-12,542
2015-09-13,542
2015-09-14,542
2015-09-15,542
2015-09-16,542
2015-09-17,542
2015-09-18,542
2015-09-19,542
2015-09-20,542
2015-09-21,542
2015-09-22,542
2015-09-23,568
2015-09-24,568
2015-09-25,568
2015-09-27,568
2015-09-28,568
2015-09-29,568
2015-09-30,568
2015-10-05,568
2015-10-06,593
2015-10-07,593
2015-10-08,593
2015-10-09,593
2015-10-10,593
2015-10-11,593
2015-10-12,593
2015-10-13,593
2015-10-14,593
2015-10-15,593
2015-10-16,593
2015-10-17,593
2015-10-18,593
2015-10-19,620
2015-10-20,620
2015-10-22,620
2015-10-23,620
2015-10-24,620
2015-10-25,620
2015-10-26,620
2015-10-27,620
2015-10-29,620
2015-10-30,646
2015-10-31,646
2015-11-01,646
2015-11-02,646
2015-11-03,646
2015-11-04,646
2015-11-05,646
2015-11-06,646
2015-11-07,646
2015-11-08,646
2015-11-09,646
2015-11-10,646
2015-11-11,646
2015-11-12,646
2015-11-13,646
