date_obj,Unicorn%20horn price
2015-03-26,779
2015-03-27,779
2015-03-28,796
2015-03-29,806
2015-03-30,806
2015-03-31,782
2015-04-01,782
2015-04-02,788
2015-04-03,822
2015-04-04,855
2015-04-05,855
2015-04-06,889
2015-04-07,926
2015-04-08,926
2015-04-09,931
2015-04-10,921
2015-04-11,921
2015-04-12,880
2015-04-13,880
2015-04-14,848
2015-04-15,819
2015-04-16,819
2015-04-17,800
2015-04-18,800
2015-04-19,790
2015-04-20,790
2015-04-21,787
2015-04-22,787
2015-04-23,777
2015-04-24,777
2015-04-25,744
2015-04-26,744
2015-04-27,732
2015-04-28,732
2015-04-29,706
2015-04-30,706
2015-05-01,713
2015-05-02,713
2015-05-03,696
2015-05-04,696
2015-05-05,676
2015-05-06,676
2015-05-07,643
2015-05-08,643
2015-05-09,625
2015-05-10,625
2015-05-11,602
2015-05-12,602
2015-05-13,573
2015-05-14,573
2015-05-15,550
2015-05-16,550
2015-05-17,524
2015-05-18,524
2015-05-19,515
2015-05-20,515
2015-05-21,515
2015-05-22,503
2015-05-23,503
2015-05-24,491
2015-05-25,491
2015-05-26,476
2015-05-27,476
2015-05-28,456
2015-05-29,456
2015-05-30,435
2015-05-31,435
2015-06-01,413
2015-06-02,413
2015-06-03,394
2015-06-04,394
2015-06-05,383
2015-06-06,383
2015-06-07,369
2015-06-08,369
2015-06-09,364
2015-06-10,364
2015-06-11,359
2015-06-12,359
2015-06-13,363
2015-06-14,363
2015-06-15,378
2015-06-16,378
2015-06-17,397
2015-06-18,397
2015-06-19,417
2015-06-20,417
2015-06-21,433
2015-06-22,433
2015-06-23,455
2015-06-24,455
2015-06-25,471
2015-06-26,471
2015-06-27,484
2015-06-28,484
2015-06-29,491
2015-06-30,491
2015-07-01,495
2015-07-02,495
2015-07-03,519
2015-07-04,519
2015-07-05,544
2015-07-06,544
2015-07-07,572
2015-07-08,572
2015-07-09,600
2015-07-10,623
2015-07-11,623
2015-07-12,654
2015-07-13,654
2015-07-14,687
2015-07-15,687
2015-07-16,712
2015-07-17,733
2015-07-18,733
2015-07-19,765
2015-07-20,765
2015-07-21,776
2015-07-22,767
2015-07-23,767
2015-07-24,729
2015-07-25,729
2015-07-26,713
2015-07-27,713
2015-07-28,748
2015-07-29,786
2015-07-30,786
2015-07-31,808
2015-08-01,808
2015-08-02,814
2015-08-03,814
2015-08-04,811
2015-08-05,804
2015-08-06,804
2015-08-07,804
2015-08-08,804
2015-08-09,819
2015-08-10,839
2015-08-11,839
2015-08-12,869
2015-08-13,869
2015-08-14,856
2015-08-15,856
2015-08-16,856
2015-08-17,856
2015-08-18,856
2015-08-19,832
2015-08-20,832
2015-08-21,814
2015-08-22,814
2015-08-23,814
2015-08-24,785
2015-08-25,785
2015-08-26,785
2015-08-27,757
2015-08-28,757
2015-08-29,757
2015-08-30,747
2015-08-31,747
2015-09-01,749
2015-09-02,749
2015-09-03,749
2015-09-04,754
2015-09-05,754
2015-09-06,754
2015-09-07,755
2015-09-08,755
2015-09-09,755
2015-09-10,741
2015-09-11,741
2015-09-12,741
2015-09-13,763
2015-09-14,763
2015-09-15,748
2015-09-16,748
2015-09-17,748
2015-09-18,731
2015-09-19,731
2015-09-20,731
2015-09-21,731
2015-09-22,731
2015-09-23,731
2015-09-24,723
2015-09-25,723
2015-09-27,751
2015-09-28,751
2015-09-29,751
2015-09-30,761
2015-10-05,758
2015-10-06,763
2015-10-07,763
2015-10-08,763
2015-10-09,797
2015-10-10,797
2015-10-11,821
2015-10-12,821
2015-10-13,821
2015-10-14,857
2015-10-15,857
2015-10-16,888
2015-10-17,888
2015-10-18,888
2015-10-19,913
2015-10-20,913
2015-10-22,900
2015-10-23,900
2015-10-24,900
2015-10-25,878
2015-10-26,878
2015-10-27,878
2015-10-29,878
2015-10-30,878
2015-10-31,900
2015-11-01,900
2015-11-02,900
2015-11-03,902
2015-11-04,902
2015-11-05,902
2015-11-06,915
2015-11-07,915
2015-11-08,915
2015-11-09,941
2015-11-10,941
2015-11-11,941
