date_obj,Dharok's%20platelegs price
2015-03-26,425417
2015-03-27,425417
2015-03-28,427655
2015-03-29,433032
2015-03-30,439656
2015-03-31,443185
2015-04-01,454414
2015-04-02,466213
2015-04-03,481640
2015-04-04,483207
2015-04-05,481551
2015-04-06,483566
2015-04-07,486029
2015-04-08,486029
2015-04-09,490745
2015-04-10,498489
2015-04-11,496043
2015-04-12,496782
2015-04-13,499554
2015-04-14,499554
2015-04-15,489456
2015-04-16,482540
2015-04-17,480797
2015-04-18,467603
2015-04-19,461843
2015-04-20,461843
2015-04-21,455570
2015-04-22,455570
2015-04-23,456718
2015-04-24,463733
2015-04-25,469263
2015-04-26,478482
2015-04-27,496986
2015-04-28,517780
2015-04-29,517780
2015-04-30,532110
2015-05-01,539939
2015-05-02,551305
2015-05-03,551305
2015-05-04,565682
2015-05-05,575345
2015-05-06,570737
2015-05-07,551563
2015-05-08,536294
2015-05-09,528668
2015-05-10,524782
2015-05-11,524782
2015-05-12,531163
2015-05-13,531163
2015-05-14,536268
2015-05-15,536268
2015-05-16,535836
2015-05-17,538210
2015-05-18,527083
2015-05-19,525290
2015-05-20,525290
2015-05-21,520736
2015-05-22,526206
2015-05-23,532799
2015-05-24,533274
2015-05-25,528849
2015-05-26,536642
2015-05-27,536642
2015-05-28,557046
2015-05-29,552591
2015-05-30,545958
2015-05-31,539351
2015-06-01,532214
2015-06-02,517858
2015-06-03,521141
2015-06-04,523526
2015-06-05,523394
2015-06-06,523604
2015-06-07,526811
2015-06-08,536858
2015-06-09,531044
2015-06-10,523005
2015-06-11,524665
2015-06-12,525830
2015-06-13,522123
2015-06-14,524359
2015-06-15,519947
2015-06-16,527461
2015-06-17,520566
2015-06-18,521572
2015-06-19,513830
2015-06-20,504903
2015-06-21,503196
2015-06-22,504352
2015-06-23,492805
2015-06-24,499635
2015-06-25,499635
2015-06-26,488859
2015-06-27,482509
2015-06-28,496089
2015-06-29,487785
2015-06-30,487581
2015-07-01,485412
2015-07-02,485412
2015-07-03,478312
2015-07-04,473050
2015-07-05,469688
2015-07-06,470520
2015-07-07,468757
2015-07-08,473055
2015-07-09,473055
2015-07-10,467615
2015-07-11,450597
2015-07-12,438859
2015-07-13,432441
2015-07-14,427836
2015-07-15,417010
2015-07-16,407688
2015-07-17,409662
2015-07-18,410101
2015-07-19,429495
2015-07-20,429857
2015-07-21,429877
2015-07-22,432619
2015-07-23,432619
2015-07-24,448724
2015-07-25,452749
2015-07-26,446725
2015-07-27,464121
2015-07-28,469793
2015-07-29,492397
2015-07-30,505310
2015-07-31,498621
2015-08-01,520674
2015-08-02,503847
2015-08-03,489833
2015-08-04,489208
2015-08-05,485121
2015-08-06,480999
2015-08-07,495405
2015-08-08,510962
2015-08-09,529372
2015-08-10,512548
2015-08-11,501192
2015-08-12,499884
2015-08-13,490439
2015-08-14,480156
2015-08-15,470286
2015-08-16,465830
2015-08-17,452593
2015-08-18,451335
2015-08-19,463523
2015-08-20,465286
