date_obj,Lantadyme%20seed price
2015-03-05,1432
2015-03-06,1360
2015-03-07,1294
2015-03-08,1229
2015-03-09,1169
2015-03-10,1113
2015-03-11,1060
2015-03-12,1011
2015-03-13,966
2015-03-14,925
2015-03-15,884
2015-03-16,841
2015-03-17,803
2015-03-18,803
2015-03-19,778
2015-03-20,745
2015-03-21,745
2015-03-22,714
2015-03-23,714
2015-03-24,679
2015-03-25,679
2015-03-26,647
2015-03-27,647
2015-03-28,614
2015-03-29,588
2015-03-30,561
2015-03-31,561
2015-04-01,543
2015-04-02,543
2015-04-03,539
2015-04-04,548
2015-04-05,548
2015-04-06,522
2015-04-07,503
2015-04-08,503
2015-04-09,489
2015-04-10,477
2015-04-11,477
2015-04-12,489
2015-04-13,489
2015-04-14,497
2015-04-15,522
2015-04-16,522
2015-04-17,546
2015-04-18,546
2015-04-19,574
2015-04-20,574
2015-04-21,603
2015-04-22,603
2015-04-23,634
2015-04-24,634
2015-04-25,665
2015-04-26,665
2015-04-27,673
2015-04-28,691
2015-04-29,691
2015-04-30,682
2015-05-01,710
2015-05-02,694
2015-05-03,694
2015-05-04,694
2015-05-05,694
2015-05-06,665
2015-05-07,665
2015-05-08,632
2015-05-09,603
2015-05-10,575
2015-05-11,575
2015-05-12,546
2015-05-13,546
2015-05-14,519
2015-05-15,519
2015-05-16,495
2015-05-17,471
2015-05-18,458
2015-05-19,458
2015-05-20,471
2015-05-21,471
2015-05-22,466
2015-05-23,466
2015-05-24,465
2015-05-25,465
2015-05-26,472
2015-05-27,472
2015-05-28,477
2015-05-29,477
2015-05-30,467
2015-05-31,467
2015-06-01,473
2015-06-02,473
2015-06-03,459
2015-06-04,459
2015-06-05,465
2015-06-06,459
2015-06-07,437
2015-06-08,437
2015-06-09,415
2015-06-10,401
2015-06-11,401
2015-06-12,400
2015-06-13,400
2015-06-14,400
2015-06-15,387
2015-06-16,391
2015-06-17,391
2015-06-18,396
2015-06-19,396
2015-06-20,394
2015-06-21,394
2015-06-22,387
2015-06-23,387
2015-06-24,384
2015-06-25,384
2015-06-26,391
2015-06-27,391
2015-06-28,388
2015-06-29,388
2015-06-30,390
2015-07-01,370
2015-07-02,370
2015-07-03,351
2015-07-04,333
2015-07-05,327
2015-07-06,327
2015-07-07,326
