date_obj,Samurai%20boots price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,4763023
2016-07-11,4763023
2016-07-12,4763023
2016-07-13,4763023
2016-07-14,4763023
2016-07-15,4763023
2016-07-16,4524871
2016-07-17,4524871
2016-07-18,4524871
2016-07-23,4524871
2016-07-24,4298627
2016-07-25,4298627
2016-07-26,4298627
2016-07-27,4298627
2016-07-28,4298627
2016-07-29,4298627
2016-07-30,4298627
2016-07-31,4084789
2016-08-01,4084789
2016-08-02,4084789
2016-08-03,4084789
2016-08-04,4084789
2016-08-05,4084789
2016-08-06,4084789
2016-08-07,3882151
2016-08-08,3882151
2016-08-09,3882151
2016-08-10,3882151
2016-08-11,3882151
2016-08-12,3882151
2016-08-13,3882151
2016-08-14,3690337
2016-08-15,3690337
2016-08-16,3690337
2016-08-17,3690337
2016-08-18,3690337
2016-08-19,3690337
2016-08-20,3508131
2016-08-21,3508131
2016-08-22,3508131
2016-08-23,3508131
2016-08-24,3508131
2016-08-25,3508131
2016-08-26,3335440
2016-08-28,3335440
2016-08-31,3335440
2016-09-01,3170084
2016-09-02,3170084
2016-09-03,3170084
2016-09-04,3170084
2016-09-05,3170084
2016-09-06,3170084
2016-09-07,3170084
2016-09-08,3170084
2016-09-09,3013306
2016-09-10,3013306
2016-09-11,3013306
2016-09-12,3013306
2016-09-13,3013306
2016-09-14,3013306
2016-09-15,3013306
2016-09-16,3013306
2016-09-17,2864527
2016-09-18,2864527
2016-09-19,2864527
2016-09-20,2864527
2016-09-21,2864527
2016-09-22,2864527
2016-09-23,2864527
2016-09-24,2864527
2016-09-25,2864527
2016-09-26,2722050
2016-09-27,2722050
2016-09-28,2722050
2016-09-29,2722050
2016-09-30,2722050
2016-10-01,2722050
2016-10-02,2722050
2016-10-03,2722050
2016-10-04,2722050
2016-10-05,2587533
2016-10-06,2587533
2016-10-07,2587533
2016-10-08,2587533
2016-10-09,2587533
2016-10-10,2587533
2016-10-11,2587533
2016-10-12,2587533
2016-10-13,2460232
2016-10-14,2460232
2016-10-15,2460232
2016-10-16,2460232
2016-10-17,2460232
2016-10-18,2460232
2016-10-19,2460232
2016-10-20,2460232
2016-10-21,2337926
2016-10-22,2337926
2016-10-23,2337926
2016-10-24,2337926
2016-10-25,2337926
2016-10-26,2337926
2016-10-27,2221955
2016-10-28,2221955
2016-10-29,2221955
2016-10-30,2221955
2016-10-31,2221955
2016-11-01,2221955
2016-11-02,2112258
2016-11-03,2112258
2016-11-04,2112258
2016-11-05,2112258
2016-11-06,2112258
2016-11-07,2112258
2016-11-08,2007914
2016-11-09,2007914
2016-11-10,2007914
2016-11-11,2007914
2016-11-12,1909527
2016-11-13,1909527
2016-11-14,1909527
2016-12-08,1559495
2016-12-09,1559495
2016-12-10,1559495
2016-12-11,1559495
2016-12-12,1559495
2016-12-13,1482161
2016-12-14,1482161
2016-12-15,1482161
2016-12-16,1482161
2016-12-17,1482161
2016-12-18,1482161
2016-12-19,1482161
2016-12-20,1482161
2016-12-21,1409558
2016-12-22,1409558
2016-12-23,1409558
2016-12-24,1409558
2016-12-25,1409558
2016-12-26,1409558
2016-12-27,1409558
2016-12-28,1341107
2016-12-29,1341107
2016-12-30,1341107
2016-12-31,1341107
2017-01-01,1341107
2017-01-02,1341107
2017-01-03,1274905
2017-01-04,1274905
2017-01-05,1274905
2017-01-06,1274905
2017-01-07,1274905
2017-01-08,1212160
2017-01-09,1212160
2017-01-10,1212160
2017-01-11,1212160
2017-01-12,1212160
2017-01-13,1212160
2017-01-14,1152104
2017-01-15,1152104
2017-01-16,1152104
2017-01-17,1152104
2017-01-18,1094864
2017-01-19,1094864
2017-01-20,1094864
2017-01-21,1094864
2017-01-22,1094864
2017-01-27,1040239
2017-01-28,989398
2017-01-29,989398
2017-01-30,989398
2017-01-31,989398
2017-02-01,989398
2017-02-02,941063
2017-02-03,941063
2017-02-04,941063
2017-02-05,941063
2017-02-06,941063
2017-02-07,894330
2017-02-08,894330
2017-02-09,894330
2017-02-10,894330
2017-02-11,850444
2017-02-12,850444
2017-02-13,850444
2017-02-14,850444
2017-02-15,850444
2017-02-16,808675
2017-02-18,808675
2017-02-19,808675
2017-02-20,808675
2017-02-21,769239
2017-02-22,769239
2017-02-23,769239
2017-02-24,769239
2017-02-25,769239
2017-02-26,769239
2017-02-27,731550
2017-02-28,731550
2017-03-01,731550
2017-03-02,731550
2017-03-03,695609
2017-03-04,695609
2017-03-05,695609
2017-03-06,695609
2017-03-07,695609
2017-03-08,661584
2017-03-09,661584
2017-03-10,661584
2017-03-11,661584
2017-03-12,661584
2017-03-13,628984
2017-03-14,628984
2017-03-15,628984
2017-03-16,628984
2017-03-17,628984
2017-03-18,597954
2017-03-19,597954
2017-03-20,597954
2017-03-21,597954
2017-03-22,597954
2017-03-23,568440
2017-03-24,568440
2017-03-25,568440
2017-03-26,568440
2017-03-27,568440
2017-03-28,540323
2017-03-29,540323
2017-03-30,540323
2017-03-31,540323
2017-04-01,540323
2017-04-02,513746
2017-04-03,513746
2017-04-04,513746
2017-04-12,119800
2017-04-13,119800
2017-04-14,119800
2017-04-15,119800
2017-04-16,119800
2017-04-17,114144
2017-04-18,114144
2017-04-19,114144
2017-04-20,114144
2017-04-21,114144
2017-04-22,114144
2017-04-23,109786
2017-04-24,109786
2017-04-25,109786
2017-04-26,109786
2017-04-27,109786
2017-04-28,104786
2017-04-29,104786
2017-04-30,104786
2017-05-01,104786
2017-05-02,104786
2017-05-03,99546
2017-05-04,99546
2017-05-05,99546
2017-05-06,99546
2017-05-07,94568
2017-05-08,94568
2017-05-09,94568
2017-05-10,94568
2017-05-11,94568
2017-05-12,89839
2017-05-13,89839
2017-05-14,89839
2017-05-15,89839
2017-05-16,89839
2017-05-17,85347
2017-05-18,85347
2017-05-19,85347
2017-05-20,85347
2017-05-21,85347
2017-05-22,81079
2017-05-23,81079
2017-05-24,81079
2017-05-25,81079
2017-05-26,81079
2017-05-27,77025
2017-05-28,77025
2017-05-29,77025
2017-05-30,77025
2017-05-31,74581
2017-06-01,74581
2017-06-02,74581
2017-06-03,74581
2017-06-06,70913
2017-06-07,70913
2017-06-08,70913
2017-06-09,67377
2017-06-10,67377
2017-06-11,67377
2017-06-12,67377
2017-06-13,64008
2017-06-14,64008
2017-06-15,64008
2017-06-16,64008
2017-06-17,64008
2017-06-18,60828
2017-06-19,60828
2017-06-20,60828
2017-06-21,60828
2017-06-22,60828
2017-06-23,60828
2017-06-24,58648
2017-06-25,58648
2017-06-26,58648
2017-06-27,58648
2017-06-28,58648
2017-06-29,56249
2017-06-30,56249
2017-07-01,56249
