date_obj,Dwarf%20cannon%20set price
2016-02-14,758559
2016-02-15,761486
2016-02-16,765451
2016-02-17,761633
2016-02-18,759629
2016-02-19,756806
2016-02-20,754839
2016-02-21,756609
2016-02-22,755307
2016-02-23,756406
2016-02-24,757008
2016-02-25,758416
2016-02-26,759040
2016-02-27,761462
2016-02-28,761436
2016-02-29,761682
2016-03-01,761869
2016-03-02,768195
2016-03-03,763048
2016-03-04,761405
2016-03-05,760047
2016-03-06,760060
2016-03-07,758726
2016-03-08,758004
2016-03-09,759240
2016-03-10,759077
2016-03-11,759281
2016-03-12,759431
2016-03-13,758993
2016-03-14,757595
2016-03-15,757541
2016-03-16,756854
2016-03-17,759027
2016-03-18,758823
2016-03-19,759732
2016-03-20,762640
2016-03-21,769860
2016-03-22,763862
2016-03-23,763208
2016-03-24,763442
2016-03-25,763886
2016-03-26,761993
2016-03-27,759787
2016-03-28,755888
2016-03-29,748723
2016-03-30,746359
2016-03-31,745725
2016-04-01,754824
2016-04-02,754858
2016-04-03,758052
2016-04-04,764095
2016-04-05,760666
2016-04-06,760212
2016-04-07,761538
2016-04-08,761162
2016-04-09,763913
2016-04-10,764565
2016-04-11,763268
2016-04-12,761019
2016-04-13,760632
2016-04-14,758359
2016-04-15,758550
2016-04-16,759508
2016-04-17,761453
2016-04-18,760828
2016-04-19,764683
2016-04-20,762608
2016-04-21,761296
2016-04-22,760814
2016-04-23,759755
2016-04-24,759424
2016-04-25,759934
2016-04-26,760218
2016-04-27,759955
2016-04-28,760862
2016-04-29,760399
2016-04-30,766375
2016-05-01,763471
2016-05-02,765489
2016-05-03,763551
2016-05-04,761164
2016-05-05,760857
2016-05-06,760708
2016-05-07,760870
2016-05-08,761118
2016-05-09,760815
2016-05-10,758440
2016-05-11,756898
2016-05-12,757167
2016-05-13,759972
2016-05-14,760440
2016-05-15,761323
2016-05-16,761637
2016-05-17,763474
2016-05-18,762256
2016-05-19,761511
2016-05-22,756331
2016-05-23,757258
2016-05-24,757933
2016-05-25,760400
2016-05-26,762464
2016-05-27,763893
2016-05-28,761059
2016-05-29,760377
2016-05-30,759329
2016-05-31,759950
2016-06-01,755887
2016-06-02,757131
2016-06-03,758684
2016-06-04,761175
2016-06-05,759810
2016-06-06,758017
2016-06-07,758879
2016-06-08,757301
2016-06-09,751609
2016-06-10,754779
2016-06-11,758370
2016-06-12,757881
2016-06-13,759617
2016-06-14,760491
2016-06-15,759862
2016-06-16,762931
2016-06-17,760210
2016-06-18,759182
2016-06-19,759024
2016-06-20,757678
2016-06-21,758429
2016-06-22,758981
2016-06-23,757945
2016-06-24,757879
2016-06-25,760960
2016-06-26,760180
2016-06-27,764201
2016-06-28,760346
2016-06-29,757068
2016-06-30,760252
2016-07-01,758626
2016-07-02,757946
2016-07-03,758780
2016-07-04,758480
2016-07-05,757800
2016-07-06,754394
2016-07-07,754498
2016-07-08,757733
2016-07-09,758983
2016-07-10,759226
2016-07-11,759050
2016-07-12,758641
2016-07-13,758084
2016-07-14,758320
2016-07-15,759213
2016-07-16,759332
2016-07-17,759380
2016-07-18,758660
2016-07-23,749175
2016-07-24,754498
2016-07-25,753590
2016-07-26,753178
2016-07-27,754745
2016-07-28,750886
2016-07-29,753225
2016-07-30,758614
2016-07-31,756348
2016-08-01,756464
2016-08-02,755480
2016-08-03,754720
2016-08-04,747102
2016-08-05,747382
2016-08-06,753607
2016-08-07,753693
2016-08-08,753208
2016-08-09,754641
2016-08-10,757636
2016-08-11,755607
2016-08-12,756818
2016-08-13,756777
2016-08-14,756799
2016-08-15,757971
2016-08-16,751560
2016-08-17,745285
2016-08-18,751555
2016-08-19,753115
2016-08-20,760954
2016-08-21,761376
2016-08-22,758378
2016-08-23,756592
2016-08-24,751609
2016-08-25,748628
2016-08-26,753107
2016-08-28,757427
2016-08-31,752982
2016-09-01,755031
2016-09-02,755131
2016-09-03,756813
2016-09-04,755692
2016-09-05,761429
2016-09-06,757870
2016-09-07,758822
2016-09-08,757043
2016-09-09,757178
2016-09-10,756416
2016-09-11,758303
2016-09-12,759262
2016-09-13,757629
2016-09-14,758278
2016-09-15,764938
2016-09-16,765017
2016-09-17,764672
2016-09-18,760605
2016-09-19,763914
2016-09-20,759792
2016-09-21,762702
2016-09-22,761444
2016-09-23,765496
2016-09-24,759213
2016-09-25,758302
2016-09-26,752618
2016-09-27,761793
2016-09-28,761260
2016-09-29,759130
2016-09-30,752951
2016-10-01,753901
2016-10-02,755485
2016-10-03,757320
2016-10-04,753405
2016-10-05,752507
2016-10-06,753613
2016-10-07,756303
2016-10-08,756016
2016-10-09,753339
2016-10-10,752256
2016-10-11,755055
2016-10-12,756257
2016-10-13,756221
2016-10-14,756352
2016-10-15,760238
2016-10-16,756057
2016-10-17,757416
2016-10-18,754889
2016-10-19,756185
2016-10-20,756009
2016-10-21,755339
2016-10-22,756030
2016-10-23,756723
2016-10-24,752312
2016-10-25,750706
2016-10-26,755129
2016-10-27,756254
2016-10-28,756176
2016-10-29,755909
2016-10-30,757705
2016-10-31,756848
2016-11-01,756100
2016-11-02,755284
2016-11-03,752917
2016-11-04,754036
2016-11-05,753459
2016-11-06,754596
2016-11-07,754757
2016-11-08,755264
2016-11-09,751066
2016-11-10,750056
2016-11-11,753327
2016-11-12,753357
2016-11-13,754411
2016-11-14,756500
2016-11-15,755045
2016-12-07,760757
2016-12-08,758353
2016-12-09,759042
2016-12-10,758881
2016-12-11,759642
2016-12-12,756388
2016-12-13,760899
2016-12-14,758663
2016-12-15,758386
2016-12-16,758868
2016-12-17,760493
2016-12-18,765902
2016-12-19,762505
2016-12-20,760210
2016-12-21,757850
2016-12-22,757326
2016-12-23,758028
2016-12-24,758843
2016-12-25,759321
2016-12-26,758059
2016-12-27,756056
2016-12-28,758643
2016-12-29,759180
2016-12-30,758092
2016-12-31,767754
2017-01-01,760656
2017-01-02,757891
2017-01-03,758294
2017-01-04,749193
2017-01-05,729557
2017-01-06,738375
2017-01-07,748982
2017-01-08,751104
2017-01-09,752868
2017-01-10,756113
2017-01-11,762433
2017-01-12,756304
2017-01-13,756722
2017-01-14,757800
2017-01-15,757735
2017-01-16,757485
2017-01-17,759006
2017-01-18,759204
2017-01-19,763142
2017-01-20,758461
2017-01-21,755987
2017-01-22,751713
2017-01-23,746724
2017-01-27,755709
2017-01-28,756209
2017-01-29,755419
2017-01-30,755220
2017-01-31,753173
2017-02-01,755133
2017-02-02,755983
2017-02-03,757227
2017-02-04,757115
2017-02-05,756616
2017-02-06,756302
2017-02-07,753887
2017-02-08,752646
2017-02-09,748225
2017-02-10,752954
2017-02-11,754782
2017-02-12,754985
2017-02-13,755280
2017-02-14,755344
2017-02-15,754459
2017-02-16,753272
2017-02-18,754285
2017-02-19,753866
2017-02-20,753971
2017-02-21,754007
2017-02-22,753783
2017-02-23,754217
2017-02-24,755714
2017-02-25,759425
2017-02-26,755409
2017-02-27,755804
2017-02-28,758527
2017-03-01,757217
2017-03-02,756957
2017-03-03,756035
2017-03-04,756699
2017-03-05,755945
2017-03-06,755872
2017-03-07,758161
2017-03-08,759321
2017-03-09,755843
2017-03-10,755293
2017-03-11,757511
2017-03-12,756866
2017-03-13,755914
2017-03-14,755754
2017-03-15,755780
2017-03-16,755427
2017-03-17,755297
2017-03-18,755415
2017-03-19,755228
2017-03-20,755418
2017-03-21,755553
2017-03-22,755999
2017-03-23,758890
2017-03-24,755862
2017-03-25,755285
2017-03-26,755370
2017-03-27,755403
2017-03-28,756402
2017-03-29,755867
2017-03-30,758490
2017-03-31,758889
2017-04-01,767165
2017-04-02,763788
2017-04-03,757541
2017-04-04,757287
2017-04-12,750461
2017-04-13,752174
2017-04-14,760556
2017-04-15,757388
2017-04-16,757353
2017-04-17,757654
2017-04-18,758524
2017-04-19,757113
2017-04-20,768216
2017-04-21,760241
2017-04-22,757056
2017-04-23,757432
2017-04-24,757837
2017-04-25,757943
2017-04-26,758406
2017-04-27,761175
2017-04-28,758860
2017-04-29,756560
