date_obj,Wood%20camo%20legs price
2015-03-26,10000
2015-03-27,10000
2015-03-28,10000
2015-03-29,10000
2015-03-30,10000
2015-03-31,10000
2015-04-01,10000
2015-04-02,10000
2015-04-03,10000
2015-04-04,10000
2015-04-05,10000
2015-04-06,10000
2015-04-07,10000
2015-04-08,10000
2015-04-09,10000
2015-04-10,10000
2015-04-11,10000
2015-04-12,10000
2015-04-13,10000
2015-04-14,10205
2015-04-15,10205
2015-04-16,10205
2015-04-17,10205
2015-04-18,10205
2015-04-19,10205
2015-04-20,10205
2015-04-21,10205
2015-04-22,10205
2015-04-23,10205
2015-04-24,10205
2015-04-25,10205
2015-04-26,10205
2015-04-27,10205
2015-04-28,10205
2015-04-29,10205
2015-04-30,10205
2015-05-01,10205
2015-05-02,10205
2015-05-03,10205
2015-05-04,10205
2015-05-05,10205
2015-05-06,10205
2015-05-07,10205
2015-05-08,10205
2015-05-09,10205
2015-05-10,10205
2015-05-11,10205
2015-05-12,10205
2015-05-13,10205
2015-05-14,10205
2015-05-15,10205
2015-05-16,10205
2015-05-17,10205
2015-05-18,10205
2015-05-19,10205
2015-05-20,10205
2015-05-21,10205
2015-05-22,10205
2015-05-23,10205
2015-05-24,10205
2015-05-25,10205
2015-05-26,10205
2015-05-27,10205
2015-05-28,10369
2015-05-29,10369
2015-05-30,10369
2015-05-31,10369
2015-06-01,10369
2015-06-02,10369
2015-06-03,10369
2015-06-04,10369
2015-06-05,10369
2015-06-06,10369
2015-06-07,10369
2015-06-08,10369
2015-06-09,10369
2015-06-10,10369
2015-06-11,10369
2015-06-12,10369
2015-06-13,10369
2015-06-14,10369
2015-06-15,10369
2015-06-16,10369
2015-06-17,10369
2015-06-18,10369
2015-06-19,10369
2015-06-20,10369
2015-06-21,10369
2015-06-22,10369
2015-06-23,10369
2015-06-24,10369
2015-06-25,10369
2015-06-26,10369
2015-06-27,10369
2015-06-28,10369
2015-06-29,10369
2015-06-30,10369
2015-07-01,10369
2015-07-02,10369
2015-07-03,10508
2015-07-04,10508
2015-07-05,10508
2015-07-06,10508
2015-07-07,10508
2015-07-08,10508
2015-07-09,10508
2015-07-10,10508
2015-07-11,10508
2015-07-12,10508
2015-07-13,10508
2015-07-14,10508
2015-07-15,10508
2015-07-16,10508
2015-07-17,10508
2015-07-18,10508
2015-07-19,10508
2015-07-20,10508
2015-07-21,10508
2015-07-22,10508
2015-07-23,10508
2015-07-24,10508
2015-07-25,10508
2015-07-26,10508
2015-07-27,10508
2015-07-28,10508
2015-07-29,10508
2015-07-30,10508
2015-07-31,10508
2015-08-01,10508
2015-08-02,10508
2015-08-03,10508
2015-08-04,10508
2015-08-05,10508
2015-08-06,10508
2015-08-07,10293
2015-08-08,10293
2015-08-09,10293
2015-08-10,10293
2015-08-11,10293
2015-08-12,10293
2015-08-13,10293
2015-08-14,10293
2015-08-15,10293
2015-08-16,10293
2015-08-17,10293
2015-08-18,10293
2015-08-19,10293
2015-08-20,10293
2015-08-21,10293
2015-08-22,10293
2015-08-23,10293
2015-08-24,10293
2015-08-25,10293
2015-08-26,10293
2015-08-27,10293
2015-08-28,10293
2015-08-29,10293
2015-08-30,10293
2015-08-31,10293
2015-09-01,10293
2015-09-02,10293
2015-09-03,10293
2015-09-04,10293
2015-09-05,10293
2015-09-06,10293
2015-09-07,10293
2015-09-08,10293
2015-09-09,10293
2015-09-10,10293
2015-09-11,10293
2015-09-12,10293
2015-09-13,10293
2015-09-14,10293
2015-09-15,10188
2015-09-16,10188
2015-09-17,10188
2015-09-18,10188
2015-09-19,10188
2015-09-20,10188
2015-09-21,10188
2015-09-22,10188
2015-09-23,10188
2015-09-24,10188
2015-09-25,10188
2015-09-27,10188
2015-09-28,10188
2015-09-29,10188
2015-09-30,10188
2015-10-05,10188
2015-10-06,10188
2015-10-07,10188
2015-10-08,10188
2015-10-09,10188
2015-10-10,10188
2015-10-11,10188
2015-10-12,10188
2015-10-13,10188
2015-10-14,10188
2015-10-15,10188
2015-10-16,10188
2015-10-17,10188
2015-10-18,10188
2015-10-19,10188
2015-10-20,10188
2015-10-22,10188
2015-10-23,10188
2015-10-24,10188
2015-10-25,10188
2015-10-26,10188
2015-10-27,10188
2015-10-29,10301
2015-10-30,10301
2015-10-31,10301
2015-11-01,10301
2015-11-02,10301
2015-11-03,10301
2015-11-05,10301
2015-11-06,10301
2015-11-07,10301
2015-11-08,10301
2015-11-09,10301
2015-11-10,10301
2015-11-11,10301
2015-11-12,10301
2015-11-13,10301
2015-11-14,10301
2015-11-15,10301
2015-11-16,10301
2015-11-17,10301
2015-11-18,10301
2015-11-19,10301
2015-11-20,10301
2015-11-21,10301
2015-11-22,10301
2015-11-23,10301
2015-11-24,10301
2015-11-25,10301
2015-11-26,10301
2015-11-27,10301
2015-11-28,10301
2015-11-29,10301
2015-11-30,10301
2015-12-01,10301
2015-12-02,10301
2015-12-03,10301
2015-12-04,10301
2015-12-05,10301
2015-12-06,10301
2015-12-07,10301
2015-12-08,10301
2015-12-09,10391
2015-12-10,10391
2015-12-11,10391
2015-12-13,10391
2015-12-14,10391
2015-12-15,10391
2015-12-16,10391
2015-12-17,10391
2015-12-18,10391
2015-12-19,10391
2015-12-20,10391
2015-12-21,10391
2015-12-22,10391
2015-12-23,10391
2015-12-24,10391
2015-12-25,10391
2015-12-26,10391
2015-12-27,10391
2015-12-28,10391
2015-12-29,10391
2015-12-30,10391
2015-12-31,10391
2016-01-01,10391
2016-01-02,10391
2016-01-03,10391
2016-01-04,10391
2016-01-05,10391
2016-01-06,10391
2016-01-07,10391
2016-01-08,10391
2016-01-09,10391
2016-01-10,10391
2016-01-11,10391
2016-01-12,10391
2016-01-13,10391
2016-01-14,10514
2016-01-15,10514
2016-01-16,10514
2016-01-17,10514
2016-01-18,10514
2016-01-19,10514
2016-01-20,10514
2016-01-21,10514
2016-01-22,10514
2016-01-23,10514
2016-01-24,10514
2016-01-25,10514
2016-01-26,10514
2016-01-27,10514
2016-01-28,10514
2016-01-29,10514
2016-01-30,10514
2016-01-31,10514
2016-02-01,10514
2016-02-02,10514
2016-02-03,10514
2016-02-04,10514
2016-02-05,10514
2016-02-06,10514
2016-02-07,10514
2016-02-08,10514
2016-02-09,10514
2016-02-10,10514
2016-02-11,10514
2016-02-12,10514
2016-02-13,10514
2016-02-14,10514
2016-02-15,10514
2016-02-16,10480
2016-02-17,10480
2016-02-18,10480
2016-02-19,10480
2016-02-20,10480
2016-02-21,10480
2016-02-22,10480
2016-02-23,10480
2016-02-24,10480
2016-02-25,10480
2016-02-26,10480
2016-02-27,10480
2016-02-28,10480
