date_obj,Studded%20chaps%20(g) price
2015-03-26,27161
2015-03-27,27161
2015-03-28,27169
2015-03-29,27264
2015-03-30,26536
2015-03-31,26248
2015-04-01,25615
2015-04-02,25458
2015-04-03,24933
2015-04-04,25022
2015-04-05,24931
2015-04-06,24724
2015-04-07,25472
2015-04-08,25925
2015-04-09,26839
2015-04-10,26926
2015-04-11,26446
2015-04-12,27371
2015-04-13,27587
2015-04-14,28260
2015-04-15,28171
2015-04-16,27722
2015-04-17,27303
2015-04-18,27019
2015-04-19,26908
2015-04-20,26908
2015-04-21,27209
2015-04-22,27904
2015-04-23,28543
2015-04-24,29792
2015-04-25,30206
2015-04-26,30987
2015-04-27,31889
2015-04-28,32309
2015-04-29,32309
2015-04-30,32826
2015-05-01,32906
2015-05-02,33324
2015-05-03,33598
2015-05-04,33788
2015-05-05,33391
2015-05-06,32684
2015-05-07,31689
2015-05-08,30822
2015-05-09,30860
2015-05-10,30446
2015-05-11,30446
2015-05-12,29798
2015-05-13,28728
2015-05-14,28371
2015-05-15,28101
2015-05-16,27773
2015-05-17,27505
2015-05-18,27107
2015-05-19,27364
2015-05-20,27364
2015-05-21,27464
2015-05-22,27506
2015-05-23,27430
2015-05-24,27617
2015-05-25,27968
2015-05-26,27799
2015-05-27,28091
2015-05-28,28228
2015-05-29,28380
2015-05-30,28291
2015-05-31,28291
2015-06-01,28311
2015-06-02,28311
2015-06-03,28466
2015-06-04,28404
2015-06-05,28239
2015-06-06,28404
2015-06-07,28144
2015-06-08,28386
2015-06-09,28315
2015-06-10,28739
2015-06-11,28739
2015-06-12,28897
2015-06-13,29762
2015-06-14,30589
2015-06-15,31770
2015-06-16,33240
2015-06-17,34789
2015-06-18,35836
2015-06-19,36642
2015-06-20,37597
2015-06-21,38750
2015-06-22,39653
2015-06-23,40810
2015-06-24,41935
2015-06-25,41935
2015-06-26,42788
2015-06-27,42788
2015-06-28,43961
2015-06-29,43961
2015-06-30,44059
2015-07-01,43663
2015-07-02,43663
2015-07-03,43701
2015-07-04,44368
2015-07-05,44505
2015-07-06,45011
2015-07-07,45341
2015-07-08,46107
2015-07-09,46107
2015-07-10,46088
2015-07-11,46088
2015-07-12,45688
2015-07-13,44542
2015-07-14,43889
2015-07-15,42803
2015-07-16,41616
2015-07-17,40320
2015-07-18,39814
2015-07-19,40132
2015-07-20,40558
2015-07-21,41080
2015-07-22,41247
2015-07-23,41247
2015-07-24,40670
2015-07-25,41128
2015-07-26,41381
2015-07-27,42102
2015-07-28,42455
2015-07-29,42653
2015-07-30,41462
2015-07-31,41249
2015-08-01,40923
2015-08-02,40263
2015-08-03,40256
2015-08-04,39492
2015-08-05,38785
2015-08-06,39622
2015-08-07,39962
2015-08-08,39939
2015-08-09,39132
2015-08-10,39529
2015-08-11,38942
2015-08-12,38942
2015-08-13,38743
2015-08-14,39787
2015-08-15,39787
2015-08-16,40001
2015-08-17,40512
2015-08-18,40398
2015-08-19,40065
2015-08-20,40383
2015-08-21,40723
2015-08-22,40764
2015-08-23,41360
2015-08-24,41141
2015-08-25,41141
2015-08-26,41186
2015-08-27,41053
