date_obj,Rune%20platebody price
2015-03-26,43799
2015-03-27,43365
2015-03-28,43112
2015-03-29,43302
2015-03-30,43162
2015-03-31,43481
2015-04-01,43561
2015-04-02,43701
2015-04-03,43437
2015-04-04,43819
2015-04-05,43323
2015-04-06,43063
2015-04-07,43606
2015-04-08,43523
2015-04-09,43538
2015-04-10,43754
2015-04-11,43796
2015-04-12,43821
2015-04-13,43942
2015-04-14,43127
2015-04-15,43687
2015-04-16,43584
2015-04-17,43910
2015-04-18,43621
2015-04-19,43689
2015-04-20,43379
2015-04-21,43543
2015-04-22,43862
2015-04-23,43784
2015-04-24,43612
2015-04-25,43146
2015-04-26,43355
2015-04-27,43770
2015-04-28,43263
2015-04-29,43146
2015-04-30,42855
2015-05-01,42013
2015-05-02,41808
2015-05-03,41310
2015-05-04,42338
2015-05-05,42712
2015-05-06,43291
2015-05-07,43509
2015-05-08,43201
2015-05-09,43160
2015-05-10,43086
2015-05-11,42984
2015-05-12,42966
2015-05-13,43461
2015-05-14,43483
2015-05-15,43457
2015-05-16,43457
2015-05-17,43582
2015-05-18,43756
2015-05-19,43660
2015-05-20,43668
2015-05-21,43776
2015-05-22,43411
2015-05-23,43250
2015-05-24,42410
2015-05-25,41726
2015-05-26,42600
2015-05-27,43092
2015-05-28,43445
2015-05-29,43481
2015-05-30,43169
2015-05-31,42858
2015-06-01,42085
2015-06-02,41135
2015-06-03,41267
2015-06-04,41732
2015-06-05,42701
2015-06-06,43256
2015-06-07,43542
2015-06-08,43154
2015-06-09,43087
2015-06-10,43029
2015-06-11,42703
2015-06-12,42971
2015-06-13,43464
2015-06-14,44252
2015-06-15,43817
2015-06-16,43314
2015-06-17,43154
2015-06-18,42515
2015-06-19,41841
2015-06-20,42396
2015-06-21,42701
2015-06-22,42597
2015-06-23,43213
2015-06-24,43136
2015-06-25,43652
2015-06-26,43704
2015-06-27,43140
2015-06-28,43220
2015-06-29,43156
2015-06-30,43388
2015-07-01,43724
2015-07-02,43678
2015-07-03,43736
2015-07-04,43576
2015-07-05,42692
2015-07-06,42971
2015-07-07,43244
2015-07-08,43806
2015-07-09,44064
2015-07-10,44297
2015-07-11,43732
2015-07-12,43828
2015-07-13,43542
2015-07-14,42901
2015-07-15,42637
2015-07-16,43034
2015-07-17,43440
2015-07-18,43641
2015-07-19,43639
2015-07-20,43869
2015-07-21,43809
2015-07-22,44248
2015-07-23,44091
2015-07-24,43908
2015-07-25,43263
2015-07-26,42915
2015-07-27,42962
2015-07-28,42914
2015-07-29,43358
2015-07-30,43740
2015-07-31,43637
2015-08-01,43460
2015-08-02,43182
2015-08-03,42605
2015-08-04,42867
2015-08-05,42924
2015-08-06,43868
2015-08-07,43916
2015-08-08,43877
2015-08-09,43468
2015-08-10,43707
2015-08-11,44269
2015-08-12,43988
2015-08-13,43826
2015-08-14,43943
2015-08-15,43648
2015-08-16,43538
2015-08-17,43704
2015-08-18,43975
2015-08-19,44244
2015-08-20,43714
2015-08-21,43319
2015-08-22,43084
2015-08-23,43395
2015-08-24,43923
2015-08-25,43677
2015-08-26,43566
2015-08-27,43134
2015-08-28,42994
2015-08-29,42521
2015-08-30,42410
2015-08-31,42518
2015-09-01,43126
2015-09-02,43607
2015-09-03,43405
2015-09-04,43366
2015-09-05,43551
2015-09-06,43363
2015-09-07,42690
2015-09-08,43195
2015-09-09,43485
2015-09-10,43626
2015-09-11,42904
2015-09-12,42891
2015-09-13,43316
2015-09-14,43494
2015-09-15,43368
2015-09-16,43485
2015-09-17,43345
2015-09-18,42691
2015-09-19,43159
2015-09-20,43460
2015-09-21,43642
2015-09-22,43450
2015-09-23,43265
2015-09-24,43676
2015-09-25,43544
2015-09-27,44040
2015-09-28,43604
2015-09-29,43129
2015-09-30,43230
2015-10-05,43205
2015-10-06,43481
2015-10-07,43285
2015-10-08,43563
2015-10-09,44018
2015-10-10,44310
2015-10-11,43989
2015-10-12,43462
2015-10-13,42908
2015-10-14,43662
2015-10-15,43889
2015-10-16,43934
2015-10-17,43930
2015-10-18,43742
2015-10-19,43507
2015-10-20,43420
2015-10-22,43650
2015-10-23,43638
2015-10-24,43473
2015-10-25,43276
2015-10-26,43407
2015-10-27,43633
2015-10-29,44438
2015-10-30,44334
2015-10-31,44183
2015-11-01,44216
2015-11-02,44074
2015-11-03,43636
2015-11-04,43467
2015-11-05,43943
2015-11-06,43815
2015-11-07,43915
2015-11-08,43865
2015-11-09,43937
2015-11-10,44240
2015-11-11,44336
2015-11-12,44506
2015-11-13,44133
2015-11-14,44341
2015-11-15,44329
2015-11-16,44224
2015-11-17,44082
2015-11-18,43840
2015-11-19,43980
2015-11-20,44303
2015-11-21,44264
2015-11-22,43932
2015-11-23,43578
2015-11-24,43786
2015-11-25,44035
2015-11-26,44224
2015-11-27,44248
2015-11-28,43870
2015-11-29,44046
2015-11-30,43673
2015-12-01,43512
2015-12-02,43472
2015-12-03,43765
2015-12-04,43954
2015-12-05,44158
2015-12-06,43830
2015-12-07,43590
2015-12-08,43378
2015-12-09,43495
2015-12-10,43717
2015-12-11,43840
2015-12-12,43807
2015-12-13,43523
2015-12-14,43536
2015-12-15,43729
2015-12-16,43971
2015-12-17,44114
2015-12-18,44065
2015-12-19,44060
2015-12-20,44069
2015-12-21,44191
2015-12-22,44460
2015-12-23,44254
2015-12-24,43986
2015-12-25,44080
2015-12-26,44259
2015-12-27,44430
2015-12-28,44478
2015-12-29,44255
2015-12-30,44278
2015-12-31,44395
2016-01-01,44470
2016-01-02,44220
2016-01-03,44423
2016-01-04,44246
2016-01-05,44416
2016-01-06,43784
2016-01-07,43771
2016-01-08,43590
2016-01-09,43397
2016-01-10,43791
2016-01-11,43861
2016-01-12,43910
2016-01-13,43553
2016-01-14,43889
2016-01-15,43861
2016-01-16,43685
2016-01-17,43706
2016-01-18,43811
2016-01-19,43595
2016-01-20,43960
2016-01-21,44143
2016-01-22,44117
2016-01-23,43684
2016-01-24,42569
2016-01-25,42658
2016-01-26,42419
2016-01-27,42503
2016-01-28,42971
2016-01-29,43259
2016-01-30,43392
2016-01-31,43836
2016-02-01,43419
2016-02-02,43351
2016-02-03,43395
2016-02-04,43038
2016-02-05,42569
2016-02-06,43085
2016-02-07,43446
2016-02-08,43650
2016-02-09,43597
2016-02-10,43637
2016-02-11,43420
2016-02-12,43578
2016-02-13,43400
2016-02-14,43332
2016-02-15,43267
2016-02-16,43265
2016-02-17,43350
2016-02-18,43235
2016-02-19,43346
2016-02-20,43504
2016-02-21,43403
2016-02-22,43168
2016-02-23,43260
2016-02-24,43463
2016-02-25,43631
2016-02-26,43643
2016-02-27,43746
2016-02-28,43982
2016-02-29,43766
2016-03-01,43743
2016-03-02,43435
2016-03-03,43251
2016-03-04,43486
2016-03-05,43566
2016-03-06,43481
2016-03-07,43859
2016-03-08,43545
2016-03-09,43735
2016-03-10,43675
2016-03-11,43950
2016-03-12,43884
2016-03-13,43260
2016-03-14,43149
2016-03-15,43362
2016-03-16,43361
2016-03-17,43357
2016-03-18,42373
2016-03-19,42704
2016-03-20,43181
2016-03-21,43537
2016-03-22,43816
2016-03-23,43820
2016-03-24,43920
2016-03-25,43666
2016-03-26,43514
2016-03-27,43384
2016-03-28,43337
2016-03-29,43313
2016-03-30,43376
2016-03-31,43497
2016-04-01,43220
2016-04-02,43096
2016-04-03,43288
2016-04-04,43547
2016-04-05,43298
2016-04-06,43099
2016-04-07,42976
2016-04-08,43273
2016-04-09,43553
2016-04-10,43753
2016-04-11,43707
2016-04-12,43784
2016-04-13,43920
2016-04-14,43750
2016-04-15,43573
2016-04-16,43088
2016-04-17,42187
2016-04-18,42801
2016-04-19,43104
2016-04-20,43228
2016-04-21,43015
2016-04-22,42574
2016-04-23,42596
2016-04-24,42618
2016-04-25,42693
2016-04-26,42075
2016-04-27,42452
2016-04-28,42705
2016-04-29,42687
2016-04-30,42897
2016-05-01,42832
2016-05-02,42746
2016-05-03,42934
2016-05-04,42608
2016-05-05,42391
2016-05-06,42414
2016-05-07,42098
2016-05-08,42103
2016-05-09,42465
2016-05-10,42589
2016-05-11,42886
2016-05-12,43128
2016-05-13,43290
2016-05-14,43548
2016-05-15,43883
2016-05-16,43724
2016-05-17,43357
2016-05-18,43512
2016-05-19,43176
2016-05-22,43188
2016-05-23,43463
2016-05-24,43337
2016-05-25,43140
2016-05-26,43108
2016-05-27,43184
2016-05-28,43596
2016-05-29,43755
2016-05-30,44284
2016-05-31,44131
2016-06-01,43994
2016-06-02,44100
2016-06-03,43725
2016-06-04,43747
2016-06-05,43316
2016-06-06,43812
2016-06-07,43779
2016-06-08,43614
2016-06-09,43266
2016-06-10,43312
2016-06-11,43290
2016-06-12,43637
2016-06-13,43275
2016-06-14,43542
2016-06-15,43718
2016-06-16,43648
2016-06-17,43786
2016-06-18,43880
2016-06-19,43620
2016-06-20,43352
2016-06-21,43492
2016-06-22,43625
2016-06-23,42830
2016-06-24,43060
2016-06-25,43438
2016-06-26,43783
2016-06-27,43341
2016-06-28,43134
2016-06-29,43398
2016-06-30,43311
2016-07-01,43094
2016-07-02,43290
2016-07-03,43307
2016-07-04,43340
2016-07-05,43058
2016-07-06,43648
2016-07-07,43733
2016-07-08,43668
2016-07-09,43733
2016-07-10,43641
2016-07-11,43549
2016-07-12,43251
2016-07-13,43698
2016-07-14,43909
2016-07-15,44033
2016-07-16,43953
2016-07-17,43432
2016-07-18,43205
2016-07-23,43745
2016-07-24,43798
2016-07-25,43460
2016-07-26,43860
2016-07-27,43690
2016-07-28,43466
2016-07-29,43760
2016-07-30,44164
2016-07-31,43854
2016-08-01,44007
2016-08-02,44141
2016-08-03,43904
2016-08-04,44137
2016-08-05,44407
2016-08-06,44224
2016-08-07,44008
2016-08-08,43957
2016-08-09,43961
2016-08-10,43824
2016-08-11,43518
2016-08-12,43471
2016-08-13,43743
2016-08-14,43716
2016-08-15,43235
2016-08-16,44207
2016-08-17,43948
2016-08-18,43107
2016-08-19,42480
2016-08-20,43004
2016-08-21,43617
2016-08-22,43830
2016-08-23,43774
2016-08-24,43581
2016-08-25,43626
2016-08-26,43628
2016-08-28,43970
2016-08-31,44255
2016-09-01,44222
2016-09-02,44218
2016-09-03,44385
2016-09-04,44067
2016-09-05,43716
2016-09-06,43713
2016-09-07,43602
2016-09-08,43848
2016-09-09,43856
2016-09-10,43865
2016-09-11,44192
2016-09-12,44343
2016-09-13,44341
2016-09-14,44348
2016-09-15,44200
2016-09-16,44064
2016-09-17,43960
2016-09-18,43932
2016-09-19,44142
2016-09-20,44195
2016-09-21,43864
2016-09-22,43500
2016-09-23,43131
2016-09-24,43274
2016-09-25,43362
2016-09-26,42715
2016-09-27,43168
2016-09-28,43536
2016-09-29,43416
2016-09-30,43469
2016-10-01,43495
2016-10-02,43715
2016-10-03,43576
2016-10-04,43716
2016-10-05,43594
2016-10-06,43763
2016-10-07,43923
2016-10-08,44245
2016-10-09,44403
2016-10-10,43779
2016-10-11,43872
2016-10-12,44131
2016-10-13,44063
2016-10-14,43879
2016-10-15,44034
2016-10-16,43814
2016-10-17,43611
2016-10-18,43686
2016-10-19,43842
2016-10-20,43986
2016-10-21,43974
2016-10-22,43630
2016-10-23,43900
2016-10-24,43927
2016-10-25,44206
2016-10-26,44077
2016-10-27,44027
2016-10-28,44045
2016-10-29,44196
2016-10-30,44017
2016-10-31,43987
2016-11-01,43994
2016-11-02,44253
2016-11-03,44153
2016-11-04,43880
2016-11-05,43618
2016-11-06,43692
2016-11-07,43412
2016-11-08,43092
2016-11-09,43238
2016-11-10,43183
2016-11-11,43219
2016-11-12,43049
2016-11-13,43204
2016-11-14,42924
2016-12-08,43719
2016-12-09,43844
2016-12-10,43770
2016-12-11,43528
2016-12-12,43175
2016-12-13,42885
2016-12-14,43016
2016-12-15,43152
2016-12-16,43197
2016-12-17,43125
2016-12-18,42747
2016-12-19,42546
2016-12-20,42874
2016-12-21,43344
2016-12-22,43533
2016-12-23,43649
2016-12-24,43465
2016-12-25,43670
2016-12-26,43667
2016-12-27,43877
2016-12-28,43817
2016-12-29,43781
2016-12-30,43911
2016-12-31,43959
2017-01-01,43567
2017-01-02,43204
2017-01-03,43086
2017-01-04,42986
2017-01-05,43145
2017-01-06,43246
2017-01-07,42842
2017-01-08,43152
2017-01-09,43396
2017-01-10,43480
2017-01-11,43624
2017-01-12,43449
2017-01-13,43191
2017-01-14,43749
2017-01-15,44116
2017-01-16,43821
2017-01-17,43557
2017-01-18,43508
2017-01-19,43487
2017-01-20,43422
2017-01-21,43638
2017-01-22,43666
2017-01-27,43810
2017-01-28,43973
2017-01-29,43725
2017-01-30,43635
2017-01-31,43162
2017-02-01,43017
2017-02-02,43458
2017-02-03,43582
2017-02-04,43798
2017-02-05,43704
2017-02-06,43564
2017-02-07,43652
2017-02-08,43841
2017-02-09,43678
2017-02-10,43691
2017-02-11,43653
2017-02-12,43747
2017-02-13,43534
2017-02-14,43154
2017-02-15,42864
2017-02-16,42675
2017-02-18,42867
2017-02-19,43046
2017-02-20,43239
2017-02-21,43437
2017-02-22,43597
2017-02-23,43713
2017-02-24,43935
2017-02-25,43825
2017-02-26,43750
2017-02-27,43819
2017-02-28,43875
2017-03-01,43926
2017-03-02,43843
2017-03-03,43877
2017-03-04,43852
2017-03-05,43959
2017-03-06,43839
2017-03-07,43797
2017-03-08,43740
2017-03-09,43826
2017-03-10,43665
2017-03-11,43718
2017-03-12,43699
2017-03-13,43773
2017-03-14,43867
2017-03-15,43819
2017-03-16,44000
2017-03-17,44031
2017-03-18,43978
2017-03-19,43766
2017-03-20,43809
2017-03-21,43644
2017-03-22,43518
2017-03-23,43692
2017-03-24,43833
2017-03-25,43843
2017-03-26,43712
2017-03-27,43847
2017-03-28,44018
2017-03-29,44088
2017-03-30,44079
2017-03-31,44056
2017-04-01,44183
2017-04-02,44216
2017-04-03,44133
2017-04-04,43983
2017-04-12,43937
2017-04-13,44047
2017-04-14,43955
2017-04-15,44097
2017-04-16,44073
2017-04-17,43785
2017-04-18,43685
2017-04-19,43178
2017-04-20,41407
2017-04-21,40355
2017-04-22,40197
2017-04-23,39413
2017-04-24,39947
2017-04-25,40141
2017-04-26,40137
2017-04-27,40804
2017-04-28,41885
2017-04-29,42887
2017-04-30,42811
2017-05-01,42676
2017-05-02,43186
2017-05-03,43190
2017-05-04,41585
2017-05-05,40990
2017-05-06,40616
2017-05-07,40249
2017-05-08,41090
2017-05-09,42043
2017-05-10,42482
2017-05-11,42409
2017-05-12,42588
2017-05-13,42979
2017-05-14,42956
2017-05-15,43186
2017-05-16,43281
2017-05-17,43428
2017-05-18,43691
2017-05-19,43511
2017-05-20,43413
2017-05-21,43548
2017-05-22,43640
2017-05-23,43842
2017-05-24,43463
2017-05-25,41291
2017-05-26,39229
2017-05-27,38471
2017-05-28,38598
2017-05-29,38637
2017-05-30,38638
2017-05-31,38615
2017-06-01,38658
2017-06-02,38601
2017-06-03,38783
2017-06-06,38655
2017-06-07,38642
2017-06-08,38523
2017-06-09,38577
2017-06-10,38623
2017-06-11,38595
2017-06-12,38668
2017-06-13,38795
2017-06-14,38723
2017-06-15,38669
2017-06-16,38689
2017-06-17,38754
2017-06-18,38655
2017-06-19,38703
2017-06-20,38691
2017-06-21,38639
2017-06-22,38710
2017-06-23,38716
2017-06-24,38705
2017-06-25,38748
2017-06-26,38701
2017-06-27,38634
2017-06-28,38702
2017-06-29,38687
2017-06-30,38627
2017-07-01,38636
2017-07-02,38671
2017-07-03,38695
2017-07-04,38678
2017-07-05,38677
2017-07-06,38721
2017-07-07,38706
2017-07-08,38656
2017-07-13,38749
2017-07-14,38689
2017-07-15,38705
2017-07-16,38683
2017-07-17,38707
2017-07-18,38659
2017-07-19,38698
2017-07-20,38726
2017-07-21,38738
2017-07-22,38710
2017-07-23,38762
2017-07-24,38729
2017-07-25,38698
2017-07-26,38726
2017-07-27,38725
2017-07-28,38693
2017-07-29,38711
2017-07-30,38689
2017-07-31,38656
2017-08-01,38702
2017-08-02,38734
2017-08-03,38714
2017-08-04,38666
2017-08-05,38683
2017-08-06,38698
2017-08-09,38651
2017-08-10,38675
2017-08-11,38737
2017-08-12,38657
2017-08-13,38681
2017-08-14,38709
2017-08-15,38744
2017-08-17,38684
2017-08-18,38672
2017-08-19,38687
2017-08-20,38606
2017-08-21,38653
2017-08-22,38702
2017-08-23,38761
2017-08-24,38689
2017-08-25,38708
2017-08-26,38670
2017-08-27,38641
2017-08-28,38651
2017-08-29,38660
2017-08-30,38729
2017-08-31,38781
2017-09-01,38689
2017-09-02,38708
2017-09-03,38582
2017-09-04,38668
2017-09-05,38635
2017-09-06,38769
2017-09-07,38793
2017-09-08,38728
2017-09-09,38706
2017-09-10,38695
2017-09-11,38762
2017-09-12,38655
2017-09-13,38717
2017-09-14,38739
2017-09-15,38724
2017-09-16,38706
2017-09-17,38719
2017-09-19,38754
2017-09-20,38711
2017-09-21,38784
2017-09-22,38792
2017-09-23,38699
2017-09-24,38681
2017-09-25,38675
2017-09-26,38755
2017-09-27,38804
2017-09-28,38734
2017-09-29,38707
2017-09-30,38708
2017-10-01,38675
2017-10-02,38750
2017-10-03,38773
2017-10-04,38714
2017-10-05,38767
2017-10-06,38645
2017-10-07,38720
2017-10-08,38704
2017-10-09,38733
2017-10-10,38748
2017-10-11,38690
2017-10-12,38787
2017-10-13,38704
2017-10-14,38693
2017-10-15,38698
2017-10-16,38655
2017-10-17,38471
2017-10-18,38693
2017-10-19,38743
2017-10-20,38774
2017-10-21,38748
2017-10-22,38709
2017-10-23,38743
2017-10-24,38728
2017-10-25,38708
2017-10-26,38670
2017-10-27,38649
